wonderwall,Today is gonna be the day. That they're gonna throw it back to you. By now you should've somehow. Realized what you gotta do. I don't believe that anybody. Feels the way I do. About you now. Backbeat the word is on the street. That the fire in your heart is out. I'm sure you've heard it all before. But you never really had a doubt. I don't believe that anybody. Feels the way I do. about you now. And all the roads we have to walk are winding. And all the lights that lead us there are blinding. There are many things that I'd. Like to say to you. But I don't know how. Because maybe. You're gonna be the one that saves me. And after all. You're my wonderwall. Today was gonna be the day. But they'll never throw it back to you. By now you should've somehow. Realized what you're not to do. I don't believe that anybody. Feels the way I do. About you now. And all the roads that lead you there were winding. And all the lights that light the way are blinding. There are many things that I'd like to say to you. But I don't know how. I said maybe. You're gonna be the one that saves me. And after all. You're my wonderwall. I said maybe (I said maybe). You're gonna be the one that saves me. And after all. You're my wonderwall. I said maybe (I said maybe). You're gonna be the one that saves me (that saves me)3x
don't look back in anger,"Slip inside the eye of your mind. Don't you know you might find. A better place to play. You said that you'd never been. But all the things that you've seen. Will slowly fade away. So I start a revolution from my bed. 'Cos you said the brains I had went to my head. Step outside the summertime's in bloom. Stand up beside the fireplace. Take that look from off your face. You ain't ever gonna burn my heart out. And so Sally can wait,. She knows its too late. As we're walking on by. Her soul slides away,. But don't look back in anger. I heard you say. Take me to the place where you go. Where nobody knows if it's night or day. please don't put your life in the hands. Of a Rock n Roll band. Who'll throw it all away. I'm gonna start a revolution from my bed. 'Cos you said the brains I had went to my head. Step outside cos summertime's in bloom. Stand up beside the fireplace. Take that look from off your face. 'Cos you ain't ever gonna burn my heart out. And so Sally can wait,. She knows its too late. As she's walking on by. My soul slides away,. But don't look back in anger. I heard you say. So Sally can wait,. She knows its too late. As we're walking on by. Her soul slides away,. But don't look back in anger. I heard you say. So Sally can wait. She knows it's too late. As she's walking on by. My soul slides away. But don't look back in anger. Don't look back in anger. I heard you say. It's not today"
stop crying your heart out,Hold up. Hold on. Don't be scared. You'll never change what's been and gone. May your smile (may your smile). Shine on (shine on). Don't be scared (don't be scared). Your destiny may keep you warm. 'Cause all of the stars. Are fading away. Just try not to worry. You'll see them some day. Take what you need. And be on your way. And stop crying your heart out. Get up (get up). Come on (come on). Why you scared? (I'm not scared). You'll never change. What's been and gone. 'Cause all of the stars. Are fading away. Just try not to worry. You'll see them some day. Take what you need. And be on your way. And stop crying your heart out. 'Cause all of the stars. Are fading away. Just try not to worry. You'll see them some day. Just take what you need. And be on your way. And stop crying your heart out. We're all of the stars. We're fading away. Just try not to worry. You'll see us some day. Just take what you need. And be on your way. And stop crying your heart out. Stop crying your heart out. Stop crying your heart out. Stop crying your heart out
stand by me,"Made a meal and threw it up on Sunday. I've gotta lot of things to learn. Said I would and I'll be leaving one day. Before my heart starts to burn. So what's the matter with you?. Sing me something new.... Don't you know?. The cold and wind and rain don't know. They only seem to come and go away. Times are hard. When things have got no meaning. I've found a key upon the floor. Maybe you and I will not believe in. The things we find behind the door. So what's the matter with you?. Sing me something new.... Don't you know?. The cold and wind and rain don't know. They only seem to come and go away. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows. Yeah, nobody knows, the way it's gonna be. If you're leavin', will you take me with you?. I'm tired of talkin' on my phone. There is one thing I could never give you. My heart will never be your home. So what's the matter with you?. Sing me something new.... Don't you know?. The cold and wind and rain don't know. They only seem to come and go away. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows. Yeah, nobody knows, the way it's gonna be. The way it's gonna be, maybe I can see, yeah. Don't you know?. The cold and wind and rain don't know. They only seem to come and go away. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows the way it's gonna be. Stand by me, nobody knows. Yeah, God only knows the way it's gonna be"
don't go away,"A Cold and frosty morning. There's not a lot to say. About the things caught in my mind. And as the day was dawning. My plane flew away. With all the things caught in my mind. And I wanna be there when you're coming down. And I wanna be there when you hit the ground. So don't go away. Say what you say. But say that you'll stay. Forever and a day. In the time of my life. 'Cause I need more time. Yes, I need more time just to make things right. Damn my situation. And the games I have to play. With all the things caught in my mind. Damn my education. I can't find the words to say. About the things caught in my mind. And I wanna be there when you're coming down. And I wanna be there when you hit the ground. So don't go away. Say what you say. But say that you'll stay. Forever and a day. In the time of my life. 'Cause I need more time. Yes, I need more time just to make things right. Me and you what's going on?. All we seem to know is how to show. The feelings that are wrong. So don't go away. Say what you say. But say that you'll stay. Forever and a day. In the time of my life. 'Cause I need more time. Yes, I need more time just to make things right. Don't go away. Say what you say. But say that you'll stay. Forever and a day. In the time of my life. 'Cause I need more time. Yes, I need more time just to make things right. 'Cause I need more time just to make things right. Yes, I need more time just to make things right. So don't go away"
live forever,"Maybe I don't really wanna know. How your garden grows. Cos I just want to fly. Lately, did you ever feel the pain. In the morning rain. As it soaks you to the bone. Maybe I just want to fly. I want to live I don't want to die. Maybe I just want to breath. Maybe I just don't believe. Maybe you're the same as me. We see things they'll never see. You and I are gonna live forever. I said, maybe I don't really wanna know. How your garden grows. Cos I just want to fly. Lately, did you ever feel the pain. In the morning rain. As it soaks you to the bone. Maybe I will never be. All the things that I want to be. But now is not the time to cry. Now's the time to find out why. I think you're the same as me. We see things they'll never see. You and I are gonna live forever. Maybe I don't really wanna know. How your garden grows. Cos I just want to fly. Lately, did you ever feel the pain. In the morning rain. As it soaks you to the bone. Maybe I just want to fly. I want to live I don't want to die. Maybe I just want to breath. Maybe I just don't believe. Maybe you're the same as me. We see things they'll never see. You and I are gonna live forever. Gonna live forever. Gonna live forever. We're gonna live forever. Gonna live forever. Gonna live forever. We're gonna live forever"
champagne supernova,"How many special people change. How many lives are living strange. Where were you while we were getting high?. Slowly walking down the hall. Faster than a cannon ball. Where were you while we were getting high?. Someday you will find me. Caught beneath the landslide. In a champagne supernova in the sky. Someday you will find me. Caught beneath the landslide. In a champagne supernova. A champagne supernova in the sky. Wake up the dawn and ask her why. A dreamer dreams she never dies. Wipe that tear away now from your eye. Slowly walking down the hall. Faster than a cannon ball. Where were you while we were getting high?. Someday you will find me. Caught beneath the landslide. In a champagne supernova in the sky. Someday you will find me. Caught beneath the landslide. In a champagne supernova. A champagne supernova.... 'Cause people believe that they're. Gonna get away for the summer. But you and I, we live and die. The world's still spinning round. We don't know why. Why, why, why, why. How many special people change. How many lives are living strange. Where were you while we were getting high?. Slowly walking down the hall. Faster than a cannon ball. Where were you while we were getting high?. Someday you will find me. Caught beneath the landslide. In a champagne supernova in the sky. Someday you will find me. Caught beneath the landslide. In a champagne supernova. A champagne supernova in the sky. 'Cause people believe that they're. Gonna get away for the summer. But you and I, we live and die. The world's still spinning round. We don't know why. Why, why, why, why. How many special people change. How many lives are living strange. Where were you while we were getting high?. We were getting high. We were getting high. We were getting high. We were getting high"
supersonic,I need to be myself. I can't be no one else. I'm feeling supersonic. Give me gin and tonic. You can have it all but how much do you want it?. You make me laugh. Give me your autograph. Can I ride with you in your B.M.W.?. You can sail with me in my yellow submarine. You need to find out. 'Cos no one's gonna tell you what I'm on about. You need to find a way for what you want to say. But before tomorrow. 'Cos my friend said he'd take you home. He sits in a corner all alone. He lives under a waterfall. Nobody can see him. Nobody can ever hear him call. Nobody can ever hear him call. You need to be yourself. You can't be no one else. I know a girl called Elsa. She's into Alka Seltzer. She sniffs it through a cane on a supersonic train. And she made me laugh. I got her autograph. She done it with a doctor on a helicopter. She's sniffin in her tissue. Sellin' the Big Issue. And she finds out. No one's gonna tell her what I'm on about. She needs to find a way for what she wants to say. But before tomorrow. 'Cos my friend said he'd take you home. He sits in a corner all alone. He lives under a waterfall. Nobody can see him. Nobody can ever hear him call
morning glory,"All your dreams are made. When you're chained to the mirror with your razor blade. Today's the day that all the world will see. Another sunny afternoon. Walking to the sound of your favorite tune. Tomorrow never knows what it doesn't know too soon. Need a little time to wake up. Need a little time to wake up wake up. Need a little time to wake up. Need a little time to rest your mind. You know you should so I guess you might as well. What's the story morning glory?. Well. Need a little time to wake up. Wake up well. What's the story morning glory?. Well. Need a little time to wake up. Wake up. All your dreams are made. When you're chained to the mirror with your razor blade. Today's the day that all the world will see. Another sunny afternoon. Walking to the sound of my favorite tune. Tomorrow never know what it doesn't know too soon. Need a little time to wake up. Need a little time to wake up wake up. Need a little time to wake up. Need a little time to rest your mind. You know you should so I guess that you might as well. What's the story morning glory?. Well. Need a little time to wake up, wake up. Well. What's the story morning glory?. Well. Need a little time to wake up, wake up. Well. What's the story morning glory?. Well. Need a little time to wake up, wake up. Well. What's the story morning glory?. Well?"
little by little,"We, the people, fight for our existence. We don't claim to be perfect. But we're free. We dream our dreams alone. With no resistance. Fading like the stars we wish to be. You know I didn't mean. What I just said. But my God woke up. On the wrong side of his bed. And it just don't matter now. Cos little by little. We gave you everything. You ever dreamed of. Little by little. The wheels of your life. Have slowly fallen off. Little by little. You have to give it all in all your life. And all the time I just ask myself why. You're really here. True perfection has to be imperfect. I know that sounds foolish, but it's true. The day has come. And now you'll have to accept. The life inside your head we give to you. You know I didn't mean. What I just said. But my God woke up. On the wrong side of his bed. And it just don't matter now. Cos little by little. We gave you everything. You ever dreamed of. Little by little. The wheels of your life. Have slowly fallen off. Little by little. You have to give it all in all your life. And all the time I just ask myself why. You're really here. Hey. Little by little. We gave you everything. You ever dreamed of. Little by little. The wheels of your life. Have slowly fallen off. Little by little. You have to give it all in all your life. And all the time I just ask myself why. You're really here. Why am I really here?. Why am I really here?"
