counting stars,"Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be counting stars. Yeah we'll be counting stars. I see this life like a swinging vine. Swing my heart across the line. And my face is flashing signs. Seek it out and you shall find. Old, but I'm not that old. Young, but I'm not that bold. I don't think the world is sold. I'm just doing what we're told. I feel something so right. Doing the wrong thing. I feel something so wrong. Doing the right thing. I couldn't lie, couldn't lie, couldn't lie. Everything that kills me makes me feel alive. Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be counting stars. Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be, we'll be counting stars. I feel the love and I feel it burn. Down this river, every turn. Hope is a four-letter word. Make that money, watch it burn. Old, but I'm not that old. Young, but I'm not that bold. I don't think the world is sold. I'm just doing what we're told. I feel something so wrong. Doing the right thing. I couldn't lie, couldn't lie, couldn't lie. Everything that downs me makes me wanna fly. Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be counting stars. Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be, we'll be counting stars. Take that money. Watch it burn. Sink in the river. The lessons are learned. Take that money. Watch it burn. Sink in the river. The lessons are learned. Take that money. Watch it burn. Sink in the river. The lessons are learned. Take that money. Watch it burn. Sink in the river. The lessons are learned. Everything that kills me. Makes me feel alive. Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be counting stars. Lately, I've been, I've been losing sleep. Dreaming about the things that we could be. But baby, I've been, I've been praying hard. Said, no more counting dollars. We'll be, we'll be counting stars. Take that money. Watch it burn. Sink in the river. The lessons are learned. Take that money. Watch it burn. Sink in the river. The lessons are learned. Take that money. Watch it burn. Sink in the river. The lessons are learned. Take that money. Watch it burn. Sink in the river. The lessons are learned"
apologize,"I'm holding on your rope. Got me ten feet off the ground. And I'm hearing what you say. But I just can't make a sound. You tell me that you need me. Then you go and cut me down, but wait. You tell me that you're sorry. Didn't think I'd turn around, and say.... That it's too late to apologize, it's too late. I said it's too late to apologize. It's too late. I'd take another chance, take a fall. Take a shot for you. And I need you like a heart needs a beat. But it's nothing new - yeah. I loved you with a fire red. Now it's turning blue, and you say.... I'm sorry like an angel. Heaven let me think was you. But I'm afraid.... It's too late to apologize, it's too late. I said it's too late to apologize. It's too late. It's too late to apologize, it's too late. I said it's too late to apologize. It's too late. I said it's too late to apologize, yeah. I said it's too late to apologize, yeah. I'm holding on your rope, got me ten feet off.... The ground"
secrets,"I need another story. Something to get off my chest. My life gets kind of boring. Need something that I can confess. Till all my sleeves are stained red. From all the truth that I've said. Come by it honestly I swear. Thought you saw me wink. No, I've been on the brink, so. [chorus]. Tell me what you want to hear. Something that'll like those ears. Sick of all the insincere. So I'm gonna give all my secrets away. This time. Don't need another perfect lie. Don't care if critics never jump in line. I'm gonna give all my secrets away. My God, amazing how we got this far. It's like were chasing all those stars. Who's driving shiny big black cars. And everyday I see the news. All the problems that we could solve. And when a situation rises. Just write it into an album. Sitting straight, too low. And I don't really like my flow, oh, so. [chorus]. Tell me what you want to hear. Something that'll like those ears. Sick of all the insincere. So I'm gonna give all my secrets away. This time. Don't need another perfect lie. Don't care if critics never jump in line. I'm gonna give all my secrets away. Got no reason. Got no shame. Got no family. I can blame. Just don't let me disappear. I'mma tell you everything. [Chorus]. Tell me what you want to hear. Something that'll like those ears. Sick of all the insincere. So I'm gonna give all my secrets away. This time. Don't need another perfect lie. Don't care if critics never jump in line. I'm gonna give all my secrets away. Tell me what you want to hear. Something that'll like those ears. Sick of all the insincere. So I'm gonna give all my secrets away. This time. Don't need another perfect lie. Don't care if critics never jump in line. I'm gonna give all my secrets away. All my secrets away. All my secrets away"
good life,"Woke up in London yesterday. Found myself in the city near Piccadilly. Don't really know how I got here. I got some pictures on my phone. New names and numbers that I don't know. Address to places like Abbey Road. Day turns to night, night turns to whatever we want. We're young enough to say. Oh this has gotta be the good life. This has gotta be the good life. This could really be a good life, good life. Say oh, got this feeling that you can't fight. Like this city is on fire tonight. This could really be a good life. A good, good life. To my friends in New York, I say hello. My friends in L.A. they don't know. Where I've been for the past few years or so. Paris to China to Colorado. Sometimes there's airplanes I can't jump out. Sometimes there's bullshit that don't work now. We all got our stories but please tell me. What there is to complain about. When you're happy like a fool. Let it take you over. When everything is out. You gotta take it in. Oh this has gotta be the good life. This has gotta be the good life. This could really be a good life, good life. Say oh, got this feeling that you can't fight. Like this city is on fire tonight. This could really be a good life. A good, good life. Hopelessly. I feel like there might be something that I'll miss. Hopelessly. I feel like the window closes oh so quick. Hopelessly. I'm taking a mental picture of you now. 'Cuz hopelessly. The hope is we have so much to feel good about. Oh this has gotta be the good life. This has gotta be the good life. This could really be a good life, good life. Say oh, got this feeling that you can't fight. Like this city is on fire tonight. This could really be a good life. A good, good life. To my friends in New York, I say hello. My friends in L.A. they don't know. Where I've been for the past few years or so. Paris to China to Colorado. Sometimes there's airplanes I can't jump out. Sometimes there's bullshit that don't work now. We all got our stories but please tell me. What there is to complain about"
connection,"These days my waves get lost in the oceans. Seven billion swimmers. Man I'm going through the motions. Sent up a flare, I need love and devotion. Traded for some faces. that I never know, notion. Maybe I should try to find the old me. Take me to the places. and the people that know me. Tryin' to disconnect. thinking maybe you could show me. If there's so many people here. then why am I so lonely?. Can I get a connection?. Can I get, can I get a connection?. Can I get a connection?. Can I get, Can I get a connection?. Real friends, good friends. hard to find, let's face it. Find the perfect home. and there's a flood in the basement. Made a couple dollars now. and I ain't tryin' to chase it. Kids from Oklahoma. Man, we don't waste it. I'm just tryin' to paint the picture for me. Something I could give a damn. about, in maybe 40 Years. and I be ready and willing. and able to edit the story. Cause there's so many people here. to be so damn lonely. Can I get a connection?. Can I get, can I get a connection?. Can I get a connection?. Can I get, can I get a connection?. I can see it in my, see it in my reflection. Oh, can I get a connection?. Can I get, can I get a connection?. Lonely. Right now, right now. I'm switching to a new lane. Foot to the floor. Man searching for the real thing. Meet somebody else, sometimes ain't no shame. Head to the clouds sayin'. It's like can I get a connection?. Can I get, can I get a connection?. Can I get a connection?. Can I get, can I get a connection?. I can see it in my, see it in my reflection. Oh, can I get a connection?. Can I get, can I get a connection. Try'na find the old me. Lonely"
i lived,"Hope when you take that jump. You don't feel the fall. Hope when the water rises. You built a wall. Hope when the crowd screams out. screaming your name. Hope if everybody runs. You'll choose to stay. Hope that you fall in love. And it hurts so bad. The only way you can know. You gave it all you had. And I hope that you don't suffer. But take the pain. Hope when the moment comes,. You'll say. I, I, I. I did it all. I, I, I. I did it all. I owned every second that this world could give. I saw so many places, the things that I did. Yeah with every broken bone. I swear I lived. Hope that you spend your days. But they all add up. And when that sun goes down. Hope you raise your cup. Oh, oh oh. I wish that I could witness. All your joy. And all your pain. But until my moment comes. I'll say. I, I, I. I did it all. I, I, I. I did it all. I owned every second that this world could give. I saw so many places, the things that I did. Yeah with every broken bone. I swear I lived. Oh whoa oh oh oh oh oh. Oh whoa oh oh oh oh oh. Oh whoa oh oh oh oh oh. Oh whoa oh oh oh oh oh. With every broken bone. I swear I lived. With every broken bone. I swear I. I, I, I. I did it all. I, I, I. I did it all. I owned every second that this world could give. I saw so many places, the things that I did. Yeah with every broken bone. I swear I lived. Oh whoa oh oh oh oh oh. Oh whoa oh oh oh oh oh. I swear I lived. Oh whoa oh oh oh oh oh. Oh whoa oh oh oh oh oh"
let's hurt tonight,"When, when we came home. Worn to the bones. I told myself, ""this could get rough"". And when, when I was off. Which happened a lot. You came to me and said, ""that's enough"". Oh I know that this love is pain. But we can't cut it from out these veins, no. So I'll get the lights and you lock the doors. We ain't leaving this room 'til we both feel more. Don't walk away, don't roll your eyes. They say love is pain, well darling. Let's hurt tonight. Ah-ooh-ooh, ah-ooh-ooh. When, when you came home. Worn to the bones. I told myself, ""this could get rough"". Oh, I know you're feeling insane. Tell me something that I can explain, oh. I'll get the lights and you lock the doors. Tell me all of the things that you couldn't before. Don't walk away, don't roll your eyes. They say love is pain, well darling. Let's hurt tonight. If this love is pain, then darling. Let's hurt, oh tonight. Ah-ooh-ooh, ah-ooh-ooh. So you get the lights and I'll lock the doors. Let's say all of the things that we couldn't before. I won't walk away, won't roll my eyes. They say love is pain, well darling. Let's hurt tonight. If this love is pain, then honey. Let's love tonight"
if i lose myself,"I stared up at the sun. Thought of all of the people. Places and things I've loved. I stared up just to see. Of all of the faces. You were the one next to me. You can feel the light start to tremble. Washing what you know out the sea. And you can see your life out the window. Tonight. If I lose myself tonight. It will be by your side. If I lose myself tonight, yeah, yeah, yeah. If I lose myself tonight. It will be you and I. Lose myself tonight. I woke up with the sun. Thought of all of the people. Places and things I've loved. I woke up just to see. Of all of the faces. You were the one next to me. You can feel the light start to tremble. Washing what you know out to sea. And you can see your life out the window. Tonight. If I lose myself tonight. It will be by your side. If lose myself tonight, yeah, yeah, yeah. If I lose myself tonight. It will be you and I. Lose myself tonight. Take us down and we keep trying. 40 000 feet, keep flying. Take us down and we keep trying. 40 000 feet, keep flying. Take us down and we keep trying. 40 000 feet, keep flying. Take us down and we keep trying. 40 000 feet, keep flying. Lose myself. If I lose myself tonight"
wherever i go,"I know I could lie but I'm telling the truth. Wherever I go there's a shadow of you. I know I could try looking for something new. But wherever I go, I'll be looking for you. Some people lie but they're looking for magic. Others are quietly going insane. I feel alive when I'm close to the madness. No easy love could ever make me feel the same. I know I could lie, but I won't lie to you. Wherever I go, you're the ghost in the room. I don't even try looking for something new. Cause wherever I go, I'll be looking for you. Some people try but they can't find the magic. Others get down on their knees and they pray. I come alive when I'm close to the madness. No easy love could ever make me feel the same. Make me feel the same. Make me feel the same, same, same. I know I could lie but I'm telling the truth. Wherever I go there's a shadow of you. I know I could try looking for something new. But wherever I go, I'll be looking for you. Wherever I go, I'll be looking for you, you. Some people pray at their God for some magic. Cause no easy love could ever make them feel the same. No easy love could ever make me feel the same. Make me feel the same, same, same. I know I could lie but I'm telling the truth. Wherever I go there's a shadow of you. I know I could try looking for something new. But wherever I go, I'll be looking for you. You think it's a lie when I'm telling the truth. Wherever I go, I'll be looking for you. Wherever I go, I'll be looking for you. Looking for you, looking for you, ah"
start again (feat. logic),"Can't I just turn back the clock?. Forgive my sins. I just wanna roll my sleeves up. And start again. I know that I messed it up. Time and time again. I just wanna roll my sleeves up. And start again. I was switchin' up the lanes. Steppin' out the frame I'm in. I was pulling on the reins. Sick of all the same happenin'. I swear I was looking for disaster. Mixed with a bottle of gin. And just because I come home after. Doesn't mean you'll take me in. You see my world is spinning. like there's nothing to know. You see my world is feeling. like it just might explode. And yes I know it's hard to take it backwards from my mind. I need to get a ride, need to see some light come in. Can't I just turn back the clock?. Forgive my sins. I just wanna roll my sleeves up. And start again. I know that I messed it up. Time and time again. I just wanna roll my sleeves up. And start again. Feelin' like maybe I'm unappreciated. Like my presence in your life has been alleviated. I feel like everything I've done before is different now. But I can see clearer than ever from a distance now. Every day I do it, I been goin' through it. But you never knew it 'cause I never showed you. You gave me the world, so I feel I owed you. I been lookin' through the mirror and that's the old you. Imma get it right now, don't know how. But I promise that we're gonna make it somehow. I'm all in, it's from the heart again. Open up your mind and maybe we could start again. Can't I just turn back the clock?. Forgive my sins. I just wanna roll my sleeves up. And start again. I know that I messed it up. Time and time again. I just wanna roll my sleeves up. And start again. Oh-oh-ohh, oh-oh-oh. Oh-oh-ohh, oh-oh-oh. And yes I know it's hard to take it backwards from my mind. I need to get a ride, need to see some light come in. Can't I just turn back the clock?. Forgive my sins. I just wanna roll my sleeves up. And start again"
