crazy train,"Crazy, but that's how it goes. Millions of people living as foes. Maybe it's not too late. To learn how to love. And forget how to hate. Mental wounds not healing. Life's a bitter shame. I'm going off the rails on a crazy train. I'm going off the rails on a crazy train. I've listened to preachers. I've listened to fools. I've watched all the dropouts. Who make their own rules. One person conditioned to rule and control. The media sells it and you live the role. Mental wounds still screaming. Driving me insane. I'm going off the rails on a crazy train. I'm going off the rails on a crazy train. I know that things are going wrong for me. You gotta listen to my words. Yeh-h!. Heirs of a cold war. That's what we've become. Inheriting troubles, I'm mentally numb. Crazy, I just cannot bear. I'm living with something that just isn't fair. Mental wounds not healing. Who and what's to blame. I'm going off the rails on a crazy train. I'm going off the rails on a crazy train"
dreamer,"Gazing through the window at the world outside. Wondering will mother earth survive. Hoping that mankind will stop abusing her, sometime. After all there's only just the two of us. And here we are still fighting for our lives. Watching all of history repeat itself, time after time. I'm just a dreamer. I dream my life away. I'm just a dreamer. Who dreams of better days. I watch the sun go down like everyone of us. I'm hoping that the dawn will bring good signs. A better place for those who will come after us, this time. I'm just a dreamer. I dream my life away, oh yeah. I'm just a dreamer. Who dreams of better days. Your higher power may be God or Jesus Christ. It doesn't really matter much to me. Without each others help there ain't no hope for us. I'm living in a dream of fantasy, oh yeah yeah yeah. If only we could all just find serenity. It would be nice if we could live as one. When will all this anger hate and bigotry be done. I'm just a dreamer. I dream my life away, today. I'm just a dreamer. Who dreams of better days, oh yeah. I'm just a dreamer. Who's searching for the way, today. I'm just a dreamer. Dreaming my life away, oh yeah yeah yeah"
mr. crowley,"Mr. Crowley, what went on in your head. Mr. Crowley, did you talk to the dead. Your life style to me seemed so tragic. With the thrill of it all. You fooled all the people with magic. You waited on Satan's call. Mr. Charming, did you think you were pure. Mr. Alarming, in nocturnal rapport. Uncovering things that were sacred manifest on this Earth. Conceived in the eye of a secret. And they scattered the afterbirth. Mr. Crowley, won't you ride my white horse. Mr. Crowley, it's symbolic of course. Approaching a time that is classic. I hear maidens call. Approaching a time that is drastic. Standing with their backs to the wall. Was it polemically sent. l wanna know what you meant. I wanna know. I wanna know what you meant"
"mama, i'm coming home","Times have changed and times are strange. Here I come, but I ain't the same. Mama, I'm coming home. Times gone by seems to be. You could have been a better friend to me. Mama, I'm coming home. You took me in and you drove me out. Yeah, you had me hypnotized. Lost and found and turned around. By the fire in your eyes. You made me cry, you told me lies. But I can't stand to say goodbye. Mama, I'm coming home. I could be right, I could be wrong. and hurts so bad, it's been so long. Mama, I'm coming home. Selfish love yeah we're both alone. The ride before the fall, yeah. But I'm gonna take this heart of stone. I just got to have it all. CHORUS. I've seen your face a hundred times. Everyday we've been apart. I don't care about the sunshine, yeah. 'Cause Mama, Mama, I'm coming home. I'm coming home. You took me in and you drove me out. Yeah, you had me hypnotized. Lost and found and turned around. By the fire in your eyes. CHORUS. I've seen your face a thousand times. Everyday we've been apart. I don't care about the sunshine, yeah. 'Cause Mama, Mama, I'm coming home. I'm coming home"
no more tears,"The light in the window is a crack in the sky. A stairway to darkness in the blink of an eye. A levee of tears to learn she'll never be coming back. The man in the dark will bring another attack. Your momma told you that you're not supposed to talk to strangers. Look in the mirror and tell me do you think your life's in danger yeah. CHORUS. No more tears (echo) (x4). Another day passes as the night closes in. The red light goes on to say it's time to begin. I see the man around the corner waiting, can he see me?. I close my eyes and wait to hear the sound of someone screaming here. CHORUS. It's just a sign of the times. Going forward in reverse. Still. He who laughs last. Is just a hand in the bush. So now that it's over can we just say goodbye?. (I'd like). (I'd like). I'd like to move on and make the most of the night. Maybe a kiss before I leave you this way. Your lips are so cold I don't know what else to say. I never wanted it to end this way my love my darling. Believe me when I say to you in love I think I'm falling here. CHORUS. Is just a hand in the bush (echo w/ fadeout)."
bark at the moon,"Screams break the silence. Waking from the dead of night. Vengence is boiling. He's returned to kill the light. Then when he's found who he's looking for. Listen in awe and you'll hear him. Bark at the moon. Hahaha. Years spent in torment. Buried in a nameless grave. Now he has risen. Miracles would have to save. Those that the beast is looking for. Listen in awe and you'll hear him. Bark at the moon. Hey yeah bark at the moon. They cursed and buried him. Along with shame. And thought his timeless soul had gone. In empty burning hell - unholy one. But he's returned to prove them wrong, so wrong. Oh yeah baby. Howling in shadows. Living in a lunar spell. He finds his heaven. Spewing from the mouth of hell. Those that the beast is looking for. Listen in awe and you'll hear him. Bark at the moon. Hey yeah. Bark at the moon. Hey yeah bark at the moon. Oh oh yeah bark at the moon. (Auuuuuuuuuuuuuuuu)"
i just want you,"There are no unlockable doors. There are no unwinnable wars. There are now unrightable wrongs. or unsingable songs. There are no unbeatable odds. There are no believable Gods. There are no unnameable names,. Shall I say it again?. Yeah. There are no impossible dreams. There are no invisible seams. Each night when the day is through,. I don't ask much. I just want you. I just want you. There are no uncriminal crimes. There are no unrhymable rhymes. There are no identical twins or forgivable sins. There are no incurable ills. There are no unkillable thrills. One thing and you know it's true,. I don't ask much. I just want you. I just want you. I just want you. I just want you. I'm sick and tired of bein' sick and tired. I used to go to bed so high and wired. Yeah - yeah - yeah. I think I'll buy myself some plastic water. I guess I should have married Lennon's daughter. Yeah - yeah - yeah - yeah. [SOLO]. There are no unachievable goals. There are no unsaveable souls. No legitimate kings or queens,. Do you know what I mean?. Yeah. There are no indisputable truths. And there ain't no fountain of youth. Each night when the day is through. I don't ask much. I just want you. I just want you. I just want you. I just want you. I just want you. I just want you. Yeah, yeah, yeah. I just want you. I just want you. Hey yeah. I just want you. Yeah, yeah, yeah. I just want you. Hey. I just want you. I just want you. I just want you. I just want you"
perry mason,"On his way to dinner when it took him by suprise. And with one pull of the trigger he would vanish overnight. Dancing by the roadside, holding on for dear life. Then a gun from out of nowhere made a widow of his wife. I don't mind, single file down the runway. Feelin' fine, and I'll see you my friend. Over and over again. Who can we get on the case?. We need Perry Mason. Someone to put you in place. Calling Perry Mason again. Riding painted horses, oh the kids they love it so. You can see it on their faces, how they love the wind to blow. Minding my own business like my mama always said. But if I don't try to help 'em they could wind up on the front page. I don't mind, draw the line then draw me an arrow. Feelin' fine, then I'll see you my friend. Over and over again. Who can we get on the case?. We need Perry Mason. Someone to put you in place. Calling Perry Mason again, again. Wake me when it's over, tell me it's all right. Just keep on talking baby, I've been doing this all night. How much did you give me, tell me it'll be all right. Then I'll see you my friend. Over and over again. Who can we get on this case?. We need Perry Mason. Someone to put you in place. Calling Perry Mason, again, again, again, again"
changes,"I feel unhappy, I feel so sad,. I've lost the best friend that I ever had,. She was my woman, I loved her so,. But it's too late now, I've let her go. I'm going through changes. I'm going through changes. We shared the years, we shared each day,. In love together We found a way,. But soon the world had its evil way. My heart was blinded. Love went to spread. I´m going through changes. I´m going through changes. It took so long to realize,. And I can still hear her last goodbyes. Now all my days, are filled with tears,. Wish I could go back and change these years. I´m going through changes. I´m going through changes"
i don't know,"People look to me and say. Is the end near,. When is the final day. What's the future of mankind. How do I know,. I got left behind. Everyone goes through changes. Looking to find the truth. Don't look at me for answers. Don't ask me. I don't know. How am I supposed to know. Hidden meanings that will never show. Fools and prophets from the past. Life's a stage. And we're all in the cast. Ya gotta believe in someone. Asking me who is right,. Asking me who to follow,. Don't ask me,. I don't know,. I don't know. I don't know. I don't know. Nobody ever told me. I found out for myself. Ya gotta believe in foolish miracles. It's not how you play the game. It's if you win or lose. You can choose. Don't confuse win or lose,. It's up to you. It's up to you. It's up to you. It's up to you. (solo). People look to me and say. Is the end near,. When is the final day. What's the future of mankind. How do I know,. I got left behind. Everyone goes through changes. Looking to find the truth. Don't look at me for answers. Don't ask me. I don't know. How am I supposed to know. Hidden meanings that will never show. Fools and prophets from the past. Life's a stage. And we're all in the cast. Ya gotta believe in someone. Asking me who is right,. Asking me who to follow,. Don't ask me,. I don't know,. I don't know. I don't know. I don't know."
