the only exception,"When I was younger. I saw my daddy cry. And curse at the wind. He broke his own heart. And I watched. As he tried to reassemble it. And my momma swore that. She would never let herself forget. And that was the day that I promised. I'd never sing of love. If it does not exist. But darling,. You are the only exception. You are the only exception. You are the only exception. You are the only exception. Maybe I know, somewhere. Deep in my soul. That love never lasts. And we've got to find other ways. To make it alone. Or keep a straight face. And I've always lived like this. Keeping a comfortable, distance. And up until now. I had sworn to myself that I'm content. With loneliness. Because none of it was ever worth the risk, but. You are the only exception. You are the only exception. You are the only exception. You are the only exception. I've got a tight grip on reality. But I can't. Let go of what's in front of me here. I know you're leaving. In the morning, when you wake up. Leave me with some kind of proof it`s not a dream. Ohh.... You are the only exception. You are the only exception. You are the only exception. You are the only exception. You are the only exception. You are the only exception. You are the only exception. You are the only exception. And I'm on my way to believing. Oh, And I'm on my way to believing"
misery business,"I'm in the business of misery,. Let's take it from the top. She's got a body like an hourglass. That's ticking like a clock. It's a matter of time before we all run out.... When I thought he was mine,. She caught him by the mouth. I waited eight long months, she finally set him free. I told him I couldn't lie,. He was the only one for me. Two weeks and we had caught on fire. She's got it out for me,. But I wear the biggest smile. Well I never meant to brag. But I got him where I want him now. Oh!It was never my intention to brag. To steal it all away from you now. But God does it feel so good. 'Cause I got him where I want him now. And if you could then you know you would. 'Cause God it just feels so.... It just feels so good. Second chances they don't ever matter,. People never change. Once a whore, you're nothing more,. I'm sorry that'll never change. And about forgiveness,. We're both supposed to have exchanged. I'm sorry honey, but I'm passing up,. Now look this way. Well there's a million other girls. Who do it just like you. Looking as innocent as possible. To get to who they want and what they like,. It's easy if you do it right. Well I refuse, I refuse, I refuse!. Well I never meant to brag. But I got him where I want him now. Oh! It was never my intention to brag. To steal it all away from you now. But God does it feel so good. 'Cause I got him where I want him right now. And if you could then you know you would. 'Cause God it just feels so.... It just feels so good .... I watched his wildest dreams come true. Not one of them involving you. Just watch my wildest dreams come true. Not one of them involving .... Well I never meant to brag. But I got him where I want him now. Oh! It was never my intention to brag. To steal it all away from you now. But God does it feel so good. 'Cause I got him where I want him now. And if you could then you know you would. 'Cause God it just feels so.... It just feels so good"
decode,"How can I decide what's right?. When you're clouding up my mind. Can't win your losing fight all the time. Not gonna ever own what's mine. When you're always taking sides. But you won't take away my pride. No not this time. Not this time. How did we get here?. I used to know you so well. How did we get here?. Well, I think I know. The truth is hiding in your eyes. And its hanging on your tongue. Just boiling in my blood,. But you think that I can't see. What kind of man that you are. If you're a man at all. Well, I will figure this one out on my own. (I'm screaming ""I love you so"". But my thoughts you can't decode). How did we get here?. I used to know you so well. How did we get here?. Well, I think I know. Do you see what we've done?. We're gonna make such fools of ourselves. Do you see what we've done?. We're gonna make such fools of ourselves. How did we get here?. I used to know you so well. How did we get here?. Well, I used to know you so well. I think I know. I think I know. There is something that I see in you. It might kill me. I want it to be true"
ain't it fun,I don't mind. Letting you down easy. But just give me time. If it don't hurt now but just wait just wait a while. You're not the big fish in the pond no more. You are what they're feeding on. So what are you gonna do. When the world don't orbit around you?. So what are you gonna do. When the world don't orbit around you?. Ain't it fun?. Living in the real world. Ain't it good?. Being all alone. Where you from?. You might be the one who's running things. Well you could ring anybody's bell. To get what you want. You see it's easy to ignore trouble. When you're living in your bubble. So what are you gonna do. When the world don't orbit around you?. So what are you gonna do. When nobody wants to fool with you?. Ain't it fun?. Living in the real world. Ain't it good?. Being all alone. Ain't it good to be on your own?. Ain't it fun you can't count on no one?. Ain't it good to be on your own?. Ain't it fun you can't count on no one?. Ain't it fun?. Living in the real world. Don't go crying to your mama. 'Cause you're on your own in the real world. Don't go crying to your mama. 'Cause you're on your own in the real world. Don't go crying to your mama. 'Cause you're on your own in the real world. Don't go crying to your mama. 'Cause you're on your own in the real world. Ain't it fun? Ain't it fun?. Living now you're one of us. Ain't it fun? Ain't it fun? Ain't it fun?. Ain't it fun?. Living in the real world. Ain't it good? Ain't it good?. Being all alone. Ain't it fun?. Living in the real world. ('Cause the world don't orbit around you). Ain't it good? Ain't it good?. Being all alone. Don't go crying to your mama (To your mother). 'Cause you're on your own in the real world (Don't go crying). Don't go crying to your mama (To your mama). 'Cause you're on your own in the real world. Don't go crying to your mama. 'Cause you're on your own in the real world. (This is the real world). Don't go crying to your mama. 'Cause you're on your own in the real world. (This is the real world this is the real world). Don't go crying to your mama (Don't go crying). 'Cause you're on your own in the real world. Don't go crying to your mama. 'Cause you're on your own in the real world. Don't go crying (Don't you go don't you go crying). Don't go crying (You're on your own). Don't go crying (Don't go crying to your mother). Don't go crying
brick by boring brick,"She lives in a fairy tale. Somewhere too far for us to find. Forgotten the taste and smell. Of the world that she's left behind. It's all about the exposure the lens I told her. The angles were all wrong now. She's ripping wings off of butterflies. Keep your feet on the ground. When your head's in the clouds. Well go get your shovel. And we'll dig a deep hole. To bury the castle, bury the castle. Well go get your shovel. And we'll dig a deep hole. To bury the castle, bury the castle. Pa ra pa pa ra pa pa ra. So one day he found her crying. Coiled up on the dirty ground. Her prince finally came to save her. And the rest you can figure out. But it was a trick. And the clock struck 12. Well make sure to build your house brick by boring brick. Or the wolves gonna blow it down. Keep your feet on the ground. When your head's in the clouds. Well go get your shovel. And we'll dig a deep hole. To bury the castle, bury the castle. Well go get your shovel. And we'll dig a deep hole. To bury the castle, bury the castle. Well you built up a world of magic. Because your real life is tragic. Yeah you built up a world of magic. If it's not real. You can't hold it in your hand. You can't feel it with your heart. And I won't believe it. But if it's true. You can see it with your eyes. Even in the dark. And that's where I want to be, yeah. Go get your shovel. We'll dig a deep hole. To bury the castle, bury the castle. Go get your shovel. And we'll dig a deep hole. To bury the castle, bury the castle. Pa ra pa pa ra pa pa ra. Pa ra pa pa pa ra pa pa"
ignorance,"If I'm a bad person, you don't like me. Well guess I'll make my own way. It's a circle. A mean cycle. I can't excite you anymore. Where's your gavel? your jury?. What's my offense this time?. You're not a judge but if you're gonna judge me. Well sentence me to another life.. Don't wanna hear your sad songs. I don't wanna feel your pain. When you swear it's all my fault. Cause you know we're not the same. Oh we're not the same. Oh we're not the same. The friends who stuck together. We wrote our names in blood. But I guess you can't accept that the change is good. It's good. It's good. You treat me just like another stranger. Well it's nice to meet you sir. I guess I'll go. I best be on my way out. You treat me just like another stranger. Well it's nice to meet you sir. I guess I'll go. I best be on my way out. Ignorance is your new best friend. Ignorance is your new best friend. This is the best thing that could've happened. Any longer and I wouldn't have made it. It's not a war no, it's not a rapture. I'm just a person but you can't take it. The same tricks that, that once fooled me. They won't get you anywhere. I'm not the same kid from your memory. Now I can fend for myself. Don't wanna hear your sad songs. I don't wanna feel your pain. When you swear it's all my fault. Cause you know we're not the same. Oh we're not the same. Oh we're not the same. We used to stick together. We wrote our names in blood. But I guess you can't accept that the change is good. It's good. It's good. You treat me just like another stranger. Well it's nice to meet you sir. I guess I'll go. I best be on my way out. You treat me just like another stranger. Well it's nice to meet you sir. I guess I'll go. I best be on my way out. Ignorance is your new best friend. Ignorance is your new best friend. Ignorance is your new best friend. Ignorance is your new best friend. You treat me just like another stranger. Well it's nice to meet you sir. I guess I'll go. I best be on my way out. You treat me just like another stranger. Well it's nice to meet you sir. I guess I'll go. I best be on my way out"
airplanes (b.o.b. ft hayley williams),"(Chorus:). Can we pretend that airplanes in the night sky are. like shooting stars. I could really use a wish right now, a wish right. now, a wish right now. Can we pretend that airplanes in the night sky are. like shooting stars. I could really use a wish right now, a wish right. now, a wish right now. I could use a dream or a genie or a wish. To go back to a place much simpler than this. 'Cause after all the partyin' and smashin' and. crashin'. And all the glitz and glam and the fashion. And all the pandemonium and all the madness. There comes a time when you fade to the blackness. And when you're starin at the phone in your lap. And you hopin' but them people never call you back. But that's just how the story unfolds. You get another hand soon after you fold. And when your plans unravel in the sand. What would you wish for if you had one chance?. So airplane airplane sorry I'm late. I'm on my way so don't close that gate. If I don't make that then I'll switch my flight and. I'll be right back at it by the end of the night. Can we pretend that airplanes in the night sky are. like shooting stars. I could really use a wish right now, a wish right. now, a wish right now. Can we pretend that airplanes in the night sky are. like shooting stars. I could really use a wish right now, a wish right. now, a wish right now. Yeah somebody take me back to the days. Before this was a job before I got paid. Before it ever mattered what I had in my bank. Yeah back when I was trying to get into the subway. And back when I was rappin for the hell of it. But nowadays we rappin' to stay relevant. I'm guessing that if we could make some wishes out or. airplanes. Then maybe oh maybe I'd go back to the days. Before the politics that we call the rap game. And back when ain't nobody listened to my mix tape. And back before when I tried to cover up my slang. But this is for the Decatur what's up Bobby Ray. So can I get a wish to end the politics. And get back to the music that started this shit. So here I stand and then again I say. I'm hopin we can make some wishes outa airplanes. Can we pretend that airplanes in the night sky are. like shooting stars. I could really use a wish right now, a wish right. now, a wish right now. Can we pretend that airplanes in the night sky are. like shooting stars. I could really use a wish right now, a wish right. now, a wish right now (Repeat). I could really use a wish right now. I could really use a wish right now. Like, like, like shootin stars. I could really use a wish right now. A wish a wish right now"
that's what you get,"No sir, well, I don't wanna be the blame not anymore. It's your turn so take a seat we're settling the final score. Why do we like to hurt so much?. I can't decide. You have made it harder just to go on. Why? All the possibilities... Well, I was wrong. Chorus:. That's what you get when you let your heart win - whoa. That's what you get when you let your heart win - whoa. I drowned out all my sense away with the sound of its beating.. And that's what you get when you let your heart win - whoa. I wonder... how am I supposed to feel when you're not here?. Cause I've burned every bridge I ever built when you were here.. I still try holding on the silly things.. I never learn.. Oh why? ... all the possibilities.... I'm sure you've heard.. That's what you get when you let your heart win - whoa. That's what you get when you let your heart win - whoa. I drowned out all my sense away with the sound of its beating.. And that's what you get when you let your heart win - whoa. Pain make your way to me - to me. And I'll always be just so inviting.. If I ever start to think straight. This heart will start a riot in me.... Why do we like to hurt so much?. Why do we like to hurt so much?. That's what you get when you let your heart win-whoa. That's what you get when you let your heart win - whoa. That's what you get when you let your heart win - whoa. Now, I can't trust myself with anything but this. That's what you get when you let your heart win - whoa"
hard times,All that I want. Is to wake up fine. Tell me that I'm alright. That I ain't gonna die. All that I want. Is a hole in the ground. You can tell me when it's alright. For me to come out. Hard times. Gonna make you wonder why you even try. Hard times. Gonna take you down and laugh when you cry. These lives. And I still don't know how I even survive. Hard times. Hard times. And I gotta get to rock bottom. Walking around. With my little raincloud. Hanging over my head. And it ain't coming down. Where do I go?. Gimme some sort of sign. Hit me with lightning. Maybe I'll come alive. Hard times. Gonna make you wonder why you even try. Hard times. Gonna take you down and laugh when you cry. These lives. And I still don't know how I even survive. Hard times. Hard times. And I gotta hit rock bottom. Tell my friends I'm coming down. We'll kick it when I hit the ground. Tell my friends I'm coming down. We'll kick it when I hit the ground. When I hit the ground. When I hit the ground. When I hit the ground. When I hit the ground. When I hit the ground. Hard times. Gonna make you wonder why you even try. Hard times. Gonna take you down and laugh when you cry. These lives. And I still don't know how I even survive. Hard times. Hard times. Hard times. Gonna make you wonder why you even try. Hard times. Gonna take you down and laugh when you cry. These lives. And I still don't know how I even survive. Hard times. Hard times. And I gotta get to rock bottom
still into you,"Can't count the years on one hand. That we've been together. I need the other one to hold you. Make you feel, make you feel better. It's not a walk in the park, to love each other. But when our fingers interlock. Can't deny, can't deny, you're worth it. Cause after all this time. I'm still into you. I should be over all the butterflies. But I'm into you (I'm into you). And baby even on our worst nights. I'm into you (I'm into you). Let 'em wonder how we got this far. Cause I don't really need to wonder at all. Yeah, after all this time. I'm still into you. Recount the night that I first met your mother. And on the drive back to my house. I told you that, I told you that I loved you. You felt the weight of the world. Fall off your shoulder. And to your favorite song we sang along. To the start of forever. And after all this time. I'm still into you. I should be over all the butterflies. But I'm into you (I'm into you). And baby even on our worst nights. I'm into you (I'm into you). Let 'em wonder how we got this far. Cause I don't really need to wonder at all. Yeah, after all this time. I'm still into you. Some things just. Some things just make sense. And one of those is you and I. Some things just. Some things just make sense. And even after all this time. I'm into you. Baby not a day goes by. That I'm not into you. I should be over all the butterflies. But I'm into you (I'm into you). And baby even on our worst nights. I'm into you (I'm into you). Let 'em wonder how we got this far. Cause I don't really need to wonder at all. Yeah, after all this time. I'm still into you. I'm still into you. I'm still into you"
last hope,"I don't even know myself at all. I thought I would be happy by now. The more I try to push it, I realize. Gotta let go of control. Gotta let it happen. Gotta let it happen. Gotta let it happen. So let it happen. It's just a spark. But it's enough to keep me going. And when it's dark out. No one's around, it keeps glowing. Every night I try my best to dream. Tomorrow makes it better. And I wake up to the cold reality. Not a thing has changed. But it will happen. Gotta let it happen. Gotta let it happen. Gotta let it happen. It's just a spark. But it's enough to keep me going. And when it's dark out. No one's around, it keeps glowing. It's just a spark. But it's enough to keep me going. And when it's dark out. No one's around, it keeps glowing. And the salt in my wounds. Isn't burning anymore than it used to. It's not that I don't feel the pain. It's just I'm not afraid of hurting anymore. And the blood in these veins. Isn't pumping any less than it ever has. And that's the hope I have. The only thing I know is keeping me alive, alive. Gotta let it happen. Gotta let it happen. Gotta let it happen. Gotta let it happen. Gotta let it happen. Gotta let it happen. Gotta let it happen. Gotta let it happen. It's just a spark. But it's enough to keep me going. (So if I let go of control now I can be strong). And when it's dark out. No one's around, it keeps glowing. It's just a spark. But it's enough to keep me going. (So if I keep my eyes closed, with the blind hope). And when it's dark out. No one's around, it keeps glowing"
rose-colored boy,"Low-key, no pressure. just hang with me and my weather. Low-key, no pressure. just hang with me and my weather. Rose-colored boy. I hear you making all that noise. About the world you want to see. And oh, I'm so annoyed. 'Cause I just killed off what was left of the optimist in me. Hearts are breaking. Wars are raging on. And I have taken my glasses off. You got me nervous. I'm right at the end of my rope. A half empty girl. Don't make me laugh, I'll choke. Just let me cry a little bit longer. I ain't gon' smile if I don't want to. Hey man, we all can't be like you. I wish we were all rose-colored too. My rose-colored boy. Low-key, no pressure. just hang with me and my weather. I want you to stop. Insisting that I'm not a lost cause. 'Cause I've been throught a lot. Really all I've got is just to stay pissed off. If it's all right by you. Hearts are breaking. Wars are raging on. And I have taken my glasses off. You got me nervous. And you're turning it into a joke. A half empty girl. Don't make me laugh, I'll. Just let me cry a little bit longer. I ain't gon' smile if I don't want to. Hey, man, we all can't be like you. I wish we were all rose-colored too. My rose-colored boy. Leave me here a little bit longer. I think I wanna stay in the car. I don't want anybody seeing me cry now. You say 'we gotta look on the bright side'. I say 'well maybe if you wanna go blind'. You say my eyes are getting too dark now. Boy you ain't ever seen my mind. Just let me cry a little bit longer. I ain't gon' smile if I don't want to. Hey, man, we all can't be like you. I wish we were all rose-colored too. My rose-colored boy. Just let me cry a little bit longer. I ain't gon' smile if I don't want to. I know we all can't be like you. I wish we were all rose-colored too. My rose-colored boy. Low-key, no pressure. just hang with me and my weather. Low-key, no pressure. just hang with me and my weather"
crushcrushcrush,"I got a lot to say to you. Yeah! I got a lot to say. I notice your eyes are always glued to me. Keeping them here and it makes no sense at all. They've taped over your mouth. Scribbled out the truth with their lies. Your little spies. They've taped over your mouth. Scribbled out the truth with their lies. Your little spies. Crush... Crush.. Crush... Crush! Crush!. 2, 3, 4. Nothing compares to. A quiet evening alone. Just the one, two. Of us, who's counting on?. That never happens. I guess I'm dreaming again. Let's be more than, this. If you wanna play it like a game. Well come on, come on let's play. Cause I'd rather waste my life pretending. Than have to forget you for one whole minute. They've taped over your mouth. Scribbled out the truth with their lies. Your little spies. They've taped over your mouth. Scribbled out the truth with their lies. Your little spies. Crush... Crush.. Crush... Crush! Crush!. 2, 3, 4. Nothing compares to. A quiet evening alone. Just the one, two. Of us, who's counting on?. That never happens. I guess I'm dreaming again. Let's be more than, this now. Rock and roll baby. Don't you know. That we're all alone now. I need something to sing about. Rock and roll (Hey) !. Don't you know baby. We're all alone now. I need something to sing about. Rock and roll (Hey) !. Don't you know baby. We're all alone now. Gimme something to sing about. Nothing compares to. A quiet evening alone. Just the one, two. Of us, who's counting on?. That never happens. I guess I'm dreaming again. Let's be more than. Nothing compares to. A quiet evening alone. Just the one, two. Of us, who's counting on?. That never happens. I guess I'm dreaming again. Let's be more than, more than this"
playing god,"I can't make my own decisions. Or make any with precision. Well, maybe you should tie me up. So I don't go where you don't want me. You say that I've been changing. That I'm not just simply aging. Yeah, how could that be logical?. Just keep on cramming ideas down my throat. You don't have to believe me. But the way I, way I see it. Next time you point a finger. I might have to bend it back. Or break it, break it off. Next time you point a finger. I'll point you to the mirror. If God's the game that you're playing. Well, we must get more acquainted. Because it has to be so lonely. To be the only one who's holy. It's just my humble opinion. But it's one that I believe in. You don't deserve a point of view. If the only thing you see is you. You don't have to believe me. But the way I, way I see it. Next time you point a finger. I might have to bend it back. Or break it, break it off. Next time you point a finger. I'll point you to the mirror. This is the last second chance. (I'll point you to the mirror). I'm half as good as it gets. (I'll point you to the mirror). I'm on both sides of the fence. (I'll point you to the mirror). Without a hint of regret. I'll hold you to it. I know you don't believe me. But the way I, way I see it. Next time you point a finger. I might have to bend it back. Or break it, break it off. Next time you point a finger. I'll point you to the mirror. I know you won't believe me. But the way I, way I see it. Next time you point a finger. I might have to bend it back. Then break it, break it off. Next time you point a finger. I'll point you to the mirror"
told you so,"For all I know. The best is over and the worst is yet to come. Is it enough. To keep on hoping when the rest have given up. And they go. I hate to say I told you so. But they love to say they told me so. I hate to say I told you so. They love to say they told me. Say they say they told me. Say they say they told me. You say, you say you told me. I know you like. When I admit that I was wrong and you were right. At least I try. To keep my cool when I'm thrown into a fire. And they go. I hate to say I told you so. But they love to say they told me so. I hate to say I told you so. They love to say they told me. Say they say they told me. Say they say they told me. You say, you say you told me. Throw me into the fire. Throw me and pull me out again. Throw me into the fire. Throw me and pull me out again. Throw me into the fire. Throw me and pull me out again. Throw me into the fire. Throw me and pull me out again. Throw me into the fire. Throw me and pull me out again. Throw me into the fire. Throw me and pull me out again. I hate to say I told you so. But they love to say they told me so. I hate to say I told you so. They love to say they told me. Say they say they told me. Say they say they told me. You say, you say you told me"
my heart,"I am finding out that maybe I was wrong. That I've fallen down. And I can't do this alone. Stay with me, this is what I need, please?. Sing us a song and we'll sing it back to you. We could sing our own but what would it be without you?. I am nothing now and it's been so long. Since I've heard a sound,. the sound of my only hope.. This time I will be listening.. Sing us a song and we'll sing it back to you. We could sing our own but what would it be without you?. This heart, it beats, beats for only you. This heart, it beats, beats for only you. This heart, it beats, beats for only you. My heart is yours. This heart, it beats, beats for only you. My heart is yours. (My heart it is for you). This heart, it beats, beats for only you. My heart is yours. This heart, it beats, beats for only you (Please don't go now, Please don't fade away). My heart, my heart is yours (Please don't go now, Please don't fade away). (Please don't go now, Please don't fade away). My heart is yours. My heart is yours. My heart is..."
fake happy,"I love making you believe. What you get is what you see. But I'm so fake happy. I feel so fake happy. And I bet everybody here. Is just as insincere. We're all so fake happy. And I know fake happy. I been doing a good job. Of makin' 'em think. I'm quite alright. But I hope I don't blink. You see its easy. When I'm stomping on a beat. But no one sees me. When I crawl back underneath. If I smile with my teeth. Bet you believe me. If I smile with my teeth. I think I believe me. Oh please, don't ask me how I've been. Don't make me play pretend. Oh no, oh what's the use. Oh please, I bet everybody here. Is fake happy too. And if I go out tonight. Dress up my fears. You think I'll look alright. With these mascara tears?. See I'm gonna draw my lipstick. Wider than my mouth. And if the lights are low. They'll never see me frown. If I smile with my teeth. Bet you believe me. If I smile with my teeth. I think I believe me. Oh please, don't ask me how I've been. Don't make me play pretend. Oh no, oh oh what's the use?. Oh please, I bet everybody here. Is fake happy too. I know I said that I was doing good. And that I'm happy now. Ooh ooh. I should've known. That when things are going good. That's when I get knocked down. Oh please, just don't ask me how I've been. Don't make me play pretend. Oh no, oh no. Oh what's the use?. Oh please, I bet everybody here. Is fake happy too. Oh please, I bet everybody here. Is fake happy too"
monster,You were my conscience. So solid now you're like water. And we started drowning. Not like we'd sink any further. But I let my heart go. It's somewhere down at the bottom. But I'll get a new one. And come back from the hope that you've stolen. I'll stop the whole world. I'll stop the whole world from turning into a monster. Eating us alive. Don't you ever wonder how we survive?. Well now that you're gone the world is ours. I'm only human. I've got a skeleton in me. But I'm not the villain. Despite what you're always preaching. Call me a traitor. I'm just collecting your victims. And they're getting stronger. I hear them calling. I'll stop the whole world. I'll stop the whole world from turning into a monster. Eating us alive. Don't you ever wonder how we survive?. Well now that you're gone the world is ours. Well you thought of straight solutions. But I liked the tension. And not always knowing the answers. You're gonna lose it. You're gonna lose it. I'll stop the whole world. I'll stop the whole world from turning into a monster. Eating us alive. Don't you ever wonder how we survive?. Well now that you're gone the world. I'll stop the whole world. I'll stop the whole world from turning into a monster. Eating us alive. Don't you ever wonder how we survive?. Well now that you're gone the world is ours
