we belong,"Many times I've tried to tell you. Many times I've cried alone. Always I'm surprised how well you. Cut my feelings to the bone. Don't want to leave you really. I've invested too much time. To give you up that easy. To the doubts that complicate your mind. Chorus:. We Belong to the light. We Belong to the thunder. We Belong to the sound of the words. We've both fallen under. Whatever we deny or embrace. For worse or for better. We Belong, We Belong. We Belong together. Maybe it's a sign of weakness. When I don't know what to say. Maybe I just wouldn't know. What to do with my strength anyway. Have we become a habit. Do we distort the facts. Now there's no looking forward. Now there's no turning back. When you say. (Chorus). Close your eyes and try to sleep now. Close your eyes and try to dream. Clear your mind and do your best. To try and wash the palette clean. We can't begin to know it. How much we really care. I hear your voice inside me. I see your face everywhere. Still you say. (Chorus). ."
love is a battlefield,"We are young, heartache to heartache we stand. No promises, no demands. Love Is A Battlefield. We are strong, no one can tell us we're wrong. Searchin' our hearts for so long, both of us knowing. Love Is A Battlefield. You're beggin' me to go, you're makin' me stay. Why do you hurt me so bad?. It would help me to know. Do I stand in your way, or am I the best thing you've had?. Believe me, believe me, I can't tell you why. But I'm trapped by your love, and I'm chained to your side. We are young, heartache to heartache we stand. No promises, no demands. Love Is A Battlefield. We are strong, no one can tell us we're wrong. Searchin' our hearts for so long, both of us knowing. Love Is A Battlefield. We're losing control. Will you turn me away or touch me deep inside?. And before this gets old, will it still feel the same?. There's no way this will die. But if we get much closer, I could lose control. And if your heart surrenders, you'll need me to hold. We are young, heartache to heartache we stand. No promises, no demands. Love Is A Battlefield. We are strong, no one can tell us we're wrong. Searchin' our hearts for so long, both of us knowing. Love Is A Battlefield. We are young, heartache to heartache we stand. No promises, no demands. Love Is A Battlefield. We are strong, no one can tell us we're wrong. Searchin' our hearts for so long, both of us knowing. Love Is A Battlefield."
heartbreaker,"Your love is like a tidal wave. Spinning over my head. Drownin' me in your promises. Better left unsaid. You're the right kind of sinner. To release my inner fantasy. The invincible winner. And you know that you were born to be. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around with me!. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around - No No No!. Your love has set my soul on fire. Burnin' out of control. You taught me the ways of desire. Now its takin' its toll. You're the right kind of sinner. To release my inner fantasy. The invincible winner. And you know that you were born to be. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around with me!. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around - No No No!. You're the right kind of sinner. To release my inner fantasy. The invincible winner. And you know that you were born to be. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around with me!. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around with me!. You're a Heartbreaker. Dream Maker, Love Taker. Don't you mess around with me!. You're a Heartbreaker. Dream Maker, Love Taker. Heartbreaker!"
hit me with your best shot,"Well you're the real tough cookie with the long history. Of breaking little hearts, like the one in me. That's O.K., lets see how you do it. Put up your dukes, lets get down to it!. Hit Me With Your Best Shot!. Why Don't You Hit Me With Your Best Shot!. Hit Me With Your Best Shot!. Fire Away!. You come on with a ""come on"", you don't fight fair. But that's O.K, see if I care!. Knock me down, it's all in vain. I'll get right back on my feet again!. Hit Me With Your Best Shot!. Why Don't You Hit Me With Your Best Shot!. Hit Me With Your Best Shot!. Fire Away!. Well you're the real tough cookie with the long history. Of breaking little hearts, like the one in me. Before I put another notch in my lipstick case. You better make sure you put me in my place. Hit Me With Your Best Shot!. Come On, Hit Me With Your Best Shot!. Hit Me With Your Best Shot!. Fire Away!. Hit Me With Your Best Shot!. Why Don't You Hit Me With Your Best Shot!. Hit Me With Your Best Shot!. Fire Away!"
shadows of the night,"We're running with the Shadows Of The Night. So baby take my hand, it'll be all right. Surrender all your dreams to me tonight. They'll come true in the end. You said - oh girl, it's a cold world. When you keep it all to yourself. I said you can't hide on the inside. All the pain you've ever felt. Ransom my heart, but baby don't look back. Cause we got nobody else. Chorus:. We're running with the Shadows of the Night. So baby take my hand, it'll be all right. Surrender all your dreams to me tonight. They'll come true in the end. You know that sometimes, it feels like. It's all moving way too fast. (Repeat Chorus Three Times). Use every alibi and words you deny. That love ain't meant to last. You can cry tough baby, it's all right. You can let me down easy, but not tonight. We're running with the Shadows of the Night. So baby take my hand, you'll be all right. Surrender all your dreams to me tonight. They'll come true in the end. We're running with the Shadows of the Night. So baby take my hand, it'll be all right. Surrender all your dreams to me tonight. They'll come true in the end. And now the hands of time are standin' still."
all fired up,"Livin' with my eyes closed, goin' day to day. I never knew the difference, I never cared either way. Lookin' for a reason, searchin' for a sign. Reachin' out with both hands, I gotta feel the kick inside. All Fired Up. Now I believe there comes a time. All Fired Up. When everything just falls in line. All Fired Up. We live an' learn from our mistakes. All Fired Up, Fired Up, Fired Up - Hey. Ain't nobody livin', in a perfect world. Everybody's out there, cryin' to be heard. Now I got a new fire, burnin' in my eyes. Lightin' up the darkness, movin' like a meteorite. Chorus:. All Fired Up. Now I believe there comes a time. All Fired Up. When everything just falls in line. All Fired Up. We live an' learn from our mistakes. All Fired Up, Fired Up, Fired Up. The deepest cuts are healed by faith. Now I believe there comes a time. When everything just falls in line. We live an' learn from our mistakes. The deepest cuts are healed by faith. Now I believe there comes a time. When everything just falls in line. We live an' learn from our mistakes. The deepest cuts are healed by faith. Now I believe there comes a time. When everything just falls in line. We live an' learn from our mistakes. The deepest cuts are healed by faith. Now I believe there comes a time. When everything just falls in line. We live an' learn from our mistakes. The deepest cuts are healed by faith. Now I believe. (Chorus). From the album ""Wide Awake In Dreamland""."
it's a tuff life,"Isn't It A Tuff Life?. You race your Mercedes through the park after midnight. Hopin' for a few cheap thrills. There's always someone around to lift your spirits up. All along just pumpin' up your attitude. Don't believe a word they say. Cause it's never true. Isn't It A Tuff Life?. You got a Tuff Life. If you can't have it, then you don't want it. You don't need no steady job. Well, Isn't It A Tuff Life?. You got a Tuff Life. You thought you'd move to Jamaica. So you packed up your bags and headed south to get an even tan. But, you didn't count on rain. You were ""perfect"" for the script. So you bought the best selling novel. Knowing that you couldn't miss. But you never got the part. Isn't It A Tuff Life?. You got a Tuff Life. If you can't have it, then you don't want it. You don't need no steady job. Well, Isn't It A Tuff Life?. It don't get any easier. And you know, sometimes it can get pretty ruff. Well, Isn't It A Tuff Life?. You got a Tuff Life. Isn't It A Tuff Life?. You got a Tuff Life. Isn't It A Tuff Life?. You've got such a Tuff Life. Isn't It A Tuff Life?. You got a Tuff Life. Isn't It A Tuff Life?. You got such a Tuff Life)."
hot child in the city,"Danger in the shape of something wild. Stranger dressed in black she’s a hungry child. No one knows who she is or what her name is. I don’t know where she came from or what her game is. . Hot Child In The City. Hot Child In The City. Running wild and looking pretty. Hot Child In The City. . So young to be loose and on her own. Young boys they all want to take her home. When she goes down town the boys all stop and stare. When she goes down town she walks like she just don’t care. . Hot Child In The City. Hot Child In The City. Running wild and looking pretty, yeah. Hot Child In The City. . Come on down to my place baby. We’ll talk about love. Come on down to my place woman. And we’ll make love. . Hot Child In The City. Hot Child In The City. Running wild and looking pretty. Hot Child In The City…. HOT CHILD IN THE CITY. ."
invincible,"This bloody road remains a mystery. This sudden darkness fills the air. What are we waiting for?. Won't anybody help us?. What are we waiting for?. We can't afford to be innocent. Stand up and face the enemy. It's a do or die situation. We will be Invincible. This shattered dream you cannot justify. We're gonna scream until we're satisified. What are we running for?. We've got the right to be angry. What are we running for?. When there's no where we can run to anymore. We can't afford to be innocent. Stand up and face the enemy. It's a do or die situation. We will be Invincible. And with the power of conviction. There is no sacrifice. It's a do or die situation. We will be Invincible. Won't anybody help us?. What are we running for?. When there's no where, no where we can run to anymore. We can't afford to be innocent. Stand up and face the enemy. It's a do or die situation. We will be Invincible. And with the power of conviction. There is no sacrifice. It's a do or die situation."
ooh ooh song,"Just when we think we conquered it. It seems we lose the fight again. But there's just no stoppin' it. It's like a bad dream that never ends. It puts up walls between us. That get harder, and harder, and harder, and harder, and harder. To remove. But we let it continue, like people in love always do. Ooh - Ooh. Ooh - Ooh. Ooh - Ooh. Lets not pretend that we're unique. Coz everybody's tasted loves illusion. We try to hide the fact that we. Got lost between the choas and confusion. And the love we feel. Is gettin' deeper, and deeper, and deeper, and deeper, and deeper. By the minute. But we let it slip away. Coz we don't know a good thing while we're in it. Ooh - Ooh. Ooh - Ooh. Ooh - Ooh. (Ending Background vocal:. ""Y el amor que sentimos es mas profundo"". ""The love that we feel is deeper""). From the album ""Tropico""."
dirty little secrets,"It seems I loved you for so long. It seems like all of my life. Just like a child who doesn't belong. You'd turn, 'til even the sun became your shadow. And I hate you in your innocence, you know. But I hate myself even more for lovin' you so. Sometimes I believed, what you had to say. Then I watched you bleed, all the truth away. Somewhere in my heart, there's a place I know. Where all our Dirty Little Secrets go. Nobody's perfect, certainly not us. We've all got secrets to keep. I would have kept yours safe in my heart. You would have always known where to find me. And I know you better that I know myself, you know. So why pretend you've got somewhere else to go. Sometimes I believed, what you had to say. Then I watched you bleed, all the truth away. Somewhere in my heart, there's a place I know. Where all our Dirty Little Secrets go. Sometimes it hurt so bad that you cry. Then there's the times you wish you had died. Sometimes the truth is worse than the lie, sometimes. Sometimes it's best to lock it away. In a place that's secret and safe. Sometimes you just pretend you don't know. Sometimes it's best to let go. Sometimes I believed, what you had to say. Then I watched you bleed, all the truth away. Somewhere in my heart, there's a place I know. Where all our Dirty Little Secrets go."
shooting star,"Description: Man loves woman. Man marries woman. Man and woman have children. Man leaves woman in search of self. Man realizes how important woman is and returns.. He was crazy of course. From the first she must have known it. But still she went on with him. And she never once had shown it. And she took him off the streets. And she dried his tears of grievin'g. She listened to his visions. She believed in his believin'. Ah, he was the sun burning bright and brittle. And she was the moon shining back his light a little. He was a shooting star. She was softer and more slowly. He could not make things possible. But, she could make them holy, holy.... He was dancin' to some music. No one else had ever heard. He'd speak in unknown languages. She'd translate every word. And when the world was laughing. At his castles in the sky. She'd hold him in her body. And he once again would fly. Ah, he was the sun burning bright and brittle. And she was the moon shining back his light a little. He was a shooting star. She was softer and more slowly. He could not make things possible. But, she could make them holy, holy.... But she gave him a daughter. And she gave him a son. She was a mother, and a wife,. And a lover when the day was done. Well, he was too far gone for giving love. What he'd offer in its stead. Was the knowledge she was the only thing. That was not in his head. He took off East one morning. In the rising sun's red glow. She knew he was going nowhere. But of course she let him go. As she stood and watched him dwindle. Much too empty to be sad. He reappeared beside her and said,. ""You're all I've ever had"". Ah, he was the sun burning bright and brittle. And she was the moon shining back his light a little. He was a shooting star. She was softer and more slowly. He could not make things possible. But, she could make them holy. Ah, he was the sun burning bright and brittle. And she was the moon shining back his light a little. He was a shooting star. She was softer and more slowly. He could not make things possible. But, she could make them holy. Holy.... From the album ""Harry Chapin Tribute"" (1990). Written by: Harry Chapin."
le bel age,"There comes a time, when you should see things clear. Free from my innocence, there is no circumstance too severe. Only the need for us, for us to believe again. There is a time, temptation's on the run. Dreamer you've had your way. Soldier you've had your day, in the sun. Now it's time, for us to begin again. Chorus:. Le Bel Age. Only our love will remain. Le Bel Age. Close to the truth once again. There comes a time (there comes a time). When you must find your way. Begger has made his bed. Wrapped in a silhoutte, of gold and gray. Now it's time, yes it's time, for us to begin again. (Repeat Chorus Twice). Standing so close to me, the possibility. To change our destiny, I see it perfectly, moving so naturally. Nothing can stand in our way. (Repeat Chorus Three Times). Le Bel Age. Only our love will remain (only). Le Bel Age (only our love, only our love). Close to the truth once again. (Repeat Chorus). Le Bel Age (Le Bel Age). Le Bel Age. Written by: Robert Tepper & Guy Marshall."
strawberry wine (life is sweet),"How am I supposed to make it through another day. What am I supposed to do now that you've gone away. Is there anything encouraging you can say to me. Did you really think my heart was made of stone. Maybe you never gave it any thought at all. How nice to go through live oblivious and free. Life is sweet, sweet as Strawberry Wine. And bitter too, like the seeds on the vine. And you are that, you are more than sublime. And bitter too, lovin' you, has been an experience. How am I supposed to ever feel the same. These kind of situations always have a way. Of screwing up your mind and messing with your sanity. How many days and nights will have to come and go. Before I realize what I already know. I'm better off without you like I thought I'd be. Life is sweet, sweet as Strawberry Wine. And bitter too, like the seeds on the vine. And you are that, you are more than sublime. And bitter too, lovin' you, has been an experience. (Spoken) Life is sweet. Life is sweet, sweet as Strawberry Wine. And bitter too, like the seeds on the vine. And you are that, you are more than sublime. And bitter too, lovin' you, has been an experience. Life is sweet, sweet as Strawberry Wine. And bitter too, like the seeds on the vine. And you are that, you are more than sublime. And bitter too, lovin' you, has been an experience."
a crazy world like this,"Baby I forgot somethin', that's why I came home. It's somethin' I really need, I know you thought I was gone. No, it's not my gloves honey, it's not that cold today. It's nothin' I left behind, it's somethin' I got to say. I forgot to say I love you. And something else that I missed, to say how much I need you. Chorus:. In a Crazy, Crazy World Like This. It's easy to feel all alone. You give me the strength I need to exist. Just hold me and don't let me go. In a Crazy, Crazy World Like This. Sometimes I don't know lately, what will ease the pain?. On every corner of the street, sometimes it's all too insane. Baby you just got somethin', that's why I came home. It's somethin' I really need, an' now we can be alone. I just had to say I love you, and something else that I missed. To say how much I need you. (Chorus). It's easy to fear the unknown. I always know when fate gives a twist. You'll be there to soften the blow. In a Crazy, Crazy World Like This - Ooh, Ooh. You give me the strength I need to exist. Just hold me and don't let me go. In a Crazy, Crazy World Like This. It's easy to feel all alone. I always know when fate gives a twist. You'll be there to soften the blow. In a Crazy, Crazy World Like This - Ooh, Ooh. You give me the strength I need to exist. Just hold me and don't let me go. In a Crazy, Crazy World Like This. When all my defences are low. I always know when fate gives a twist. You'll be there to soften the blow. In a Crazy, Crazy World Like This...... From the album ""Tropico""."
brave,"I remember the night. When destiny finally found us. I remember holding on. When the stars were crashin' all around us. We thought that the world was ending. But you know it wasn't true. â€˜Cause I still love you. I still love you. [Chorus]. I'll be brave for you. And every day I pray for you. We can be strong in each other's arms. And I'll be brave, I'll be brave for you. I know that you're afraid. You know that I'm afraid, too. But you gotta have faith; you gotta listen. To what your heart is telling you. You know love's a funny thing. You just gotta let it be. Like you and me; you and me. [Chorus]. Just look at the sky above us. Let the sun shine down on us. Stand with me here together. In the light of love now."
7 rooms of gloom,"I see a house, a house of stone. A lonely house, `cause now you're gone. 7 rooms, that's all it is. 7 Rooms Of Gloom. I live with emptiness, without your tenderness. You can take the dream I had for us, and turn that dream into dust. I watch a phone that never rings. I watch your door that never brings. Brings you back into my life, and turn this darkness into light. I'm all alone in this house, turn this house into a home. I need your touch to comfort me. Your tender, tender arms that once held me. Without your love, your love inside. This house is just a place to run and hide. 7 rooms, that's all it is. 7 Rooms Of Gloom. I live with emptiness, without your tenderness. Don't make me live from day to day. Watching a clock that ticks away. Another day, another way, another reason for me to say. I need you here, here with me. I need you darling, desperately. I'm all alone, all alone in this house that's not a home. I miss your love, I once had known. I miss your kiss that was my very, very own. In the silence that surrounds me, lonely walls - they stand. 7 rooms, that's all it is. 7 Rooms Of Gloom. I live with emptiness, without your tenderness. And all the windows are painted black. I'll wait right here until you get back. I'll keep waiting, and waiting, until your face again I see. Darling, Yeah Hea, Huh. I want you back now. I keep waiting, and waiting. I want you back now. I keep waiting, and waiting, come on back now..... I keep waiting, and waiting, and waiting, waiting, waiting, waiting. I want you back now, Whoa - now. Come on back now.... Written by: Holland, Dozier & Holland."
a crazy world like this,"Baby I forgot somethin', that's why I came home. It's somethin' I really need, I know you thought I was gone. No, it's not my gloves honey, it's not that cold today. It's nothin' I left behind, it's somethin' I got to say. I forgot to say I love you. And something else that I missed, to say how much I need you. Chorus:. In a Crazy, Crazy World Like This. It's easy to feel all alone. You give me the strength I need to exist. Just hold me and don't let me go. In a Crazy, Crazy World Like This. Sometimes I don't know lately, what will ease the pain?. On every corner of the street, sometimes it's all too insane. Baby you just got somethin', that's why I came home. It's somethin' I really need, an' now we can be alone. I just had to say I love you, and something else that I missed. To say how much I need you. (Chorus). It's easy to fear the unknown. I always know when fate gives a twist. You'll be there to soften the blow. In a Crazy, Crazy World Like This - Ooh, Ooh. You give me the strength I need to exist. Just hold me and don't let me go. In a Crazy, Crazy World Like This. It's easy to feel all alone. I always know when fate gives a twist. You'll be there to soften the blow. In a Crazy, Crazy World Like This - Ooh, Ooh. You give me the strength I need to exist. Just hold me and don't let me go. In a Crazy, Crazy World Like This. When all my defences are low. I always know when fate gives a twist. You'll be there to soften the blow. In a Crazy, Crazy World Like This...... From the album ""Tropico""."
