because the night,"Take me now baby here as I am. pull me close try and understand. desire is hunger is the fire I breathe. love is a banquet on which we feed. come on now try and understand. the way I feel when I'm in your hand. take my hand come undercover. they can't hurt you now, can't hurt you now can't hurt you now. Because the night belongs to lovers. because the night belongs to lust. because the night belongs to lovers. because the night belongs to us. have I doubt when I am alone. love is a ring on the telephone. love is an angel disguised as lust. here in our bed until the morning comes. come on now try and understand. the way I feel under your command. take my hands and the sun descends. they can't touch you now, can't touch you now. Because the night...etc. with love we sleep with doubt the vicious circle turn and turns. without you I cannot live, forgive the yearning burning. I believe in time too real to feel. so touch me now touch me now."
gloria,"Jesus died for somebody's sins but not mine. Meltin' in a pot of thieves. Wild card up my sleeve. Thick heart of stone. My sins my own. They belong to me, me. People say ""beware!"". But I don't care. The words are just. Rules and regulations to me, me. I-I walk in a room, you know I look so proud. I'm movin' in this here atmosphere, well, anything's. Allowed. And I go to this here party and I just get bored. Until I look out the window, see a sweet young thing. Humpin' on the parking meter, leanin' on the parking. Meter. Oh, she looks so good, oh, she looks so fine. And I got this crazy feeling and then I'm gonna ah-ah. Make her mine. Ooh I'll put my spell on her. Here she comes. Walkin' down the street. Here she comes. Comin' through my door. Here she comes. Crawlin' up my stair. Here she comes. Waltzin' through the hall. In a pretty red dress. And oh, she looks so good, oh, she looks so fine. And I got this crazy feeling that I'm gonna ah-ah make. Her mine. And then I hear this knockin' on my door. Hear this knockin' on my door. And I look up into the big tower clock. And say, ""oh my god here's midnight!"". And my baby is walkin' through the door. Leanin' on my couch she whispers to me and I take the. Big plunge. And oh, she was so good and oh, she was so fine. And I'm gonna tell the world that I just ah-ah made. Her mine. And I said darling, tell me your name, she told me her. Name. She whispered to me, she told me her name. And her name is, and her name is, and her name is, and. Her name is g-l-o-r-I-a. G-l-o-r-I-a gloria g-l-o-r-I-a gloria. G-l-o-r-I-a gloria g-l-o-r-I-a gloria. I was at the stadium. There were twenty thousand girls called their names. Out to me. Marie and ruth but to tell you the truth. I didn't hear them I didn't see. I let my eyes rise to the big tower clock. And I heard those bells chimin' in my heart. Going ding dong ding dong ding dong ding dong.. Ding dong ding dong ding dong ding dong. Counting the time, then you came to my room. And you whispered to me and we took the big plunge. And oh. you were so good, oh, you were so fine. And I gotta tell the world that I make her mine make. Her mine. Make her mine make her mine make her mine make her. Mine. G-l-o-r-I-a gloria g-l-o-r-I-a gloria g-l-o-r-I-a. Gloria,. G-l-o-r-I-a gloria. And the tower bells chime, ""ding dong"" they. Chime. They're singing, ""jesus died for somebody's sins. But not mine."". Gloria g-l-o-r-I-a gloria g-l-o-r-I-a gloria. G-l-o-r-I-a,. Gloria g-l-o-r-I-a, g-l-o-r-I-a gloria g-l-o-r-I-a. Gloria. G-l-o-r-I-a gloria g-l-o-r-I-a gloria g-l-o-r-I-a. Gloria,. G-l-o-r-I-a gloria g-l-o-r-I-a gloria g-l-o-r-I-a. Gloria,"
birdland,"[lyrics by patti smith; music by patti smith, richard sohl, lenny kaye, ivan kral]. His father died and left him a little farm in New England.. All the long black funeral cars left the scene. And the boy was just standing there alone. Looking at the shiny red tractor. Him and his daddy used to sit inside. And circle the blue fields and grease the night.. It was if someone had spread butter on all the fine points of the stars. 'Cause when he looked up they started to slip.. Then he put his head in the crux of his arm. And he started to drift, drift to the belly of a ship,. Let the ship slide open, and he went inside of it. And saw his daddy 'hind the control board streamin' beads of light,. He saw his daddy 'hind the control board,. And he was very different tonight. 'Cause he was not human, he was not human.. And then the little boy's face lit up with such naked joy. That the sun burned around his lids and his eyes were like two suns,. White lids, white opals, seeing everything just a little bit too clearly. And he looked around and there was no black ship in sight,. No black funeral cars, nothing except for him the raven. And fell on his knees and looked up and cried out,. â€œNo, daddy, don't leave me here alone,. Take me up, daddy, to the belly of your ship,. Let the ship slide open and I'll go inside of it. Where you're not human, you are not human.â€. But nobody heard the boy's cry of alarm.. Nobody there 'cept for the birds around the New England farm. And they gathered in all directions, like roses they scattered. And they were like compass grass coming together into the head of a shaman bouquet. Slit in his nose and all the others went shooting. And he saw the lights of traffic beckoning like the hands of Blake. Grabbing at his cheeks, taking out his neck,. All his limbs, everything was twisted and he said,. â€œI won't give up, won't give up, don't let me give up,. I won't give up, come here, let me go up fast,. Take me up quick, take me up, up to the belly of a ship. And the ship slides open and I go inside of it where I am not human.â€. I am helium raven and this movie is mine,. So he cried out as he stretched the sky,. Pushing it all out like latex cartoon, am I all alone in this generation?. We'll just be dreaming of animation night and day. And won't let up, won't let up and I see them coming in,. Oh, I couldn't hear them before, but I hear 'em now,. It's a radar scope in all silver and all platinum lights. Moving in like black ships, they were moving in, streams of them,. And he put up his hands and he said, â€œIt's me, it's me,. I'll give you my eyes, take me up, oh now please take me up,. I'm helium raven waitin' for you, please take me up,. Don't leave me here!â€. The son, the sign, the cross,. Like the shape of a tortured woman, the true shape of a tortured woman,. The mother standing in the doorway letting her sons. No longer presidents but prophets. They're all dreaming they're gonna bear the prophet,. He's gonna run through the fields dreaming in animation. It's all gonna split his skull. It's gonna come out like a black bouquet shining. Like a fist that's gonna shoot them up. Like light, like Mohammed Boxer. Take them up up up up up up. Oh, let's go up, up, take me up, I'll go up,. I'm going up, I'm going up. Take me up, I'm going up, I'll go up there. Go up go up go up go up up up up up up up. Up, up to the belly of a ship.. Let the ship slide open and we'll go inside of it. Where we are not human, we're not human.. Well, there was sand, there were tiles,. The sun had melted the sand and it coagulated. Like a river of glass. When it hardened he looked at the surface. He saw his face. And where there were eyes were just two white opals, two white opals,. Where there were eyes there were just two white opals. And he looked up and the rays shot. And he saw raven comin' in. And he crawled on his back and he went up. Up up up up up up. Sha da do wop, da shaman do way, sha da do wop, da shaman do way,. Sha da do wop, da shaman do way, sha da do wop, da shaman do way,. Sha da do wop, da shaman do way,. We like birdland.. [Copyright &copy; 1975 Linda Music Corp.]."
25th floor (& high on rebellion),"We explore the men's room.. We don't give a shit.. Ladies' lost electricity;. take vows inside of it.. Desire to dance;. Too startled to try.. Wrap my legs 'round you,. starting to fly.. Let's explore. up there, up there, up there,. on the twenty-fifth floor.. Circle all around me,. coming for the kill, kill, kill. oh kill me baby. like a kamikaze. heading for a spill.. oh but it's all spilt milk to me.. Desire to dance;. Too startled to try.. Wrap my legs 'round you,. starting to fly.. Let's soar. up there, up there, up there,. on the twenty-fifth floor.. We do not eat. flower of creation.. We do not eat,. eat anything at all.. Love is, love was, love is a manifestation.. I'm waiting for a contact to call.. Love's war. Love's cruel.. Love's pretty, love's pretty cruel tonight.. I'm waiting here to refuel.. I'm gonna make contact tonight.. Love in my heart.. The night to exploit.. Twenty-five stories over Detroit,. and there's more. up there, up there, up there.. stoned in space. zeus. christ. it has always been rock and so it is and so it shall be. within the context of neo rock we must open up our eyes and seize and rend the veil of smoke which man calls order. pollution is a necessary result of the inability of man to reform and transform waste.. the transformation of waste. the transformation of waste. the transformation of waste. the transformation of waste is perhaps the oldest pre-occupation of man. man being the chosen alloy, he must be reconnected—via shit, at all cost. inherent with(in) us is the dream of the task of the alchemist to create from the clay of man. and to re-create from excretion of man pure and then soft and then solid gold.. all must not be art. some art we must disintegrate.. positive (anarchy must exist.). in background:. (i feel it swirling around me. i feel it feeling no pain. i'm waiting above for you baby. i know that I'll see you up there. i'm floating in a door backward. on boundaries over this world. i'm waiting above in the sky, dear. upon a [ ] ...)"
hey joe,"Honey, the way you play guitar makes me feel so, makes me feel so masochistic. The way you go down low deep into the neck and I would do anything, and I would do anything and Patty Hearst, you're standing there in front of the Symbionese Liberation Army flag with your legs spread, I was wondering will you get it every night from a black revolutionary man and his women or whether you really did and now that you're on the run what goes on in your mind, your sisters they sit by the window, you know your mama doesn't sit and cry and your daddy, well you know what your daddy said, Patty, you know what your daddy said, Patty, he said, he said, he said, ""Well, sixty days ago she was such a lovely child, now here she is with a gun in her hand."". Hey Joe. Hey Joe, where're you going with that gun in your hand ?. Hey Joe, I said where're you goin' with that gun in your hand. I'm gonna go shoot my ol' lady,. You know I found her messing around town with another man. And you know that ain't cool, watch me.. Hey Joe, I heard you shot your woman down,. You shot her down to the ground, you shot her.. Yes I did, yes I did, yes I did I shot her, I shot her,. I caught her messin' round with some other man,. So I got on my truck, I gave her the gun and I shot her,. I shot her, shoot her one more time for me.. Hey Joe, where you gonna, where you gonna run to,. Where you gonna run to, Joe, where you gonna run to ?. Go get a cover.. I'm gonna go down South, I'm gonna go down South to Mexico,. I'm going down, down, down to Mexico where a man can be free. No one's gonna put a noose around my neck,. No one is gonna give me life, no.. I'm goin' down to Mexico, I'm going down.. You're not going to hear 'em stand there. And look at the stars as big as holes in the arms. And the stars like a back truck electric flag. And I'm standing there under that flag with your carbine. Between my legs, you know I felt so free of death beyond me. I felt so free, the F.B.I. is looking for me baby,. But they'll never find me, no, they can hold me down like a. And I'm still on the run and they can speculate what I'm fee. But daddy, daddy, you'll never know just what I was feelin',. But I'm sorry I am no little pretty little rich girl,. I am nobody's million dollar baby, I am nobody's Patsy anymore. I'm nobody's million dollar baby, I'm nobody's Patsy anymore. And I feel so free."
frederick,hi hello wake from thy sleep. God has given your soul to keep. all of the power that burns in the flame. ignites the light in a single name. Frederick name of care. fast asleep in a room somewhere. guardian angels [line a bed]. shed their light on my sleepy head. I am a threshold yearning to sing. down with the the dancers having one last fling. here's to the moment when you said hello. come on my spirit are you ready let's go. hi hi hey hey. maybe I will come back some day now. but tonight on the wings of a dove. up above to the land of love. ........... now I lay me down to sleep. pray the Lord my soul to keep. kiss to kiss breath to breath. my soul surrenders astonished to death. night of wonder for us to keep. set our sails channel [out] deep. after the rapture two hearts meet. mine entwined in a single beat. Frederick you're the one. as we journey from sun to sun. all the dreams I waited so long for. fly tonight so long so long. bye bye hey hey. maybe we will come back some day now. but tonight on the wings of a dove. up above to the land of love. Frederick name of care. high above in sky that's clear. all the things I've been dreamin' of. are expressed in this name of love. bye bye hey hey. maybe we will come back some day now. but tonight on the wings of a dove. up above . .. This is dedicated to my clarinet teacher.
1959,"(Smith/Shanahan). (C)1997 druse music, inc./slea head music. (ascap). Listen to my story. Got two tales to tell.. One of fallen glory. One of vanity.. The world's roof was raging, but we were looking fine;. 'Cause we built that thing and it grew wings,. in Nineteen-Fifty-Nine.. Wisdom was a teapot; Pouring from above.. Desolation angels. Served it up with Love.. Ignitin'[g strife] like every form of light,. then moved by bold design,. slid in that thing and it grew wings,. in Nineteen-Fifty-Nine.. ****************. It was Blood, shining in the Sun;. First: Freedom!. Speeding the american claim:. Freedom; Freedom; Freedom; Freedom!. ******************. China was the tempest; [And] Madness overflowed.. [The] Lama was a young man,. and [he] watched his world in flames.. Taking Glory down by the edge of clouds;. It was a cryin'[g] shame.. Another lost horizon. Tibet the fallen star.. Wisdom and compassion Crushed, in the land of Shangri-La.. But in the land of the Impala, honey, well,. we were lookin' Fine,. 'cause we built that thing and it grew wings;. In Nineteen-Fifty-Nine.. 'Cause we built that thing and it grew wings;. In Nineteen-Fifty-Nine.. It was the best of times, it's [was] the worst of times;. In 1959; 1959; 1959; 1959; 1959; 1959; 1959.. It was the best of times; It was the worst of times.."
ain't it strange,"Down in Vineland there's a clubhouse,. Girl in white dress, boy shoot white stuff. Oh, don't you know that anyone can join. And they come and they call and they fall on the floor. Don't you see when you're looking at me. That I'll never end transcend transcend. Ain't it strange oh oh oh. Ain't it strange oh oh oh. Come and join me, I implore thee,. I impure thee, come explore me.. Oh, don't you know that anyone can come. And they come and they call and they crawl on the floor.. Don't you see when you're looking at me. That I'll never end transcend transcend. Ain't it strange oh oh oh. Ain't it strange oh oh oh. True, true, who are you ?. Who, who am I ?. Oh da oh da oh da oh da oh da oh da. Down in Vineland there's a clubhouse,. Girl in white dress, boy shoot white stuff.. Oh, don't you know that anyone can come. And they come and they call and they fall on the floor. Don't you see when you're looking at me. That I'll never end transcend transcend.. Ain't it strange oh oh oh. Ain't it strange oh oh oh. Do you go to the temple tonight ?. Oh no, I don't think so. Do you not go to the palace of answers with me Marie?. Oh no, I don't think so, no. See when they offer me book of gold,. I know soon still that platinum is coming. And when I look inside of your temple. It looks just like the inside of anyone one man,. And when he beckons his finger to me,. Well, I move in another direction,. I move in another dimension. I move in another dimension oh oh oh. I spin, I spiral, and I splatter. Hand of God, I feel the finger,. Hand of God, and I start to whirl. And I whirl, and I whirl,. Don't get dizzy, do not fall now,. Turn, God, God (strange). Go, go on, go like a dervish,. Turn, God, (strange) make a move. Turn, Lord, (strange). I don't get nervous. Oh I just move in another dimension. Come move in another dimension. Come move in another dimension. Come move in another dimension oh oh oh. Strange strange. Do you go to the temple tonight ?. Oh no, I don't think so, no. We'll go to the pagoda. The palace of answers with me, Marie. Oh no, I don't believe so, no. See when they offer me book of gold,. I know soon still that platinum is coming. And when I look inside of your temple. It looks just like the inside of anyone one man. And when he beckons his finger to me,. Well, I move in another dimension. I move in another dimension. I move in another dimension oh oh oh"
this is the girl,This is the Girl. for whom all tears fall. This is the Girl. who was having a ball. just a dark smear masking the eyes. spirited away hurrying inside. This is the Girl. that crossed the bind. This is the song about smouthering vine. Twisted as laurels to crown her head. raised as a reef upon her bed. This is the Girl. This the blind that turned in wine. This is the wine of the house it is said. This is the Girl who Yearned to be heard. So Much for cradling a smouldering bird. This is the Girl x2. This is the Girl. for whom all tears fall. This is the Girl. who was having a ball. This is the Girl. for whom all tears have shead. This is the Wine of the House it is said. This the blind that turned in wine. This is the wine of the house it is said. This is the Girl who Yearned to be heard. So Much for cradling a smouldering bird. This is the Girlx x3
paths that cross,Speak to me. Speak to me heart. I feel a needing. to bridge the clouds. Softly go. A way I wish to know. A way I wish to know. Oh you'll ride. Surely dance. In a ring. Backwards and forwards. Those who seek. feel the glow. A glow we will all know. A glow we will all know. On that day. Filled with grace. And the heart's communion. Steps we take. Steps we trace. Into the light of reunion. Paths that cross. will cross again. Paths that cross. will cross again. Speak to me. Speak to me shadow. I spin from the wheel. nothing at all. Save the need. the need to weave. A silk of souls. that whisper whisper. A silk of souls. that whispers to me. Speak to me heart. all things renew. hearts will mend. round the bend. Paths that cross. cross again. Paths that cross. will cross again. Rise up hold the reins. We'll meet again I don't know when. Hold tight bye bye. Paths that cross. will cross again. Paths that cross.
