bohemian rhapsody,"Is this the real life?. Is this just fantasy?. Caught in a landslide. No escape from reality. Open your eyes. Look up to the skies and see. I'm just a poor boy. I need no sympathy. Because I'm easy come, easy go. A little high, little low. Anyway the wind blows. Doesn't really matter to me. To me. Mama, just killed a man. Put a gun against his head. Pulled my trigger, now he's dead. Mama, life had just begun. But now I've gone and thrown it all away. Mama, oh!. Didn't mean to make you cry. If I'm not back again this time tomorrow. Carry on, carry on. As if nothing really matters. Too late, my time has come. Sends shivers down my spine. Body's aching all the time. Goodbye everybody, I've got to go. Gotta leave you all behind. And face the truth. Mama, oh!. (Anyway the wind blows). I don't want to die. But sometimes wish. I'd never been born at all. I see a little silhouette of a man. Scaramouche, Scaramouche. Will you do the Fandango?. Thunderbolt and lightning. Very, very frightening me. Galileo. Galileo. Galileo. Galileo. Galileo, Figaro. Magnifico!. I'm just a poor boy. And nobody loves me. He's just a poor boy. From a poor family. Spare him his life from this monstruosity. Easy come, easy go. Will you let me go?. Bismillah!. No, we will not let you go. (Let him go!). Bismillah! We will not let you go. (Let him go!). Bismillah! We will not let you go. (Let me go!). Will not let you go. (Let me go!). Never, never let you go. (Let me go!). Never let me go, oh!. No, no, no, no, no, no, no. Oh mama mia, mama mia. Mama mia let me go. Beelzebub has a devil put aside for me. For me, for me. So you think you can stone me. And spit in my eye. So you think you can love me. And leave me to die. Oh baby, can't do this to me baby. Just gotta get out. Just gotta get right outta here. Oh, oh yeah, oh yeah!. Nothing really matters. Anyone can see. Nothing really matters. Nothing really matters to me. (Anyway the wind blows)"
love of my life,"Love of my life, you've hurt me.. You've broken my heart,. and now you leave me.. Love of my life, can't you see?. Bring it back, bring it back.. Don't take it away from me.. Because you don't know. What it means to me.. Love of my life, don't leave me.. You've stolen my love,. And now desert me.. Love of my life, can't you see?. Bring it back, bring it back.. Don't take it away from me.. Because you don't know. What it means to me.. You will remember. When this is blown over.. And everything's all by the way.. When I grow older,. I will be there at your side.. To remind you how, I still love you.. I still love you.. Back, hurry back.. Please, bring it back home to me.. Because you don't know. What it means to me.. Love of my life.. Love of my life.. Oh, yeah."
we are the champions,"I've paid my dues. Time after time. I've done my sentence. But committed no crime. And bad mistakes. I've made a few. I've had my share of sand. Kicked in my face. But I've come through. We are the champions, my friends. And we'll keep on fighting. 'Til the end. We are the champions. We are the champions. No time for losers. Cause we are the champions of the world. I've taken my bows. And my curtain calls. You brought me fame and fortune. And everything that goes with it. I thank you all. But it's been no bed of roses. No pleasure cruise. I consider it a challenge before. The whole human race. And I ain't gonna lose. We are the champions, my friends. And we'll keep on fighting. 'Til the end. We are the champions. We are the champions. No time for losers. Cause we are the champions of the world. We are the champions, my friends. And we'll keep on fighting. 'Til the end. We are the champions. We are the champions. No time for losers. Cause we are the champions"
i want to break free,"I want to break free. I want to break free. I want to break free from your lies. You're so self satisfied I don't need you. I've got to break free. God knows, God knows I want to break free.. I've fallen in love. I've fallen in love for the first time. And this time I know it's for real. I've fallen in love,. God knows, God knows I've fallen in love.. It's strange but it's true, yeah. I can't get over the way you love me like you do. But I have to be sure. When I walk out that door. Oh how I want to be free, baby. Oh how I want to be free,. Oh how I want to break free.. But life still goes on. I can't get used to, living without, living without,. Living without you by my side. I don't want to live alone, hey. God knows, got to make it on my own. So baby can't you see. I've got to break free.. I've got to break free. I want to break free, yeah. I want, I want, I want, I want to break free."
don't stop me now,"Tonight I'm gonna have myself a real good time. I feel alive and the world I'll turn it inside out - yeah!. I'm floating around in ecstasy. So don't stop me now don't stop me. 'Cause I'm having a good time having a good time. I'm a shooting star leaping through the sky. Like a tiger defying the laws of gravity. I'm a racing car passing by like Lady Godiva. I'm gonna go go go. There's no stopping me. I'm burning through the sky Yeah!. Two hundred degrees. That's why they call me Mister Fahrenheit. I'm traveling at the speed of light. I wanna make a supersonic man out of you. Don't stop me now I'm having such a good time. I'm having a ball don't stop me now. If you wanna have a good time just give me a call. Don't stop me now ('cause I'm havin' a good time). Don't stop me now (yes I'm havin' a good time). I don't want to stop at all. I'm a rocket ship on my way to Mars. On a collision course. I am a satellite I'm out of control. I am a sex machine ready to reload. Like an atom bomb about to. Oh oh oh oh oh explode. I'm burning through the sky Yeah!. Two hundred degrees. That's why they call me Mister Fahrenheit. I'm traveling at the speed of light. I wanna make a supersonic woman of you. Don't stop me, don't stop me. Don't stop me, (hey hey hey!). Don't stop me, don't stop me ooh ooh ooh (I like it). Don't stop me, don't stop me. Have a good time good time. Don't stop me, don't stop me (Ah!). I'm burning through the sky Yeah!. Two hundred degrees. That's why they call me Mister Fahrenheit. I'm traveling at the speed of light. I wanna make a supersonic man out of you. Don't stop me now I'm having such a good time. I'm having a ball don't stop me now. If you wanna have a good time just give me a call. Don't stop me now ('cause I'm havin' a good time). Don't stop me now (yes I'm havin' a good time). I don't want to stop at all"
somebody to love,"Can anybody find me somebody to love?. Each morning I get up I die a little.. Can barely stand on my feet.. (Take a look at yourself). Take a look into the mirror and cry (and cry).. Lord, what you're doing to me?. I've spent all my years. in believing you,. But I just can't get. no relief Lord.. Somebody (somebody).. Oh, somebody (somebody).. Can anybody find me somebody to love?. I work hard (he works hard).. Everyday of my life.. I work till I ache my bones.. At the end (at the end of the day).. I take home my hard earned pay all on my own.. I get down (down).. On my knees (knees).. And I start to pray (praise the Lord).. 'Til the tears run down from my eyes.. Lord, somebody (somebody).. Oh, somebody (please).. Can anybody find me somebody to love?. (He wants help). Every day (Every day).. I try and I try and I try.. But everybody wants to put me down.. They say I'm goin' crazy.. They say I got a lot of water in my brain.. Got no common sense.. I got nobody left to believe.. Yeah, yeah, yeah, yeah!. Oh!. Somebody (somebody).. Can anybody find me somebody to love?. (Anybody find me someone to love). Got no feel, I got no rhythm.. I just keep losing my beat.. (You just keep losing and losing). I'm Ok, I'm alright.. (He's alright, he's alright. Yeah, yeah!). I ain't gonna face no defeat.. I just gotta get out of this prison cell.. Some day I'm gonna be free, Lord.. Find me somebody to love,. find me somebody to love.. Find me somebody to love,. find me somebody to love.. Find me somebody to love,. find me somebody to love.. Find me somebody to love,. find me somebody to love.. Find me somebody to love,. find me somebody to love.. Somebody, somebody, somebody, somebody, somebody.. Find me somebody,. find me somebody to love.. Can anybody find me somebody to love?. Find me somebody to love.. Find me somebody to love.. Find me somebody to love.. Find me, find me, find me,. Find me somebody to love.. Somebody to love.. Find me somebody to love."
radio ga ga,(radio). I'd sit alone. And watch your light. My only friend. Through teenage nights. And everything. I had to know. I heard it on my radio. You gave them all. Those old time stars. Through wars of worlds. Invaded by Mars. You made em laugh. You made 'em cry. You made us feel. Like we could fly. Radio. So don't become. some background noise. A backdrop for. the girls and boys. Who just don't know. or just don't care. And just complain. when you're not there. You had your time. you had the power. You've yet to have. your finest hour. Radio. All we hear is Radio ga ga. Radio goo goo. Radio ga ga. All we hear is Radio ga ga. Radio blah blah. Radio what's new?. Radio someone still loves you. We watch the shows. we watch the stars. On videos. for hours and hours. We hardly need. to use our ears. How music. changes through the years. Let's hope you never. leave old friend. Like all good things. on you we depend. So stick around. cos we might miss you. When we grow tired. of all this visual. You had your time. you had the power. You've yet to have. your finest hour. Radio. All we hear is Radio ga ga. Radio goo goo. Radio ga ga. All we hear is Radio ga ga. Radio goo goo. Radio ga ga. All we hear is Radio ga ga. Radio blah blah. Radio what's new?. Someone still loves you. Radio ga ga. Radio ga ga. Radio ga ga. Radio. You had your time. you had the power. You've yet to have. your finest hour. Radio
we will rock you,"Buddy, you're a boy, make a big noise. Playin' in the street gonna be a big man some day. You got mud on your face. You big disgrace. Kicking your can all over the place. Singing. We will, we will rock you. We will, we will rock you. Buddy you're a young man hard man. Shouting in the street gonna take on the world some day. You got blood on your face. You big disgrace. Waving your banner all over the place. We will, we will rock you. Sing it. We will, we will rock you. Buddy you're an old man poor man. Pleading with your eyes gonna make. You some peace some day. You got mud on your face. Big disgrace. Somebody better put you back into your place. We will, we will rock you. Sing it. We will, we will rock you. Everybody. We will, we will rock you. We will, we will rock you. Alright"
under pressure (feat. david bowie),"Pressure.. Pushing down on me.. Pressing down on you.. No man ask for.. Under pressure.. That burns a building down.. Splits a family in two.. Puts people on streets.. That's okay.. It's the terror of knowing. What the world is about.. Watching some good friends. Screaming ""Let me out!"".. Pray tomorrow gets me higher.. Pressure on people, people on streets.. Okay.. Chippin' around,. Kick my brains around the floor.. These are the days it never rains,. But it pours.. People on streets.. People on streets.. It's the terror of knowing. What the world is about.. Watching some good friends. Screaming ""Let me out!"".. Pray tomorrow gets me higher.. Pressure on people, people on streets.. Turned away from it all like a blind man.. Sat on a fence but it don't work.. Keep coming up with love,. But it's so slashed and torn.. Why? Why? Why?. Love, love, love, love, love.. Insanity laughs.. Under pressure we're cracking.. Can't we give ourselves one more chance?. Why can't we give love that one more chance?. Why can't we give love?. Give love, give love.. Give love, give love.. Give love, give love.. Give love, give love.. 'Cause love's such an old fashioned word.. And love dares you to care for. The people on the edge of the night.. And loves dares you to change our way. Of caring about ourselves.. This is our last dance.. This is our last dance.. This is ourselves. Under pressure.. Under pressure.. Pressure."
another one bites the dust,Steve walks warily down the street. With his brim pulled way down low. Ain't no sound but the sound of his feet. Machine guns ready to go. Are you ready hey are you ready for this?. Are you hanging on the edge of your seat?. Out of the doorway the bullets rip. To the sound of the beat yeah. Another one bites the dust. Another one bites the dust. And another one gone and another one gone. Another one bites the dust. Hey I'm gonna get you too. Another one bites the dust. How do you think I'm going to get along. Without you when you're gone. You took me for everything that I had. And kicked me out on my own. Are you happy are you satisfied?. How long can you stand the heat. Out of the doorway the bullets rip. To the sound of the beat look out. Another one bites the dust. Another one bites the dust. And another one gone and another one gone. Another one bites the dust. Hey I'm gonna get you too. Another one bites the dust. Hey. Oh take it - Bite the dust bite the dust. Hey Another one bites the dust. Another one bites the dust ow. Another one bites the dust he he. Another one bites the dust haaaa. Ooh shoot out. There are plenty of ways that you can hurt a man. And bring him to the ground. You can beat him. You can cheat him. You can treat him bad and leave him. When he's down. But I'm ready yes I'm ready for you. I'm standing on my own two feet. Out of the doorway the bullets rip. Repeating to the sound of the beat. Another one bites the dust. Another one bites the dust. And another one gone and another one gone. Another one bites the dust yeah. Hey I'm gonna get you too. Another one bites the dust. Shoot out
