no one knows,"We get some rules to follow. That and this. These and those. No one knows. We get these pills to swallow. How they stick. In your throat. Tastes like gold. Oh, what you do to me. No one knows. And I realize you're mine. Indeed a fool of mine. And I realize you're mine. Indeed a fool of mine. I journey through the desert. Of the mind. With no hope. I found low. I drift along the ocean. Dead lifeboats in the sun. And come undone. Pleasantly caving in. I come undone. And I realize you're mine. Indeed a fool of mine. And I realize you're mine. Indeed a fool and mine. Heaven smiles above me. What a gift there below. But no one knows. A gift that you give to me. No one knows"
go with the flow,"She said ""I'll throw myself away,. They're just photos after all"". I can't make you hang around.. I can't wash you off my skin.. Outside the frame, is what we're leaving out. You won't remember anyway. I can go with the flow. But don't say it doesn't matter anymore. I can go with the flow. Do you believe it in your head?. It's so safe to play along. Little soldiers in a row. Falling in and out of love. With something sweet to throw away.. But I want something good to die for. To make it beautiful to live.. I want a new mistake, lose is more than hesitate.. Do you believe it in your head?. I can go with the flow. But don't say it doesn't matter anymore. I can go with the flow. Do you believe it in your head? [x3]. By Jessy Wilde"
in my head,"It's the cruelest joke to play. I'm so high I run in place. Only a line we separate. So.... I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. When you're in my head, so I need it. You're the only thing I've got. I can't seem to get enough. We collide for one embrace. So.... I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. And you're in my head, so I need it. I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. And you're in my head, so I need it. (Guitar solo). I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. When you're in my head, so I need it. I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. When you're in my head, so I need it. I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. When you're in my head, so I need it. I keep on playing our favorite song. I turn it up while you're gone. It's all I've got when you're in my head. When you're in my head, so I need it. I need it. I need it. I need it now"
i sat by the ocean,"I sat by the ocean. And drank a potion, baby, to erase you. Face down in a boulevard, yet I couldn't face you. There ain't no use in crying. It doesn't change anything, so baby, what good does it do?. Your friends, they all sympathize maybe, but I don't need them too. Imagined I'd be your one and only. Instead, I'm the lonely one. You, me and a lie. Silence is closer. We're passing ships in the night. There's nowhere to run away. Said ""boy, if you want love, You'll have to go and find it with someone new. Do you know who you really are? Are you sure it's really you?"". Lies are a funny thing:. They slip through your fingertips because they never happened to you. Time wounds all the heals as we fade out of view. Imagined I'd be your one and only. Instead, I'm the lonely one. You, me and a lie. Silence is closer. We're passing ships in the night. You, me and a lie. Silence is closer. We're passing ships in the night. Into the night. Left with nowhere to hide. Closer.... And closer. We're crashing ships in the night"
make it wit chu,"You wanna know if I know why ?. I can't say that I do. Don't understand the evil eye. Or how one becomes two. I just can't recall what started it all. Or how to begin in the end. I ain't here to break it. Just see how far it will bend. Again and again,again and again. I wanna make it. I wanna make it wit' chu. Anytime, anywhere. I wanna make it. (Again and again). I wanna make it wit' chu. Sometimes the same is different,. but mostly it's the same. these mysteries of life, that jus ain't my thing. if I told you that I knew about the sun and the moon,. I'd be untrue. The only thing I know for sure. Is what I wanna do. anytime, anywhere & I say. I wanna make it. (Again and again). I wanna make it wit' chu. Anytime, anywhere. I wanna make it. (Again and again). I wanna make it wit' chu. I wanna make it. (Anytime, anywhere). I wanna make it wit' chu. Yeah. I wanna make it. I wanna make it wit' chu. I wanna make it. (Again and again). I wanna make it wit' chu. I wanna make it. (Anytime, anywhere). I wanna make it wit' chu. I wanna make it. (Again and again). I wanna make it wit' chu. (Again and again, and again, and again). I wanna make it"
little sister,"Hey sister why you all alone?. I'm standing out your window. Hey little sister, can I come inside, dear?. I wanna show you all my love. I wanna be the only one. I know you like nobody ever, baby. Refrão: (bis). Little sister can't you find another way. No more livin life behind a shadow. You whisper secrets in my ear. Slowly dancing cheek to cheek. It's such a sweet thing when you open up, baby. They say I'll only do you wrong. We come together cause I understand. Just who you really are, baby. Refrão2x: (bis). Little sister can't you find another way. No more livin life behind a shadow"
the way you used to do,"When I first met her she was seventeen. Seventeen. Jump like an arsonist to a perfect match. Burned alive. We run 'til no one could find us. Girl, we outrun everyone. But it doesn't matter now. Just come and love me how. Like the way you used to do. Yeah. Is love mental disease or lucky fever dream?. Fine with either. Gave birth to monsters who will terrorize normalcy, yeah. They'll terrorize. If the world exploded behind us. I never noticed if it done. Let nobody dare confine us. I'll bury anyone who does. But it doesn't matter now. Just come and love me how. Like the way you used to do. Now. The way you used to do. My heart, a ding-a-ling. A puppet on a string. C'est la vie. So lay your hands across my beating heart, love. If the world exploded behind us. I never noticed if it done. Let nobody dare confine us. I'll bury anyone who does. But it doesn't matter now. Just come and love me how. Like the way you used to do. Used to do. Like the way you used to do. Come and love me now. Like the way you used to do. Like the way you used to do"
3's and 7's,"Lie, lie to my face. Tell me it ain't no thing. That's what I wanna hear. Take, your lie to the grave. That's what an old friend told me. Look what it did for him. Refrão:. The truth hurts so bad. Wouldn't you say. So why tell it. If ignorance is bliss, then I'm in. Heaven now. Run, you'll never escape. You see you'll go nowhere. Based on who you appear. Broke, laid to waste. Turn into sweet no-things. Kiss you goodbye. Refrão:. The truth hurts so bad. Wouldn't you say. So why tell it. If ignorance is bliss, then I'm in. Heaven now. Keep going over and over again. The never ending places I've never been. No one's catching on. Callin' my bluff. The devil made me holier than every man. What'd you do?. Say it with a smile boy. Making us all forget. What'd you do?. Say it with a smile boy. Making us all forget. Making us all forget. Making us all forget. (solo)"
i appear missing,"Calling all comas,. Prisoner on the loose. Description:. A spitting image of me. Except for the heart-shaped hole. where the hope runs out. Shock me awake. Tear me apart. Pinned like a note in a hospital gown. Prison of sleep. Deepened now. A rabbit hole never to be found. Again. Where are you hiding, my love?. Cast off like a stone... feelings. Raw and exposed when I'm out of control. Pieces were stolen from me. But dare I say, given away. Watching the water give in. As I go down the drain. I appear missing now. I go missing. No longer exist. One day I hope. I'm someone you'd met. Shock me awake. Tear me apart. Pinned like a note in a hospital gown. Deeper I sleep. Further down. A rabbit hole never to be found. It's only falling in love. Because you hit the ground. Dancing on wire both ends are on fire. Cut me loose. Nowhere to run, no more room to pretend. Wandering along the road in the summer night. I go missing. No longer exist. One day I hope. I'm someone you'd met. Shock me awake. Tear me apart. Pinned like a note in a hospital gown. Deeper I sleep. Further down. A rabbit hole never to be found. (Don't cry) With my toes on the edge it's such a lovely view. (Inside) I never loved anything until I loved you. (Inside) I'm over the edge, what can I do?. (Sunshine) I haven't a thing unless I have you. (Don't cry) With my toes on the edge it's such a lovely view. (Inside) I never loved anything until I loved you. (Inside) I'm over the edge, what can I do?. (Sunshine) I've fallen through?"
if i had a tail,"Giuchie, Giuchie. Oh la la. Do run run. You wont get far. I'm machine. I'm obsolete. In the land of the free. Lobotomy. I wanna suck, I wanna lick. I want to cry and I want to spit. Tears of pleasure. Tears of pain. They trickle down your face the same. It's how you look. Not how you feel. The city of glass. With no heart…. If I had a tail. I'd own the night. If I had a tail. I'd swat the flies. Yeah, oh oh, oh oh, oh oh. Giuchie, Giuchie. Oh la la. Do run run. You won't get far. Animals in. The midnight zone. When you own the world. You're always home. Get your hands dirty. Roll up them sleeves. Brainwashed or true believers. Buy flash cars. Diamond rings. Expensive holes to bury things. I'm machine. I'm obsolete. In the land of the free. Immortality. If I had a tail. I'd own the night. If I had a tail. I'd swat the flies. Yeah, oh oh, oh oh, oh oh"
