a sua,"Time has turned this lie to true. All the things I've done I did to you. But I'm tired to live my life this way. And some day I'll say the things I got to say. I'm tired of believing in you, girl. I tried to believe in you. Cause you're so close to my mind. I'm tired of believing in you, girl. I tried to believe in you. Cause you're so close to my mind. Oh...Oh to my mind. Oh to my mind.... And I don't know exactly why. But I've forgotten how to live. The reason that changed my life. I just wanted to forgive. And you know better than anyone. That I wanted you 'till the end. But my feelings doesn't make no difference now. It's hard to understand. (refrão)"
blitzkrieg bop,"Hey ho, let's go Hey ho, let's go. Hey ho, let's go Hey ho, let's go. They're forming in straight line. They're going through a tight wind. The kids are losing their minds. The Blitzkrieg Bop. They're piling in the back seat. They're generating steam heat. Pulsating to the back beat. The Blitzkrieg Bop. Hey ho, let's go. Shoot'em in the back now. What they want, I don't know. They're all reved up and ready to go. They're forming in straight line. They're going through a tight wind. The kids are losing their minds. The Blitzkrieg Bop. They're piling in the back seat. They're generating steam heat. Pulsating to the back beat. The Blitzkrieg Bop. Hey ho, let's go Shoot'em in the back now. What they want, I don't know. They're all reved up and ready to go. They're forming in straight line. They're going through a tight wind. The kids are losing their minds. The Blitzkrieg Bop. They're piling in the back seat. They're generating steam heat. Pulsating to the back beat. The Blitzkrieg Bop. Hey ho, let's go Hey ho, let's go. Hey ho, let's go Hey ho, let's go"
bodies,She was a girl from Birmingham. She just had an abortion. She was a case of insanity. Her name was Pauline she lived in a tree. She was a noone who killed her baby. She sent her letters from the country. She was an animal. She was a bloody disgrace. Body I'm not an animal. Mommy I'm not an animal. . Dragged on a table in a factory. Illegimate place to be. In a packet in a lavatory. Die little baby screaming. . Body I'm not an animal. Mommy I'm not an abortion. . Fuck this and fuck that. Fuck it all and fuck the fucking brat. She don't want a baby that looks like that. I don't want a baby that looks like that. . Body I'm not an animal. Mommy I'm not an abortion
do you wanna dance?,"Do you wanna dance and hold my hand? Tell me baby I'm your lover man Oh baby, do you wanna dance?. Well do you wanna dance under the moonlight? Squeeze me baby all through the night. Oh baby, do you wanna dance?. Do you do you do you do you wanna dance Do you do you do you do you wanna dance. Do you do you do you do you wanna dance. Well do you wanna dance under the moonlight? Squeeze me baby all through the night. Oh baby, do you wanna dance?. Do you do you do you do you wanna dance Do you do you do you do you wanna dance. Do you do you do you do you wanna dance. Do you do you do you do you wanna dance Do you do you do you do you wanna dance. Do you do you do you do you wanna dance. Do you do you do you do you wanna dance Do you do you do you do you wanna dance. Do you do you do you do you wanna dance. Do you do you do you do you wanna dance Do you do you do you do you wanna dance. Do you do you do you do you wanna dance"
give my bullet back,"Go far on tripping. Now I'm back at the place. Go fucking killer Franklin. Never give a shit. No big deal. You're begging for your life. My face is rotten and full of flies. Dead face. Running by a rotten eye. Let me ride. I know my enemies. Now I'm back on the road. Living in this fuck. If you're bullet proof. Let's find out now. Change before the angel's. Falling in shine. Hey, give me back my bullet. 'cause I shoot you twice. I'm putting fire. I'm a bomberman. You'll see me and cry. Blood shed. Don't hang out of the race. I feel pain you're horny chick. You'll mosh in the rain. I know my enemies. Now I'm back on the road. Living in this shit. Run. Your mouth is full of flies"
i don't care,I don't care I don't care I don't care about this world. I don't care about that girl I don't care. I don't care I don't care I don't care about these words. I don't care about that girl I don't care. I don't care I don't care I don't care. I don't care I don't care I don't care. I don't care I don't care I don't care about this world. I don't care about that girl I don't care
i wanna be well,"Yeah, I wanna be well I wanna be well. I wanna be I want I want I want I want I want I want. Yeah, I wanna be well I wanna be well. I wanna be I want I want I want I want I want I want. I want my LSD, golly gee, DDT, wowee!. Daddy's broke Holy smoke My future's bleak Ain't it neat?. Yeah, I wanna be well I wanna be well. I wanna be I want I want I want I want I want I want. Yeah, I wanna be well I wanna be well. I wanna be I want I want I want I want I want I want. I want my LSD, golly gee, DDT, wowee!. Daddy's broke Holy smoke My future's bleak Ain't it neat?. Yeah, I wanna be well I wanna be well I wanna be well. I wanna be well I wanna be well"
merry christmas (i don't want to fight tonight),"Merry Christmas, I don't want to fight tonight. Merry Christmas, I don't want to fight tonight. Merry Christmas, I don't want to fight tonight with you. Where is Santa? At his sleigh?. Tell me why is it always this way?. Where is Rudolph? Where is Blitzen, baby?. Merry Christmas, merry merry merry Christmas. All the children are tucked in their beds. Sugar-plum fairies dancing in their heads. Snowball fighting, it's so exciting baby. I love you and you love me. And that's the way it's got to be. I loved you from the start. 'Cause Christmas ain't the time for breaking each other's hearts. Where is Santa? At his sleigh?. Tell me why is it always this way?. Where is Rudolph? Where is Blitzen, baby?. Merry Christmas, merry merry merry Christmas. All the children are tucked in their beds. Sugar-plum fairies dancing in their heads. Snowball fighting, it's so exciting baby. Yeah, yeah, yeah. I love you and you love me. And that's the way it's got to be. I loved you from the start. 'Cause Christmas ain't the time for breaking each other's hearts. Merry Christmas, I don't want to fight tonight. Merry Christmas, I don't want to fight tonight. Merry Christmas, I don't want to fight tonight with you"
needles and pins,"I saw her today. I saw her face. It was a face I love. And I knew. I had to run away. And get down on my knees. and pray that they go away. Still it begins Needles and pins. Because of all my pride The tears. I gotta hide Oh I thought. I was smart I stole her heart. Didn't think I do But now I see. She's worse to him than me Let her go ahead. Take his love instead. And one day she will see just how to save me. And get down on her knees That's how it begins. She'll feel those needles and pins - oh,. no - oh, no Why can't I stop and tell myself I'm wrong,. I'm wrong, so wrong. Why can't I stand up and tell myself. I'm strong Because I saw her today. I saw her face It was a face I love. And I knew I had to run away. And get down on my knees. and pray that they go away. Still it begins Needles and pins. Because of all my pride The tears I gotta hide. Hey!. Needles and pins. Needles and pins. Needles and pins"
oliver's army,"Don't start that talking. I could talk all night. My mind goes sleep walkin'. While I'm puttin' the world to right. Call careers information. Got yourself an occupation. Oliver's army is here to stay. Oliver's army are on their way. And I would rather be anywhere else. Than here today. There was a checkpoint Charlie. He didn't pack a smile. But it's no laughing party. When you've been on the murder mile. Only takes one inch of trigger. One more widow, one less white nigger. Oliver's army is here to stay. Oliver's army are on their way. And I would rather be anywhere else. Than here today. Hong Kong is up for grabs. London is full of ab's. We could be in Palestine. Overrun by the chinese line. With the boys from the mersey. And the thames and the tyne. . But there's no danger. It's a professional carrer. Though it could be arranged. With just a word in Mr. Churchill's ear. If you're out of luck or out of work. We could send you to Johannesburg. Oliver's army is here to stay. Oliver's army are on their way. And I would rather be anywhere else. Than here today. And I would rather be anywhere else. Than here today. And I would rather be..."
pinhead,Gabba gabba we accept you we accept you one of us. Gabba gabba we accept you we accept you one of us. I don't wanna be a pinhead no more. I just met a nurse that i could go for. I don't wanna be a pinhead no more. I just met a nurse that i could go for. I don't wanna be a pinhead no more. I just met a nurse that i could go for. I don't wanna be a pinhead no more. I just met a nurse that i could go for. D-U-M-B. Everyones accusin me. D-U-M-B. Everyones accusin me. I don't wanna be a pinhead no more. I just met a nurse that i could go for. I don't wanna be a pinhead no more. I just met a nurse that i could go for. Gabba gabba hey. Gabba gabba hey. (repeats)
