otherside,"How long, how long will I slide. Separate my side, I don't. I don't believe it's bad. Slittin' my throat. It's all I have. I heard your voice through a photograph. I thought it up it brought up the past. Once you know you can never go back. I've gotta take it on the other side. Centuries are what it meant to me. A cemetery where I marry the sea. Stranger things could never change my mind. I've got to take it on the other side. Take it on the otherside. Take it on. Take it on. How long, how long will I slide. Separate my side, I don't. I don't believe it's bad. Slittin' my throat. It's all I have. Pour my life into a paper cup. The ashtray's full and I'm spitting' my guts. She wants to know am I still a slut. I've got to take it on the other side. Scarlet starlet and she's in my bed. A candidate for my soul mate bled. Push the trigger and pull the thread. I've got to take it on the otherside. Take it on the other side. Take it on. Take it on. How long, how long will I slide. Separate my side, I don't. I don't believe it's bad. Slittin' my throat. It's all I ever. Turn me on, take me for a hard ride. Burn me out, leave me on the other side. I yell and tell it that. It's not my friend. I tear it down, I tear it down. And then it's born again. How long, how long will I slide. Separate my side, I don't. I don't believe it's bad. Slittin' my throat. It's all I ever. How long I don't believe it's bad. Slittin my throat. It's all I ever had"
californication,"Psychic spies from China. Try to steal your mind's elation. Little girls from Sweden. Dream of silver screen quotations. And if you want these kind of dreams. It's Californication. It's the edge of the world. And all of western civilization. The sun may rise in the east. At least it settles in a final location. It's understood that Hollywood. Sells Californication. Pay your surgeon very well. To break the spell of aging. Celebrity skin, is this your chin. Or is it war your waging. The first born unicorn. Hard core soft porn. Dream of Californication. Dream of Californication. Marry me, girl, be the fairy to my world. Be my very own constellation. A teenage bride with a baby inside. Getting high on information. And buy me a star on the boulevard. It's Californication. Space may be the final frontier. But it's made in a Hollywood basement. And, Cobain, can you hear the spheres. Singin' songs of station to station. And Alderaan's not far away. It's Californication. Born and raised by those who praise. Control of population. Everybody's been there. And I don't mean on vacation. The first born unicorn. Hard core soft porn. Dream of Californication. Dream of Californication. Dream of Californication. Dream of Californication. Destruction leads to a very rough road. But it also breeds creation. And earthquakes are to a girl's guitar. They're just another good vibration. And tidal waves couldn't save the world. From Californication. Pay your surgeon very well. To break the spell of aging. Sicker then the rest. There is no test. For this is what you're craving. The first born unicorn. Hard core soft porn. Dream of Californication. Dream of Californication. Dream of Californication. Dream of Californication"
under the bridge,"Sometimes I feel like I don't have a partner. Sometimes I feel like my only friend. Is the city I live in, the city of angels. Lonely as I am, together we cry. I drive on her streets 'cause she's my companion. I walk through her hills 'cause she knows who I am. She sees my good deeds and she kisses me windy. I never worry, now that is a lie. I don't ever wanna feel like I did that day. Take me to the place I love, take me all the way. I don't ever wanna feel like I did that day. Take me to the place I love, take me all the way. It's hard to believe. That there's nobody out there. It's hard to believe that I'm all alone. At least I have her love the city she loves me. Lonely as I am together we cry. I don't ever wanna feel like I did that day. But take me to the place I love, take me all the way. I don't ever wanna feel like I did that day. But take me to the place I love, take me all the way. Yeah, yeah, yeah, yeah. Oh no, no, no, yeah, yeah. Love me, I say, yeah yeah. (Under the bridge downtown). Is where I drew some blood. (Under the bridge downtown). I could not get enough. (Under the bridge downtown). Forgot about my love. (Under the bridge downtown). I gave my life away yeah, yeah yeah"
snow (hey oh),Come to decide that the things that I tried. Were in my life just to get high on. When I sit alone come get a little known. But I need more than myself this time. Step from the road to the sea to the sky. And I do believe that we rely on. When I lay it on. Come get to play it on. All my life to sacrifice. Hey oh listen what I say oh. I got your. Hey oh now listen what I say oh. When will I know that I really can't go. To the well once more time to decide on. When it's killing me. When will I really see. All that I need to look inside. Come to believe that I better not leave. Before I get my chance to ride. When it's killing me. What do I really need. All that I need to look inside. Hey oh listen what I say oh. Come back and. Hey oh look at what I say oh. The more I see the less I know. The more I like to let it go...hey oh. wooooaaah. Deep beneath the cover of another perfect wonder. Where it's so white as snow. Privately divided by a world so undecided. And there's nowhere to go. In between the cover of another perfect wonder. Where it's so white as snow. Running through the field where all my tracks will. Be concealed and there's nowhere to go oh!. When to descend to amend for a friend. All the channels that have broken down. Now you bring it up. Im gonna ring it up. Just to hear you sing it out. Step from the road to the sea to the sky. And I do believe what we rely on. When I lay it on. Come get to play it on. All my life to sacrifice. Hey oh listen what I say oh. I got your. Hey oh listen what I say oh. The more I see the less I know. The more I like to let it go...hey oh. wooooaaah. Deep beneath the cover of another perfect wonder. Where it's so white as snow. Privately divided by a world so undecided. And there's nowhere to go. In between the cover of another perfect wonder. Where it's so white as snow. Running through the field where all my tracks will. Be concealed and there's nowhere to go. I said hey yeah oh yeah tell my love now. Hey yeah oh yeah tell my love now. Deep beneath to cover of another perfect wonder. Where it's so white as snow. Privately divided by a world so undecided. And there's nowhere to go. In between the cover of another perfect wonder. Where it's so white as snow. Running through the field where all my tracks will. Be concealed and there's nowhere to go. I said hey oh yeah oh yeah tell my love now. Hey yeah yeah oh yeah
scar tissue,Scar tissue that I wish you saw. Sarcastic mister know it all. Close your eyes and I'll kiss you 'cause. With the birds I'll share. With the birds I'll share. This lonely view. With the birds I'll share. This lonely view. Push me up against the wall. Young Kentucky Girl in a push-up bra. Fallin' all over myself. To lick your heart and taste you health 'cause. With the birds I'll share. This lonely view. With the birds I'll share. This lonely view. With the birds I'll share. This lonely view. Blood loss in a bathroom stall. Southern girl with a scarlet drawl. Wave good-bye to ma and pa 'cause. With the birds I'll share. With the birds I'll share. This lonely view. With the birds I'll share. This lonely view. Soft spoken with a broken jaw. Step outside but not to brawl. Autumn's sweet we call it fall. I'll make it to the moon even if I have to crawl and. With the birds I'll share. This lonely view.... Scar tissue that I wished you saw. Sarcastic mister know it all. Close your eyes and I'll kiss you 'cause. With the birds I'll share. With the birds I'll share. This lonely view. With the birds I'll share. This lonely view
can't stop,Can't stop addicted to the shin dig. Chop top he says I'm gonna win big. Choose not a life of imitation. Distant cousin to the reservation. Defunkt the pistol that you pay for. This punk the feeling that you stay for. In time I want to be your best friend. Eastside love is living on the westend. Knock out but boy you better come to. Don't die you know the truth is some do. Go write your message on the pavement. Burnin' so bright I wonder what the wave meant. White heat is screaming in the jungle. Complete the motion if you stumble. Go ask the dust for any answers. Come back strong with 50 belly dancers. The world I love. The tears I drop. To be part of the wave can't stop. Ever wonder if it's all for you. The world I love. The trains I hop. To be part of the wave can't stop. Come and tell me when it's time to. Sweetheart is bleeding in the snowcone. So smart she's leading me to ozone. Music the great communicator. Use two sticks to make it in the nature. I'll get you into penetration. The gender of a generation. The birth of every other nation. Worth your weight the gold of meditation. This chapter's going to be a close one. Smoke rings I know you're going to blow one. All on a spaceship persevering. Use my hands for everything but steering. Can't stop the spirits when they need you. Mop tops are happy when they feed you. J. Butterfly is in the treetop. Birds that blow the meaning into bebop. The world I love. The tears I drop. To be part of the wave can't stop. Ever wonder if it's all for you. The world I love. The trains I hop. To be part of the wave can't stop. Come and tell me when it's time to. Wait a minute I'm passing out. Win or lose just like you. Far more shocking. Than anything I ever knew. How about you. 10 more reasons. Why I need somebody new just like you. Far more shocking than anything I ever knew. Right on cue. Can't stop addicted to the shin dig. Chop top he says I'm gonna win big. Choose not a life of imitation. Distant cousin to the reservation. Defunkt the pistol that you pay for. This punk the feeling that you stay for. In time I want to be your best friend. Eastside love is living on the westend. Knock out but boy you better come to. Don't die you know the truth is some do. Go write your message on the pavement. Burnin' so bright I wonder what the wave meant. Kick start the golden generator. Sweet talk but don't intimidate her. Can't stop the gods from engineering. Feel no need for any interfering. Your image in the dictionary. This life is more than ordinary. Can I get 2 maybe even 3 of these. Come from space. To teach you of the pleiades. Can't stop the spirits when they need you. This life is more than just a read thru
dark necessities,"Coming out to the light of day. We got many moons than a deeper place. So I keep an eye on the shadow's smile. To see what it has to say. You and I both know. Everything must go away. Ah, what do you say?. Spinning off, head is on my heart. It's like a bit of light and a touch of dark. You got sneak attacked from the zodiac. But I see your eyes spark. Keep the breeze and go. Blow by blow and go away. Oh, what do you say?. Yeah, you don't know my mind. You don't know my kind. Dark necessities are part of my design. Tell the world that I'm falling from the sky. Dark necessities are part of my design. Stumble down to the parking lot. You got no time for the afterthought. They're like ice cream for an astronaut. Well that's me looking for we. Turn the corner and. Find the world and show command. Playing the hand. Yeah, you don't know my mind. You don't know my kind. Dark necessities are part of my design. Tell the world that I'm falling from the sky. Dark necessities are part of my design. Do you want this love of mine?. The darkness helps to sort the shine. Do you want it, do you want it now?. Do you want it overtime?. The darkness helps to sort the shine. Do you want it, do you want it now?. Pick you up like a paperback. With the track record of a maniac. So I'm moving in and we unpack. It's the same as yesterday. Honey where we roll. Everything must go away. Ah, what do you say?. Yeah, you don't know my mind. You don't know my kind. Dark necessities are part of my design. Tell the world that I'm falling from the sky. Dark necessities are part of my design. Ah-ah-ah. Ah-ah. Ah-ah-ah. Ah-ah"
by the way,"Standing in line to see the show tonight. And there's a light on, heavy glow. By the way I tried to say. I'd be there waiting for. Dani the girl is singing songs to me. Beneath the marquee. Overload. Steakknife... Card Shark... Con Job... Boot Cut. Skin that flick. She's such a little Dj. Get there quick. By street but not the freeway. Turn that trick. To make a little leeway. Beat that nic. But not the way that we play. Dog Town.... Blood Bath.... Rib Cage.... Soft Tail.... Standing in line. To see the show tonight. And there's a light on. Heavy glow. By the way I tried to say. I'd be there. Waiting for. Black Jack.... Dope Dick.... Pawn Shop.... Quick Pick.... Kiss that Dyke. I know you want to hold one. Not on strike. But I'm about to bowl one. Bite that mic. I know you never stole one. Girls that like. A story so I told one. Song Bird.... Main Line.... Cash Back.... Hard top.... Standing in line to see the show tonight. And there's a light on, heavy glow. By the way I tried to say. I'd be there waiting for. Dani the girl is singing songs to me. Beneath the marquee. Oversold. By the way I tried to say. I'd be there waiting for. Ooh, ah, guess you never meant it. Ooh, ah, guess you never meant it. Ooh, ah, guess you never meant it. Ooh, ah, guess you never meant it. Ooh, ah, guess you never meant it. Ooh, ah, guess you never meant it. Ooh, ah, guess you never meant it. Ooh, ah. Standing in line to see the show tonight. And there's a light on, heavy glow. By the way I tried to say. I'd be there waiting for. Dani the girl is singing songs to me. Beneath the marquee. Of her soul. By the way I tried to say. I know you from before. Standing in line to see the show tonight. And there's a light on, heavy glow. By the way I tried to say. I'd be there waiting for"
around the world,All around the world. We could make time. Rompin' and a stompin'. 'Cause I'm in my prime. Born in the north. And sworn to entertain ya. 'Cause I'm down for. The state of Pennsylvania. I try not to whine. But I must warn ya. 'Bout the motha fuckin girls. From California. Alabama baby. Said hallelujah. Good god girl. I wish I knew ya. I know I know for sure. That life is beautiful around the world. I know I know it's you. You say hello and then I say I do. Come back baby. 'Cause i'd like to say. I've been around the world. Back from Bombay. Fox hole love. Pie in your face. Living in and out. Of a big fat suitcase. Bonafide ride. Step aside my Johnson. Yes I could. In the woods of Wisconsin. Wake up the cake. It's a lake she's kissin' me. As they do when. They do in Sicily. I know I know for sure. That life is beautiful around the world. I know I know it's you. You say hello and then I say I do. Where you want to go. Who you want to be. What you want to do. Just come with me. I saw God. And I saw the fountains. You and me girl. Sittin' in the Swiss Mountains. Me Oh My O. Me and Guy O. Freer than a bird. 'Cause we're rochin' Ohio. Around the world. I feel dutiful. Take a wife. 'Cause life is beautiful. I know I know for sure. That life is beautiful around the world. I know I know its you. That life is beautiful around the world. Mother Russia do not suffer. I know you're bold enough. I've been around the world. And I have seen your love. I know I know it's you. You say hello and I say I do
dani california,"Gettin' born in the state of Mississippi. Papa was a copper and momma was a hippie. In Alabama, she would swing a hammer. Price you gotta pay when you break the panorama. She never knew that there was anything more than poor. What in the world does your company take me for. Black bandana, sweet Louisiana. Robbin' on a bank in the state of Indiana. She's a runner, rebel and a stunner. On her merry way sayin' baby whatcha gonna. Lookin down the barrel of a hot metal 45. Just another way to survive. California Rest In Peace,. Simultaneous release,. California show your teeth,. She's my priestess, I'm your priest. Yeah, yeah. She's a lover, baby and a fighter. She shoulda seen it comin when it got a little brighter. With a name like Dani California. The day was gonna come when I was gonna mourn 'ya. A little loaded she was stealing another breath. I love my baby to death. California Rest In Peace,. Simultaneous release,. California show your teeth,. She's my priestess, I'm your priest. Yeah, yeah. Who knew the other side of you?. Who knew what others died to prove?. Too true to say goodbye to you. Too true, to say, say, say.... Push the fader, gifted animator. One for the now and eleven for the later. Never made it, up to Minnessota. North Dakota man was a gunning for the quota. Down in the badlands. She was saving the best for last. It only hurts when I laugh. Gone too fast. California Rest In Peace,. Simultaneous release,. California show your teeth,. She's my priestess, I'm your priest. Yeah, yeah. California Rest In Peace,. Simultaneous release,. California show your teeth,. She's my priestess, I'm your priest. Yeah, yeah"
