let it burn,I watched the city burn. These dreams like ashes float away. Your voice I never heard. Only silence. Where were you when our hearts were bleeding?. Where were you? It all crashed down. Now I found that you deceived me. Where are you now?. (How long?) Can you stand the pain?. (How long?) How long will you hide your face?. (How long?) How long will you be afraid?. Are you afraid?. (How long?) Will you play this game?. (How long?) Will you fight or will you walk away?. (How long?) How long will you let it burn?. Let it burn. I watched the city burn. These passions slowly smoldering. A lesson never learned. Only violence. Is your world just a broken promise?. Is your love just a drop of rain?. Where we all just burn like fire?. Are you still there?. Tell me now. (How long?) Can you stand the pain?. (How long?) How long will you hide your face?. (How long?) How long will you be afraid?. Are you afraid?. (How long?) Will you play this game?. (How long?) Will you fight or will you walk away?. (How long?) How long will you let it burn?. Let it burn. Oh. Will you wait till it all burns down?. Will you hide till it all burns down?. Will you run when it all burns down?. Will you fight when it all burns down?. Will you stand when it all burns down?. Will you love when it all burns down?. Will you live when it all burns down?. Will you just let it all burns down?. (How long?) Can you stand the pain?. (How long?) How long will you hide your face?. (How long?) How long will you be afraid?. Are you afraid?. (How long?) Will you play this game?. (How long?) Will you fight or will you walk away?. (How long?) How long will you let it burn?. Let it burn. Let it burn. Oh
never be the same,"I know you, who are you now?. Look into my eyes if you can't remember. Do you remember? Oh. I can say, I can still find. Your are the only voice my heart can recognize. But I can hear you now, yeah. I'll never be the same. I'm caught inside the memories. The promises, our yesterdays. And I belong to you. I just can't walk away. Cause after loving you. I can never be the same. And how can I pretend to never know you. Like it was all a dream? No. I know i'll never forget. The way I always felt with you beside me. And how you loved me then, yeah. I'll never be the same. I'm caught inside the memories. The promises, our yesterdays. And I belong to you. I just can't walk away. Cause after loving you. I can never be the same. You left me here. Then I watched you disappear. You left this emptiness inside. And I cant turn back time. No, stay!. Nothing compares to you. Nothing compares to you. I cant let you go. Can't let you go. I can't let go. I'll never be the same. Not after loving you. Not after loving you, oh. I'll never be the same. I'm caught inside the memories. The promises, our yesterdays. And I belong to you. I just can't walk away. Cause after loving you. I can never be the same. I can never be the same. I would never be the same. Oh, oh, oh. I just can't walk away. I can't walk away. From you"
gone,"Disappear, without a trace. A treasure lost, I can't replace. The only piece that still remains. Is in these scars, is in this pain. I want to save it all. I want to take it all. My heart is holding on. I bleed, I bleed for love. When I'm gone. When I fade away. Is the air I breathe my only legacy?. When I'm gone. In the dark, I am a flame. A passing light, all in vain. I feel the pull, I feel a change. It's over now, it slips away. I want to save it all. I want to take it all. My heart is holding on. I bleed, I bleed for love. When I'm gone. When I fade away. Is the air I breathe my only legacy?. When I'm gone. When I'm gone. When I'm gone. I want to save it all. I want to take it all. My heart is holding on. I bleed, I bleed for love. When I'm gone. When I fade away. Is the air I breathe my only legacy?. When I'm gone. When I'm gone. When I'm gone"
fracture,"[Verse 1]. My wandering heart. Was searching. Your lovely eyes were blinding. Now we're at the edge. Throw me. I hit the ground. Crashing. [Chorus]. Shattered, need you more than ever. Crawling to you, fracture. Lifeless. Falling into madness. Crawling, I am fractured. Fracture. [Verse 2]. This is how the pain of breaking [?]. This does not define us. Calling out. Reaching for you. [Chorus]. Shattered, need you more than ever. Crawling to you, fracture. Lifeless. Falling into madness. Crawling, I am fractured. Fracture. [Bridge]. Fracture. Desire. Fracture. The pain. Crawling. Shattered. Desire. Fracture. [Chorus]. Lifeless. Falling into madness. Crawling, I am fractured. Fracture"
not alone,"Slowly fading away. You're lost and so afraid. Where is the hope in a world so cold?. Looking for a distant light. Someone who can save a life. You're living in fear that no one will hear your cries. (Can you save me now?). I am with you. I will carry through it all. I won't leave you I will catch you. When you feel like letting go. Cause you're not, you're not alone. Your heart is full of broken dreams. Just a fading memory. And everything's gone but the pain carries on. Lost in the rain again. When will it ever end. The arms of relief seem so out of reach. But I, I am here. I am with you. I will carry through it all. I won't leave you I will catch you. When you feel like letting go. Cause you're not, you're not alone. And I'll be your hope when feel like it's over. And I will pick you up when your whole world shatters. And when you're finally in my arms. Look up and see love has a face. I am with you. I will carry through it all. I won't leave you I will catch you. When you feel like letting go. Cause you're not, you're not alone. And I will be your hope (not alone). And I will pick you up. And I will be your hope. And I will be your hope. Slowly fading away. You're lost and so afraid. Where is the hope in a world so cold?"
hold me now,Fall asleep to dream of home. Where the waves are crashing. The only place I've ever known. Now the future has me. I see the fire in the sky. See it all around me. I said the past is dead. The life I had is gone. Said won't give up. Until I see the sun. Hold me now. 'Til the fear is leaving. I am barely breathing. Waking up and letting go. To the sound of angels. Am I alive or just a ghost?. Haunted by my sorrows. Hope is slipping throug my hands. Gravity is taking hold. I said I'm not afraid. That I'm brave enough. I will not give up. Until I see the sun. Hold me now. 'Til the fear is leaving. I am barely breathing. Crying out. These tired wings are falling. I need you to catch me. As I burn. As I break. I can't take it anymore. I return to the place where. The water covers over everything. Rescue me somehow. Hold me now. 'Til the fear is leaving. I'm barely breathing. Crying out. These tired wings are falling. I need you to catch me. Hold me now. 'til the fear is leaving. I am barely breathing
best is yet to come,"Afraid it won't come around again. Afaid to move on. Wishing I could go back when. Everything was easier and meaningful to me. Wanting all we left behind. Like it's the answer. An hour glass we can't rewind. Holding back the life that I've denied for so long. Can I find my way to you?. And after all that we've been through. And after all we left in pieces. I still believe our live have just begun. Cause now the past can be our own. And I know you are the reason. I still believe the best is yet to come. A photograph still in your hand. Afraid to let go. The minutes rain like grains of sand. And time is just a war to steal your dreams from within. So come and take them back again. And after all that we've been through. And after all we left in pieces. I still believe our live have just begun. Cause now the past can be our own. And I know you are the reason. I still believe the best is yet to come. Won't turn around. Let it all slip away. I'm never backing down. Cause tomorrow's a new day. And everything can change. And after all that we've been through. And after all we left in pieces. I still believe our live have just begun. Cause now the past can be our own. And I know you are the reason. I still believe the best is yet to come. Oh, oh, yeah. Still believe the best is yet to come. The best yet to come. Still believe the best is yet to come"
already over,"You never go. Your always here (suffocating me). Under my skin. I cannot run away. Fading slowly. I'd give it all to you. Letting go of me. Reaching as I fall. I know it's already over now. Nothing left to lose. Loving you again. I know it's already over, already over now. My best defense, running from you. I can't resist, take all you want from me. Breaking slowly. I'd give it all to you. Letting go of me. Reaching as I fall. I know it's already over now. Nothing left to lose. Loving you again. I know it's already over, already over now!. You're all I'm reaching for. It's already over. All I'm reaching for!. It's already over now. I'd give it all to you. I offer up my soul. It's already over, already over now!. Give it all to you. Letting go of me. Reaching as I fall. I know it's already over now. Nothing left to lose. Loving you again!. I know it's already over now!. It's already over now!. I know it's already over, already over"
ordinary world,"Came in from a rainy thursday. On the avenue. Thought I heard you talking softly. I turned on the lights, the tv. And the radio. Still I can't escape the ghost of you. What has happened to it all?. Crazy, some say. Where is the life that I recognize?. Gone away. But I won't cry for yesterday. There's an ordinary world. Somehow I have to find. And as I try to make my way. To the ordinary world. I will learn to survive. Passion or coincidence. Once prompted you to say. ""pride will tear us both apart"". Well now pride's gone out the window. Cross the rooftops. Run away. Left me in the vacuum of my heart. What is happening to me?. Crazy, some say. Where is my friend when I need you most?. Gone away. But I won't cry for yesterday. There's an ordinary world. Somehow I have to find. And as I try to make my way. To the ordinary world. I will learn to survive. What has happened to it all?. Crazy, some say. Where is the world that I recognize?. Gone away. And I won't cry for yesterday. There's an ordinary world. Somehow I have to find. And as I try to make my way. To the ordinary world. I will learn to survive. Everyone, everyone. Somehow I have to find"
if we only,"Let it die. Sick of all the promises you've broken. (you break them all). I get all the blame and you're the victim (it's all a lie). How long will you hold on. Why can I let it go. Find a way to escape all the hate. If we only could get over. All the pain inside. Al the wasted pride. If we only, if we only. Could just face the truth. Give up the fight. And let it die. Tell me why you drown me with your silence. (you make me sick). Tell me why I'm always craving violence. (tell me why). How long will I hold on. Why can't you let it go. Find a way to escape. All the hate. If we only could get over. All the pain inside. Al the wasted pride. If we only, if we only. Could just face the truth. Give up the fight. And let it die. Let it die. I'm done with this. I'm done with this. I'm done with this. If we only could get over. All the tears we've cried. All the wasted pride. If we only, if we only. Could just face the truth. Give up the fight. And let it die (2X). Let it die!"
start again,"And I remember everything,. Everything I loved,. I gave it away like it wasn?t enough. All the words I said and all you forgive. How could I hurt you again?. What if I let you in?. What if I make it right it?. What if I give it up?. What if I want to try?. What if you take a chance?. What if I learn to love?. What if, what if we start again?. (Chorus). All this time. I can make it right. With one more try. Can we start again?. In my eyes,. You can see it now,. Can we start again, can we start again?!?. Emptiness inside me, wonder if you see. It?s my mistake and it?s hurting me. I known where we?ve been. How did we get so far?. What if, what if we start again?. (Chorus). I?m lost inside the pain I feel without you,. I can?t stop holding on, I need you with me!!!. I?m trapped inside the pain. Can we never love again?. I?m lost without you!!!. One more try,. Can we start again?. In my eyes, can you forgive me now?. (Can we start again?). Can we start again (one more try?). Can we start again?. Can we start again (can you forgive me now?). Can we start again?"
break me down,"A long day alone. The emptiness is so real. Never having peace of mind. Running from what I can't see. And there is nowhere left to hide. Turn and face these empty eyes. All alone, heart untold, trying to find. Break me down. Replace this fear inside. Take this nothingness from me. I want to find, I want to shine, I want to rise. Break me down. I try to find myself. I find the stranger trapped inside. And I take one more step away. From a face I used to recognize. Familiar shadows closing in. A suffocating fear descends. It comes alive, uncovered eyes, trying to find. Break me down. Replace this fear inside. Take this nothingness from me. I want to find, I want to shine, I want to rise. Break me down. Replace this fear inside. Take this nothingness from me. I want to find, I want to shine, I want to rise. Break me down. Break me down. I want to find, I want to shine, I want to rise. Break me down. I want to find, I want to shine, I want to rise. Break me down. I want to find, I want to shine, I want to rise. Break me"
the masks slips away,"[Verse 1]. I feel a change in the air. The horizon stirs. Above, the lightning flares. And the wheel starts to turn. [Chorus]. I'm tired of running. I'm tired of hiding. Feeling the mask slip away. I tried to hold you. I tried to keep you. [Verse 2]. The sting of cold winter rain. Somehow I need it to hurt. You set the ocean aflame. I'll stand and watch it burn. [Chorus]. I'm tired of running. I'm tired of hiding. Feeling the mask slip away. I tried to hold you. I tried to keep you. Feeling the mask slip away. [Chorus]. I'm tired of running. I'm tired of hiding. Feeling the mask slip away. I tried to hold you. I tried to keep you. Feeling the mask slip away. I'm tired of running. I'm tired of hiding. Feeling the mask slip away. I tried to hold you. I tried to keep you, love you, save you. But you're gone. I tried to save you. But you're gone"
darkest part,You track the doubts of my soul. Until you found it. The darkened room locked away. I let you in. You looked inside then you turned away. My makeshift savior. He left me right here in my chains. But still I whisper. Still I call you. I never wanted you to see. The darkest part of me. I knew you? d run away. I waited but you never came. So afraid to be alone. I tried to let you go. And still I find you lost inside. The darkest part of me. It? s my decent. To know your pain. It? s watching all. I believed fade away. Half traitors and fools. Half beggars and thieves. Which mask will you choose. What is underneath. I never wanted you to see. The darkest part of me. I knew you? d run away. I waited but you never came. So afraid to be alone. I tried to let you go. And still I find you lost inside. The darkest part of me. And out of the black state of your perfect life. And out of the darkness that you need to hide. It covers you. It spills over you. I never wanted you to see. The darkest part of me. I knew you? d run away. I waited but you never came. So afraid to be alone. I tried to let you go. And still I find you lost inside. The darkest part of me
take me over,"Traces of your voice. I know it, I know it so well. Waking in the storm. I can feel you, I can feel you with me. Can I go again. Oh your reckless, your reckless life goes. I cannot defend, this untamed heart is waiting. I am standing on the edge. Take me over, take me over. See how fast this life can change. Take me further, lead me further. Take me over, take me over. Find my life ahead. Oh I don't know, I don't know where. But I'm starting on my way. Will you meet me, will you meet me there. Echoes in the night. Like a melody is haunting me. But then I meet your eyes. With the fire of a rising sun. I am standing on the edge. Take me over, take me over. See how fast this life can change. Take me further, lead me further. Do you believe a life can change. Take me over, take me over. Do you believe a life can change. Take me over, take me over. Do you believe a life can change. Take me over, take me over. Do you believe a life can change. I am standing on the edge. Take me over, take me over. See how fast this life can change. Take me further, lead me further. Take me over, take me over"
as you go,"Darkness creeps into daylight. You're leaving. Treasures hidden in our mind. The memories. The time we had was fleeting. The strength is just believing now. The world I know can hate you. The world I know can break you. But as you go remember, I'm by your side. The love within you can heal these tears that burn. And through it all remember, I'm by your side. As you go. Bittersweet the dreams we made. We're so young. We thought that this could never end. Don't be afraid. Never stop believing. You'll find a new beginning now. The world I know can hate you. The world I know can break you. But as you go remember, I'm by your side. The love within you can heal these tears that burn. And through it all remember, I'm by your side. As you go. I will never let you go. As you go, I will never let you go. The world I know can hate you. The world I know can break you. But as you go remember, I'm by your side. The love within you can heal these tears that burn. And through it all remember, I'm by your side (2X)"
pieces,I'm here again. A thousand miles away from you. A broken mess. Just scattered pieces of who I am. I tried so hard. Thought I could do this on my own. I've lost so much along the way. Then I see your face. I know I'm finally yours. I find everything. I thought I lost before. You call my name. I come to you in pieces. So you can make me whole. I've come undone. But you make sense of who I am. Like puzzle pieces in your eye. Then I'll see your face. I know I'm finally yours. I find everything. I thought I lost before. You call my name. I come to you in pieces. So you can make me whole. I tried so hard. So hard. I tried so hard. Then I'll see your face. I know I'm finally yours. I find everything. I thought I lost before. You call my name. I come to you in pieces. So you can make me whole. So you can make me whole
let go,"Hey you. Look what you do to me. You bend and you bruise me. While you try to control me. But you don't own me. How come you just wanna hurt me. How come you just wanna push me. I can't ignore you anymore. 'Cause everywhere I turn you. You burn me, you break me. You always wanna take me. Down with you. What do you want from me. I don't wanna be afraid. I don't wanna run away. I don't wanna be here fading. It's more than I can take. I'm never gonna be the same. I threw it all away. I don't wanna be here fading. Just let go. (Look what you do to me). Let go. (Look what you do to me). Hey you. Look what you do to me. You hurt and you scar me. With all that you tell me. But I'm not listening. You love me. You hate me. You always want to take me. Down with you. What do you want from me. (I won't stay). I don't wanna be afraid. I don't wanna run away. I don't wanna be here fading. It's more than I can take. I'm never gonna be the same. I threw it all away. I don't wanna be here fading. Just let. You keep pushing me. You keep using me. You keep twisting me. You keep breaking me. You can't have me anymore. You can't have me anymore. You can't have me anymore. You can't have me. Let go. I don't wanna be afraid. I don't wanna run away. I don't wanna be here fading. It's more than I can take"
a.i,[Verse 1]. Burning. I step into the sun. And it stings me. But traces of your love. What have I become?. [Chorus]. Lost inside a memory. Buried deep inside of me. Never breaking. I'm escaping. Lost inside a memory. Can't erase the agony. Never breaking. Overtaking now. [Verse 2]. Learning. The meaning of life. And it haunts me. Would you run into my mind?. Left my heart so blind. [Chorus]. Lost inside a memory. Buried deep inside of me. Never breaking. I'm escaping. Lost inside a memory. Can't erase the agony. Never breaking. Overtaking
all out of love,"So I feel like taking all my feelings. And throwing them all at the wall. So I won't have to cry no more. The older I'm feeling. Needing it a little more to hold. Back that screaming. Demons and all. An if you feel like taking on my mind. Show me where to find a place I can hide. So I can throw all my fears aside. Old, now I feel it, I feel a little more. I'm low now I need it, needing it all. All out of love. So tired of sinking thinking will I wake up. When will I stop. That place where I went felt so long ago. I'm scared I could go back. And while we wait for that. That special day we hope. Someone somewheres gonna make it ok. And while we wait for that. That special day we hope. Someone somewhere is gonna take us away. All out of love. So tired of sinking thinking will I wake up. When will I stop. When that place where I went felt so long ago. I'm scared I could go back"
