you are my sunshine,You are my sunshine. My only sunshine. You make me happy. When the skies are grey. You'll never know dear. How much I love you. So please dont take. My sunshine. Away. The other night dear. As I lay sleeping. I dreamed I held you in my arms. When i awaoke dear. I was mistaken. And I held. My head. And cried. You are my sunshine. My only sunshine. You make me happy. When the skies are grey. You'll never know dear. How much I love you. Please dont take. My sunshine. Away. You are my sunshine. My only sunshine. You make me happy. When the skies are grey. You'll never know dear. How much I love you. Please dont take. My sunshine. Away. Please dont take my sunshine away x5
lonesome town,There's a place where lovers go. To cry their troubles away. And they call it Lonesome Town. Where the broken heart stays. You can buy a dream or two. To last you all through the years. And the only price you pay. Is a heart full of tears. Going down to Lonesome Town. Where the broken hearts stay. Going down to Lonesome Town. To cry my troubles away. In the town of broken dreams. The streets are filled with regret. Maybe down in Lonesome Town. I can learn to forget. Maybe down in Lonesome Town. I can learn to forget.
poor little fool,I used to play around with hearts that hastened at my call. But when I met that little girl I knew that I would fall. Poor little fool oh yeah I was a fool uh huh. (Uh huh poor little fool I was your fool oh yeah). She played around and teased me with her carefree devil eyes. She'd hold me close and kiss me but her heart was full of lies. Poor little fool.... She told me how she cared for me and that we'd never part. And so for the very first time I gave away my heart. Poor little fool.... The next day she was gone and I knew she'd lied to me. She left me with a broken heart and won her victory. Poor little fool.... Well I'd played this game with other hearts but I never thought I'd see. The day that someone else would play love's foolish game with me. Poor little fool...
it's up to you,"It's up to you. Because I've done everything I can. I hope that you. Will say that I'm your lovin' man. Make up your mind. And do what you're gonna do. Well you know how I feel. So I'm leaving it up to you. It's all so clear. That I would give everything I own. To have you near. Never leave me all alone. I need your love. So, darling, please be fair. Let me know where I stand. And I hope that you say you care. Well I've laid my cards on the table. And its oh so plain to see. That I'm ready, willing and able. To love you faithfully. It's up to you. No, it's not for me to say. You love me too. Oh, but I hope you feel that way. Make up your mind. And do what you're gonna do. Well you know how I feel. So I'm leaving it up to you. [instrumental]. Make up your mind. And do what you're gonna do. Well you know how I feel. So I'm leaving it up to you. It's up to you. Darling, it's up to you. Baby, it's up to you. Darling, it's up to you. Baby, it's up to you. Darling. it's up to you. Baby, it's up to you"
don't leave me this way,When you came along oh happy was I when you went away I thought I would die. Oh baby don't leave me this way. You know how much I needed your touch baby I loved you a little too much. Oh baby don't leave me this way. I thought you said our love was true you loved me and I loved you. But now you're gone and I am blue oh what am I gonna do. I just can't see why you wanted to go you knew all along it hurt me so. Oh baby don't leave me this way. [ ac.guitar ]. I thought you said our love was true.... Oh baby don't leave me this way
believe what you say,"I believe what you say when you say you're goin' steady with nobody else but me. I believe what you say when you say you don't kiss nobody else but me. I believe (I believe), do believe (do believe), I believe (I believe). Yeah, I believe, pretty baby, believe you're goin' steady with nobody else but me. Well, there's-a one thing, baby, that I wantcha to know. When you're rockin' with me don't rock too slow. a-Move on in, get toe-to-toe. We're gonna rock till we can't rock no more. I believe (I believe), do believe (do believe), I believe (I believe). Yeah, I believe, pretty baby, believe you're goin' steady with nobody else but me. [spoken:] Well, let's dig it now.. [instrumental break]. Well, I believe what you say when you say you don't miss nobody else but me. I believe what you say when you say you don't kiss nobody else but me. I believe (I believe), do believe (do believe), I believe (I believe). Yeah, I believe, pretty baby, believe you're goin' steady with nobody else but me. Well, when you kiss me, baby, then you roll your eyes. I get a funny feelin' that I'm hypnotized. Chills run all up and down my spine. I'm tellin' everybody that you're mine, all mine. I believe (I believe), do believe (do believe), yeah believe (yeah believe). Oh, believe, pretty baby, believe you're goin' steady with nobody else but me. [spoken:] Oh, yeah!!. Well, I believe, do believe, yeah believe. Well, believe, pretty baby, believe you're goin' steady with nobody else but me"
someday (you'll want me to want you),I know that someday you'll want me to want you when I'm in love with somebody new. You expect me to be true and keep on loving you. Though I am feeling blue you think I can't forget you. Until someday you'll want me to want you when I'm in love with somebody new. Although you don't want me now I'll get along somehow and then I won't want you. [ guitar ]. I know that someday you'll want me to want you when I'm in love with somebody new. Although you don't want me now oh I'll get along somehow and then I won't want you
ain't nothing but love,"It ain't nothin' but love, it ain't nothin' but love. Can you feel your heart skip a little beat. It ain't nothin' but love. Do you feel kinda dizzy when you stand on your feet. It ain't nothin' but love. When she holds your hand do you feel real funny. Do you lose your head when she calls you honey. Well don't worry 'bout a thing now. Iit ain't nothin' but love, it ain't nothin' but love. Can you feel your head spinnin' all around. It ain't nothin' but love. And you feel like you're flyin' with your feet on the ground. It ain't nothin' but love. Do you walk her home with your arm around her. Then you think she's sweet but you're glad you found her. Well don't worry bout a thing now. It ain't nothin' but love, it ain't nothin' but love. Ain't nothin' but love, ain't nothin' but love. When you feel like everything's upside down. it ain't nothing but love. When you kiss her goodnight 37 times. That ain't nothin' but love. And you feel kind of funny when the wedding bells chime. That ain't nothin' but love. Do you feel real good everytime you kiss her. And if you left her now do you think you'd miss her. Well don't worry bout a thing now. That ain't nothin' but love, ain't nothin' but love. It ain't nothin' but love, ain't nothin' but love when. you feel like everything's upside down it ain't. nothin' but love. When you kiss her goodnight 37 times. That ain't nothin' but love. And you feel kind of funny when the wedding bells chime. That ain't nothin' but love. Do you feel real good everytime you kiss her. And if you left her now do you think you'd miss her. Well don't worry bout a thing now. That ain't nothin' but love, ain't nothin' but love. Ain't nothin' but love, That ain't nothin' but love. Um nothin' but love, Ain't nothin' but love. Ain't nothin' but love, Ain't nothin' but love. Well nothin' but love"
travelin' man,I’m a travelin’ man who made a lot of stops. All over the world. And in every port I owned a heart. Of at least one lovely girl. I’ve a pretty senorita waiting for me. Down in old Mexico. If you’re ever in Alaska. Stop and see my cute little Eskimo.. Oh my sweet frauline.. Down in Berlin town. Makes my heart start to yearn. And my China doll. Down in old Hong Kong. Waits for my return. Pretty Polynesian baby. Over the sea. I remember the night. When we walked in the sands of Waikiki. And I held you oh so tight. Oh my sweet frauline.. Down in Berlin town. Makes my heart start to yearn. And my China doll. Down in old Hong Kong. Waits for my return. Pretty Polynesian baby. Over the sea. I remember the night. When we walked in the sands of Waikiki. And I held you oh so tight. Road I’m a travelin’ man. Yes I’m a travelin’ man. Yes I’m a travelin’ man. Road I’m a travelin’ man
a wonder like you,"I've seen the snow-white mountains of Alaska. I've sailed along the rivers of Peru. I've seen the world and all its Seven Wonders. But I've never seen a wonder like you. I've stood upon the pyramids of Egypt. Far away across the ocean blue. I've seen the island beauties of Hawaii. But I've never seen a beauty like you. I've gazed at the White Cliffs Of Dover. There's not a place I didn't see. Now that my travels are over. I wish you had been there with me. I've seen the pretty dancing girls of Siam. The happy Polynesian people, too. But they're not as happy as I am. 'cause they haven't got a wonder like you. [instrumental interlude]. I've gazed at the White Cliffs Of Dover. There's not a place I didn't see. Now that my travels are over. I wish you had been there with me. I've seen the pretty dancing girls of Siam. The happy Polynesian people, too. But they're not as happy as I am. 'cause they haven't got a wonder like you. They haven't got a wonder like you. No, they haven't got a wonder like you. No, they haven't got a wonder like you"
