in my life,There are places i remember. All my life though some have changed. Some forever not for better. Some have gone and some remain. All these places have their moments. With lovers and friends i still can recall. Some are dead and some are living. In my life i've loved them all. But of all these friends and lovers. There is no one compares with you. And these memories lose thier meaning. When i think of love as something new. Though i know i'll never lose affection. For people and things that went before. I know i'll often stop and think about them. In my life i love you more. Though i know i'll never lose affection. For people and things that went before. I know i'll often stop and think about them. In my life i love you more. In my life i love you more...
a hard day's night,"It's been a hard day's night. And I've been workin' like a dog.. It's been a hard day's night.. I should be sleepin' like a log,. But when I get home to you,. I find the things that you do. Will make me feel alright.. You know I work all day. To get you money to buy you things. And it's worth it just to hear you say,. You're gonna give me everything.. So why on earth should I moan?. 'Cause when I get you alone,. You know a feel okay.. When I'm home,. Everything seems to be right.. When I'm home,. Feeling you holding me tight.. Tight, yeah.. It's been a hard day's night. And I've been workin' like a dog.. It's been a hard day's night.. I should be sleepin' like a log,. But when I get home to you,. I find the things that you do. Make me feel alright.. You make me feel alright.. You know I feel alright."
all my loving,"Composição: Lennon e McCartney. Close your eyes and i'll kiss you. Tomorrow i'll miss you. Remember i'll always be true. And then while i'm away. I'll write home everyday. And i'll send all my loving to you. I'll pretend that i'm kissing. The lips i am missing. And hope that my dreams will come true. And then while i'm away. I'll write home everyday. And i'll send all my loving to you. All my loving i will send to you. All my loving, darling, i'll be true. Close your eyes and i'll kiss you..."
and i love her,"And I Love Her - Beatles (Adaptado pela Rita Lee, ela troca o pronome feminino pelo masculino).. I give him all my love. That's all I do. And if you saw my love. You'd love him too. I love him. He gives me everything. And tenderly. The kiss my lover brings. He brings to me. And I love him. A love like ours. Could never die. As long as I. Have you near me. Bright are the stars that shine. Dark is the sky. I know this love of mine. will never die. And I love him. Bright are the stars that shine. Dark is the sky. I know this love of mine. will never die. And I love him, ooh"
cry me a river,"Now you say you're lonely. You cried the long night through. Well, you can cry me a river. Cry me a river. I cried a river over you. Now you say you''re sorry. For being so untrue. Well, you can cry me a river. Cry me a river. I cried a river over you. You drove me,. Nearly drove me out of my head. While you never shed a tear. Remember?. I remember all that you said. Told me love was to plebeian. Told me you were through with me. Now you say you love me. Well, just to prove you do. Cry me a river. Cry me a river. I cried a river over you. You drove me. Nearly drove me out of my head. While you never shed a tear. Remember?. I remember all that you said. Told me love was to plebeian. Told me you were through with me.... And now you say you love me. Well, just to prove that you do.... Come on! Come on!. Cry me a river.... Cry me a river.... I cried a river over you. I cried a river over you..."
every breath you take,"Every breath you take. Every move you make. Every bond you break. Every step you take. I'll be watching you. Every single day. Every word you say. Every game you play. Every night you stay. I'll be watching you. Oh can't you see. You belong to me. My poor heart aches. With every step you take. Every move you make. Every vow you break. Every smile you fake. Every claim you stake. I'll be watching you. Since you've gone I've been lost without a trace. I dream at night I can only see your face. I look around but it's you I can't replace. I feel so cold and I long for your embrace. I keep crying baby, baby, please. Oh can't you see. You belong to me. My poor heart aches. With every step you take. Every move you make. Every vow you break. Every smile you fake. Every claim you stake. I'll be watching you. Every move you make. Every step you take. I'll be watching you"
"here, there and everywhere","Composição: Lennon / McCartney. To lead a better life,. I need my love to be here.. Here, making each day of the year. Changing my life with a wave of her hand. Nobody can deny that there's something there.. There, running my hands through her hair. Both of us thinking how good it can be. Someone is speaking but she doesn't know he's there.. I want her everywhere. and if she's beside me I know I need never care.. But to love her is to need her. Everywhere, knowing that love is to share. each one believing that love never dies. watching her eyes and hoping I'm always there.. I want her everywhere. and if she's beside me I know I need never care.. But to love her is to need her.. Everywhere, knowing that love is to share. each one believing that love never dies. watching her eyes and hoping I'm always there.. I will be there, and everywhere.. Here, there and everywhere."
i want to hold your hand,"Oh yeah I'll tell you something. I think you'll understand. When I'll say that something. I wanna hold your hand. Oh please say to me. You'll let me be your man. And please say to me. You'll let me hold your hand. Now let me hold your hand. I wanna hold your hand. And when I touch you I feel happy inside. It's such a feeling that my love. I can't hide, I can't hide, I can't hide. Yeah you, got that something. I think you'll understand. When I feel that something. I wanna hold your hand"
if i fell,"If I fell in love with you,. Would you promise to be true. And help me understand?. 'Cause I've been in love before. And I found that love was more. Than just holdin' hands.. If I give my heart. To you,. I must be sure. From the very start. That you. Would love me more than her.. If I trust in you. Oh, please,. Don't run and hide.. If I love you too. Oh, please,. Don't hurt my pride like her. 'Cause I couldn't stand the pain. And I. Would be sad if our new love. Was in vain.. So I hope you see. That I. Would love to love you. And that she. Will cry. When she learns we are two. 'Cause I couldn't stand the pain. And I. Would be sad if our new love. Was in vain.. So I hope you see. That I. Would love to love you. And that she. Will cry. When she learns we are two.. If I fell in love with you."
in my life,There are places i remember. All my life though some have changed. Some forever not for better. Some have gone and some remain. All these places have their moments. With lovers and friends i still can recall. Some are dead and some are living. In my life i've loved them all. But of all these friends and lovers. There is no one compares with you. And these memories lose thier meaning. When i think of love as something new. Though i know i'll never lose affection. For people and things that went before. I know i'll often stop and think about them. In my life i love you more. Though i know i'll never lose affection. For people and things that went before. I know i'll often stop and think about them. In my life i love you more. In my life i love you more...
