i don't want to talk about it,"I can tell by your eyes. That you've probably been crying forever. And the stars in the sky don't mean nothing. To you, they're a mirror.. I don't want to talk about it. How you broke my heart. If I stay here just a little bit longer. If I stay here won't you listen to my heart?. Oh, my heart.... If I stand all alone. Will the shadows hide the colors of my heart?. Blue for the tears, black for the night's fears. The stars in the sky don't mean nothing to you. They're Just a mirror.. I don't want to talk about it,. How you broke my heart.. If I stay here just a little bit longer,. If I stay here, won't you listen to my heart?. Oh, my heart..."
sailing,"I am sailing, I am sailing. Home again, 'cross the sea. I am sailing, stormy waters. To be near you, to be free. I am flying, I am flying. Like a bird, 'cross the sky. I am flying, passing high clouds. To be with you, to be free. Can you hear me, can you hear me. Through the dark night, far away. I am dying, forever crying. To be with you, who can say. Can you hear me, can you hear me. Through the dark night far away. I am dying, forever crying. To be with you, who can say. We are sailing, we are sailing. Home again 'cross the sea. We are sailing stormy waters. To be near you, to be free. Oh lord, to be near you, to be free. Oh lord, to be near you, to be free. Oh lord"
have you ever seen the rain?,"Someone told me long ago. There's a calm before the storm. I know. It's been coming for some time. When it's over, so they say. It'll rain a sunny day. I know. Shinin' down like water. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?. Yesterday and days before. Sun is cold and rain is hot. I know. Been that way for all my time. 'Til forever, on it goes. Through the circle, fast and slow. I know. It can't stop, I wonder. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?. Yeah!. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?"
the way you look tonight,"Some day, when I'm awfully low. When the world is cold. I will feel a glow just thinking of you. And the way you look tonight. You're so lovely, with your smile so warm. And your cheek so soft. There is nothing for me but to love you. And the way you look tonight. With each word your tenderness grows. Tearing my fears apart. And that laugh that wrinkles your nose. Touches my foolish heart. Yes you're lovely, never ever change. Keep that breathless charm. Won't you please arrange it?. 'Cause I love you. Just the way you look tonight. With each word your tenderness grows. Tearing my fears apart. And that laugh that wrinkles your nose. Touches my foolish heart. Yes you're lovely, never ever change. Keep that breathless charm. Won't you please arrange it?. 'Cause I love you. Just the way you look tonight. Just the way you look tonight. Darling. Just the way you look tonight"
look in her eyes,"See the line all around the block. Watch all the pretty girls looking roguishly hot. Right on time, here come all the dudes. They work the room and validate their crew. (Oh yeah). It's not submission, it's just the look in her eyes. There's no decision, it's just the look in her eyes. The Johnny is jumping, the Dj's settin' 'em free. Johnny from Brooklyn meets Marianne from Queens. They hit it off, he has all the moves. She's fascinated but leaves him looking for clues. She's not pretending, it's just the look in her eyes. She's not suggesting, it's just the look in her eyes. He leads her by the hand, he says ""Dance little sister, dance"". Is it one those nights where the stars and the moon collide, aw yeah. Don't be fooled by the look in her eyes. [?]. The sun is rising, he says I'll walk you home. He's got the sweet talk, she's in her comfort zone. He's so smooth, he always gets the girl. But she ain't fooled, her mother taught her well. It's not submission, it's just the look in her eyes. There's no decision, it's just the look in her eyes. She's not pretending, it's just the look in her eyes. She's not suggesting, it's just the look in her eyes"
you're in my heart (the final acclaim),"I didn't know what day it was. when you walked into the room. I said hello unnoticed. You said goodbye too soon. Breezing through the clientele. spinning yarns that were so lyrical. I really must confess right here. the attraction was purely physical. I took all those habits of yours. that in the beginning were hard to accept. Your fashion sense, Beardsly prints. I put down to experience. The big bosomed lady with the Dutch accent. who tried to change my point of view. Her ad lib lines were well rehearsed. but my heart cried out for you. You're in my heart, you're in my soul. You'll be my breath should I grow old. You are my lover, you're my best friend. You're in my soul. My love for you is immeasurable. My respect for you immense. You're ageless, timeless, lace and fineness. You're beauty and elegance. You're a rhapsody, a comedy. You're a symphony and a play. You're every love song ever written. But honey what do you see in me. You're in my heart, you're in my soul. You'll be my breath should I grow old. You are my lover, you're my best friend. You're in my soul. You're an essay in glamour. Please pardon the grammar. but you're every schoolboy's dream. You're Celtic, United,. but baby I've decided. You're the best team I've ever seen. And there have been many affairs. Many times I've thought to leave. But I bite my lip and turn around. 'cause you're the warmest thing I've ever found. You're in my heart, you're in my soul. You'll be my breath should I grow old. You are my lover, you're my best friend. You're in my soul"
forever young,"May the good lord be with you down. Every road you're on. And may sunshine and happiness,. Surround you when you're far from home. And may you grow to be proud,. Dignified and true. And do unto others. As you'd have done to you. Be courageous and be brave. And in my heart you'll always stay. Forever young, forever young,. Forever young. May good fortune be with you,. May your guiding light be strong. Build a stairway to heaven with. Your prince or your vagabond. And may you never love in vain. And in my heart you will remain. Forever young, forever young,. Forever young. Forever young. Forever young. And when you finally fly away,. I'll be hoping that I served you well. For all the wisdom of a lifetime,. No one can ever tell. But whatever road you choose. I'm right behind you win or lose. Forever young, forver young,. Forever young forever young. Forever young forever young. Forever young"
baby jane,Baby Jane don't leave me hanging on the line. I knew you when you had no one to talk to. Now you're moving in high society. don't forget I know secrets about you. I used to think you were on my side. but now I'm no longer sure. I wish I knew what I know now before. When I give my heart again. I know it's gonna last forever. No one tell me where or when. I know it's gonna last forever. Baby Jane don't it make you feel sad. just when I thought that we were winning. You and I were so close in every way. don't time fly when you're loving and laughing. I've said goodbye so many times. the situation ain't all that new. Optimism's my best defense. I'll get through without you. When I give my heart again. I know it's gonna last forever. No one tell me where or when. I know it's gonna last forever. I won't be that dumb again. I know it's gotta last forever. When I fall in love again. I know it's gonna last forever. Baby Jane I've said all I want to say. go your own way don't think twice about me. Cause I've got ideas and plans of my own. so long darlin' I'll miss you believe me. The lesson learned was so hard to swallow. but I know that I'll survive. I'm gonna take a good look at myself and cry. When I give my heart again. I know it's gonna last forever. No one tell me where or when. I know it's gonna last forever. When I fall in love next time. I know it's gonna last forever. I won't be that dumb again. I know it'll last forever
when i need you,"(Carol Bayer Sager, Albert Hammond). When I need you. I just close my eyes and I'm with you. And all that I so want to give you. it's only a heart beat away. When I need love. I hold out my hand and I touch love. I never knew there was so much love. keeping me warm night and day. Miles and miles of empty space in between us. A telephone can't take the place of your smile. But you know I won't be traveling forever. It's cold out but hold out and do like I do. When I need you. I just close my eyes and I'm with you. And all that I so want to give you baby. it's only a heart beat away. It's not easy when the road is your driver. Honey that's a heavy load that we bear. But you know I won't be traveling a lifetime. It's cold out so hold out and do like I do. When I need you. When I need love. I hold out my hands and I touch love. I never knew there was so much love. keeping me warm night and day. When I need you. I close my eyes. I hold out my hand and I've got you darlin'. It's only a heart beat away. Now listen. When I need you darlin'. I hold you, feel ya. Give it to me baby. And I miss ya baby. Just close my eyes and I'm with you. And I need you tonight. You know it's only a heart beat away."
my heart can't tell you no,"I don't want you to come round here no more,. I beg you for mercy.. You don't know how strong my weakness is. Or how much it hurts me.. Cause when you say it over with him,. I want to believe it's true.. So I let you in, knowing tomorrow. I'm gonna wake up missing you,. Wake up missing you.. When the one you love's in love with someone else,. Don't you know it's torture? I mean it's a living hell.. No matter how I try to convince myself,. This time I won't lose control.. One look in your blue eyes. and suddenly my heart can't tell you no.. I don't want you to call me up no more,. Saying you need me.. You're crazy if you think just half your love. Could ever please me.. Still I want to hold you, touch you. When you look at me that way.. There's only one solution I know:. You gotta stay away from me,. Stay away from me!. When the one you love's in love with someone else,. Don't you know it's torture? I mean it's a living hell.. No matter how I try to convince myself,. This time I won't lose control.. One look in your sad eyes and suddenly my heart can't tell you no.. My Heart can't tell you no!. I don't want you to come round here no more,. I beg you for mercy.. You don't know how strong my weakness is. Or how much it hurts me.. Cause when you say its over with him,. I want to believe it's true.. So I let you in knowing tomorrow. I'm gonna wake up missing you,. Wake up missing you.. When the one you love's in love with someone else,. Don't you know it's torture? I mean it's a living hell.. When the one you love's in love with someone else,. Don't you know it's torture? I mean it's a living hell.. Living hell..."
