blackout,"Sleepy city in the midnight calm. All awoken by death's alarm. Frenzied panic everyone's in shock. Search-lights show the coming of the iron flock. Blockbusters falling down like rain. Birds of steel deliver death and pain. Refrão:. Blackout when the sirens sound. Bombs be fallin' y'all you better get down. Blackout all over town. Woman and children go down in the ground. Blackout (4x). Dictators and terror kings. Invade us with their war machines. Nowhere to run, nowhere to go. Think we're gonna lay down and die. Ya cry ""hell no"". Man the cannons and open fire. Flames of war burning higher and higher. Refrão (2x). Blackout when the sirens sound. Yeah, the blitz is coming, oh the blitz is coming. Blackout all over town. Armageddon coming, yeah, armageddon coming. Blackout (3x). There's gonna be a blackout!. . (Postado por Figure17)"
voodoo hand,"Late one night I was fixin' to fight. A dirty hustler tryin' to cop my $$$. When from behind a whiskey bottle. Cracked me then I hit the floor. Barely alive I could feel him drive. A black needle in to draw my blood. With an evil grin he sang a mojo hymn. And left me face down in the mud. Dark angel gonna get me. Lord, set me free. I've been cursed by a voodoo hand. Black magic all around. Oh mama, pray for my soul. I'm dying on this killing ground. Cursed by a voodoo hand. Death's needle pushing down. Oh mama, pray for my soul. I'm dying on this killing ground. Well, I headed south by word of mouth. To a shack down Louisiana way. I meet another man with voodoo hands. And this is what he had to say. I feel it in my bones. That your restless soul's. Tormented by an evil curse. But if this mojo man. Got your blood in his hands. No way the spell can be reversed. Dark angel ain't gonna let me be. I've been cursed by a voodoo hand. Black magic all around. Oh mama, pray for my soul. I'm dying on this killing ground. Cursed by a voodoo hand. Death's needle pushing, pushing. Oh mama, pray for my soul. I'm dying on this killing ground. Oh Lord, I'm dying. Cursed by a voodoo hand. Black magic all around. Oh mama, pray for my soul. I'm dying on this killing ground. Cursed by a voodoo hand. Death's needle pushing down. Oh mama, pray for my soul. I'm dying on this killing ground. . (postado por Figure17)"
angel,"Feeling heavy, got this stone on my back. It's driving me insane. Like a levy that's beggining to crack. Holding back this river of pain. Desperation has captured my soul. My mind stricken with fear. Don't see why I should try to go on. The voice of reason's calling me. It's calling me, but I can't hear it. Oh, my hands are shaking. Rattled nerves on the verge of breaking. That blade is turning on me. Turning, turning. (Guardian). Angel, where are you now?. No one can save me, only you know how. (Guardian). Angel, out on a ledge. Pull me away and save me from the bleeding edge. Lonely days and lonelier nights. No love come arond my door. Oh, then demons they just screamin' away. Lord, I can't take it. I can't take enough to make it go away. I'm feeling jaded. Tired eyes on the verge of fading. Oh no, oh here they come again. Trying to tell me death is my friend. (Guardian). Angel, where are you now?. No one can save me, only you can save me now. (Guardian). Angel, out on a ledge. Pull me away and save me from the bleeding edge. . (Postado por Figure17)"
atomic soul,"Rockin' down the road. And rollin' with the band. Livin' for the music. Playin' all across the land. Come on, we're live tonight. ?. Come on, if ya want to fly. Baby, got to spread your wings. Let the sound surround you. Let it get under your skin. Feel the rhythm move you. Open up your heart. I'm coming in. Yeah, it's alright. We're gonna let it burn tonight. Get ready for a rocket ride. I'm on fire, fire. Yeah, you ready to go. Man, you're gonna lose control. You're feelin' that atomic soul. You're on fire, fire. You're on fire now. Flyin' way beyond the speed of sound. I'm feelin' so high. I never wanna come back down. Come on feel the rush. Jump, jump, jump right in. Come on raise your hands. Let the fun begin. Let the sound surround you. Let it get under your skin. Feel the rhythm move you. Open up your heart. I'm coming. I'm coming in. Yeah, it's alright. We're gonna let it burn tonight. Get ready for a rocket ride. I'm on fire, fire. Yeah, you ready to go. Man, you're gonna lose control. You're feelin' that atomic soul. You're on fire, fire. You're on fire now. Yeah, it's alright. We're gonna let it burn tonight. Get ready for a rocket ride. I'm on fire, fire. Yeah, you ready to go. Man, you're gonna lose control. You're feelin' that atomic soul. You're on fire, fire. Fire, fire. We're on fire, fire. Lord, we're on fire now. . (postado por Figure17)"
blackout,"Sleepy city in the midnight calm. All awoken by death's alarm. Frenzied panic everyone's in shock. Search-lights show the coming of the iron flock. Blockbusters falling down like rain. Birds of steel deliver death and pain. Refrão:. Blackout when the sirens sound. Bombs be fallin' y'all you better get down. Blackout all over town. Woman and children go down in the ground. Blackout (4x). Dictators and terror kings. Invade us with their war machines. Nowhere to run, nowhere to go. Think we're gonna lay down and die. Ya cry ""hell no"". Man the cannons and open fire. Flames of war burning higher and higher. Refrão (2x). Blackout when the sirens sound. Yeah, the blitz is coming, oh the blitz is coming. Blackout all over town. Armageddon coming, yeah, armageddon coming. Blackout (3x). There's gonna be a blackout!. . (Postado por Figure17)"
gaia,"She was born in a sea of rage. A star we call the sun forged her body. In an ancient age. She fought hard to raise us. But still we look to the stars. Seeking life in the great beyond. Life beyond this life of ours. She reigns on and on. Spinning into oblivion. Silver string. She pulls me back. With in her sentinel moon. Shielding me from the lifeless black. When all her children leave. I will stay behind. To guard the queen. And hold the line. She reigns on and on. Spinning into oblivion. Oh, she's divine. The envy of all around her. Oh, a beautiful aura of blue surrounds her. She reigns on and on. Spinning into oblivion. She reigns on and on. Spinning into oblivion. Oh, she's divine. The envy of all around her. Oh, the mystical aura of life. Surrounds her. After all is dead and gone. Her spirit lives on forever. . (Postado por Figure17)"
gone too far,"I washed my hands today. Won't follow you this time I feel. I beg you to stay away. The bloodstains won't come out. The color it won't leave my soul. I must be free. [Chorus:]. I won't hear no more. I won't see anymore. I won't be a part of anything your evil mind creates. I won't take no more. I won't speak no more. You can keep your lies onto yourself,. I know just what you are. This time you've gone too far. It's getting hard to breathe. I'm choking on the memories. You're not the way I want to be. I'm picking up the pieces of my life. So say no more. Just say goodbye. [Chorus]. This time you've gone too far!. You've gone too far..!. Far away, far away... Oh... [Solo]. [Chorus x2]"
her spell,"I have never seen you here before. I wonder who was coming through that door. Why did the air turn cold. Suddenly I feel old. Why did the light fade away. I have seen those eyes somewhere I'm sure. Look away, this is more than I can do. Her eyes start to glow. I can see that she knows. And there is no way out. [Chorus:]. I'm under her spell. I won't ever be free, she is watching me. I won't leave this spell. I won't ever be free, she is still watching me. She whispers spells when I'm asleep. I can feel her evil piercing deep. She knows what she's doing. Cast my life into ruins. And it's too late now. The evil smile won't leave her face. She leads me into wicked ways. It's too late to break loose. Too late to choose. Oh, and I must follow her now. [Chorus]. [Solo]. When she starts to float. I can see that she rose. And there is no way out. [Chorus x2]"
hunter's night,"The heavy air is hard to breath. The nights challenge her. She is here because of greed. She feels the smell of fear. She senses it in the air. There's nowhere to run. And there's nowhere, nowhere to hide.. Don't you look into her evil eyes. Don't touch her cold skin or. You slowly will die. Don't be fooled by her friendly smile. Don't you follow her treacherous voice. That leads the fool into her arms.... Here she comes chasing after your poor soul. She won't let your heart go on. The hunter's night will last forever. No one out there knows she's here. Hurry before it's too late. Silent steps approaching you.."
just a dream,"These illusions have taken over all my nights. Don't dare to close my eyes anymore. Another night awake and waiting for the dawn to come. Another bed that I won't fall, fall into my dream. [Chorus:]. Wake me up, make me see. Remove this maid-up chains from me. Give me faith. Tell me this is only just a dream. Will you save me if I ever lose my mind?. Will you be there when the shadows are taking over?. And will you want me when the night is closing in on. me?. Is there a way to stay awake and never close my eyes?. [Chorus x2]. Can't separate the day from night. Don't see the difference between the dark and light. Are my dreams real or just a lie?. Tell me am I alive?. [Solo]. [Chorus x2 - Acoustic]. [Chorus x2]. [Chorus x2 - Choirs]"
