smooth (feat. rob thomas),"Man it's a hot one. Like seven inches from the midday sun. I hear you whisper and the words melt everyone. But you stay so cool. My muñequita, my Spanish harlem Mona Lisa. You're my reason for reason. The step in my groove. And if you say this life ain't good enough. I would give my world to lift you up. I could change my life to better suit your mood. Cause you're so smooth. And it's just like the ocean under the moon. Well that's the same as the emotion that I get from you. You got the kind of lovin that can be so smooth. Give me your heart, make it real. Or else forget about it. I'll tell you one thing. If you would leave it'd be a crying shame. In every breath and every word I hear your name calling me out. Out from the barrio, you hear my rhythm on the radio. You feel the turning of the world so soft and slow. Turning you round and round. And if you say this life ain't good enough. I would give my world to lift you up. I could change my life to better suit your mood. Cause you're so smooth. And it's just like the ocean under the moon. Well that's the same as the emotion that I get from you. You got the kind of lovin that can be so smooth. Give me your heart, make it real. Or else forget about it. And it's just like the ocean under the moon. Well that's the same as the emotion that I get from you. You got the kind of lovin that can be so smooth. Give me your heart, make it real. Or else forget about it"
maria maria (feat. the product g&b),"Ho Maria Maria. She reminds me of a west side story. Growing up in Spanish Harlem. She's living the life just like a movie star. Ho Maria Maria. She fell in love in East L.A.. To the sounds of the guitar, yeah, yeah. Played by Carlos Santana. Stop the looting, stop the shooting. Pick pocking on the corner. See as the rich is getting richer. The poor is getting poorer. Se mira Maria on the corner. Thinking of ways to make it better. In my mailbox there's an eviction letter. Somebody just said see you later. Ahora vengo mama chola mama chola. Ahora vengo mama chola (East Coast). Ahora vengo mama chola mama chola. Ahora vengo mama chola (West Coast). Ho Maria Maria. She reminds me of a west side story. Growing up in Spanish Harlem. She's living the life just like a movie star. Ho Maria Maria. She fell in love in East L.A.. To the sounds of the guitar, yeah, yeah. Played by Carlos Santana. I said a la favella los colores. The streets are getting hotter. There is no water to put out the fire. Mi corta la esperanza. Se mira Maria on the corner. Thinking of ways to make it better. Then I looked up in the sky. Hoping of days of paradise. Ahora vengo mama chola mama chola. Ahora vengo mama chola (North Side). Ahora vengo mama chola (South Side). Ahora vengo mama chola (Worldwide). Maria you know you're my lover. When the wind blows I can feel you. Through the weather and even when we're apart. It feels like we're together. Ho Maria Maria. She reminds me of a west side story. Growing up in Spanish Harlem. She's living the life just like a movie star. Ho Maria Maria. She fell in love in East L.A.. To the sounds of the guitar, yeah, yeah. Played by Carlos Santana"
the game of love (feat. michelle branch),"Tell me just what you want me to be. One kiss and boom you're the only one for me. So please tell me why don't you. Come around no more. Cause right now. I'm crying outside the door of your. candy store. It just takes a little bit of this. A little bit of that. It started with a kiss. Now we're up to bat. A little bit of laughs. A little bit of pain. I'm telling you, my babe. It's all in the game of love. This, whatever you make it to be. Sunshine set on this cold lonely sea. So please baby try and use me for what I'm. good for. It ain't sayin' goodbye that's knocking down the door. of your candy store. It's all in this game of love. You roll me. Control me. Console me. Please hold me. You guide me. Divide me. Into what. So please tell me why don't you come. around no more. Cause right now I'm dying outside the door of your. loving store. It's all in this game of love. It's all in the game of love. Yeah, in the game of love. Roll me. Control me. Please hold me. (make me feel good, yeah)"
hold on,"Don't rush me just this once. I want to make this moment last. Slow down the pace, there's no hurry. I can't let another pass me by again. Let me be the one to say when I've had enough. . Just let me close my eyes, memorize. The way things are this minute. So when you're gone I can go on. If memory can hold within it what I'm feeling. Should time try fading or stealing something away. . Chorus:. Hold on, nothing's the same. Tell me why I feel this way. Life wouldn't be worth living without you. All along I've been the pretender. But now that's gone forever. Nobody's ever loved me like you do. Nobody's broken through. . Got to concentrate, file away. Every last detail. Don't want to lost what's going down. I want to remember everything I'm feeling. Should time try fading or stealing something away. Chorus:. Hold on, nothing's the same. Tell me why I feel this way. Life wouldn't be worth living without you. All along I've been the pretender. But now that's gone forever. Nobody's ever loved me like you do. Nobody's broken through"
why don't you & i (feat. alex band),"Since the moment I spotted you. Walking 'round with little wings on my shoes. My stomach's filled with the butterflies. And it's alright. Bouncing round from cloud to cloud. I got the feelin' like I'm never gonna come down. If I said I didn't like it then you know I'd lied. But every time I try to talk to you. I get tongue-tied. Turns out, everything I say to you. Comes out wrong and never comes out right. So I'll say why don't you and I get together an' sing on the world. and be together forever. Heads we will and tails we'll try again. So I say why don't you and I hold each other, fly to the moon. and straight on to heaven. Cause without you they're never gonna let me in. When's this fever gonna break ?. I think I've handled more than any man can take. I'm like a love-sick puppy chasing you around. And it's alright. Bouncin' round from cloud to cloud. I got the feeling like I'm never gonna come down. If I said I didn't like it then you know I'd lied. Every time I try to talk to you. Get tongue-tied. Turns out, everything I say to you. Comes out wrong and never comes out right. So I'll say why don't you and I get together an' take on the world. and be together forever. Heads we will and tails we'll try again. So I say why don't you and I hold each other, fly to the moon. and straight on to heaven. Cause without you they're never gonna let me in. Slowly I begin to realize this is never gonna end. About the same time you walk by. And I say oh here we go again, oh. Every time I try to talk to you. I get tongue-tied. Turns out, everything I say to you. Comes out wrong and never comes out right. So I'll say why don't you and I get together an' take on the world. and be together forever. Heads we will and tails we'll try again. So I say why don't you and I hold each other, fly to the moon. and straight on to heaven. Cause without you they're never gonna let me in. So I'll say why don't you and I get together take and on the world. and be together forever. Heads we will and tails we'll try again. So I say why don't you and I hold each other, fly to the moon. and straight on to heaven. Cause without you they're never gonna let me in. So I'll say why don't you and I get together and take on the world. and be together forever"
just feel better,"She said I feel stranded. And I can't tell anymore. If I'm coming or I'm going. It's not how I planned it. I got a key to the door. But I just won't open.... I know I know I know. Part of me says let it go. And life happens for a reason. I don't I don't I don't. Cause it never worked before. But this time, this time. I'm gonna try anything to just feel better. Tell me what to do. You know I can't see through the haze around me. And I'll do anything to just feel better. And I can't find my way. God, I need a change. Yeah and I'll do anything to just feel better. Any little thing to just feel better. She said I need you to hold me. I'm a little far from the shore. And I'm afraid of sinking. You're the only one who knows me. And who doesn't ignore. That my soul is weeping. I know I know I know. Part of me says let it go. Everything must have a season. Round and round it goes. Every days the one before. But this time, this time. I'm gonna try anything to just feel better. Tell me what to do. You know I can't see through the haze around me. And I'll do anything to just feel better. I can't find my way. God, I need a change. And I'll do anything to just feel better. Any little thing to just feel better. I'm tryin' to holding on. To all the things I ever leave behind, yeah. It's me again you know yeah. I think I need a little help this time. Yeah. I'm gonna try anything to just feel better. Tell me what to do. You know I can't see through the haze around me. And I'll do anything to just feel better. I can't find my way. God, I need a change. And I'll do anything to just feel better. Any little thing to just feel better"
while my guitar gently weeps,I look at you all. see the love there that's sleeping. While my guitar gently weeps. I look at the floor. and I see it need sweeping. Still my guitar gently weeps. I don't know why nobody told you. how to unfold you love. I don't know how someone controlled you. they bought and sold you. I look at the world and I notice it's turning. While my guitar gently weeps. With every mistake we must surely be learning. Still my guitar gently weeps. I don't know how you were diverted. you were perverted too. I don't know how you were inverted. no one alerted you. I look at you all see the love there. that's sleeping. While my guitar gently weeps. I look at you all. Still my guitar gently weeps. Oh oh oh. oh oh oh oh oh oh oh. oh oh oh oh oh oh. Yeah yeah yeah yeah. yeah yeah yeah yeah
sideways,You know it aint easy. For these thoughts here to leave me. No words to describe it. In French or in English. 'Cause diamonds they fade. And Flowers they bloom. And I'm tellin' you. These feelings won't go away. They've been knockin' me sideways. They've been knockin' me out lately. Whenever you come around me. These feelings won't go away. They've been knockin' me sideways. I keep thinkin' in a moment that. Time will take them away. These feelings won't go away. These feelings won't go away. It aint easy. For these thoughts here to leave me. There are no words to describe it. In French or in English. 'Cause diamonds they fade (diamonds they fade). And flowers they bloom (flowers they bloom). And I'm tellin'you. These feelins won't go away. They've been knockin' me sideways. They've been knockin' me out lately. Whenever you come around me. These feelings won't go away. They've been knockin' me sideways. I keep thinkin' that in a moment that. Time will take them away.
put your lights on,"Hey now, all you sinners. Put your lights on, put your lights on. Hey now, all you lovers. Put your lights on, put your lights on. Hey now, all you killers. Put your lights on, put your lights on. Hey now, all you children. Leave your lights on, you better leave your lights on. Because there's a monster living under my bed. Whispering in my ear. There's an angel, with a hand on my head. She say I've got nothing to fear. There's a darkness deep in my soul. I still got a purpose to serve. So let your light shine, deep into my home. God, don't let me lose my nerve. don't let me lose my nerve. Hey now, hey now, hey now, hey now. Wo oh hey now, hey now, hey now, hey now. Hey now, all you sinners. Put your lights on, put your lights on. . Because there's a monster living under my bed. Whispering in my ear. There's an angel, with a hand on my head. She says I've got nothing to fear. She says, Whooo-ahha hey. La la, you shine like stars. Whoo-aohaha hey la la,you shine like the stars. And fade away"
wishing it was,"Beauty and grace is what touches me most. Good time can put me in fear. Always feel safe when things are bad. So I cannot let you come near. It seems that I thrive on the dark side of things. I always feel alive when the death bell rings. Now you have come and bring out the tears in me. Pain never makes me cry, but happiness does. It's so strange to watch my life go by. Wishing it was. Wishing it was more like a fantasy. Where everyone surprises me. Wishing it was. This feeling won’t last cause I cannot survive. I tell you I’ve been here before. When it’s movin this fast. It's a matter of time. One of us walks out that door. It seems that I thrive on the dark side of things. I always feel alive when the death bell rings. Now you come and you bring out the tears in me. Give this some thought. And I’m sure you will know. This is the way it must be. Emotions will rise, emotions will flow. You bring out the tears in me. It's so strange to watch your life walk and where everyday. I've been burning the candle at both ends. And lied the truth I can’t pretend. This is why I will not stay baby. Just like that I’m on my way."
