wind of change,"I follow the Moskva. Down to Gorky Park. Listening to the wind of change. An August summer night. Soldiers passing by. Listening to the wind of change. The world is closing in. Did you ever think. That we could be so close, like brothers. The future's in the air. I can feel it everywhere. Blowing with the wind of change. [Chorus:]. Take me to the magic of the moment. On a glory night. Where the children of tomorrow dream away. In the wind of change. Walking down the street. And distant memories. Are buried in the past forever. I follow the Moskva. Down to Gorky Park. Listening to the wind of change. Take me to the magic of the moment. On a glory night. Where the children of tomorrow share their dreams. With you and me. Take me to the magic of the moment. On a glory night. Where the children of tomorrow dream away. In the wind of change. The wind of change blows straight. Into the face of time. Like a stormwind that will ring. The freedom bell for peace of mind. Let your balalaika sing. What my guitar wants to say. Take me to the magic of the moment. On a glory night. Where the children of tomorrow share their dreams. With you and me. Take me to the magic of the moment. On a glory night. Where the children of tomorrow dream away. In the wind of change"
still loving you,"Time, it needs time. To win back your love again. I will be there, I will be there. Love, only love. Can bring back your love someday. I will be there, I will be there. Fight, baby, I'll fight. To win back your love again. I will be there, I will be there. Love, only love. Can break down the walls someday. I will be there, I will be there. If we'd go again. All the way from the start. I would try to change. The things that killed our love. Your pride has built a wall, so strong. That I can't get through. Is there really no chance. to start once again. I'm loving you. Try, baby try. To trust in my love again. I will be there, I will be there. Love, our love. Just shouldn't be thrown away. I will be there, I will be there. If we'd go again. All the way from the start. I would try to change. The things that killed our love. Your pride has built a wall, so strong. That I can't get through. Is there really no chance. to start once again. If we'd go again. All the way from the start. I would try to change. The things that killed our love. Yes, I've hurt your pride, and I know. What you've been through. You should give me a chance. This can't be the end. I'm still loving you. I'm still loving you. I'm still loving you, I need your love. I'm still loving you"
you and i,I lose control. because of you babe. I lose control. when you look at me like this. There's something in your eyes. that is saying tonight. I'm not a child anymore. life has opened the door. to a new exciting life. I lose control. when I'm close to you babe. I lose control. don't look at me like this. There's something in your eyes. is this love at first sight. Like a flower that grows. life just wants you to know. all the secrets of life. It's all written down in your lifelines. It's written down inside your heart. You and I just have a dream. to find our love a place. where we can hide away. You and I were just made. to love each other now. forever and a day. I lose control. because of you babe. I lose control. don't look at me like this. There's something in your eyes. that is saying tonight. I'm so curious for more. just like never before. in my innocent life. It's all written down in your lifelines. It's written down inside your heart. You and I just have a dream. to find our love a place. where we can hide away. You and I were just made. to love each other now. forever and a day. Time stands still. when the days of innocence. are falling for the night. I love you girl. I always will. I swear I'm there for you. till the day I die. You and I just have a dream. to find our love a place. where we can hide away. You and I were just made. to love each other now. forever and a day
always somewhere,"Arrive at seven the place feels good. No time to call you today. Encores till eleven, Chinese food. Back to the hotel again. I call your number the line ain't free. I'd like to tell you come to me. A night without you seems like a lost dream. Love I can't tell you how I feel. Always somewhere. Miss you where I've been. I'll be back to love you again. Always somewhere. Miss you where I've been. I'll be back to love you again. Another morning another place. The only day off is far away. But every city has seen me in the end. And brings me to you again. Always somewhere. Miss you where I've been. I'll be back to love you again. Always somewhere. Miss you where I've been. I'll be back to love you again"
send me an angel,The wise man said just walk this way. To the dawn of the light. The wind will blow into your face. As the years pass you by. Hear this voice from deep inside. It's the call of your heart. Close your eyes and you will find. Passage out of the dark. Here I am. Will you send me an angel. Here I am. In the land of the morning star. The wise man said just find your place. In the eye of the storm. Seek the roses along the way. Just beware of the thorns. Here I am. Will you send me an angel. Here I am. In the land of the morning star. The wise man said just raise your hand. And reach out for the spell. Find the door to the promised land. Just believe in yourself. Hear this voice from deep inside. It's the call of your heart. Close your eyes and you will find. The way out of the dark. Here I am. Will you send me an angel. Here I am. In the land of the morning star. Here I am. Will you send me an angel. Here I am. In the land of the morning star
rock you like a hurricane,"It's early morning. The sun comes out. Last night was shaking. And pretty loud. My cat is purring. And scratches my skin. So what is wrong. With another sin. The bitch is hungry. She needs to tell. So give her inches. And feed her well. More days to come. New places to go. I've got to leave. It's time for a show. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. My body is burning. It starts to shout. Desire is coming. It breaks out loud. Lust is in cages. Till storm breaks loose. Just have to make it. With someone I choose. The night is calling. I have to go. The wolf is hungry. He runs the show. He's licking his lips. He's ready to win. On the hunt tonight. For love at first sting. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. Rock you like a hurricane.... It's early morning. The sun comes out. Last night was shaking. And pretty loud. My cat is purring. It scratches my skin. So what is wrong. With another sin. The night is calling. I have to go. The wolf is hungry. He runs to show. He's licking his lips. He's ready to win. On the hunt tonight. For love at first sting. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. Here I am, rock you like a hurricane. Here I am"
holiday,Let me take you far away. You'd like a holiday. Let me take you far away. You'd like a holiday. Exchange the cold days for the sun. Good times and fun. Let me take you far away. You'd like a holiday. Let me take you far away. You'd like a holiday. Let me take you far away. You'd like a holiday. Exchange your troubles for some love. Wherever you are. Longing for the sun you will come. To the island without name. Longing for the sun be welcome. On the island many miles away from home. Be welcome on the island without name. Longing for the sun you will come. Be welcome on the island without name. Let me take you far away. You'd like a holiday. Let me take you far away. You'd like a holiday. Let me take you far away. You'd like a holiday. Exchange your troubles for some love. Wherever you are. Longing for the sun you will come. To the island without name. Longing for the sun be welcome. On the island many miles away from home. Be welcome on the island without name. Longing for the sun you will come. Be welcome on the island without name
when you came into my life,You give me your smile. A piece of your heart. You give me the feel. I've been looking for. You give me your soul. Your innocent love. You are the one. I've been waiting for. I've been waiting for. We're lost in a kiss. A moment in time. Forever young. Just forever. Just forever. In love. When you came into my life. It took my breath away. Cause your love has found it's. way to my heart. You make me dream. By the look in your eyes. You give me the feel. I've been longing for. I wanna give you my soul. All my life. Cause you are the one. I've been waiting for. I've been waiting for. So long.... When you came into my life. It took my breath away. And the world stopped turnin' round. For your love. When you came into my life. It took my breath away. Cause your love has found it's. way to my heart. Into my heart. Just forever. In love. When you came into my life. It took my breath away. And the world stopped turnin' round. For your love. When you came into my life. It took my breath away. Cause your love has found it's. way to my heart. Into my heart. Just forever. In love. When you came into my life. It took my breath away. And the world stopped turnin' round. For your love. When you came into my life. It took my breath away. Cause your love has found it's. way to my heart. When you came into my life...
dust in the wind (cover),"I close my eyes. Only for a moment. And the moment's gone. All my dreams. Pass before my eyes. in curiosity. Dust in the wind. All we are is dust in the wind. Same old song. Just a drop of water. in an endless sea. All we do. crumbles to the ground. though we refuse to see. Dust in the wind. All we are is dust in the wind. Now, don't hang on. Nothing lasts forever. but the earth and sky. It slips away. And all your money. won't another minute buy. Dust in the wind. All we are is dust in the wind. Dust in the wind. All we are is dust in the wind"
no one like you,"Girl, it's been a long time that we've been apart. Much too long for a man who needs love. I miss you since I've been away. Babe, it wasn't easy to leave you alone. It's getting harder each time that I go. If I had the choice, I would stay. There's no one like you. I can't wait for the nights with you. I imagine the things we'll do. I just wanna be loved by you. No one like you. I can't wait for the nights with you. I imagine the things we'll do. I just wanna be loved by you. Girl, there are really no words strong enough. To describe all my longing for love. I don't want my feelings restrained ooh. Babe, I just need you like never before. Just imagine you'd come through this door. You'd take all my sorrow away. There's no one like you. I can't wait for the nights with you. I imagine the things we'll do. I just wanna be loved by you. No one like you. I can't wait for the nights with you. I imagine the things we'll do. I just wanna be loved by you. There's No one like you"
