the great divide,"I have run to the ocean. Through the horizon, chased the sun. I've waited for the light to come. And at times I would give up. You have wrapped your loving arms round me. And with your love I'll overcome. You have loved me when I was weak. You have given unselfishly. Kept me from falling, falling. Everywhere but my knees. You set me free. To live my life. You became my reason to survive the great divide. You set me free. I've been on heaven's doorstep. With the door open, one foot inside. I've cried out ""God, give me answers"". ""Please hush child, I'll tell you why. You have loved Me when you were weak. You have given unselfishly. Kept you from falling, falling. Everywhere but your knees"". You set me free. To live my life. You became my reason to survive the great divide. You set me free. To live my life. You became my reason to survive the great divide. You set me free. You set me free. Ooh our love is beautiful. Ooh ooh isn't this beautiful?. Child it seems that you have been my everything. Our love is beautiful. Stood by my side while we survive the great divide. Isn't this beautiful?. You set me free. To live my life. You became my reason to survive the great divide. You set me free. To live my life. You became my reason to survive the great divide. You set me free. To live my life. You became my reason to survive the great divide. You set me free. You set me free. You set me free"
surround me,"They say no man's an island but I tend to disagree. I guess they've never seen my island,. And where it lies at sea. I'm lost inside my memory.. I'm still in disbelief.. If I could paint a picture for you this is what you'd see. I'm down on my knees. Begging you to rescue me. Please stop me. Don't let me run. Surround me...Surround me...now. A wounded man sounds desperate when he's lost all his belief. Can you look into my eyes and say you won't betray me. We're running out of time. How precious time can be. I'm counting all the moments of the times you could have. helped me. I'm down on my knees. Begging you to rescue me. Please stop me. Don't let me run. Surround me...Surround me. I'm down on my knees. Begging you to rescue me. Please stop me. Don't let me run. Surround me...Surround me. Surround me now. Surround me now."
proof of life,Do you suffer in silence?. Do you live your life in your dreams?. Do you walk in defiance?. To escape from reality. Are you caught in the headlights standing still?. Don't you wish you could run away?. Have you lost your desire waiting for. Someone to save you?. But no one came. What's your proof of life?. You can't deny the truth that hits you right between the eyes. So just name your price. I'll give anything to justify the reason I'm alive. What's your proof of life?. What's your proof of life?. Are you playing the victim. When you know that you volunteered?. No excuse for your sickness. It's your choices that got you here. Are you caught in the headlights standing still?. Don't you wish you could run away?. Have you lost your desire waiting for. Someone to save you?. But no one came. What's your proof of life?. You can't deny the truth that hits you right between the eyes. So just name your price. I'll give anything to justify the reason I'm alive. What's your proof of life?. What's your proof of life?. Someone to save you?. But no one came. What's your proof of life?. You can't deny the truth that hits you right between the eyes. So just name your price. I'll give anything to justify the reason I'm alive. What's your proof of life?. What's your proof of life?. You're the proof of life
somber,"Can you see what lies beneath. Everything we are and used to be is buried and gone. Silence screams I can’t ignore. Violent scenes are getting old. Reflection only brings sorrow. Deception tears me to the core. Somber why stay in denial. I’m somber, so somber. Good bye with no sympathy. Oh we both took everything left inside. I’m somber. Good bye with no sympathy. Oh we both took everything left inside. Say goodbye. Somber, I’m somber. In your joy I’m suffering. I’ll be damned a slow suicide. for the life I chose to lead. Silent screams I can’t ignore. Violent scenes are getting old. Reflection only brings sorrow. Deception tears me to the core. Somber why stay in denial. Somber. Goodbye with no sympathy. We both took everything left inside. Say goodbye to somber, to somber. Goodbye with no sympathy in me. We both took everything left inside. Say goodbye to somber, to somber. Say goodbye. So somber, somber now. Silent screams I can’t ignore. Violent scenes are getting old. Goodbye with no sympathy in me. We both took everything left inside of you and me. We both took everything. I’m somber, I’m somber. Why stay in denial. I’m somber"
let me go,Tell me friend is this forgiving. Tell me friend are you believing. Tell me friend if it's worth the fight. So please let me go. So please let me go. Let me go. What's the use of our deceiving. What's the use so stop retreating. We are lost and all our hope is gone. So please let me go. So please let me go. Let me go. So please let me go. So please let me go. Let me go. Once a boy I was forgiven. Now a man I'm lucky living. Always know our memories will live on. We'll live on. We'll live on. We'll live on. We'll live on. So please let me go. So please let me go. Let me go. So please let me go. So please let me go. Let me go. Let me go
new day coming,"Head in my hands. Time slipin' away. Like falling sand. Till it's bleeding daylight (oh,oh). The rope pulled tight. Now I'm standing still. On the edge of the knife. Just ready for a fight. Just ready for a fight. I'll get back up for good this time. And I ain't coming down. I'll get back up cause my whole life. I was lost and now I'm found. It's a dawn of a new day(new day). It's a dawn of a new day coming. It's a dawn of a new day(new day). It's a dawn of a new day. Lay down your pain. Cut it from your heart. Let it fall like rain. Like tears in the dust(oh,oh). Cause they're in the dark. There's a raging fire looking for a spark. Let it light you up. Let it light you up. I'll get back up for good this time. And I ain't coming down. I'll get back up cause my whole life. I was lost and now I'm found. It's a dawn of a new day(new day). It's a dawn of a new day coming. It's a dawn of a new day(new day). It's a dawn of a new day. Oh-woah-oh-oh. Oh-woah-oh-oh. Oh-woah-oh-oh. Oh-woah-oh-oh. I'll get back up for good this time. And I ain't coming down. I'll get back up cause my whole life. I was lost and now I'm found. It's a dawn of a new day(new day). It's a dawn of a new day coming. It's a dawn of a new day(new day). It's a dawn of a new day"
dying to live,"Pull back the curtain come on in. Through the stain glass windows of where I've been. Some parts holy. Some parts dark as sin. The time has come to take off my mask. Watch the scars spill secrets from my past. This freak show won't define who I am. What I thought was all of my life story. Turns out it was only just one page. It's a new beginning, I have got so much left to say. I'm dying to breathe in every moment. I'm dying to make up for lost time. I'm dying to let go and finally feel what real love is. I'm dying to live. To see those things I could never see. when they have always been right in front of me. To write the song the world forever sings. Pictures painted in the sky. The wonder in my child's eyes. I'm learning how to fly with broken wings. I'm dying to breath in every moment. I'm dying to make up for lost time. I'm dying to let go and finally feel what real love is. I'm dying to start this whole thing over. I'm dying to see with brand new eyes. I'm dying to love myself enough to just forgive. I'm dying to live. I had to go to hell to find my heaven. Forty feet I had to fall from grace. Everything's so clear when you've got one foot in the grave. I'm dying to breath in every moment. I'm dying to make up for lost time. I'm dying to let go and finally feel what real love is. I'm dying to start this whole thing over. I'm dying to see with brand new eyes. I'm dying to love myself enough to just forgive. I'm dying to live"
beautiful cage,All eyes on you. Every head turns. When you walk into a room. One smile and everyone moves. Trying to get some time with you. Your secret. Your weakness. The only thing you can control. You're hiding. You're lying. But you can't fool yourself. Under the surface. You're crying out for help. Outside is perfect. But you can't free yourself. From your beautiful cage. Your beautiful. So beautiful. So beautiful. So beautiful. All alone. Pleading with God. Please save me from from myself. Mirror Mirror on the wall. Please make me someone else. Your scarred. So wild. Way too cool to ask for help. Your affliction. Your addiction. Why can't you love yourself?. Under the surface. You're crying out for help. Outside is perfect. But you can't free yourself. From your beautiful cage. Your beautiful. So beautiful. From your beautiful cage. Your beautiful. So beautiful. If you could you would fly away. A butterfly with broken wings. I can see what's underneath. And I want to save you. Want to free you. Under the surface. You're crying out for help. Outside is perfect. But you can't free yourself. From your beautiful cage. Your beautiful. So beautiful. From your beautiful cage. Your beautiful. So beautiful
relearn love,"On a dark and lonely highway.... I need the SON to raise my head.. I come before you… I am naked.... The man I am now must be shed.. I’ve weathered storms and I am broken.. My beaten heart is in your hands.... What I really need is shelter and a chance. To relearn love.... Teach me all over…all over.... To relearn love.... Show me again.... So I can relearn love.... The Comfort of your arms around me.... Your tender hands caress my head. I lay beside you I m not worthy. This jaded mans not who I am. I’ve touched the flame and I’ve been burned. All I need is a second chance. Give me eyes of a child. And teach this man…to relearn love. Teach me all over…all over. To relearn love….show me again. To relearn love…teach me all over…all over. To relearn love…show me again. So I can relearn love. I was selfish…but you still loved me. You gave the greatest gift of all and it set me free. When time means nothing and your world is standing still. Listen world he’s calling if you feel me drop and kneel. Can you feel it?. Just remember, oh oh remember.... To relearn love. Relearn my love. Show me, show me. To relearn my love. Teach me now…now. Relearn my love. To relearn, relearn my love. So I can relearn love..."
broken,"Why are we overcome with fear?. What if I told you that fear isn't real?. Why are we overcome with death?. What if I told you my friends,. Your doubt you could live without. There is a question I want to understand. Why can't everyone tell the truth. And learn to love again?. Do you know what it feels like. To be broken and used, scared and confused. Do you know what it feels like. To be broken and used, scared and confused. Yes I know. One more question. I know time is dear. Is what the world speaks of love really real?. The answer's not of this world but very clear. Look above to find love and you found eternal life. Street-corner preachers you've heard before. Friendly advice just gets thrown out the door. There is a question I want to understand. Why can't everyone tell the truth. And learn to love again?. Do you know what it feels like. To be broken and used, scared and confused. Yes I know what it feels like. To be broken and used, scared and confused. Yes I know, yes I know, yes I know. Yes I know (what it feels like...). Do you know what it feels like. To be broken and used, scared and confused. Yes I know what it feels like. To be broken and used, scared and confused. I'm broken. I'm broken. I'm broken. I'm broken"
slow suicide,"I'm not evil. No matter what you think of me. I'm just human. There's a part of you that's just like me. I have fallen. I have broken every piece. If heaven called me. I could only reach this from my knee. (and) Now I believe. *Chorus. I can't let this life pass me by. In a blink of an eye it ends. I can't let my tomorrows decide. What I am in this life. It's like committing slow suicide. It's no secret. I can't pretend, I can't forget. What I've done. Every day I live with the consequences. I let it beat me, let it keep me, let it throw me to the floor. Those days are over. I'm moving forward. It can't hurt me. (and) Now I believe. *Chorus. So many days I chose to suffer. So many ways I chose to die. Oh It's less than nothing. Shame and suffering. To see with my own eyes. I wasn't living. I was committing. Committing slow suicide. Committing slow suicide. Now I believe. *Chorus. Committing slow suicide. Committing slow suicide"
hit me more,"40 days of rain. 40 nights it poured. I can't take it anymore. it's getting overboard. I lean forward. Wandered through mountains. ran through valley's so low. Been down the road less traveled. a million times before. Went through hell to find my heaven. crossing up my lines. Went through hell to find my heaven. fighting for my life. 10 floors down. I dove into the night. The stars were in my eyes, I scream. come on HIT ME MORE. Broken by the sound. Blinded by the light. You say it's do or die, I scream. come on HIT ME MORE. There's a choice to be made. come on, what you waiting for?. Is that all you got?. Come on HIT ME MORE. Hit me with sunshine. Burn my skin. Reign down fire. Come on bring it again. Gotta pay it forward. Float like a butterfly. sting like a bee. I want you to give me your best Mohammad Ali. Went through hell to find my heaven. crossing up my lines. Went through hell to find my heaven. got nothing left to hide. 10 floors down. I dove into the night. The stars were in my eyes. I scream. . come on HIT ME MORE. Broken by the sound. Blinded by the light. You say it's do or die, I scream. come on HIT ME MORE. There's a choice to be made. come on, what you waiting for. Is that all you got?. Come on HIT ME MORE. ?Float like a butterfly, Sting like a bee. ?. I want you to give me, your best Mohammed Ali. I lean forward. 10 floors down. I dove into the night. The stars were in my eyes, I scream. come on HIT ME MORE. Broken by the sound. Blinded by the light. You say it's do or die, I scream. come on HIT ME MORE. There's a choice to be made. come on, what you waiting for?. Is that all you got?. Come on HIT ME MORE"
what would love do,Go ahead and throw it in my face. Remind me of each of my mistakes. Turn on me tell me I'm wrong that it's all my fault. I feel I'm losing control. Putting my fists through the wall. This is the place that I break I can't take anymore. I see the fear in your eyes. I'm frozen standing still in time. What would love do. What would love do. If it were here in this room standing between me and you. What would love do. What would love do. I broke down and fell to the floor. Said I can't do this anymore. I almost lost the one thing I could never lose. I felt completely disarmed. Naked stripped down to the heart. Humble and shaken its time to start healing these wounds. How do I break from this hell. It's time I start asking myself. What would love do. What would love do. If it were here in this room standing between me and you. What would love do. What would love do. It would look in my face and stop me from hurting you. That's what love would do. Its time to come out of the dark. And step into the light. When fear tries to tear us apart. And we're torn between two sides. What would love do. What would love do. It would look in my face and stop me from hurting you. What would love do. What would love do. If it were here in this room standing between me and you. What would love do. What would love do. It would look in my face and stop me from hurting you. That's what love would do
