broken (feat. amy lee),"I wanted you to know that I love the way you laugh. I wanna hold you high and steal your pain away. I keep your photograph and I know it serves me well. I wanna hold you high and steal your pain. Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away. You've gone away. You don't feel me here, anymore. The worst is over now and we can breathe again. I wanna hold you high, you steal my pain away. There's so much left to learn. And no one left to fight. I wanna hold you high and steal your pain. Cause I'm broken when I'm open. And I don't feel like I am strong enough. Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away '. Cause I'm broken when I'm open. And I don't feel like I am strong enough. Cause I'm broken when I'm lonesome. And I don't feel right when you're gone away '. Cause I'm broken when I'm lonesome. And I don't feel right when you're gone. You've gone away. You don't feel me here, anymore"
careless whisper,I feel so unsure. As I take your hand. And lead you to the dance floor. As the music dies. Something in your eyes. Calls to mind a silver screen. And all it's sad goodbyes. I'm never gonna dance again. This guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. I should've known better than to cheat a friend. And waste a chance that I've been given. So I'm never gonna dance again. The way I danced with you. Time can never mend. The careless whisper of a good friend. To the heart and mind. Ignorance is kind. There's no comfort in the truth. Pain is all you'll find. I'm never gonna dance again. This guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. I should've known better than to cheat a friend. And waste a chance that I've been given. So I'm never gonna dance again. The way I danced with you. Tonight the music seems so loud. I wish we could lose this crowd. Maybe it's better this way. We'd hurt each other with the things we want to. say. We could've been so good together. We could've lived this dance forever. But now who's gonna dance with me. Please stay. I'm never gonna dance again. This guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. I should've known better than to cheat a friend. And waste a chance that I've been given. So I'm never gonna dance again. The way I danced with you. Now that you've gone. Now that you've gone. Now that you've gone. Was what I did so wrong. So wrong that you had to leave me alone
save today,"Well, fortune favors not the young. Spoken words in songs unsung (right). I never learn from my mistakes. I guess I don't have what it takes (right). I wish that I was strong. That I could walk away. All this time I've lost. I feel the cost we paid. So save today, the secrets that you prayed for. And wait, 'cause we deserve it so much more. So save the secrets that you prayed for. Awake, I'll see you on the other side. A tortured soul have I become. Keeps me safe and leaves me numb (right). 'Cause in this dream I'm wide awake. The one I love I did forsake (right). I wish that I was wrong. That you'll come home again. All this time I've lost. I'll never find again. So save today, the secrets that you prayed for. And wait, 'cause we deserve it so much more. So save the secrets that you prayed for. Awake, I'll see you on the other side. Say you can help me now, say you can help me now. Say you can help me now, say you can help me now. So save today, the secrets that you prayed for. And wait, 'cause we deserve it so much more. So save the secrets that you prayed for. Awake, I'll see you on the other side. So save today, the secrets that you prayed for. And wait, 'cause we deserve it so much more. So save the secrets that you prayed for. Awake, I'll see you on the other side. Say you can help me now"
seether,"Seether is neither loose nor tight. Seether is neither black nor white. I try to keep her on a short leash. I try to calm her down. I try to ram her into the ground, yeah. Can't fight the seether. Can't fight the seether. Can't fight the seether. I can't see her till I'm foaming at the mouth. Seether is neither big nor small. Seether is the center of it all. I try to rock her in my cradle. I try to knock her out. I try to cram her back in my mouth, yeah. Can't fight the seether. Can't fight the seether. Can't fight the seether. I can't see her till I'm foaming at the mouth. Keep her down, boiling water. Keep her down, what a lovely daughter. Oh she is not born like other girls. but I know how to conceive her. Oh she may not look like other girls. but she's a snarl tooth seether. Seether!. Can't fight the seether. Can't fight the seether. Can't fight the seether. I can't see her till I'm foaming at the mouth"
tied my hands,Can you remember when we used to cry. But never in distress. Or can you picture. When we used to pride ourselves on neatness. Cause I can’t understand what you mean to me. You made me wild and then you tied my hands. Can you remember when we used to laugh. ‘Bout those mistakes we’d made. Or can you picture then. How we used to drive. And never reach the end. But since you went away. It made me find. I had nothing to say
fade out,"Fade out like a photograph. Just a memory to forget. You burn black like a cigarette. I’ll discard you when I’m done. You break down when you need the rest. What a selfish way to drown. Then lay down with the thief you met. And enjoy the pride you’ve won. So let loose those tears, darling. Cause I’ll turn my back. So tell me the story. How you lose this all I’m guessin’. But don’t tell me you’re sorry. I’m through with it all. And I won’t be back again. I’m burnt out on your etiquette. How you caponize the son. Then lie down with another one. As you canonize yourself. So let loose those tears, darling. Cause I’ll turn my back. So tell me the story. How you lose this all I’m guessin’. But don’t tell me you’re sorry. I’m through with it all. And I won’t be back again. You’re breaking all the rules. And killing all my self-esteem that’s left. You take me for a fool. You’re killing all my self-esteem that’s left. So tell me the story. How you lose this all I’m guessin’. You’re looking so worried. Can you feel it come undone?. Such a pitiful story. But I finally learned my lesson. Don’t tell me you’re sorry. I am through with it all. And I won’t be back again"
breakdown,"The sun is gone and the flowers rot. Words are spaces between us. And I should have been drown in the rivers I found of token. lost. And I should have been down when you made me insecure. So break me down if it makes you feel right. And hate me now if it keeps you alright. You can break me down if it takes all your might. Because I'm so much more than meets the eye. And I'm the one you can never trust. Because wounds are ways to reveal us. And yeah I could have tried and devoted my life to both of us. But what a waste of my time when the world we had was. yours. So break me down if it makes you feel right (so break me down). And hate me now if it keeps you alright (so break me down). You can break me down if it takes all your might. Because I'm so much more than all your lies. Hate me, break me down. (so break me down). So break me down if it makes you feel right (so break me down). And hate me now if it keep you alright (so break me down). So break me down if it takes all your might. Because I'm so much more than meets the eye."
never leave,"Will I fall again into dismay?. Will I be ashamed of crying?. And I know it's never been the way that I described. But I am afraid of trying. She's the one who keeps me all excited. She keeps me begging for more. She's the one who deems me uninvited. Now it's over. Never leave me, and don't deceive me. I'll keep on crawling my friend. Never tease me and don't leave me here. It's all the same in the end. Now I find that I am weaker fake. That I am ashamed of lying. And I know things never feel the way that's right inside. And I am afraid of dying. 'Cause you're the one who keeps me all excited. You keep me begging for more. You're the one who keeps uninvited. Now it's over. Never leave me, and don't deceive me. I'll keep on crawling my friend. It's only a symbol you're got me falling away. And I am afraid. Take back what I said. It's all the same in the end. It's all the same in the end. It's all the same in the end. It's only a symbol"
words as weapons,"All I really want is something beautiful to say. All I really want is something beautiful to say. All I really want is something beautiful to say. Keep me locked up in your broken mind. I keep searching, never been able. To find a light behind your dead eyes. Not anything at all. You keep living in your own lie. Ever deceitful and ever unfaithful. Keep me guessing, keep me terrified. Take everything from my world. Say, can you help me right before the fall?. Take what you can and lead me to the wolves. Keep me dumb, keep me paralyzed. Why try swimming? I'm drowning in fable. You're not that saint that you externalize. You're not anything at all. All I really want is something beautiful to say. It's all so playful when you demonize. To spit out the hateful, you're willing and able. Your words are weapons of the terrified. You're nothing in my world. Say, can you help me right before the fall?. Take what you can and lead me to the wolves. All I really want is something beautiful to say. Keep me guessing, keep me terrified. All I really want is something beautiful to say. You keep living in your own lie. All I really want is something beautiful to say. To never fade away. I wanna live forever. All I really want is something beautiful to say. To never fade away. I wanna live forever. You keep living in your own lie. Keep me guessing, keep me terrified. All I really want is something beautiful to say. Say, can you help me right before the fall?. Take what you can and lead me to the wolves. All I really want is something beautiful to say. Words are weapons of the terrified. All I really want is something beautiful to say. Keep me guessing, keep me terrified. All I really want is something beautiful to say. To never fade away. I wanna live forever. All I really want is something beautiful to say. To never fade away. I wanna live forever"
nobody praying for me,"I'm a whisper lost upon wind. I'm the ember that'll burn you down. I'm the water that'll drown you. I'm a star that's just a black hole now. I'm a terrifying danger. I'm a fruit decaying on the ground. I'm a swallower of anger. I'm the tree that falls that makes no sound. I make no sound. 'Cause if I stand up, I break my bones. Everybody loves to see it fall unfold. Ain't nobody giving up. Cause nobody gives a fuck. Stand up, and break my bones. Everybody wants what they just can't hold. There's nobody praying for me. I am fungus in the forest. I'm a lizard with a poisoned tongue. I'm the child in the manger. I'm the one who sacrificed his son. Rust is showing on my armor. I am lazing like an old man done. I'm a product of my anger. I'm the bullet in a loaded gun. Stand up, I break my bones. Everybody loves to see it fall unfold. Ain't nobody giving up. Cause nobody gives a fuck. Stand up, and break my bones. Everybody wants what they just can't hold. There's nobody praying for me. If I stand up, I break my bones. Everybody loves to see it fall unfold. Ain't nobody giving up. Cause nobody gives a fuck. Stand up, break my bones. Everybody wants what they just can't hold. There's nobody praying for me. (There's nobody praying for me). There's nobody praying for me"
