harakiri,"We're the day birds. Deciding to fly against the sky. Within our dreams, we all wake up. To kiss the ones who are born to die. We're the greying herds. Hurting each other with our lives. Within our dreams, we all wake up. To kiss the ones who are born. Born to die, born to die. The drum fish. They beached themselves in hara-kiri. The blackbirds. They fell in thousands from the sky. Their red wings. Streaming down from the higher seas. Deflected by the ground. They crowned the sun. They crowned the sun. But I believe that they are free. When their time was done. They were drowned by the only One. But I believe that they are free. Washed by the sun. Our statues. The soaring edifice of our times. Detracted from the ways of the wise. The future will view all history as a crime. So father, tell us when is the time to rise. They crowned the sun. They crowned the sun. But I believe that they are free. When their time was done. They were drowned by the only one. But I believe that they are free. They crowned the sun. They crowned the sun. But I believe that they are free. And we believe that they are free. Cus' I believe that they are me. Washed by the sun"
empty walls,"Your Empty walls. Your Empty walls. Pretentious attention. Dismissive apprehension. Don't waste your time. On coffins today. When we decline. From the coffins of our mind. Don't waste your time. On coffins today. Don't you see their bodies burning?. Desolate and full of yearning. Dying of anticipation. Choking from intoxication. Don't you see their bodies burning?. Desolate and full of yearning. Dying of anticipation. Choking from intoxication. I want you to be left behind those empty walls. Taunt you to see from behind those empty walls. Those empty walls. When we decline. From the confines of our mind. Don't waste your time. On coffins today. Don't you see their bodies burning?. Desolate and full of yearning. Dying of anticipation. Choking from intoxication. Don't you see their bodies burning?. Desolate and full of yearning. Dying of anticipation. Choking from intoxication. I want you to be left behind those empty walls. Taunt you to see from behind those empty walls. Want you to be left behind those empty walls. I taunt you to see from behind those empty walls. From behind those empty walls. From behind those empty walls. The walls!. From behind those empty walls. I loved you yesterday. (From behind those empty walls...). Before you killed my family. (From behind those empty walls, the walls...). Don't you see their bodies burning?. Desolate and full of yearning. Dying of anticipation. Choking from intoxication. Don't you see their bodies burning. Desolate and full of yearning. (I want you...). Dying of anticipation. Choking from intoxication. (To be left behind those empty...). I want you to be left behind those empty walls. Taunt you to see from behind those empty walls. (Desolate and full of yearning. Dying of anticipation, Choking from intoxication...). Want you to be left behind those empty walls. (Don't you see their bodies burning?. Desolate and full of yearning. Dying of anticipation, Choking from intoxication...). I taunt you to see from behind those empty walls. (Trust your empty walls, trust your empty walls). From behind those empty walls. (Trust your empty walls, trust your empty walls). From behind those empty walls. (Trust your empty walls, trust your empty walls). From behind those fucking empty walls. (Trust your empty walls, trust your empty walls). From behind those goddamn walls. Those walls. Those walls!"
sky is over,"Everybody knows. Everybody knows. That you cradle the sun, sun. Believe in you. Living in remorse,. Sky is over,. Don't you want to hold me baby. Disappointed, going crazy. Even though we can't afford. The sky is over. Even though we can't afford. The sky is over. I don't wanna see you go. The sky is over. Even though we can't afford. The sky is over. Behind closed eyes lie. The minds ready to awaken you. Are you at war with land. And all of its creatures. Your not-so-gentle persuasion. Has been know to wreck economies. Of countries, of empires, the sky is over. Don't you want to hold me baby. Disappointed, going crazy,. Lalalalalalalalalalalalalalalalalalalalalala. Lalalalalalalalalalalalalalalalalalalalalala. Not even from the sun. Not even from the sun. not even from the sun. Don't you want me to run. Even though we can't afford. The sky is over. Even though we can't afford. The sky is over. I don't wanna see you go. The sky is over. Even though we can't afford. The sky is over. I don't wanna see you go. The sky is over. Even though we can't afford. The sky is over. I don't wanna see you go. The sky is over. Even though we can't afford. The sky is over. The sky is over us."
lie lie lie,"Lie, Lie, Lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. My baby, my baby,. let me know. because you love me, you love me. Let me go. And you're my lover, you pay me. Twice my size. And on your knees you lay. In my thighs. Take my hand and let's end it all. She broke her little bones. On the boulders below. Take my hand and let's end it all. My baby, my baby. Let me go. And if you love me, you love me. Let me go. Cause I'm your brother, your brother. Have some pride. And now you love me, you love me. Then die tonight. Take my hand and let's end it all,. She broke her little bones. On the boulders below. Take my hand and let's end it all. Broke her little bones. On the boulders below. And while she fell I delightfully said. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. She took my hand and I let her go. She broke her little bones. On the boulders below. Took my hand and she ended it all. Broke her little bones on the boulders below. And while she fell, I smiled.. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie. Lalalalalalalala lie lie lie"
weave on,"Weave on. Sisters of the night. On your loom of pain. Try to stitch the darkness through the light. Weave on proverty and crime. The wars and waste. Gives our souls a break from the hunger. For the prophets and the saints. Stitch it on. The weapons drawn. And the children's splayed. And the fathers found. In unmarked graves. With your fingers pale and numb. Just braid. Oh you sisters weave on. Let the blood run through your thread. Oh you sisters weave on. With your stitching. Purple, blue and red. Oh you sisters weave on. Let the blood run through your thread. Just you still weave on. Feed on, sorry sons of state. Preaching salvation. While we fall. With such amazing grace. Feed on love of money. Love of race. Disrespect of country. And of neighbor's. Neighbored in our hate. Stitch it on. The brothers gone. And the lives they gave. To their foreign graves. With your fingers pale and numb. Just braid, just braid. Oh you sisters weave on. Let the blood run through your thread. Oh you sisters weave on. Weave your stitching. Purple, blue and red. Just you sisters weave on. Let the blood run through your thread. All you sisters weave on. These are the plans. The words we hear from mind deranged. You there who share his pain. Withdraw from this place and speedily. Lest the harsh, spite your mind also with madness. How dare, you urge us to cowardice. I'm ready to endure. With him whatever must be. I am ready to endure. With him whatever must be. Oh you sisters weave on. Let the blood run through your thread. Oh you sisters weave on. Weave your stitching. Purple, blue and red. Just you sisters weave on. Let the blood run through your thread. All you sisters weave on"
saving us,"Why do we sit around and break each other's hearts. tonight?. Why do we dance around the issues 'till the morning light?. When we sit and talk and tear each other's lives. apart.. You were the one to tell me go.... But you were the one for me,. And now you're going through the door,. When you take that step I love you baby more and. more,. We need to laugh and sing and cry and warm each. other's hearts tonight,. Observing the fun of everything and loving all of mother God.... Tearing us,. You're tearing us,. You're breaking us,. You're breaking us,. You're killing us,. Killing us,. You're saving us,. You're saving us.... You're tearing us,. You're tearing us,. You're breaking us,. Breaking us,. You're killing us,. Killing us,. You're saving us.... Why do we sit around and break each other's hearts. tonight?. Why do we dance around the issues 'till the morning light?. When we sit and talk and tear each other's lives. apart.. You were the one to tell me go.... But you were the one for me,. And now you're going through the door,. When you take that step I love you baby more and. more,. We need to laugh and sing and cry and warm each. other's hearts tonight,. Having fun of everything and loving all our. mother God.... You're tearing us,. You're tearing us,. You're breaking us,. You're breaking us,. You're killing us,. Killing us,. You're saving us,. You're saving us.... You're tearing us,. You're tearing us,. You're breaking us,. You're breaking us,. You're killing us,. Killing us,. You're saving us.... Forever alive. Forever alive,. Forever,. Forever.... Forever alive,. Forever alive,. Forever,. And never and never again.... You're tearing us,. You're tearing us,. You're breaking us,. You're breaking us,. You're killing us,. Killing us,. You're saving us,. You're saving us.... You're tearing us,. You're tearing us,. You're breaking us,. You're breaking us,. You're killing us,. Killing us,. You're saving us,. You're saving us.... You're tearing us,. You're tearing us,. (Forever I lie). You're breaking us,. You're breaking us,. (Forever I lie). You're killing us,. Killing us,. (Forever). You're saving us,. You're saving us.... (And never...). You're tearing us,. You're tearing us,. (Forever I lie). You're breaking us,. You're breaking us,. (Forever I lie). You're killing us,. Killing us,. (Forever). You're saving us,. (And never...)"
elect the dead,"Arms are raised above the sky. But all I want is me. You are there beside the night. But all I want is me. All I want is me. Love we know. Comes from inside,. But all I want is me. All I want is me. Death we know. Comes to us alive. But all I want is you. Death we know. Comes to all of us alive. But all I want is you. All I need is you. All I want..."
butterfly,"Spare me the night trampled upon by submission. A mask within one's own inhibition. Where the only prohibition is love. Spare me the night trampled upon by submission. A mask within one's own inhibition. Where the only prohibition is love. Love. Children out cry, grandfather sky. Rivers surviving through our eyes. We certify, how you falsify. The beauty of a moth turned butterfly, butterfly. Spare me the night trampled upon by submission. A mask within one's own inhibition. Where the only prohibition is love. We are being sacrificed by our own suspicions. We are being sodomized by repetitions. Oceans calcified, eagles gratified. I won't be crucified nor terrified, I'm not terrified. Before we say goodbye, no need to falsify. The beauty of a moth turned butterfly, butterfly. Spare me the night trampled upon by submission. A mask within one's own inhibition. Where the only prohibition is love. We are being sacrificed by our own suspicions. We are being sodomized by repetitions. We are being sacrificed by our own suspicion. We are being sodomized by repetition. Dark gray matter of fact sky. Nannies are nights with our half sister moon. Why can't we switch automatically to Eco-centric persuasions?. Why can't we ditch autocracy for Eco-centric persuasions now?. We are being sacrificed by our own suspicions. We are being sodomized by repetition. We are being sacrificed by our own suspicions. We are being sodomized by repetition. . ~ Heloisa Ridolfi"
gate 21,"The love that you bring. You bring me alone. The pain that you give. Gives me a home. Do you wanna stay by my side. Do you want me to turn and hide. We are disappearing inside. Seeing pictures of our goodbyes. When we, we believe. That our love will survive. The pain that you bring. It brings me all alone. Do you love me,. Do you hate me,. Do you wanna believe me,. Do you think that you don't need me. Do you wanna deceive me. I can't take that, it's all over don't want to forget. I can leave the disappointment down, I want to repress your. Goodbye.... Goodbye.... The design, we broke the mold. The dreams when you see, that goodbyes aren't for. long. Please follow me. To the borders of destiny. I don't want to break from your side. The falling ground screams... goodbye. Please follow me. To the borders of destiny. I don't want to break from your side. The falling ground screams... goodbye. Goodbye.... Goodbye.... The design, we broke the mold. The dreams when you see, that goodbyes aren't for long"
revolver,"Five A.M. revolver. Five A.M. in [?]. Anytime you need it. Call me and I'll take over. Five A.M. and warmer. Five A.M. revolver. Anytime you need it. Call me and I'll take over. The son of a tailor silently slain. Don't inform the public. They might start to sober. Then all your schemes and perils. Will all then be over. You can not afford to. Let your arms erase. All your crimes poisons, float out again. Place yourself on me, Chief. Your wounded might save. The son of a tailor silently slain. You cant really see me. I can glide all over. When I spend these billions. Your life will soon be over. Shoot the helicopters. Full of body armor. All your crimes poisons, float out again. Place yourself on me, Chief. Your wounded might save. The son of a tailor silently slain, slain. Die, da, da, die, die. Die, da, da, die, die. Die, da, da, die, die. Die, da, die. Five A.M; revolver. Five A.M. in [?]. Anytime you need it. Call me and I'll take over. Five A.M. and warmer. Five A.M. revolver. Anytime you need it. Call me and I'll take over"
