all i wanna do,"Hit it!. This ain't no disco. This ain't no country club either,. This is L.A.. “All I wanna do is have a little fun before I die”. Says the man next to me out of nowhere. It's apropos of nothing he says his name is William. But I'm sure he's Bill or Billy or Mac or Buddy. And he's plain ugly to me, and I wonder if he's ever. Had a day of fun in his whole life. We are drinking beer at noon on Tuesday. In the bar that faces the giant car wash. And the good people of the world. Are washing their cars on their lunch breaks. Hosing and scrubbing as best they can. In skirts and suits. And they drive their shiny Datsuns and Buicks. Back to the phone company, the record stores, too. Well, they're nothing like Billy and me. 'Cause. All I wanna do is have some fun. I got a feeling I'm not the only one. All I wanna do is have some fun. I got a feeling I'm not the only one. All I wanna do is have some fun. Until the sun comes up over Santa Monica Boulevard. I like a good beer buzz, early in the morning. Billy likes to peal the labels from his bottles of Bud. He shreds them on the bar then he lights up every match. In an oversized pack letting each one burn. Down to his thick fingers before blowing and. Cursing them out, he's watching. The bottles of Bud as they spin on the floor. And a happy couple enters the bar. Dangerously, close to one another. The bartender looks up from his want ads. All I wanna do is have some fun. I got a feeling I'm not the only one. All I wanna do is have some fun. I got a feeling I'm not the only one. All I wanna do is have some fun. Until the sun comes up over Santa Monica Boulevard. Otherwise the bar is ours, the day and the night. And the car wash, too, the matches and the. Buds, and the clean and dirty cars,. The sun and the moon , 'Cause. All I wanna do is have some fun. I got a feeling I'm not the only one. All I wanna do is have some fun. I got a feeling I'm not the only one. All I wanna do is have some fun. I got a feeling the party has just begun. All I wanna do is have some fun. I won't tell ya, that you're the only one. All I wanna do is have some fun. Until the sun comes up over Santa Monica Boulevard. Until the sun comes up over Santa Monica Boulevard"
if it makes you happy,"I've been long, a long way from here. Put on a poncho, played for mosquitos. And drank til I was thirsty again. We went searching through thrift store jungles. Found Geronimo's rifle, Marilyn's shampoo. And Benny Goodman's corset and pen. Well, o. k. I made this up. I promised you I'd never give up. . If it makes you happy. It can't be that bad. If it makes you happy. Then why the hell are you so sad. You get down, real low down. You listen to Coltrane, derail your own train. Well who hasn't been there before?. I come round, around the hard way. Bring you comics in bed, scrape the mold off the bread. And serve you french toast again. Well, o. k. I still get stoned. I'm not the kind of girl you'd take home. . If it makes you happy. It can't be that bad. If it makes you happy. Then why the hell are you so sad. We've been far, far away from here. Put on a poncho, played for mosquitos. And everywhere in between. Well, o. k. we get along. So what if right now everything's wrong?. . If it makes you happy. It can't be that bad. If it makes you happy. Then why the hell are you so sad"
sweet child o' mine,He's got a smile. And it seems to me. Reminds me of childhood memories. But everything was as fresh as a bright blue sky. Now and then when I see his face. It takes me away to that special place. And if I stand too long. I'll probably break down and cry. Sweet child 'o mine. Sweet love of mine. He's got eyes of the bluest skies. And if they thought of rain. I hate to look into those eyes. And see an ounce of pain. His hair reminds me. Of a warm safe place. Where as a child I'd hide. And pray for the thunder. And the rain. To quietly pass me by. Sweet child o' mine. Sweet love of mine. Where do we go. Where do we go now. Where do we go. Sweet child o' mine
real gone,"I'm American made, Bud Light, Chevrolet. My momma taught me wrong from right.. I was born in the South. Sometimes I have a big mouth. When I see something that I don't like. I gotta say it.. Well, we've been driving this road for a mighty long time. Paying no mind to the signs. Well, this neighborhood's changed. It's all been rearranged. We left that team somewhere behind.. Slow down, you're gonna crash,. Baby you're a-screaming it's a blast, blast, blast. Look out babe, you've got your blinders on. Everybody's looking for a way to get real gone. Real gone.. Real gone.. But there's a new cat in town. He's got high-faded friends. Thinks he's gonna change history. You think you know him so well. Yeah you think he's so swell. But it's just a front you wait and see. Slow down, you're gonna crash,. Baby you're a-screaming it's a blast, blast, blast. Look out, you've got your blinders on. Everybody's looking for a way to get real gone. Real gone.. Real gone.. Real gone.. Uhh.. Well you can say what you want. But you can't say it 'round here. 'Cause they'll catch you and give you a whippin'. Well, I believe I was right when I said you were wrong. You didn't like the sound of that. Now, did ya?. Slow down, you're gonna crash,. Baby you're a-screaming it's a blast, blast, blast. Look out, you've got your blinders on. Everybody's looking for a way to get real gone. Well here I come and I'm so not scared,. Got my pedal to the metal, got my hands in the air. Look out, you take your blinders off. Everybody's looking for a way to get real gone. Real gone.. Real gone.. Ooh.. Real gone.. Real gone."
"run, baby, run","She was born in November 1963. The day Aldous Huxley died. And her mama believed. That every man could be free. So her mama got high, high, high. And her daddy marched on Birmingham. Singing mighty protest songs. And he pictured all the places. What he knew that she belonged. But he failed and taught her young. The only thing she needs to carry on. He taught her how to. Run baby run baby run baby run. Baby run. Past the arms of the familiar. And their talk of better days. To the comfort of the strangers. Slipping out before they say. so long. Baby loves to run. She counts out all her money. In the taxi on the way to meet her plane. Stares hopeful out the window. At the workers fighting. Through the pouring rain. She's searching through the stations. For an unfamiliar song. And she's pictures all the places. Where she knows she still belongs. And she smiles the secret smile. Because she knows exactly how. To carry on. So run baby run baby run baby run. Baby run. From the old familiar faces and. Their old familiar ways. To the comfort of the strangers. Slipping out before they say. So long. Baby loves to run"
d'yer mak'er,Oh oh oh oh oh. You don't have to go oh oh oh oh. You don't have to go oh oh oh oh. You don't have to go. Ay ay ay ay ay. All those tears I cry ay ay ay ay. Ooh those tears I cry ay ay. Baby please don't go. When I read the letter you wrote me. It made me mad mad mad. When I read the words that it told me. It made me sad sad sad. I still love you so. I can't let you go. I love you - ooh baby I love you. Oh oh oh oh oh. Every breath I take oh oh oh oh. Every move I make oh oh. Baby please don't go. Ay ay ay ay ay. It hurts me to my soul oh oh. It hurts me to my soul oh oh. Baby please don't go. When I read the letter you sent me. You made me mad mad mad. When I read the news that it told me. It made me sad sad sad. I still love you so. I can't let you go. I love you - ooh baby I love you. Oh you hurt me so. That's a big no no. You shouldn't hurt me. Oh oh oh oh oh. You don't have to go oh oh oh oh. You don't have to oh oh oh oh. Baby....
all by myself,"When I was young. I never needed anyone. And making love was just for fun. Those days are gone. Livin' alone. I think of all the friends I've known. When I dial the telephone. Nobody's home. All by myself. Don't wanna be. All by myself. Anymore. Hard to be sure. Sometimes I feel so insecure. And loves so distant and obscure. Remains the cure. All by myself. Don't wanna be. All by myself. Anymore. All by myself. Don't wanna live. All by myself. Anymore. When I was young. I never needed anyone. And making love was just for fun. Those days are gone. All by myself. Don't wanna be. All by myself. Anymore. All by myself. Don't wanna live. Oh. Don't wanna live. By myself, by myself. Anymore. By myself. Anymore. Oh. All by myself. Don't wanna live. I never, never, never. Needed anyone."
the first cut is the deepest,"I would have given you all of my heart. But there's someone who's torn it apart. And he's taken just all that I've got. But if you want I'll try to love again. Baby, I'll try to love again but I know. The first cut is the deepest. Baby I know the first cut is the deepest. But when it comes to being lucky he's cursed. When it comes to loving me he's worse. I still want you by my side. Just to help me dry the tears that I've cried. And I'm sure gonna give you a try. But if you want I'll try to love again (tryyy). Baby, I'll try to love again but I know. The first cut is the deepest. Baby I know the first cut is the deepest. But when it comes to being lucky he's cursed. When it comes to loving me he's worse. I still want you by my side. Just to help me dry the tears that I've cried. But I'm sure gonna give you a try. 'Cause if you wanna I'll try to love again (try to love again). Baby, I'll try to love again but I know. The first cut is the deepest. Baby I know, the first cut is the deepest. When it comes to being lucky he's cursed. When it comes to loving me he's worse. The first cut is the deepest baby i know. The first cut is the deepest try to love again.... . Cat Stevens Version. I would have given you all of my heart. but there's someone who's torn it apart. and she's taking almost all that I've got. but if you want, I'll try to love again. baby I'll try to love again but I know. The first cut is the deepest, baby I know. The first cut is the deepest. 'cause when it comes to being lucky she's cursed. when it comes to lovin' me she's worse. but when it comes to being loved she's first. that's how I know. The first cut is the deepest, baby I know. The first cut is the deepest. I still want you by my side. just to help me dry the tears that I've cried. cause I'm sure gonna give you a try. and if you want, I'll try to love again. but baby, I'll try to love again, but I know. The first cut is the deepest, baby I know. The first cut is the deepest. 'Cause when it comes to being lucky she's cursed. when it comes to lovin' me she's worst. but when it comes to being loved she's first. that's how I know. The first cut is the deepest, baby I know. The first cut is the deepest"
always on your side (feat. sting),"My yesterdays are all boxed up and neatly put away. But every now and then you come to mind. Cause you were always waiting to be picked to play the game. But when your name was called, you found a place to hide. When you knew that I was always on your side. Well everything was easy then, so sweet and innocent. But your demons and your angels reappeared. Leavin' all the traces of the man you thought you'd be. Leavin' me with no place left to go from here. Leavin' me so many questions all these years. But is there someplace far away, someplace where all is clear. Easy to start over with the ones you hold so dear. Or are you left to wonder, all alone, eternally. This isn't how it's really meant to be. No it isn't how it's really meant to be. Well they say that love is in the air, but never is it clear,. How to pull it close and make it stay. Butterflies are free to fly, and so they fly away. And I'm left to carry on and wonder why. Even through it all, I'm always on your side. But is there someplace far away, someplace where all is clear. Easy to start over with the ones you hold so dear. Or are we left to wonder, all alone, eternally. But is this how it's really meant to be. No is it how it's really meant to be. Well if they say that love is in the air, never is it clear. How to pull it close and make it stay. If butterflies are free to fly, why do they fly away. Leavin' me to carry on and wonder why. Was it you that kept me wondering through this life. When you know that I was always on your side"
my favorite mistake,I woke up and called this morning. The tone of your voice was a warning. That you don't care for me anymore. I made up the bed we sleep in. I looked at the clock when you creep in. It's 6 AM and I'm alone. Did you know when you go it's the perfect ending. To the bad day I was just beginning. When you go all I know is. You're my favorite mistake. Your friends are sorry for me. They watch you pretend to adore me. But I'm no fool to this game. Now here comes your secret lover. She'll be unlike any other. Until your guilt goes up in flames. Did you know when you go it's the perfect ending. To the bad day I got used to spending. When you go all I know is. You're my favorite mistake. You're my favorite mistake. Maybe nothing lasts forever. Even when you stay together. I don't need forever after. It's your laughter. Won't let me go so I'm holding on this way. Did you know. Could you tell. You were the only one. That I ever loved. Now everything's so wrong. Did you see me walking by. Did it ever make you cry. You're my favorite mistake. You're my favorite mistake. You're my favorite mistake.
