simple man,"Well, mama told me when I was young. Said sit beside me, my only son. And listen closely to what I say.. And if you do this. It will help you some sunny day.. Or take your time... Don't live too fast,. Troubles will come and they will pass.. You'll find a woman and you'll find love,. And don't forget son,. There is a someone up above.. (Chorus). And be a simple kind of man.. Be a something you love and understand.. Be a simple kind of man.. (Oh,) Won't you do this for me son,. If you can?. Forget your lust for the rich man's gold. All that you need now is in your soul,. And you can do this (oh baby) if you try.. All that I want for you my son,. Is to be satisfied.. (Chorus). Boy, don't you worry... you'll find yourself.. Follow you heart and nothing else.. And you can do this if you try.. All I want for you my son,. Is to be satisfied.. (Chorus)"
devil,"Pick it up, Pick it up, pick it up. Pick Up The Phone. You said it yourself you're scared of being alone. You said it yourself that you can crack the code. But the static you hear automatically. keeps you exposed on your own. I hope you're ready, steady, smashing through the levy. The drama, the trauma, don't play the prima donna. My God. You said it yourself that you would never stop. Until you felt the needle drop. So now you pack your bags. The party's such a drag. And everyone can tell that you're poisoning the well. But there are no mistakes. Except what you create. You need to know your place. cuz it's about to get heavy. It's about to be on. Yeah, I'm bangin' slingin' napalm. So nobody move. cuz I was sent to warn you. The Devil's in the next room. The silence, the silence. The blinding ultra violence. Knockin' at your door. Pacin' back and forth. What now?. The whispers and the screams. The stereotypical profiling ritual. Vicious and obscene. So now you pack your bags. The party's such a drag. And everyone can tell that you're poisoning the well. But there are no mistakes. Except what you create. You need to know your place. cuz it's about to get heavy. It's about to be on. Yeah, I'm bangin' slingin' napalm. So nobody move. cuz I was sent to warn you. The Devil's in the next room. cuz it's about to get heavy. It's about to be on. Yeah, I'm bangin' slingin' napalm. So nobody move. cuz I was sent to warn you. The Devil's in the next room. Yeah the Devil's in the next room. So nobody move. cuz I was sent to warn you. the Devil's right beside you"
45,"Send away for a priceless gift. One not subtle, one not on the list. Send away for a perfect world. One not simply so absurd. In these times of doing what you're told. Keep these feelings, no one knows. What ever happened to the young man's heart?. Swallowed by pain, as he slowly fell apart. And I'm staring down the barrel of a .45. Swimming through the ashes of another life. No real reason to accept the way things have changed. Staring down the barrel of a .45. Send a message to the unborn child. ""Keep your eyes open for a while"". In a box high up on the shelf, left for you, no one else. There's a piece of a puzzle known as life. Wrapped in guilt, sealed up tight. What ever happened to the young man's heart?. Swallowed by pain, as he slowly fell apart. And I'm staring down the barrel of a .45. Swimming through the ashes of another life. No real reason to accept the way things have changed. Staring down the barrel of a .45. Everyone's pointing their fingers. Always condemning me. And nobody knows what I believe. I believe. And I'm staring down the barrel of a .45. And I'm swimming through the ashes of another life. There is no real reason to accept the way things have changed. Staring down the barrel of a .45"
second chance,"My eyes are open wide. And by the way, I made it. Through the day. I watched the world outside. By the way, I'm leaving out Today. Well, I just saw hailey's. Comet shooting. Said why you always running. In place?. Even the man in the. Moon disappears. Somewhere in the. Stratosphere. Tell my mother,. Tell my father. I've done the best I can. To make them realize. This is my life. I hope they understand. I'm not angry,. I'm just saying.... Sometimes goodbye. Is a second chance. Please don't cry. One tear for me. I'm not afraid of. What I have to say. This is my one and. Only voice. So listen close, it's. Only for today. Well, I just saw hailey's. Comet shooting. Said why you always running. In place?. Even the man in the. Moon disappears. Somewhere in the. Stratosphere. Tell my mother,. Tell my father. I've done the best I can. To make them realise. This is my life. I hope they understand. I'm not angry, I'm. just saying.... Sometimes goodbye. Is a second chance. Heres my chance. This is my chance. Tell my mother,. Tell my father. I've done the best I can. To make them realise. This is my life. I hope they understand. I'm not angry, I'm. just saying.... Sometimes goodbye. Is a second chance. Sometimes goodbye. Is a second chance [ x2 ]"
get up,"Get up, get up. Get up, get up. Get up, get up. Get up, get up, get up, get up. Get up, get up, get up, get up. I know you're clingin' to the light of day. To tell you everything's A-okay. And medication don't do much. Yeah, it just numbs the brain. Guess you might say I'm a little intense. I'm on the bright side of bein' hell bent. So, take it from me, you're not the only one. Who can't see straight (Can't see straight). If you were ever in doubt. Don't sell yourself short, you might be bulletproof. Hard to move mountains when you're paralyzed. But you gotta try, and I'm callin' out. Get up, get up, get a move on. Get up, get up, what's takin' so long. Get up, get up, get a move on. Stop stallin', I'm callin' out. Get up, get up, get a move on. Get up, get up, ain't nothin' wrong. 'Cause I believe you can be whatever. And I agree you can do much better, trust me (Trust me). Everybody wants to sing their song. So, Marvin Gaye, ""What's Going On? "". Ain't nothin' normal when it comes to you and me. I'd rather twist myself in knots than watch you give up on your dreams. If you were ever in doubt. Don't sell yourself short, you might be bulletproof. Hard to move mountains when you're paralyzed. But you gotta try, so I'm callin' out. Get up, get up, get a move on. Get up, get up, what's takin' so long. Get up, get up, get a move on. Stop stallin', I'm callin' out. Get up, get up, get a move on. Get up, get up, ain't nothin' wrong. 'Cause I believe you can do whatever. And I agree you can do much better, trust me. Yeah I don't know why I never talk about it. I guess that's probably part of the problem. Yeah. Sometimes you're wrong... sometimes you're right. Just gotta keep moving. Yeah. I'm just gonna keep moving. Today, tomorrow, and the next. Get up, get up, get a move on. Get up, get up, what's takin' so long. Get up, get up, get a move on. Stop stallin', I'm callin' out. Get up, get up, get a move on. Get up, get up, ain't nothin' wrong. 'Cause I believe you can do whatever. And I agree you can do much better, trust me"
if you only knew,"If you only knew. I'm hanging by a thread. The web I spin for you. If you only knew. I'd sacrifice my beating. Heart before I lose you. I still hold onto the letters. You returned. I swear I've lived and learned. It's 4:03 and I can't sleep. Without you next to me I. Toss and turn like the sea. If I drown tonight, bring me. Back to life. Breathe your breath in me. The only thing that I. still believe. In is you, if you only knew. If you only knew. How many times I counted. All the words that went wrong. If you only knew. How I refuse to let you go,. Even when you're gone. I don't regret any days I. Spent, nights we shared,. Or letters that I sent. It's 4:03 and I can't sleep. Without you next to me I. Toss and turn like the sea. If I drown tonight, bring me. Back to life. Breathe your breath in me. The only thing that I. still believe. In is you, if you only knew. If you only knew. I still hold onto the letters. You returned. You help me live and learn. It's 4:03 and I can't sleep. Without you next to me I. Toss and turn like the sea. If I drown tonight, bring me. Back to life. Breathe your breath in me. The only thing that I. still believe. In is you, believe in is you. I still believe in you. Oh, if you only knew"
adrenaline,"Give me the wheel. So we can move a little faster. I made you real. Im not a glorious disaster. What part of living says you gotta die. I plan on burning through another night lost. One more for measure distant from the soul. They never sleeps so are you ready to go. We are trying to get some clear blue sky. Tic toc I think the well is running dry. My my, I cant lie. I need a shot again. My sweet adrenaline. Dead state cause some fears in the head. Burn burn cause the needle is in the red. My my, I cant lie. I need a shot again. My sweet adrenaline. My my. My sweet adrenaline. Cracking the vision. Who said the motivation is all wrong. Not your decision. The detonation of a time bomb. Which way is up when your high is low. Its time to find it are you ready to go. We are trying to get some clear blue sky. Tic toc I think the well is running dry. My my, I cant lie. I need a shot again. My sweet adrenaline. Dead state cause some fears in the head. Burn burn cause the needle is in the red. My my, I cant lie. I need a shot again. My sweet adrenaline. My my. My sweet adrenaline. My my just cant lie. Its the speed in the sound that im dying to try. My my just cant lie. Its the love of the chase that created the ride. We are trying to get some clear blue sky. Tic toc I think the well is running dry. My my, I cant lie. I need a shot again. My sweet adrenaline. Dead state cause some fears in the head. Burn burn cause the needle is in the red. My my, I cant lie. I need a shot again. My sweet adrenaline. My my, I cant lie. I need a shot again. My sweet adrenaline. My my. My sweet adrenaline"
how did you love,"You can have the sound of a thousand voices. calling your name. You can have the light of the world blind you, bath you in grace. But I don't see so easily what you hold in your hands. Cause castles crumble, kingdoms fall and turn into sand. You can be an angel of mercy or give into hate. You can try to buy it just like it every other careless mistake. How do you justify I'm mystified by the ways of your heart. With a million lies the truth will rise to tear you apart. Wooaahh!. No one gets out alive, every day is do or die. The one thing you leave behind. Is how did you love, how did you love?. It's not what you believe. those prayers will make you bleed. But while you're on your knees. How did you love, how did you love, how did you love?. Nothing ever feels the quite same when you are what you dreamed. And you will never look at anything. the same when you see what I see. How we forget ourselves. loose our way from the cradle to the grave. You can't replicate or duplicate. gotta find your own way. Wooaahh!. No one gets out alive, every day is do or die. The one thing you leave behind. Is how did you love, how did you love?. It's not what you believe. those prayers will make you bleed. But while you're on your knees. How did you love, how did you love, how did you love?. This ain't no cross to carry. We are the judge and jury, we are the judge and jury. No one gets out alive, every day is do or die. The one thing you leave behind. Is how did you love, how did you love?. It's not what you believe. those prayers will make you bleed. But while you're on your knees. How did you love, how did you love, how did you love?. This ain't no cross to carry. We are the judge and jury, we are the judge and jury. How did you love, how did you love?. How did you love, how did you love?"
cut the cord,"(Freedom, la la la la). (Freedom, follow me). (Freedom, la la la la). (Freedom) Cut it!. (Freedom, la la la la). (Freedom, follow me). (Freedom, la la la la). (Freedom). Let me tell you I'm vicious. Not pass-agressive. I got my finger on my pulse. Staring straight into a hole and I get it. And I'm a savage. It's automatic. I got a way of making noise. The power to destroy with no static. Cause victory is all you need. So cultivate and plant the seed. Hold your breath and count to ten, just count to ten. I'm gonna make it rain, so ring the bell. I know it all too well. Switchblade on the edge of your wrist. Can I get a witness? (witness). Cause agony brings no reward. For one more hit and one last score. Don't be a casualty, cut the cord!. (Freedom, la la la la). (Freedom, follow me) Cut the cord!. (Freedom, la la la la). (Freedom). You gotta feel courage. Embrace possession. If it was easier to shatter everything that ever mattered. But it's not, because it's your obsession. Be a fighter, backbone, desire. Complicated and it stings. But we both know what it means. And it's time to get real and inspired. Cause victory is all you need. So cultivate and plant the seed. Hold your breath and count to ten,. Just count to ten, just count to ten. I'm gonna make it rain, so ring the bell. I know it all too well. Switchblade on the edge of your wrist. Can I get a witness? (witness). Cause agony brings no reward. For one more hit and one last score. Don't be a casualty, cut the cord!. Cut it!. Cut it!. Cause victory is all you need. So cultivate and plant the seed. Hold your breath and count to ten, just count to ten. I'm gonna make it rain, so ring the bell. I know it all too well. Switchblade on the edge of your wrist. Can I get a witness? (witness). Cause agony brings no reward. For one more hit and one last score. Don't be a casualty, cut the cord!. Don't be a casualty, cut the cord!. (Freedom, la la la la). (Freedom, follow me) Cut the cord!. (Freedom, la la la la). (Freedom, follow me, me, me)"
diamond eyes (boom-lay boom-lay boom),"I am the shadow, and the smoke in your eyes. I am the ghost, that hides in the night. Boom-lay boom-lay, boom! (repeat). Wait, wait a minute,. Take a step back,. Gotta think twice before you react.. So stay, stay a little while. Cause a promise. Not kept is the road to exile. Hey, what's the circumstance. You'll never be great without taking a chance. So, wait you waited too long. Had your hands in your pocket. When you should've been gone.. (Boom-lay boom-lay boom). One push is all you need. (Boom-lay boom-lay boom). This is philosophy.. (Boom-lay boom-lay boom). We watch with wounded eyes.. (Boom-lay boom-lay boom). So I hope you recognize.. Out on the front line,. Don't worry I'll be fine. The story is just beginning. I say goodbye to my weakness,. So long to the regrets. And now I see the world through. Diamond eyes. Damn, damn it all down. Took one to the chest without even a sound. So, what, what do you want. The things you love. Or the people you hurt. Hey, it's like deja vu suicidal. Maybe I got nothing to lose. So wait, it's the exception to the rule. Everyone of us is expendable. (Boom-lay boom-lay boom). One push is all you need. (Boom-lay boom-lay boom). This is philosophy.. (Boom-lay boom-lay boom). We watch with wounded eyes.. (Boom-lay boom-lay boom). So I hope you recognize.. Out on the front line,. Don't worry I'll be fine. The story is just beginning. I say goodbye to my weakness,. So long to the regrets. And now I know that I'm alive. Out on the front line,. Don't worry I'll be fine. The story is just beginning. I say goodbye to my weakness. So long to the regrets. And now I see the world through. Diamond Eyes. (Uuuuuuuuuuuuuh uuuuuh). Every night of my life. I watch angels fall from the sky. Every time that the sun still sets. I pray they don't take mine. Guitar solo. I'm on the front line,. Don't worry I'll be fine. The story is just beginning. I say goodbye to my weakness. So long to regrets. Out on the front line,. Don't worry I'll be fine. The story is just beginning. I say goodbye to my weakness,. so long to the regrets. And now I see the world through diamond eyes. Out on the front line,. Don't worry I'll be fine. The story is just beginning. (The story is just beginning). I say goodbye to my weakness,. So long to the regrets. And now I see the world through. Diamond eyes. Boom-lay boom-lay boom (repeat till the end)"
