miss you love,"Millionaire say. Got a big shot deal. And thrown it all away. But I'm not too sure. How I'm supposed to feel. Or what I'm supposed to say. But I'm not, not sure,. Not too sure how it feels. To handle every day. And I miss you love. Make room for the pray. 'Cause I'm coming in. With what I wanna say but. It's gonna hurt. And I love the pain. A breeding ground for hate but.... I'm not, not sure,. Not too sure how it feels. To handle everyday. Like the one that just passed. In the crowds of all the people. Remember today. I've no respect for you. And I miss you love. And I miss you love. I love the way you love. But I hate the way. I'm supposed to love you back. It's just a fad. Part of the, teen, teenage angst brigade and. I'm not, not sure,. Not too sure how it feels. To handle everyday. Like the one that just passed. In the crowds of all the people. Remember today. I've no respect for you. And I miss you love. And I miss you love. Remember today. I've no respect for you. And I miss you love. And I miss you. I love the way you love. But I hate the way. I'm supposed to love you back"
ana's song (open fire),Please die Ana. For as long as you're here we're not. You make the sound of laughter. and sharpened nails seem softer. And I need you now somehow. And I need you now somehow. Open fire on the needs designed. On my knees for you. Open fire on my knees desires. What I need from you. Imagine pageant. In my head the flesh seems thicker. Sandpaper tears corrode the film. And I need you now somehow. And I need you now somehow. Open fire on the needs designed. On my knees for you. Open fire on my knees desires. What I need from you. And you're my obsession. I love you to the bones. And Ana wrecks your life. Like an Anorexia life. Open fire on the needs designed. On my knees for you. Open fire on my knees desires. What I need from you. Open fire on the needs designed. Open fire on my knees desires. On my knees for you
tomorrow,"It's twelve o'clock, and it's a wonderful day.. I know you hate me, but I'll ask anyway.. Won't you come with me, to a place in a little town.. The only way to get there's to go straight down.. There's no bathroom, and there is no sink.. The water out of the tap is very, hard to drink,. Very hard to drink.. You, wait till tomorrow. You, wait till tomorrow. You say the money, isn't everything,. But I'd like to see you live without it.. You think you can keep on going living like a king.. Oohh babe, but I strongly doubt it.. Very hard to drink.. You gonna wait till, fat boy,. Fat boy, wait until tomorrow"
freak,"No more maybes. Your baby's got rabies. Sitting on a ball. In the middle of the andes. Yeah, Yeah.. I’m a freak of nature. Yeah, Yeah.. I'm a freak. If only I could be as cool as you. As cool as you. Body and soul, I'm a freak, I'm a freak. Body and soul, I'm a freak, I'm a freak. Try to be different. Well get a different disease. Seems it's in fashion. To need the cold sore cream. Yeah, Yeah.. I’m a freak of nature. Yeah, Yeah.. I'm a freak. I don't really know. How to put on a cool show. As boring as they come. Just tell me where to go. If only I could be as cool as you. As cool as you. As cool as you. As cool as you. Body and soul, I'm a freak, I'm a freak. Body and soul, I'm a freak, I'm a freak. Body and soul, I'm a freak, I'm a freak. Body and soul, I'm a freak, I'm a freak. Freak. Freak. Freak. Freak."
without you,Miles Away. There's hopeless smiles brighter than mine. And I need for you to come and go. Without the truth falling out.. Old incisions refusing to stay. Like sun through the trees on a cloudy day. You brighten my life like a polystyrene hat. But it melts in the sun like a life without love. And I've waited for you so I'll keep holding on. Without You. Telephone. Socially scared and impaired. If the trees will bloom the wind can blow. Without the fruit falling out. Old incisions refusing to stay. Like sun through the trees on a cloudy day. You brighten my life like a polystyrene hat. But it melts in the sun like a life without love. And I've waited for you so I'll keep holding on. Without You. Feels like the wind blows. Holding you with us. She takes no other. False light and ashes. Blooming like winter. You brighten my life like a polystyrene hat. But it melts in the sun like a life without love. And I've waited for you so I'll keep holding on. Without You
anthem for the year 2000,We are the youth. We'll take your fascism away. We are the youth. Apologise for another day. We are the youth. And politicians are so sure. We are the youth. And we are knocking on death's door. Never knew we were living in a world. With a mind that could be so sure. Never knew we were living in a world. With a mind that could be so small. Never knew we were living in a world. And the world is an open court. Maybe we don't want to live in a world. Where innocence is so short. We'll make it up to you. in the year 2000 with.... Never knew we were living in a world. With a mind that could be so sure. Never knew we were living in a world. With a mind that could be so small. Never knew we were living in a world. And the world is an open court. Maybe we don't want to live in a world. Where innocence is so short. We'll make it up to you. In the year 2000. Build it up for you. In the year 2000. Make it up to you. In the year 2000. Build it up for you. In the year 2000 with you. Never knew we were living in a world. With a world that could be so sure. Never knew we were living in a world. With a mind that could be so small. Never knew we were living in a world. And the world is an open court. Maybe we don't want to live in a world. World who cares at all. We'll make it up to you. In the year 2000. Build it up for you. In the year 2000. Make it hard for you. In the year 2000. Build it up for you. In the year 2000. Make it hard for you. In the year 2000. Build it up for you. In the year 2000 with you.
abuse me,. Need to ask a question. Calling out my name. Nothing seems to bother. Wish I had a clue. C'mon abuse me more I like it. Well I don't think you like me. Well I hate you as well. No one seems to like you. Wish I couldn't tell. C'mon abuse me more I like it. C'mon keep talking 'cause it's true. Throw the sailors overboard
emotion sickness,Erupt again ignore the pill. And I won't let it show. Sacrifice the tortures. Orchestral tear cash-flow. Increase delete escape defeat. It's all that matters to you. Cotton case for an iron pill. Distorted eyes. when everything is clearly dying. Burn my knees and. Burn my knees and. Burn my knees and. E-motion sickness. Addict with no heroine. E-motion sickness. Distorted eyes. when everything is clearly dying. Burn my knees and. Burn my knees and pray. Burn my knees and. Burn my knees and pray. [All my friends say]. Get up get up get up get up. Get up get up get up. Won't you stop my pain. E-motion sickness. [To idle with an idol]. Addict with no heroine. Good things will pass. It helps with excess access. Lessons learnt. E-motion sickness. [Lost no friendship]. [Corrosive head pollution]. Lessons learnt.
the greatest view,You're the analyst. The fungus in my milk. When you want no one. And you've got someone. Through the wind. You crawl. And laugh at burning dunes. When no one else will. Ever see. Now that you know why you feel like you do. They're turning their head whilst they wait. For no one. And finally I know why you feel like letting go. I'm watching you watch. Over me and I've got. The greatest view from here. I'm watching you watch. Over me and I've got. The greatest view from here. Mistakes don't mean a thing. If you don't regret them. So pack your tactic toes for the winter. Chain a waterfall to burned and withered skin. No one else will ever see. I'm watching you watch. Over me and I've got. The greatest view from here. I'm watching you watch. Over me and I've got. The greatest view from here. Now that you know why you feel like you do. They're turning their head whilst they wait. For no one. And finally I know why I feel like you're letting go. I'm watching you watch. Over me and I've got. The greatest view from here. I'm watching you watch. Over me and I've got. The greatest view from here. The greatest view from here. The Greatest View . .
do you feel the same?,"Moon Covered. Determined to find. To find my place of hiding... Try to detach, try to decrease. To make it easier on me.. Despise myself for what you've done. Send me back into my world. Hold yourself, 'cause no one will. I'll make it easier.. Now I have managed to be the one,. To be the victim without the gun.. Do you feel the same anyway?. Now you've come. Do you feel the same anyway?. Now you've come. Stay alert, 'cause I'm obsessed. Surely I can't be depressed. Could I be read if I was see-through?. Or would you just read my spine?. Now I have managed to be the one. To be the victim without the gun. Do you feel the same anyway?. Now you've come. Do you feel the same anyway?. Now you've come. Hold yourself 'cause no one will. I'll be there to take the spill. Cleanse your soul. Change the tide and ride the wave. Back into me.... Be the one...... Without the gun..... Chorus."
