perfect,Hey dad look at me. Think back and talk to me. Did I grow up according to plan?. And do you think I'm wasting my time. doing things I wanna do?. But it hurts when you disapprove all along. And now I try hard to make it. I just wanna make you proud. I'm never gonna be good enough for you. I can't pretend that I'm alright. And you can't change me. 'Cause we lost it all. Nothing lasts forever. I'm sorry. I can't be perfect. Now it's just too late. And we can't go back. I'm sorry. I can't be perfect. I try not to think. About the pain I feel inside. Did you know you used to be my hero?. All the days you spent with me. Now seem so far away. And it feels like you don't care anymore. And now I try hard to make it. I just wanna make you proud. I'm never gonna be good enough for you. I can't stand another fight. And nothing is alright. 'Cause we lost it all. Nothing lasts forever. I'm sorry. I can't be perfect. Now it's just too late. And we can't go back. I'm sorry. I can't be perfect. Nothing's gonna change the things that you said. Nothing's gonna make this right again. Please don't turn your back. I can't believe it's hard. Just to talk to you. But you don't understand. 'Cause we lost it all. Nothing lasts forever. I'm sorry. I can't be perfect. Now it's just too late. And we can't go back. I'm sorry. I can't be perfect. 'Cause we lost it all. Nothing lasts forever. I'm sorry. I can't be perfect. Now it's just too late. And we can't go back. I'm sorry. I can't be perfect
welcome to my life,"Do you ever feel like breaking down?. Do you ever feel out of place?. Like somehow you just don't belong. And no one understands you. Do you ever want to run away?. Do you lock yourself in your room?. With the radio on turned up so loud. That no one hears you screaming. No you don't know what it's like. When nothing feels alright. You don't know what it's like. To be like me.... To be hurt, to feel lost. To be left out in the dark. To be kicked when you're down. To feel like you've been pushed around. To be on the edge of breaking down. And no one is there to save you. No you don't know what it's like. Welcome to my life. Do you wanna be somebody else?. Are you sick of feeling so left out?. Are you desperate to find something more. Before your life is over. Are you stuck inside a world you hate?. Are you sick of everyone around?. With their big fake smiles and stupid lies. While deep inside you're bleeding. No you don't know what it's like. When nothing feels alright. You don't know what it's like. To be like me.... To be hurt, to feel lost. To be left out in the dark. To be kicked when you're down. To feel like you've been pushed around. To be on the edge of breaking down. And no one is there to save you. No you don't know what it's like. Welcome to my life. No one ever lied straight to your face. And no one ever stabbed you in back. You might think I'm happy. But I'm not gonna be ok. Everybody always gave you what you wanted. You never had to work. It was always there. You don't know whats it's like. What it's like. To be hurt, to feel lost. To be left out in the dark. To be kicked when you're down. To feel like you've been pushed around. To be on the edge of breaking down. And no one is there to save you. No you don't know what it's like (what it's like). To be hurt, to feel lost. To be left out in the dark. To be kicked when you're down. To feel like you've been pushed around. To be on the edge of breaking down. And no one is there to save you. No you don't know what it's like. Welcome to my life. Welcome to my life, welcome to my life"
summer paradise (feat. taka one ok rock) (japanese version),"Yeah me and you in summer paradise. My heart is sinking. As I'm lifting up. Above the clouds away from you. And I can't believe I'm leaving. Oh I don't kno-kno-know what I'm gonna do. But, someday. I will find my way back. To where your name is written in the sand. Cause I remember every sunset (I remember). I remember every words you said. We were never gonna say good bye (good bye). Singing la ta ta ta. Tell me how to get back to (back to). Back to summer paradise with you. And I'll be there in a heartbeat. I'll be there I'll be there I'll be there(oh ooh!). I'll be there in a heartbeat. And I'll be there I'll be there I'll be there(oh ooh!). My soul is broken. Streets are frozen. I can't stop this feelings melting through. And I'd give away a thousand days, oh. Just to have another one with you (with you). Well, real life can wait(real life can wait). We're crashing like waves(crashing like waves). We're Playing in the sand (playing in the sand). Holding your hands (yeah yeah!). 'Cause I remember every sunset (I remember). I remember every words you said. We were never gonna say good bye (good bye). Singing la ta ta ta. Tell me how to get back to (back to). Back to summer paradise with you. And I'll be there in a heartbeat. I'll be there I'll be there I'll be there(oh ooh). I'll be there in a heartbeat. And I'll be there I'll be there I'll be there(oh ooh). My memories are reminding me. The perfect night on the perfect beach. Ano hi no ki o kuwo kaki atsumeta tokode. Modori shinai. The season not the reason why. I fell in love with you in paradise. Kimi ga boku wo omoidasu tabi ni. And I'll be there in a heartbeat. Someday. I will find my way back. To where your name is written in the sand. 'Cause I remember every sunset (I remember). I remember every words you said. We would never gonna say good bye (good bye). Singing la da da dada. Tell me how to get back to (back to). Back to summer paradise with you. And I'll be there in a heartbeat. I remember when we first kissed. How I didn't wanna leave your lips. And how I've never ever felt so high. Tell me how to get back to (back to). Back to summer paradise with you. And I'll be there in a heartbeat. I'll be there, I'll be there, I'll be there. I'll be there in a heartbeat. I'll be there, I'll be there, I'll be there. I'll be there in a heartbeat"
untitled,I open my eyes. I try to see but I'm blinded. By the white light. I can't remember how. I can't remember why. I'm lying here tonight. And I can't stand the pain. And I can't make it go away. No I can't stand the pain. How could this happen to me?. I've made my mistakes. Got nowhere to run. The night goes on. As I'm fading away. I'm sick of this life. I just wanna scream. How could this happen to me?. Everybody's screaming. I try to make a sound. But no one hears me. I'm slipping off the edge. I'm hanging by a thread. I wanna start this over again. So I try to hold on to. A time when nothing mattered. And I can't explain what happened. And I can't erase the things that I've done. No I can't. How could this happen to me?. I've made my mistakes. Got nowhere to run. The night goes on. As I'm fading away. I'm sick of this life. I just wanna scream. How could this happen to me?. I've made my mistakes. Got nowhere to run. The night goes on. As I'm fading away. I'm sick of this life. I just wanna scream. How could this happen to me?
what's new scooby doo?,"What's New Scooby Doo?. We're coming after you. You're gonna solve that mystery. I see you scooby doo. The trail leads back to you. Whats new scooby doo?. What's new scooby doo?. We're gonna follow you. You're gonna solve that mystery. We see you scooby doo. We're coming after you. Whats new scooby doo?. What's new scooby doo?. We're gonna follow you. You're gonna solve that mystery. We see you scooby doo. We're coming after you. Whats new scooby doo?. Don't look back, you may find another clue. The scooby snacks, will be waiting here for you. Whats new scooby doo?. We're coming after you. You're gonna solve that mystery. I see you scooby doo. The trail leads back to you. Whats new scooby doo?. What's new scooby doo?. We're gonna follow you. You're gonna solve that mystery. We see you scooby doo. We're coming after you. Whats new scooby doo?. What's New Scooby Doo?. We're coming after you. You're gonna solve that mystery. I see you scooby doo. The trail leads back to you. Whats new scooby doo?. What's new scooby doo?. We're gonna follow you. You're gonna solve that mystery. We see you scooby doo. We're coming after you. Whats new scooby doo?. Don't look back, you may find another clue. The scooby snacks, will be waiting here for you. Whats new scooby doo?. We're coming after you. You're gonna solve that mystery. I see you scooby doo. The trail leads back to you. Whats new scooby doo?. Na na na na na. Na na na na na. Na na na na na na na. Na na na na na. Na na na na na. What's new scooby doo?"
save you,"Take a breath,. I'll pull myself together. Just another step, until I reach the door. You'll never know the way,. It tears me up inside to see you (aah-ah, aah-ah). I wish that I could tell you something (aah-ah, aah-ah. To take it all away. Sometimes I wish I could save you. And there's so many things that I want you to know. I won't give up till it's over. If it takes you forever, I want you to know. When I hear your voice,. It's drowning in the whispers. You're just skin and bones. There's nothing left to take. And no matter what I do. I can't make you feel better (aah-ah, aah-ah). If only I could find the answer. to help me understand. Sometimes I wish I could save you. And there's so many things that I want you to know. I won't give up till it's over. If it takes you forever, I want you to know. [that] If you fall, stumble down,. I'll pick you up of the ground.. If you lose faith in you,. I'll give you strength to pull through.. Tell me you won't give up,. cause I'll be waiting if you fall. you know I'll be there for you. (aah-ah, aah-ah) If only I could find the answer,. (aah-ah, aah-ah To take it all away. Sometimes I wish I could save you. And there's so many things that I want you to know. I won't give up till it's over. If it takes you forever, I want you to know. ohh, ohh. I wish I could save you.... ohh, ohh. I want you to know.... Ohh, ohh. I wish I could save you..."
jet lag (feat. natasha bedingfield),Oh oooooh!. Oh oh oooooh!. What time is it where you are?. I miss you more than anything. Back at home you feel so far. Waitin' for the phone to ring. It's gettin lonely livin' upside down. I don't even wanna be in this town. Tryin to figure out the time zones makin' me crazy. You say good morning when it's midnight. Going out of my head alone in this bed. I wake up to your sunset. And it's drivin' me mad I miss you so bad. And my heart heart heart is so jet-lagged. Heart heart heart is so jet-lagged. Heart heart heart is so jet-lagged. So jet-lagged. Oh oooooh!. What time is it where you are?. Five more days and I'll be home. I keep your picture in my car. I hate the thought of you alone. I've been keepin busy all the time. Just to try to keep you off my mind. Tryin to figure out the time zones makin' me crazy. You say good morning when it's midnight. Going out of my head alone in this bed. I wake up to your sunset. And it's drivin' me mad I miss you so bad. And my heart heart heart is so jet-lagged. Heart heart heart is so jet-lagged. Heart heart heart is so jet-lagged. So jet-lagged. Oh oooooh!. Oh oh oooooh!. I miss you so bad (I miss you so bad). I miss you so bad (I miss you so bad). I miss you so bad (I wanna share your horizon). I miss you so bad (and see the same sunrising). I miss you so bad (and turn the hour hand back to when you were holding me). You say good morning when it's midnight. Going out of my head alone in this bed. I wake up to your sunset. And it's drivin' me mad I miss when.... You say good morning when it's midnight. Going out of my head alone in this bed. I wake up to your sunset. And it's drivin' me mad I miss you so bad. And my heart heart heart is so jet-lagged. Heart heart heart is so jet-lagged. Heart heart heart is so jet-lagged. So jet-lagged. Oh oooooh! So jet-lagged
astronaut,Can anybody hear me?. Or am I talking to myself?. My mind is running empty. In the search for someone else. Who doesn't look right through me.. It's all just static in my head. Can anybody tell me. why I'm lonely like a satellite?. Cause tonight I'm feeling like an astronaut. Sending SOS from this tiny box. And I lost all signal when I lifted up. Now I'm stuck out here and the world forgot. Can I please come down?. Cause I'm tired of drifting round and round. Can I please come down?. I'm deafened by the silence. Is it something that I've done?. I know that there are millions. I can't be the only one who's so disconnected. It's so different in my head.. Can anybody tell me. why I'm lonely like a satellite?. Cause tonight I'm feeling like an astronaut. Sending SOS from this tiny box. And I lost all signal when I lifted up. Now I'm stuck out here and the world forgot. Can I please come down?. Cause I'm tired of drifting round and round. Can I please come down?. Now I lie awake and scream in a zero gravity. And it's starting to weigh down on me.. Let's abort this mission now. Can I please come down?. So tonight I'm calling all astronauts. All the lonely people that the world forgot. If you hear my voice come pick me up. Are you out there?. 'Cause you're all I've got!. And tonight I'm feeling like an astronaut. Sending SOS from this tiny box. And I lost all signal when I lifted up. Now I'm stuck out here and the world forgot. Cause tonight I'm feeling like an astronaut. Sending SOS from this tiny box. To the lonely people that the world forgot. Are you out there?. 'Cause you're all I've got!. Can I please come down?. Cause I'm tired of drifting round and round.. Can I please come down?. Can I please come down?. Can I please come down?
when i'm gone,"I look around me. And all I seem to see. Is people going nowhere. Expecting sympathy. It's like we're going through the motions. Of a scripted destiny. Tell me where's our inspiration. If life won't wait. I guess it's up to me. Whoahh. No we're not gonna waste another moment. in this town. Whoahh. We won't come back, the world its calling out. Whoahh. Leave the past in the past gonna find the future. And misery loves company. Well so long. You'll miss me when I'm gone. You're gonna miss me when I'm gone. Procrastination running circles in my head. While you sit there contemplating you'll wind up left. for dead (left for dead). Life it's what happens. While you're busy making your excuses. Another day, another casualty. But that won't happen to me. Whoahh. No we're not gonna waste another moment. in this town. Whoahh. We wont come back, the world its calling out. Whoahh. Leave the past in the past gonna find the future. And misery loves company. Well so long. You'll miss me when I'm gone. You're gonna miss me when I'm gone. You're gonna miss me when I'm goooone. When I'm gooone. Let's go...!. I won't look back. When I say goodbye. Gonna leave this world behind me. Gonna take what's mine tonight. 'cause every wasted day. Becomes a wasted chance. You're gonna wake up feeling sorry. 'cause life won't wait. I guess it's up to you. Whoahh. No we're not gonna waste another moment. in this town. Whoahh. We wont come back, the world its calling out. Whoahh. Leave the past in the past gonna find the future. And misery loves company. Well so long. You'll miss me when I'm gone. You're gonna miss me when I'm gone. You're gonna miss me when I'm gone. You're gonna miss me when I'm gone. You're gonna miss me when I'm gone"
your love is a lie,"I fall asleep by the telephone. It's two o'clock and I'm waiting up alone. Tell me where have you been?. I found a note with another name. You blow a kiss but it just don't feel the same. Cause I can feel that you're gone. I can't bite my tongue forever. While you try to play it cool. You can hide behind your stories. But don't take me for a fool. You can tell me that there's nobody else. (But I feel it). You can tell me that you're home by yourself. (But I see it). You can look into my eyes and pretend all you want. But I know, I know. Your love is just a lie (lie, lie). It's nothing but a lie (lie, lie). You look so innocent. But the guilt in your voice gives you away. Yeah, you know what I mean. How does it feel when you kiss. When you know that I trust you. And do you think about me when he fucks you. Could you be more obscene. So don't try to say you're sorry. Or try to make it right. And don't waste your breath. Because it's too late, it's too late. You can tell me that there's nobody else. (But I feel it). You can tell me that you're home by yourself. (But I see it). You can look into my eyes and pretend all you want. But I know, I know. Your love is just a lie (lie), lie (lie). It's nothing but a lie (lie), lie (lie). You're nothing but a lie. You can tell me that there's nobody else. (But I feel it). You can tell me that you're home by yourself. (But I see it). You can look into my eyes and pretend all you want. But I know, I know. Your love is just a lie. I know, it's nothing but a lie (lie), lie (lie). You're nothing but a lie (lie), lie (lie). Your love is just a lie"
