i remember you,"Woke up to soothing sound of pouring rain. The wind would whisper and I'd think of you. And all the tears you cried. That called my name. And when you needed me I came through.. I paint a picture of the days gone by. When love went blind and you would make me see. I'd stare a lifetime into your eyes. So that I knew that you were there for me. Time after time, you were there for me. Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through the sleepless nights, through every endless day. I'd wanna hear you say, I remember you. We spent the summer with the top rolled down. Wished ever after would be like this. You said ""I love you babe,"" without a sound. I said I'd give up my life for just one kiss. I'd live for your smile, and die for your kiss. Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through the sleepless nights, through every endless day. I'd wanna hear you say, I remember you. We've had our share of hard times. But that's the price we paid. And through it all, we kept the promise that we made. I swear you'll never be lonely. Woke up to soothing sound of pouring rain. Washed away a dream of you. But nothing else could ever take you away. 'cause you'll always be my dream come true. Oh my darling, I love you. Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through the sleepless nights, through every endless day. I'd wanna hear you say, I remember you. Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through all the sleepless nights, through every endless day. I'd wanna hear you say. I remember, I remember you. Ohhh uhhh yeah"
18 and life,"Ricky was a young boy. He had a heart of stone. Lived nine to five. and worked his fingers to the bone. Just barely out of school, came from the edge of town. Fought like a switchblade. so no one could take him down. He had no money, ooh no good at home. He walked the streets a soldier. and he fought the world alone. And now it's. 18 and life You got it. 18 and life you know. Your crime is time and it's 18 and life to go. Tequila in his heartbeat. His veins burned gasoline. It kept his motor running. but it never kept him clean. They say he loved adventure, ""Ricky's the wild one. "". He married trouble had a courtship with a gun. Bang Bang Shoot 'em up, The party never ends. You can't think of dying. when the bottle's your best friend. And now it's. 18 and life You got it. 18 and life you know. Your crime is time and it's 18 and life to go. ""Accidents will happen"" they all heard Ricky say. He fired his six-shot to the wind That child blew a child away. 18 and life You got it. 18 and life you know. Your crime is time and it's 18 and life to go"
wasted time,"You and I together in our lives. Sacred ties would never fray. Then why can't I let myself tell lies. And watch you die every day. I think back to the times. When dreams were what mattered. Tough talking youth naivete. You said you'd never let me down. But the horse stampedes and rages. In the name of desperation. Is it all just wasted time. Can you look at yourself. When you think of what. You left behind. Is it all just wasted time. Can you live with yourself. When you think of what. You've left behind. Paranoid delusions they haunt you. Where's my friend I used to know. He's all alone. He's buried deep within a carcass. Searching for a soul. Can you feel me inside your heart. As it's bleeding. Why can't you believe you can't be loved. I hear you scream in agony. And the horse stampedes and rages. In the name of desperation. Is it all just wasted time. Can you look at yourself. When you think of what. You left behind. Is it all just wasted time. Can you live with yourself. When you think of what. You've left behind. You said you'd never let me down. But the horse stampedes, it rages. In the name of desperation. Is it all just wasted time. Can you look at yourself. When you think of what. You left behind. Is it all just wasted time. Can you live with yourself. When you think of what. You've left behind. The sun will rise again. The earth will turn to sand. Creation's colors seem to fade to grey. And you'll see the sickly hands of time. Will write your final rhyme. And end a memory. I never thought you'd let it get this far, boy"
in a darkened room,"In a darkened room. Beyond the reach of God's faith. Lies the wounded, the shattered remains of love betrayed. And the innocence of a child is bought and sold. In the name of the damned. The rage of the angels left silent and cold. Forgive me please for I know not what I do. How can I keep inside the hurt I know is true. (Chorus). Tell me when the kiss of love becomes a lie. That bears the scar of sin too deep. To hide behind this fear of running unto you. Please let there be light. In a darkened room.... All the precious times have been put to rest again. And the smile of the dawn. Brings tainted lust singing my requiem. Can I face the day when I'm tortured in my trust. And watch it crystallize. While my salvation crumples to dust. Why can't I steer the ship before it hits the storm. I've fallen to the sea but still I swim for shore. (Chorus 2x). Tell me when the kiss of love becomes a lie. That bears the scar of sin too deep. To hide behind this fear of running unto you. Please let there be light.... In a darkened room!"
youth gone wild,"Rollin'. Woah yeah... Since I was born,. They couldn't hold me down. Another misfit kid,. Another burned-out town. I never played by the rules and I never really cared,. My nasty reputation takes me everywhere. Well I look n' see it's not only me. So many others have stood where I stand,. We are the young - so raise your hands. (Chorus). They call us problem child,. We spend our lives on trial,. We walk an endless mile - we are the Youth Gone Wild. We stand and we won't fall - we're one and one for all. The writing's on the wall - we are the Youth Gone Wild. My boss screamin' my ear 'bout who I'm s'posed to be,. ""Get a three-piece Wall Street smile, and son you'll look. just like me"". I said ""Hey, man, there's somethin' you oughta know, well I tell ya Park Avenue leads to...Skid Row!!"". Well I look n' see it's not only me. We're standing tall, ain't never a doubt. We are the young, so shout it out. (repeat chorus). Well lemme hear ya get wild!. (guitar solo). (repeat chrorus). (typical Bach-style screaming to fade). We are the Youth Gone Wild!"
quicksand jesus,"She caught the melting sky.. It burned but still the winter passes by and by to the other side. A slow parade of wind that blows through trees that wilted. With the season's children. Are we saved by the words of bastard saints? Do we live in fear or faith. Tell me now who's behind the rain. A maze of tangled grace. The symptoms of ""for real"" are crumbling from embrace. But still we chase...the shadows of belief. And new religion clouds our visions of the roots of our souls. Are we ashamed of our own fate. Or play the fool for our own sake. Tell me who's behind the rain. What do we need where do we go when we get where we don't know. Why should we doubt the virgin white of fallen snow. When faith's our shelter from the cold. Quicksand Jesus I'm so far away without you. Quicksand Jesus I'm so far away without you. Quicksand Jesus I'm so far away...away. Quicksand Jesus I'm so far away. Quicksand Jesus I need you. Quicksand Jesus I believe you. Quicksand Jesus I'm so far away."
i remember you ii,"Woke up to the sound of pouring rain. The wind would whisper and I'd think of you. And all the tears you cried. That called my name. And when you needed me I came through. And when you needed me I came through. Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through the sleepless nights, through every endless day. I'd wanna hear you say, I remember you. I paint a picture of the days gone by. When love went blind and you would make me see. I'd stare a lifetime into your eyes. So that I knew that you were there for me. Time after time, you were there for me. Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through the sleepless nights, through every endless day. I'd wanna hear you say, I remember you. We've had our share of hard times. But that's the price we paid. And through it all, we kept the promise that we made. I swear you'll never be lonely. (Solo). Remember yesterday, walking hand in hand. Love letters in the sand, I remember you. Through the sleepless nights, through every endless day. I'd wanna hear you say, I remember you. Remember you. You. One, Two, Three, Four!"
little wing,"Well she's walking. Through the clouds. With a circus mind. That's running wild. Butterflies and zebras and moonbeams and fairytales. That's all she ever thinks about. Riding with the wind. Oh, when I'm sad. She comes to me. With a thousand smiles. She gives to me free. It's alright she said. It's alright. Take anything you want from me. Anything.."
another dick in the system,"I’m not the devil. But I can show my horns. All the things I did to you. Could have been in a porn. Then I heard the rumors. Now I know they’re true. Some strange motherfucker. Is gonna do ‘em to you. I said I loved you but you didn’t listen. I know there’s another dick in the system. I said I loved you but you didn’t listen. I know there’s another dick in the system. I’ve lived with angels. I’ve laid with whores. I gave you nothing but honesty. Then I licked your sores. I’m not the one to crucify. With blood, iron and wood. You’re not the saviour to me anymore. You’re damaged goods… Yeah. I said I loved you but you didn’t listen. I know there’s another dick in the system. I said I loved you but you didn’t listen. I know there’s another dick in the system. I said I loved you but you didn’t listen. I know there’s another dick in the system. I said I loved you but you didn’t listen. I know there’s another dick in the system. Hey Hey. Hey Hey. Hey Hey Hey. Hey Hey Hey"
monkey business,"Outside my window there's a. Whole lot of trouble comin'. The cartoon killers and the. Rag cover clones. Stack heals kickin' rhythm. Of social circumcision. Can't close the closet on a. Shoe box full of bones. Kangaroo lady with her bourbon in a pouch. Can't afford the rental on a bamboo couch. Collecting back her favors 'cause her well is running dry. I know her act is terminal,. But she ain't gonna die. Slim Intoxicado drinkin' dime store hooch. Is always in a circle with his part-time pooch. Little creepy's playing dollies on the New York rain. Thinkin' Bowie's just a knife. Ooh the pain. I ain't seen the sun since I don't know when. The freaks come out at nine. And it's twenty to ten. What's this funk. That you ucall junk. To me it's just monkey business. Blind man in the box that will probably die. The village kids laugh as they waalk by. A psycho is on the edge of this human garbage dump. And the vultures in the sewers are telling. Him to jump. Into the fire from the frying pan. Tripping on his tongue. For a cool place to stand. Where's this shaade. That you've got it made. To me it's just monkey business. CHORUS. Monkey business. Slippin' on the track. Monkey business. Jungle in black. Ain't your business if I got. No monkey on my back. CHORUS. The Vaseline gypsies and the silicone souls. Dressed to the society. Hypocrite heartbeat and cheap alibis. Can't get you by that monkey. CHORUS."
beat yourself blind,"Give me a minute 'cause I'm wrapped in superstition. Pour me a chemical to take away the edge. Don't make up anything that's breaking all your fingers. Just slap around a bit of what it takes to pledge. Carry out another stone as a slave. Ask general-know-it-all ""Who's juggling the earth?"". Tease all the natives that will walk across your grave. And shove aside your nation all for what it's worth. (Chorus). Beat yourself blind (Repeat 6x). An open eyes and a closed mind. Look at the suit in suspended animation. A faded outline that used to be a man. A piece of paper that's fallen out a window. Has got a better chance to know where it will land. (Repeat Chorus). To bleed in vain, to bleed in vain--under my eyes are painted skies. Down at the boneyard, they're diggin' up the relics. Handfuls of parasites thrown into machines. I got the phone call they're tearin' down the mission. The zombies had a ball, but don't know what it means. Beat yourself blind."
