monster,"The secret side of me. I never let you see. I keep it caged but I can't control it. so, stay away from me. The beast is ugly. I feel the rage and I just can't hold it. It's scratching on the walls. In the closet, in the halls. It comes awake and I can't control it. Hidin under the bed. In my body, in my head. Why won't somebody come and save me from this. Make it end!!. I feel it deep within. It's just beneath the skin. I must confess that I feel like a monster. I hate what I've become. The nightmare's just begun. I must confess that I feel like a monster. I, I feel like a monster. I, I feel like a monster. My secret side I keep. Hid under lock and key. I keep it caged but I can't control it. 'Cause if I let him out. He'll tear me up, break me down. Why won't somebody come and save me from this. Make it end!!. I feel it deep within. It's just beneath the skin. I must confess that I feel like a monster. I hate what I've become. The nightmare's just begun. I must confess that I feel like a monster. I feel it deep within. It's just beneath the skin. I must confess that I feel like a monster. I, I feel like a monster. I, I feel like a monster. Its hidin in the dark. Its teeth are razor sharp. There's no escape for me. It wants my soul it wants my heart. No one can hear me scream. Maybe it's just a dream. Or maybe it's inside of me. Stop this monster. I feel it deep within. It's just beneath the skin. I must confess that I feel like a monster. I hate what I've become. The nightmare's just begun. I must confess that I feel like a monster. I feel it deep within. It's just beneath the skin. I must confess that I feel like a monster. I gotta lose control. It's something radical. I must confess that I feel like a monster. I, I feel like a monster. I, I feel like a monster. I, I feel like a monster. I, I feel like a monster"
feel invincible,"Target on my back. Lone survivor lasts. They got me in their sights. No surrender no. Trigger fingers go. Living the dangerous life. Hey, hey, hey. Everyday when I wake. I'm trying to get up, they're knocking me down. Chewing me up, spitting me out. Hey, hey, hey. When I need to be saved. You're making me strong, you're making me stand. Never will fall, never will end. Shot like a rocket up into the sky. Nothing could stop me tonight. You make me feel invincible. Earthquake, powerful. Just like a tidal wave. You make me brave. You're my titanium. Fight song, raising up. Like a roar of victory in a stadium. Who can touch me cause I'm. I'm made of fire. Who can stop me tonight. I'm hard wired. You make me feel invincible. I feel, I feel it. Invincible. I feel, I feel it. Invincible. Here we go again. I will not give in. I've got a reason to fight. Every day we choose. We might win or lose. This is the dangerous life. Hey, hey, hey. Everyday when I wake. They say that I'm gone; they say that they've won. The bell has been rung, it's over and done. Hey, hey, hey. When I need to be saved. They counting me out, but this is my round. You in my corner; look at me now. Shot like a rocket up into the sky. Nothing could stop me tonight. You make me feel invincible. Earthquake, powerful. Just like a tidal wave. You make me brave. You're my titanium. Fight song, raising up. Like a roar of victory in a stadium. Who can touch me cause I'm. I'm made of fire. Who can stop me tonight. I'm hard wired. You make me feel invincible. I feel, I feel it. Invincible. I feel, I feel it. Invincible. You make me feel invincible. You make me feel invincible. Shot like a rocket up into the sky. Not gonna stop. Invincible. You make me feel invincible. Earthquake, powerful. Just like a tidal wave. You make me brave. You're my titanium. Fight song, raising up. Like a roar of victory in a stadium. Who can touch me cause I'm. I'm made of fire. Who can stop me tonight. I'm hard wired. You make me feel invincible. I feel, I feel it. Invincible. I feel, I feel it. Invincible. . |. |. |"
hero,I'm just a step away. I'm a just a breath away. Losin my faith today. Jen: Fallin off the edge today. I am just a man. Not superhuman. Jen: I'm not superhuman.. Someone save me from the hate. It's just another war. Just another family torn. Jen: Falling from my faith today. Just a step from the edge. Just another day in the world we live. I need a hero to save me now. I need a hero. Jen: Save me now. I need a hero to save my life. A hero'll save me. Jen: Just in time. I've gotta fight today. To live another day. Speakin my mind today. Jen: My voice will be heard today. I've gotta make a stand. But I am just a man. Jen: I'm not superhuman.. My voice will be heard today. It's just another war. Just another family torn. Jen: My voice will be heard today. It's just another kill. The countdown begins to destroy ourselves. I need a hero to save me now. I need a hero. Jen: Save me now. I need a hero to save my life. A hero'll save me. Jen: Just in time. I need a hero to save my life. I need a hero. Just in time.. Save me just in time. Save me just in time. Who's gonna fight for what's right. Who's gonna help us survive. We're in the fight of our lives. Jen: And we're not ready to die. Who's gonna fight for the weak. Who's gonna make 'em believe. I've got a hero. Jen: I've got a hero. Livin in me. I'm gonna fight for whats right. Today I'm speaking my mind. And if it kills me tonight. Jen: I will be ready to die. A hero's not afraid to give his life. A hero's gonna save me just in time. I need a hero to save me now. I need a hero. Jen: Save me now. I need a hero to save my life. A hero'll save me. Jen: Just in time.. I need a hero. Who's gonna fight for what's right. Who's gonna help us survive. I need a hero. Who's gonna fight for the weak. Who's gonna make 'em believe. I need a hero. I need a hero. A Hero's gonna save me just in time!
awake and alive,"I'm at war with the world and they. Try to pull me into the dark. I struggle to find my faith. As I'm slippin' from your arms. It's getting harder to stay awake. And my strength is fading fast. You breathe into me at last. Chorus. I'm awake I'm alive. Now I know what I believe inside. Now it's my time. I'll do what I want cause this is my life. here, right now. I'll stand my ground and never back down. I know what I believe inside. I'm awake and I'm alive. I'm at war with the world cause I. Ain't never gonna sell my soul. I've already made up my mind. No matter what I can't be bought or sold. When my faith is getting weak. And I feel like giving in. You breathe into me again. I'm awake I'm alive. Now I know what I believe inside. Now it's my time. I'll do what I want cause this is my life. here, right now. I'll stand my ground and never back down. I know what I believe inside. I'm awake and I'm alive. Waking up waking up [4x]. In the dark. I can feel you in my sleep. In your arms I feel you breathe into me. Forever hold this heart that I will give to you. Forever I will live for you. I'm awake I'm alive. Now I know what I believe inside. Now it's my time. I'll do what I want cause this is my life. here, right now. I'll stand my ground and never back down. I know what I believe inside. I'm awake and I'm alive. Waking up waking up [4x]"
comatose,I hate feeling like this. I'm so tired of trying to fight this. I'm asleep and all I dream of. Is waking to you. Tell me that you will listen. Your touch is what I'm missing. And the more I hide I realize I'm slowly losing you. Comatose. I'll never wake up without an overdose of you. I don't wanna live. I don't wanna breath. 'Les I feel you next to me. You take the pain I feel. (Waking up to you never felt so real). I don't wanna sleep. I don't wanna dream. 'Cause my dreams don't comfort me. The way you make me feel. (Waking up to you never felt so real). I hate living without you. Dead wrong to ever doubt you. But my demons lay in waiting. Tempting me away. Oh how I adore you. Oh how I thirst for you. Oh how I need you. Comatose. I'll never wake up without an overdose of you. I don't wanna live. I don't wanna breath. 'Les I feel you next to me. You take the pain I feel. (Waking up to you never felt so real). I don't wanna sleep. I don't wanna dream. 'Cause my dreams don't comfort me. The way you make me feel. (Waking up to you never felt so real). Breathing life. Waking up My eyes. Open up. Comatose. I'll never wake up without an overdose of you. I don't wanna live. I don't wanna breath. 'Les I feel you next to me. You take the pain I feel. (Waking up to you never felt so real). I don't wanna sleep. I don't wanna dream. 'Cause my dreams don't comfort me. The way you make me feel. (Waking up to you never felt so real). Oh how I adore you. (Waking up to you never felt so real). Oh how I thirst for you. (Waking up to you never felt so real). Oh how I adore you. The way you make me feel. (Waking up to you never felt so real)
stars,"You spoke a word and life began. Told oceans where to start and where to end. You set in motion time and space. But still you come and you call to me by name. But still you come and you call to me by name. If you can hold the stars in place. You can hold my heart the same. Whenever I fall away. Whenever I start to break. So here I am, lifting up my heart. To the one who holds the stars. The deepest depths, the darkest nights. Can't separate, can't keep me from your sight. I get so lost, forget my way. But still you love and you don't forget my name. If you can hold the stars in place. You can hold my heart the same. Whenever I fall away. Whenever I start to break. So here I am, lifting up my heart. If you can calm the raging sea. You can calm the storm in me. You're never too far away. You never show up too late. So here I am, lifting up my heart. To the one who holds the stars. Your love has called my name. What do I have to fear?. What do I have to fear?. Your love has called my name. What do I have to fear?. What do I have to fear?. If you can hold the stars in place. You can hold my heart the same. Whenever I fall away. Whenever I start to break. So here I am, lifting up my heart. (lifting up my heart). If you can calm the raging sea. You can calm the storm in me. You're never too far away. You never show up too late. So here I am, lifting up my heart. To the one who holds the stars. You're the one who holds the stars"
the resistance,"I am a nation, I am a million faces. Formed together, made for elevation. I am a soldier, I won't surrender. Faith is like a fire that never burns to embers. (Who's gonna stand up, who's gonna fight?). The voice of the unheard. (Who's gonna break these chains and lies?). Love is the answer. I gotta speak it, believe it, that's how I feel inside. I, I, can't, can't sit here quiet. You can take my heart, you can take my breath. When you pry it from my cold, dead chest. This is how we rise up. Heavy as a hurricane, louder than a freight train. This is how we rise up. Heart is beating faster, feels like thunder. Magic, static, call me a fanatic. It's our world, they can never have it. This is how we rise up. It's our resistance, you can't resist us. Hey can you hear me? Hey, are you listening?. Sleeping in the shadows, could be making history. Walk through the fire, walk on the water. Used to be a slave, but now you are a conqueror. They can take my heart. They can take my breath. When they pry it from my cold, dead chest. This is how we rise up. Heavy as a hurricane, louder than a freight train. This is how we rise up. Heart is beating faster, feels like thunder. Magic, static, call me a fanatic. It's our world, they can never have it. This is how we rise up. It's our resistance, you can't resist us. Up, up, up, up, up. We're rising up, up, up, up, up. The voice of the unheard. Rising up, up, up, up, up. We're rising up, up, up, up, up. Love is the answer. Rising up, up, up, up, up. We're rising up, up, up, up, up. Love is the answer. This is how we rise up. It's our resistance, you can't resist us. This is how we rise up. Heavy as a hurricane, louder than a freight train. This is how we rise up. Heart is beating faster, feels like thunder. Magic, static, call me a fanatic. It's our world, they can never have it. This is how we rise up. It's our resistance, you can't resist us"
"it's not me, it's you","Let's get the story straight. You were a poison. You flooded through my veins. You left me broken. You tried to make me think. That the blame was all on me. With the pain you put me through. And now I know that it's not me it's you. It's not me it's you. Always has been you. All the lies and stupid things you say and do. It's you. It's not me it's you. All the lies and pain you put me through. I know that it's not me it's you. You. You. It's not me it's you, you. So here we go again. The same fight we're always in. I don't care so why pretend. Wake me when your lecture ends. You tried to make me small. Make me fall and it's all your fault. With the pain you put me through. And now I know that it's not me it's you. It's not me it's you. Always has been you. All the lies and stupid things you say and do. It's you. It's not me it's you. All the lies and pain you put me through. I know that it's not me it's you. Lets get the story straight. You were a poison. Flooding through my veins. You're driving me insane. And now you're gone away. I'm no longer choking. From the pain you put me through. And now I know that it's not me it's you. It's not me it's you. Always has been you. All the lies and stupid things you say and do. It's you. It's not me it's you. All the lies and pain you put me through. I know that it's not me it's you, you. It's not me it's you. It's not me it's you, you. It's not me it's you, you. It's not me it's you, you. It's not me it's you"
never surrender,Do you know what it's like when. You're scared to see yourself. Do you know what it's like when. You wish you were someone else. Who didn't need your help to get by. Do you know what it's like. To wanna surrender. (Chorus). I don't wanna feel like this tomorrow. I don't wanna live like this today. Make me feel better. I wanna feel better. Stay with me here now. And never surrender. Do you now what it's like when. You're not who you wanna be. Do you know what it's like to. Be your own worst enemy. Who sees the things in me I can't hide. Do you know what it's like. To wanna surrender?. (Chorus). I don't wanna feel like this tomorrow. I don't wanna live like this today. Make me feel better. I wanna feel better. Stay with me here now. And never surrender. Make me feel better. You make me feel better. You make me feel better. Put me back together. (Chorus). I don't wanna feel like this tomorrow. I don't wanna live like this today. Make me feel better. I wanna feel better. Stay with me here now. And never surrender. Put me back together. Never surrender. Make me feel better. You make me feel better. Stay with me here now. And Never Surrender
watching for comets,"[verse 1]. You burn so bright, I see stars. The way that you laugh,. It's like a heavenly choir. You made me feel invincible. When you're with me,. I can take on the world. [chorus]. You were a comet and I lost it. Watching for comets, will I see you again?. You burn so bright,. You burn me up tonight. [verse 2]. Say my name, I'll be there. I didn't know,. You should've said that you cared. It's not too late for broken hearts. Take my hand, make a wish on a star. [chorus]. You were a comet and I lost it. Watching for comets, will I see you again?. Everybody needs someone. But they can't feel like this. How can I breathe with this burning in my chest?. You were gone so fast, I want you back. You burn so bright,. You burn me up tonight. You were a comet and I lost it. (time to spread my wings and fly). Watching for comets, will I see you again?. (time to fly away so high). [bridge]. Now I see you, I'm frozen in time. All your colors burst into life. I don't dare close my eyes. Cause a love like this. Happens once in a lifetime. [chorus]. You were a comet and I lost it. Watching for comets, will I see you again?. Everybody needs someone. But they can't feel like this. How can I breathe with this burning in my chest?. You were gone so fast, I want you back. You were a comet and I lost it. (time to spread my wings and fly). Watching for comets, will I see you again?. (time to fly away so high). You burn so bright,. You burn me up tonight"
