"if i'm james dean, you're audrey hepburn","Stay for tonight. If you want to. I can show you. What my dreams are made of,. As I'm dreaming of your face. I've been away for a long time. Such a long time. And I miss you there. I can't imagine being anywhere else. I can't imagine being anywhere else but here. How the hell did you ever pick me?. Honestly, I could sing you a song. But I don't think words can express your beauty. It's singing to me. How the hell did we end up like this?. You bring out the beast in me. I fell in love from the moment we kissed. Since then we've been history. They say that love is forever. Your forever is all that I need. Please stay as long as you need. Can't promise that things won't be broken. But I swear that I will never leave. Please stay forever with me. It goes to show, I hope that you know that you are. What my dreams are made of you. Can't fall asleep, can't fall asleep. I lay in my bed awake, in my bed awake at night. As I dream of you. I'll fall in love, you'll fall in love. It could mean everything, everything to me. I can't imagine being anywhere else. They say that love is forever. Your forever is all that I need. Please stay as long as you need. Can't promise that things won't be broken. But I swear that I will never leave. Please stay forever with me. The way that we are. It's the reason I stay. As long as you're here with me. I know we'll be Ok. The way that we are. It's the reason I stay. As long as you're here with me. I know I'll be Ok. They say that love is forever. Your forever is all that I need. Please stay as long as you need. Can't promise that things won't be broken. But I swear that I will never leave. Please stay forever with me. (I couldn't love just anyone, I was created to love just one baby). They say that love is forever. Your forever is all that I need. (I couldn't love just anyone, I was created to love just one girl). Please stay as long as you need. (I couldn't love just anyone, I was created to love just one baby). Can't promise that things won't be broken. But I swear that I will never leave. (I couldn't love just anyone, I was created to love just one girl). Please stay forever with me"
scene two - roger rabbit,"Is there a right way for how this goes. You got your friends and you got your foes. I want a piece of something hot. Forget your name like they forgot. Ohh, ain't that somethin'. Someone will see you crash and burn. Criticize your every word. I'm trynna keep from goin' insane. Ain't that the way of this whole damn thing. Ohh, trying to be somethin', more. Nobody's gonna love you. if you can't display the way to capture this. Nobody's gonna hold your hand and guide you through,. no it's up to you to understand. Nobody's gonna feel your pain, when all is done,. and it's time for you to walk away. So when you have today,. you should say all that you have to say. Ohh, say all that you have to say. Is there a right way for bein' strong. It feel like I'm doin things all wrong. Still I'm here just holdin' on. Confess my heart and forgive my wrongs. Ohh, just trynna show you somethin', more. Nobody's gonna love you. if you can't display the way to capture this. Nobody's gonna hold your hand and guide you through,. it's up to you to understand. Nobody's gonna feel your pain, when all is done,. and it's time for you to walk away. When you have today, you should say all that you have to say. Don't point the blame when you can't find nothin'. Look to yourself and you might find somethin'. It's time that we sort it out. All of the things we complain about. So listen close to the sound of your soul. Take back the life you led once before. If it ain't you, then who. If it ain't you, then who is gonna love you?. Nobody's gonna love you. if you can't display a way to capture this. Nobody's gonna hold your hand and guide you through,. it's time for you to understand. Nobody's gonna feel your pain. When all is done, and it's time for you to walk away. When you have today. You should say all that you have to say. So when you have today, say all that you have to say"
if you can't hang,"I met a girl at seventeen. Thought she meant the world to me. So I gave her everything. She turned out to be a cheat. Said she'd been thinking for a long time. And she found somebody new. I've been thinking that this whole time. Well I never thought you'd stay that's okay. I hope he takes your filthy heart in. And he throws you away someday. Before you go. There's one thing you oughta know.... If you can't hang then there's the door baby. If you can't hang then there's the door baby. If you can't hang then there's the door baby. If you can't hang then there's the door.... I don't wanna take your precious time. 'Cause you're such a pretty, pretty, pretty, pretty face. but you turn into a pretty big waste of my time. I don't wanna take up all your time. 'Cause you're such a pretty, pretty, pretty, pretty face. But you turn into a pretty big waste of my time. You're the lowest type, you're the lowest.... I met a girl talking away. She found a boy, she knew she'd change. I changed my clothes, my hair, my face. To watch us go our separate ways. She said we'd grown apart for sometime. But then she found somebody new. I hope Mr. Right puts up. with all the bullshit that you do. Stay the hell away. Well I sit here by myself. To figure out how I got this way. Before you go. There's one thing you oughta know. If you can't hang then there's the door baby. If you can't hang then there's the door baby. If you can't hang then there's the door baby. If you can't hang then there's the door.... I don't wanna take your precious time. 'Cause you're such a pretty, pretty, pretty, pretty face. But you turn into a pretty big waste of my time. I don't wanna take up all your time. 'Cause you're such a pretty, pretty, pretty, pretty face. But you turn into a pretty big waste of my time. I don't wanna get this confused. She said she never settle for some boy. She couldn't use.... So now I gotta call the doctor. So we can prescribe me medication. So I can deal with all the memories. Of being near this way. I met a girl at twenty-three. Knew she meant the world to me. So I gave her everything. And she did the same for me. Imagine that. 'Cause you're such a pretty, pretty face. No, you're such a pretty, pretty face. Wooooooahh yeeaahhh. Cause you're such a pretty, pretty face. No, you're such a pretty, pretty face. I don't wanna take your precious time. 'Cause you're such a pretty, pretty, pretty, pretty face. But you turn into a pretty big waste of my time. I don't wanna take up all your time. Cause you're such a pretty, pretty, pretty, pretty face. But you turn into a pretty big waste of my time. Would you, please, stay and come inside, baby. Would you, please, stay and please be mine, baby. Would you, please, stay and come inside, baby. Would you, please, stay and please be mine"
kick me,Let's take the jury. You sick judgemental fools. I'll bury you six feet deep. Cause I'm tired of your rules. Fuck you and your opinion. How could you be so blind?. What goes around. Comes back around in time. You don't know shit. You don't know shit. About me. You don't know shit shit shit. Don't know a Goddamn thing about me. Keep looking down on me. I am more than you'll ever be. Cut me deep but I won't bleed. Gonna kick kick. Kick me when I'm down. By all means. Put me through hell. And I'll make you see. I'll be your worst enemy. Try to kick kick kick me when I'm down. Kick me when I'm down. Of all the sinners. You're first in line. So go to hell and tell the devil. I'm not that far behind. Fuck you and your decision. Cause it's not mine. What goes around. Comes back around in time. You don't know shit. You don't know shit. About me. You don't know shit shit shit. Don't know a Goddamn thing about me. Keep looking down on me. I am more than you'll ever be. Cut me deep but I won't bleed. Gonna kick kick. Kick me when I'm down. By all means. Put me through hell. And I'll make you see. I'll be your worst enemy. Try to kick kick kick me when I'm down. You're gonna kick me when I'm down. Kick kick kick me when I'm down. Kick me when I'm down. Kick me when I'm down down. Down. Down. Kick me when I'm down. Down. Down. Kick me when I'm down
legends,"Do you remember being young. the world in your hands. our heart in a song. Do you remember being young. Remember, remember. Nothing's ever what it seems. forget who you are, forget how to dream. I think it's time that we believe. Remember, remember. We can be wild. We can be free. We can be anything in life we want to be. We can move mountains. We can break walls. We can stand tall enough to fight. And never fall. We can be legends after all. Do you remember growing up. Standing all alone with your back the sun. Do you remember growing up. (Remember, remember). Tell me how it's gonna be. Even if we win or lose, wear your heart on your sleeve. I think it's time that we believe. (Remember, remember). We can be wild. We can be free. We can be anything in life we want to be. We can move mountains. We can break walls. We can stand tall enough to fight. And never fall. We can be legends after all. Stand up and shout it out if you want it. (Remember, remember). Reach out and touch the sky cause you got it. We'll be here forever (ever, ever, ever). We can be wild. We can be free. We can be anything in life we want to be. We can move mountains. We can break walls. We can stand tall enough to fight. And never fall. We can be legends after all. (Stand up and shout it out if you want it). Remember. (Reach out and touch the sky cause you got it). We'll be here forever"
all my heart,"There's so many things that I could say. But I'm sure it would come out all wrong. You've got something that I can't explain. Still I try and try and let you know. That first summer we spent, one could never forget. Looking for any kind of reason. To escape all the mess. That we thought what made us. Ain't it funny now, we can see. We're who we're meant to be. You still have all of my. You still have all of my. You still have all of my heart. (Ohh). There's too many times I have to say. I could've been better and stronger for you and me. You always make me feel okay. Those late summers we stay up talking all night. I ask, ""You think we'll ever make it? "". You say, ""I'm sure, if it's right. "". Ain't it funny to think how stupid I used to be. Hope you always believe. You still have all of my. You still have all of my. You still have all of my heart. (X2). Let them talk and talk and talk. Let them say what they want. We will laugh at the thought. They don't know what we got. Every year that goes by, a year older we are. You'll still be beautiful then, bless your beautiful heart. We'll talk and talk and talk. How crazy it seems. Someone could waste their whole life helplessly. Just patiently waiting for a love like you and me. You still have all of my. You still have all of my. You still have all my heart. You still have all of my heart. You still have all of my. (you still have all of my heart). You still have all of my. (you still have all of my heart). You still have all of my heart. (you still have all of my heart). You still have all of my (I've been waiting my whole life). You still have all of my. (For someone to save me still. can't believe that you're mine). You still have all of my heart"
scene one - james dean & audrey hepburn,"Stay for tonight. If you want to, I can show you. What my dreams are made of. As I'm dreaming of your face. I've been away for a long time. Such a long time. And I miss you there. I can't imagine being anywhere else. I can't imagine being anywhere else but here. How the hell did you ever pick me?. Honestly, cause I could sing you a song. But I don? t think words can express your beauty. It's singing to me. How the hell did we end up like this?. You bring out the beast in me. I fell in love from the moment we kissed. Since then we've been history. They say that love is forever. Your forever is all that I need. Please stay as long as you need. Can't promise that things won't be broken. But I swear that I will never leave. Please stay forever with me. If you want to, I can show you. If you want to, I can show you. It goes to show, I hope that you know that you are. What my dreams are made of. And I can't fall asleep. I lay in my bed awake at night. And I? ll fall in love, you'll fall in love. It could mean everything, everything to me. Ooh This could mean everything to me. They say that love is forever. Your forever is all that I need. Please stay as long as you need. Can't promise that things won't be broken. But I swear that I will never leave. Please stay forever. The way that we are. Is the reason I stay. As long as you're here with me. I know I? ll be ok. They say that love is forever. Your forever is all that I need. Please stay, please stay as long as you need. Can't promise that things won't be broken. But I swear that I will never leave. Please stay forever with me. (It goes to show, I hope that you know that you are. What my dreams are made of). (It goes to show, I hope that you know that you are). Please stay, please stay as long as you need. (What my dreams are made of). They say that love is forever. Your forever is all that I need. They say that love is forever. Please stay forever with me"
with ears to see and eyes to hear,"True friends lie underneath. These witty words I don't believe. I can't believe a damn thing they say anymore. Lie! Liar, you'll pay for your sins. Now! Liar, I know all the places you've been. Forgiveness this taste all but poisons my mouth. I scream but nothing, nothing will come out. You've gone too far. So tell me how does it feel, how does it feel to be like you?. I think your mouth should be quiet 'cause it never tells the truth. So tell me, so tell me why, why does it have to be this way?. Why can't things ever change?. Falling over and over again. Oh, why does it have to be this way?. From the place I was, to the place I am, to the place I want to be. For the mountains I've been climbing over and under and over. From the place that I was to the man I've become. I'll be there to see the tower you'll fall from. No, this kingdom isn't quite what it may seem. You're an illusion, you'll never be king. So tell me how does it feel, how does it feel to be like you?. I think your mouth should be quiet 'cause it never tells the truth. So tell me, so tell me why, why does it have to be this way?. Why can't things ever change?. Sometimes things are better left unsaid. But this time you'll get what you give. (True friends lie underneath. These witty words I don't believe. I can't believe a damn thing they say anymore). Come down, come down, come down from your tower. Come down, come down, come down from your tower. I know that for all my life, for all my strength. There is one above who can judge me. All I am is yours, all I am is yours, I am yours!"
hole in my heart,"Rainy days, rainy days, won't you go away. (I said) I don't know why, don't know why. I've been this feeling this way. (And I) Look in the mirror, I don't like what I see. (And I) Don't like the person staring right back at me. (But I) Gotta get myself together before I get weak. It's okay, show them who you are. Everybody hurts, everybody's got scars. It's okay, standing in the dark. Shine a little light from the hole in my, hole in my heart. Cloudy days, cloudy days, they are here to stay. I don't know why, don't know why. I've been this feeling this way. (And I) Can't stand the way everyone is looking at me. (So I) Keep my head down. and I pray that no one can see. The tears I cry, yeah these tears I hide. so you don't see the pain in me. It's okay, show them who you are. Everybody hurts, everybody's got scars. It's okay, standing in the dark. Shine a little light from the hole in my heart. Shine a little light from the hole in my heart. Shine a little light from the hole in my heart. I am thunder, I am rain. I will set you free from the hurricane. Through the fire and the flames. Yeah, we all get burned and we burn through the pain. I will help you through. You know I, I, I will be the light for you. It's okay, show them who you are. Everybody hurts, everybody's got scars. It's okay, standing in the dark. Shine a little light from the hole in my heart. OO, don't let them break you down. Don't let them tear you down, yeah. It's like a hole in my heart. Don't let them break you down. Don't let them tear you down, yeah. Just like a hole in my heart"
better off dead,"She says she wants to end it all. when she's all alone in her room. She cries. The way she feels inside is too much for her. When all you got is these four walls. It's not that hard to feel so small. Or even exist at all. How come no one heard her when she said. Maybe I'm better off dead. If I was would it finally be enough. To shut out all those voices in my head?. Maybe I'm better off dead. Better off dead!. Did you hear a word. Hear a word I said?. This is not where I belong. You gonna miss me when I'm gone. Gone, gone. This is not where I belong. You gonna miss me when I'm gone. She doesn't know she's beautiful. Because no one's ever told her so. And the demons that she has is all she knows. And maybe she can fall in love. with someone in her life that she could trust. And tell her she's enough. (Have someone tell her she's enough?). How come no one heard her when she said. Maybe I'm better off dead. If I was would it finally be enough. To shut out all those voices in my head?. Maybe I'm better off dead. Better off dead!. Did you hear a word. Hear a word I said?. This is not where I belong. You gonna miss me when I'm gone. This is not where I belong. You gonna miss me when I'm gone. When all you got is these four walls. It's not hard to feel so small. When all you got is these four walls. It's not hard to feel so small. All she wanted was to be enough. All she wanted was to be enough. So what does it take?. Maybe it's not too late. Yeah no one heard her when she said. Maybe I'm better off dead. If I was would it finally be enough. To shut out all those voices in my head?. Maybe I'm better off dead. Better off dead!. Did you hear a word. Hear a word I said?. This is not where I belong. You gonna miss me when I'm gone. Gone, gone. This is not where I belong. You gonna miss me when I'm gone. Gone, gone. This is not where I belong. You gonna miss me when I'm gone"
