snuff,"Bury all your secrets in my skin. Come away with innocence,. And leave me with my sins. The air around me still feels like a cage. And love is just a camouflage. for what resembles rage again.... So if you love me, let me go.. And run away before I know.. My heart is just too dark to care.. I can't destroy what isn't there.. Deliver me into my fate -. If I'm alone I cannot hate. I don't deserve to have you.... My smile was taken long ago. If I can change I hope I never know. I still press your letters to my lips. And cherish them in parts,. Of me that savor every kiss. I couldn't face a life without your light. But all of that was ripped apart.... When you refused to fight. So save your breath, I will not hear.. I think I made it very clear.. You couldn't hate enough to love.. Is that supposed to be enough?. I only wish you weren't my friend.. Then I could hurt you in the end.. I never claimed to be a saint.... My own was banished long ago. It took the death of hope to let you go. So break yourself against my stones. And spit your pity in my soul. You never needed any help. You sold me out to save yourself. And I won't listen to your shame. You ran away - you're all the same. Angels lie to keep control.... My love was punished long ago. If you still care, don't ever let me know. If you still care, don't ever let me know..."
psychosocial,"I did my time, and I want out!. So effusive fade, It doesn't cut, this soul is not so vibrant. The reckoning, the sickening. Packaging subversion. Pseudo sacrosanct perversion. Go drill your deserts, go dig your graves!. Then fill your mouth with all the money you will save. Sinking in, getting smaller again. I'm done! it has begun, I'm not the only one!. And the rain will kill us all. We throw ourselves against the wall. But no-one else can see. The preservation of the martyr in me. Psychosocial, psychosocial, psychosocial. Psychosocial, psychosocial, psychosocial. Ohh. There are cracks in the road we laid. But where the temple fell, the secrets have gone mad. This is nothing new, but when we killed it all?. The hate was all we had!. Who needs another mess, we could start over. Just look me in the eyes and say I'm wrong!. Now there's only emptiness, venomous, insipid. I think we're done, I'm not the only one!. And the rain will kill us all. We throw ourselves against the wall. But no-one else can see. The preservation of the martyr in me. Psychosocial, psychosocial, psychosocial. Psychosocial, psychosocial, psychosocial. The limits of the dead. The limits of the dead. The limits of the dead. The limits of the dead. Fake! anti-fascist lie, (psychosocial). I tried to tell you, but (psychosocial). Your purple hearts are giving out. (psychosocial). Can't stop the killing idea (psychosocial). If it's hunting season. (psychosocial). Is this what you want? (psychosocial). I'm not the only one!. And the rain will kill us all. We throw ourselves against the wall. But no-one else can see. The preservation of the martyr in me. And the rain will kill us all. We throw ourselves against the wall. But no-one else can see. The preservation of the martyr in me. The limits of the dead. The limits of the dead"
duality,"(I push my fingers into my) Eyes. It's the only thing that slowly stops the ache. But it's made of all the things I have to take. Jesus it never ends, it works it's way inside. If the pain goes on. I have screamed until my veins collapsed. I waited as my time's elapsed. Now all I do is live with so much fate. I've wished for this, I've bitched at that. I've left behind this little fact. ""You cannot kill what you did not create"". I've gotta say what I've gotta say. And then I swear I'll go away. But I can't promise you'll enjoy the noise. I guess I'll save the best for last. My future seems like one big past. You're left with me 'cause you left me no choice. I push my fingers into my eyes. It's the only thing that slowly stops the ache. If the pain goes on I'm not gonna make it!. Put me back together. Or separate the skin from bone. Leave me all the pieces. Then you can leave me alone. Tell me the reality. Is better than the dream. But I found out the hard way. Nothing is what it seems!. I push my fingers into my eyes. It's the only thing that slowly stops the ache. But it's made of all. The things I have to take. Jesus it never ends. It works it's way inside. If the pain goes on. I'm not gonna make it!. All I've got. All I've got is insane!. All I've got. All I've got is insane!. All I've got!. All I've got is insane!. All I've got!. All I've got is insane!. I push my fingers into my eyes. It's the only thing that slowly stops the ache. But it's made of all. The things I have to take. Jesus it never ends. It works it's way inside. If the pain goes on. I'm not gonna make it!"
vermilion part 2,"She seemed dressed in all of me. Stretched across my shame. All the torment and the pain. Leaked through and covered me. I'd do anything to have her to myself. Just to have her for myself. Now I don't know what to do. I don't know what to do. When she makes me sad. She is everything to me. The unrequited dream. A song that no one sings. The unattainable. She's a myth that I have to believe in. All I need to make it real is one more reason. I don't know what to do. I don't know what to do. When she makes me sad. But I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. A catch in my throat, choke. Torn into pieces. I won't, no!. I don't wanna be this.... But I won't let this build up inside of me. (I won't let this build up inside of me). I won't let this build up inside of me. (I won't let this build up inside of me). I won't let this build up inside of me. (I won't let this build up inside of me). I won't let this build up inside of me. (I won't let this build up inside of me). Won't let this build up inside of me. She isn't real. (I won't let this build up inside of me). I can't make her real. (I won't let this build up inside of me). She isn't real. (I won't let this build up inside of me). I can't make her real. (I won't let this build up inside of me)"
before i forget,"Go!!!!!. Stapled shut, inside and outside world and I'm. Sealed in tight, bizarre but right at home I'm. Claustrophobic, closing in and I'm. Catastrophic, not again. I'm smearder across the page, and douse in gasoline. I wear you like a stain. yet I'm the one who's obscene. catch me up on all your sorted little insurrections. I've got no time to lose and. I'm just caught up in all the cattle. Fray the strings. Throw the shapes. Hold your breath. Listen!. I am a world before I am a man. I was a creature before I could stand. I will remember before I forget. Before I forget that!. Ripped across the ditch, and settled in the dirt and I. Wear you like a stitch, yet I'm the one who's hurt. Pay attention to your twisted little indiscretions. I've got no right to win, I'm just caught up in all the battles. Locked in clutch. Pushed in place. Hold your breath. listen!. I am a world before I am a man. I was a creature before I could stand. I will remember before I forget. Before I forget that!. I am a world before I am a man. I was a creature before I could stand. I will remember before I forget. Before I forget that!. My end. It justifies my means. All I ever do is delay. my every attempt to evade. The end of the road and my end. It justifies my means. All I ever do is delay. my every attempt to evade. The end of the road!. I am a world before I am a man. I was a creature before I could stand. I will remember before I forget. Before I forget that!. I am a world before I am a man. I was a creature before I could stand. I will remember before I forget. Before I forget that!. I am a world before I am a man. I was a creature before I could stand. I will remember before I forget. Before I forget that!. Yeah!!! 3x"
vermilion,"She seems dressed in all the rings. Of past fatalities. So fragile yet so devious. She continues to see. Climatic hands that press. Her temples and my chest. Enter the night that she came home (Forever). Oh (She's the only one that makes me sad). She is everything and more. The solemn hypnotic. My dahlia, bathed in possession. She is home to me. I get nervous, preversed. When I see her, it's worse. But the stress is astounding. It's now or never. She's coming home (Forever). Oh (She's the only one who makes me sad). Hard to say what caught my attention. Fixed and crazy. Aphid attraction. Carve my name in my face. To recognize. Such a pheromone cult. To terrorize. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. Yeah!. I'm a slave and. I am a master. No restraints. And unchecked collectors. I exist to my need. To self-oblige. She is something in me. That I despise. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. I won't let this build up inside of me. She isn't real. I can't make her real. She isn't real. I can't make her real"
the devil in i,"Undo these chains, my friend?. I ll show you the rage I've hidden. Perish the sacrament. Swallow, but nothing's forgiven. You and I can't decide. Which of us was taken for granted. Make amends. Some of us are destined to be outlived. Step inside, see the devil in I. Too many times, we've let it come to this. Step inside, see the devil in I. You'll realize I'm not your devil anymore. Under the words of men. Something is tempting the father. Where is your will, my friend?. Insatiates never even bother. You and I, wrong or right. Traded a lie for the leverage. In between the lens in light. You're not what you seem. Step inside, see the devil in I. Too many times, we've let it come to this. Step inside, see the devil in I. You'll realize I'm not your devil. I'm not your devil anymore. Your station, is abandoned. Fool you cause I know what you've done. Sensation, Depravation You should've burned. when you turned on everyone. So step inside, see the devil in I. Too many times, we've let it come to this. Step inside, see the devil in I. I know you'll find your answers in the end. Step inside, see the devil in I. You'll realize I'm not your devil anymore. So step inside, step inside. See the devil in I, see the devil in I"
slipknot,"Pentex sucks! pentex sucks!!. They drain the life force of my tribe. Pentex sucks!. Bonegnawers suck! Bonegnawers suck!!. They roll around in garbage bins. All Bonegnawers suck!!. (Pentex is bleeding but night is falling). The black hand sucks! The black hand sucks!!. Those wyrm-tainted bastard leeches. black hand sucks!. If I had my way! If I had my way!. I'd rend them all ripped and torn. ALL THAT SUCKS DIES!!. (sweet smell bleeding glow is melting me). I bring my klave into battle. Shifting into Crinos - I slay Wyrmfoe. Then I step sideways...... You can't see me, for I hide within the Umbra"
all out life,"What a world, the horizon's. Coming like a hell-bent killing machine. Can't afford to be the goddamn wreckage. Burn it all again at a million degrees. Calling all the adamant upper-level. Undefeated counterfeit cunts with a reason to fear. Throw away all the meaningless shit that's clinging. The enemy is here, I said stop. Give it to three. I'm gonna show you how to do it if you know what I mean. One by one against, give me the name. All you shiny pretty never-wills ruined the game. You hold all the keys. so the chains shouldn't hold you. I know you heard me, I fucking told you. Old does not mean dead, new does not mean best. No hard feelings, I'm tired of being right. about everything I've said. Yours does not mean mine, kill does not mean die. We are not your kind. No excuses, I challenge you to all out fucking life. Drop that shit and put it on a pedestal. Children are afraid of the gods. Raise your hands and show me what's impossible. That makes us even, never tell me the odds. What a bore, I'm getting stuck in a metaphor. I don't wanna go to sleep. I need a breakdown quick in negotiations. Get it all together and remember to seethe, stop. Give it to three. I'm gonna show you how to do it if you know what I mean. Drive by violence, more of the same. I can see where you're going. And I'm really ashamed. Do you think when you act. or just act like you're thinking?. I gotta know now, you better tell me. Old does not mean dead, new does not mean best. No hard feelings, I'm tired of being right. about everything I've said. Yours does not mean mine, kill does not mean die. We are not your kind. I challenge you to all out life. We are gathered here today to get it right. Repeat after me. ""I will not celebrate mediocrity. I will not worship empty shells. I will not listen to worthless noises. I will not subject myself to selected predictable choices. My time, my attention. My quality should not be bought and sold. For convenience's sake, ever"". We are not your kind. We are not your kind. We are not your kind. We are not your kind. We are not your kind. We are not your kind. We are not your kind. We are not your kind. Old does not mean dead, new does not mean best. No hard feelings, I'm tired of being right. about everything I've said. Yours does not mean mine, kill does not mean die. Pay attention, it's gonna be a while 'til I really feel alright. Old does not mean dead, new does not mean best. No hard feelings, I'm tired of being right. about everything I've said. Yours does not mean mine, kill does not mean die. We are not your kind. No excuses, I challenge you to all out fucking life. All out life, yeah. I challenge you to all out fucking life, yeah. Live, live, live, life"
people = shit,"Here we go again, motherfucker. Come on down, and see the idiot right here. Too fucked to beg and not afraid to care. What's the matter with calamity anyway?. Right? Get the fuck outta my face. Understand that I can't feel anything. It isn't like I wanna sift through the decay. I feel like a wound, like a got a fuckin'. Gun against my head, you live when I'm dead. One more time, motherfucker. Everybody hates me now, so fuck it. Blood's on my face and my hands, and I. Don't know why im not afraid to cry. But thats none of your business. Whose life is it? Get it? See it? Feel it? Eat it?. Spin it around so I can spit in its face. I wanna leave without a trace. Cuz I dont wanna die in this place. People equal Shit. People equal Shit. People equal Shit. People equal Shit. People equal Shit. It never stops - You can't be anything to everyone. Contagion - Im sittin' at the side of satan. What do you want from me?. They never told me the failure I was meant to be. Overdo it - dont tell me you blew it. Stop your bitchin' and fight your way through it. I'M - Not - Like - You - I - Just - Fuck - Up. C'mon motherfucker everybody has to die. C'mon motherfucker everybody has to die. I know why!. People equal Shit. People equal Shit (Whatcha gunna do). People equal Shit (Cause im not afraid of you). People equal Shit (Im everything you'll never be). People equal Shit"
