1979,"Shakedown 1979, cool kids never have the time. On a live wire right up off the street. You and I should meet. June bug skipping like a stone. With the headlights pointed at the dawn. We were sure we'd never see an end to it all. And I don't even care to shake these zipper blues. And we don't know just where our bones will rest. To dust I guess. Forgotten and absorbed into the earth below. Double cross the vacant and the bored. They're not sure just what we have in the store. Morphine city slippin' dues, down to see that. We don't even care, as restless as we are. We feel the pull in the land of a thousand guilts. And poured cement, lamented and assured. To the lights and towns below. Faster than the speed of sound. Faster than we thought we'd go,. beneath the sound of hope. Justine never knew the rules. Hung down with the freaks and the ghouls. No apologies ever need be made. I knew you better than you fake it, to see that. we don't even care to shake these zipper blues. And we don't know just where our bones will rest. To dust I guess. Forgotten and absorbed into the earth below. The street heats the urgency of now. As you see there's no one around"
"tonight, tonight","Time is never time at all. You can never ever leave without leaving a piece of youth. And our lives are forever changed. We will never be the same. The more you change the less you feel. Believe, believe in me, believe. Believe that life can change. That you’re not stuck in vain. We’re not the same, we’re different tonight. Tonight, so bright. Tonight. And you know you’re never sure. But you’re sure you could be right. If you held yourself up to the light. And the embers never fade in your city by the lake. The place where you were born. Believe, believe in me, believe. Believe in the resolute urgency of now. And if you believe there’s not a chance tonight. Tonight, so bright. Tonight. We’ll crucify the insincere tonight. We’ll make things right, we’ll feel it all tonight. We’ll find a way to offer up the night tonight. The indescribable moments of your life tonight. The impossible is possible tonight. Believe in me as I believe in you.... Tonight"
silvery sometimes (ghosts),"Blur like a rocket. Torch like a dying sun. Snap like a dragon. Dive like a pelican. Kingdoms of my kingdom come. Skip like a prophet. Spit like a poets gun. But say how long can this go on?. Stumbling before you speak. Stunning and stunning and stunning the black. You turn turncoat. Inward to seek out all your hopes. It's your signals. That hurts me most. Were in the middle. Were in the middle. Ghosts. Rue like a tyrant. Make like a valentine. Tear like a siren. Sulk like a sunken mine. Kingdoms of my kingdom come. Its all but one, so. Row like a felon. Drown like a captain's son. But say how long can this go on?. Were in the middle. Were in the middle. Ghosts. Stumbling before you speak. Stunning and stunning with canons to lead. And tigers tight. You scan the fields, someone dies tonight. Its tragic, but at least its not you. Were in the middle. Were in the middle. Ghosts"
disarm,"Disarm you with a smile. And cut you like you want me to. Cut that little child. Inside of me and such a part of you. Ooh, the years burn. I used to be a little boy. So old in my shoes. And what i choose is my choice. What's a boy supposed to do?. The killer in me is the killer in you. My love. I send this smile over to you. Disarm you with a smile. And leave you like they left me here. To wither in denial. The bitterness of one who's left alone. Ooh, the years burn. Ooh, the years burn, burn, burn. I used to be a little boy. So old in my shoes. And what I choose is my voice. What's a boy supposed to do?. The killer in me is the killer in you. My love. I send this smile over to you. The killer in me is the killer in you. Send this smile over to you. The killer in me is the killer in you. Send this smile over to you. The killer in me is the killer in you. Send this smile over to you"
today,Today is the greatest. Day I've ever known. Can't live for tomorrow. Tomorrow's much too long. I'll burn my eyes out. Before I get out. I wanted more. Than life could ever grant me. Bored by the chore. Of saving face. Today is the greatest. Day I've ever known. Can't wait for tomorrow. I might not have that long. I'll tear my heart out. Before I get out. Pink ribbon scars. That never forget. I tried so hard. To cleanse these regrets. My angel wings. Were bruised and restrained. My belly stings. Today is. Today is. Today is. The greatest day. I want to turn you on. I want to turn you on. I want to turn you on. I want to turn you. Today is the greatest. Today is the greatest day. Today is the greatest day. That I have ever really known
bullet with butterfly wings,The world is a vampire. Sent to drain. Secret destroyers. Hold you up to the flames. And what do I get. For my pain. Betrayed desires. And a piece of the game. Even though I know. I suppose I'll show. All my cool and cold. Like old job. Despite all my rage I am still just a rat in a cage. Despite all my rage I am still just a rat in a cage. Then someone will say what is lost can never be saved. Despite all my rage I am still just a rat in a cage. Now I'm naked. Nothing but an animal. But can you fake it. For just one more show. And what do you want. I want to change. And what have you got. When you feel the same. Even though I know. I suppose I'll show. All my cool and cold. Life control. Despite all my rage I am still just a rat in a cage. Despite all my rage I am still just a rat in a cage. Then someone will say what is lost can never be saved. Despite all my rage I am still just a rat in a cage. . Tell me I'm the only one. Tell me there's no other one. Jesus was an only son. Tell me I'm the chosen one. Jesus was an only son for you. Despite all my rage I am still just a rat in a cage. Despite all my rage I am still just a rat in a cage. Then someone will say what is lost can never be saved. Despite all my rage I am still just a rat in a cage. Despite all my rage I am still just a rat in a cage. Despite all my rage I am still just a rat in a cage. Despite all my rage I am still just a rat in a cage. Tell me I'm the only one. Tell me there's no other one. Jesus was an only son for you. And I still believe that I cannot be saved. And I still believe that I cannot be saved. And I still believe that I cannot be saved. And I still believe that I cannot be saved
ava adore,"It's you that I adore. You'll always be my whore. You'll be a mother to my child. And a child to my heart. We must never be apart. We must never be apart. Lovely girl, you're the beauty in my world. Without you, there aren't reasons left to find. And you'll pull your crooked teeth. You'll be perfect just like me. You'll be a lover in my bed. And a gun to my head. We must never be apart. We must never be apart. Lovely girl, you're the murder in my world. Dressing coffins for the souls I've left to die. Drinking mercury to the mystery. Of all that you should ever leave behind. In time. In you I see dirty. In you I count stars. In you I feel so pretty. In you I taste God. In you I feel so hungry. In you I crash cars. We must never be apart. Drinking mercury to the mystery. Of all that you should ever seek to find. Lovely girl, you're the murder in my world. Dressing coffins for the souls I've left behind. In time. We must never be apart. And you'll always be my whore. 'Cause you're the one that I adore. And you'll pull your crooked teeth. You'll be perfect just like me. In you I feel so dirty. In you I crash cars. In you I feel so pretty. In you I taste God. We must never be apart"
stand inside your love,You and me. Meant to be. Immutable. Impossible. It's destiny. Pure lunacy. Incalculable. Insufferable (Inseparable). But for the last time. You're everything that I want and asked for. You're all that I dream. Who wouldn't be the one you love. Who wouldn't stand inside Your love?. Protected and the lover of. A pure soul. And beautiful. You. Don't understand. Don't fear (feel) me now. I will breathe for the both of us. Travel the world. Traverse the skies. Your home is here. Within my heart. And for the first time. I feel as though I am reborn in my mind. Recast as child and mystic sage. Who wouldn't be the one you love?. Who wouldn't stand inside our love?. And for the first time. I'm telling you how much I need and bleed for. Your every move and waking sound in my time. I'll wrap my wire around your heart. and your mind. You're mine forever now. Who wouldn't be the one you love and live for?. Who wouldn't stand inside your love and die for?. Who wouldn't be the one you love?
cherub rock,"Freak out. And give in. Doesn't matter what you believe in. Stay cool. And be somebody's fool this year. 'cause they know. Who is righteous, What is bold. So I'm told. Who wants honey. As long as there's some money. Who wants that honey?. Hipsters unite. Come align for the big fight to rock for you. But beware. All those angels with there wings glued on. 'cause deep down. We are frightened and we're scared. If you don't stare. Who wants honey. As long as there's some money. Who wants that honey?. Let me out. Let me out. Let me out. Let me out. Tell me all of your secrets. Cannot help but believe this is true. Tell me all of your secrets. I know, I know, I know,. Should have listened when I was told. Who wants honey. As long as there is some money. Who wants that honey?. Let me out. Let me out. Let me out. Let me out"
in the arms of sleep,"sleep will not come to this tired body now. peace will not come to this lonely heart. there are some things i'll live without. but i want you to know that i need you right now. i need you tonite. i steal a kiss from her sleeping shadow moves. cause i'll always miss her wherever she goes. and i'll always need her more than she could ever need me. i need someone to ease my mind. but sometimes a someone is so hard to find. and i'll do anything to keep her here tonite. and i'll say anything to make her feel alright. and i'll be anything to keep her here tonite. cause I want you to stay, with me. I need you tonite. she comes to me like an angel out of time. as i play the part of a saint on my knees. there are some things i'll live without. but i want you to know that i need you right now. suffer my desire. suffer my desire. suffer my desire for you"
