black hole sun,"In my eyes, indisposed. In disguise as no one knows. Hides the face, lies the snake. In the sun in my disgrace. Boiling heat, summer stench. 'Neath the black the sky looks dead. Call my name through the cream. And I'll hear you scream again. Black hole sun. Won't you come. And wash away the rain. Black hole sun. Won't you come. Won't you come. Won't you come. Stuttering, cold and damp. Steal the warm wind tired friend. Times are gone for honest men. And sometimes far too long for snakes. In my shoes, a walking sleep. And my youth I pray to keep. Heaven send Hell away. No one sings like you anymore. Black hole sun. Won't you come. And wash away the rain. Black hole sun. Won't you come. Won't you come. Black hole sun. Won't you come. And wash away the rain. Black hole sun. Won't you come. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Hang my head. drown my fear. Till you all just disappear. Black hole sun. Won't you come. And wash away the rain. Black hole sun. Won't you come. Won't you come. Black hole sun. Won't you come. And wash away the rain. Black hole sun. Won't you come. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Black hole sun, black hole sun. Won't you come. Won't you come"
fell on black days,Whatsoever I've feared has. come to life. Whatsoever I've fought off. became my life. Just when everyday. Seemed to greet me with a smile. Sunspots have faded. And now I'm doing time. now I'm doing time. Cause I fell on black days. fell on black days. Whomsoever I've cured. I've sickened now. Whomsoever I've cradled. I've put you down. I'm a searchlight soul. they say. But I can't see it in the night. I'm only faking. When I get it right. When I get it right. Cause I fell on black days. fell on black days. How would I know. That this could be my fate. How would I know. That this could be my fate. So what you wanted to see good. Has made you blind. And what you wanted to be yours. Has made it mine. So don't you lock up. Something that you. Wanted to see fly. Hands are for shaking. Not tying. not tying. I sure don't mind a change. I sure don't mind a change. I sure don't mind a change. I sure don't mind a change. I sure don't mind a change. But I fell on black days. I fell on black days. How would I know. That this could be my fate. How would I know. That this could be my fate. How would I know. That this could be my fate. How would I know. That this could be my fate
outshined,"I got up feeling so down. I got off being sold out. I've kept the movie rolling. but the story's getting old now. I just looked in the mirror. things aren't looking so good. I'm looking California. and feeling Minnesota. So now you know. who gets mystified. so now you know. who gets mystified. Show me the power child, I'd like to say. that I'm down on my knees today. it gives me the butterflies, gives me away. 'til I'm up on my feet again. I'm feeling outshined. I'm feeling. outshined, outshined, outshined. Someone let the dogs out. they'll show you where the truth is. the grass is always greener. where the dogs are shedding. I'm feeling that I'm sober. even though I'm drinking. I can't get any lower. still I feel I'm sinking. So now you know. who gets mystified. so now you know. who gets mystified. Show me the power child, I'd like to say. that I'm down on my knees today. it gives me the butterflies, gives me away. 'til I'm up on my feet again. I'm feeling. I'm feeling. outshined, outshined, outshined. Ooh yeah!. Outshined. So now you know. who gets mystified. so now you know. who gets mystified. Show me the power child, I'd like to say. that I'm down on my knees today. it gives me the butterflies, gives me away. 'til I'm up on my feet again. I'm feeling outshined. I'm feeling. outshined, outshined, outshined. Show me the power child, I'd like to say. that I'm down on my knees today. it gives me the butterflies, gives me away. 'til I'm up on my feet again. I'm feeling outshined. I'm feeling. outshined, outshined, outshined, outshined"
rusty cage,"You wired me awake. And hit me with a hand of broken nails. You tied my lead and pulled my chain. To watch my blood begin to boil. But I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. Yeah, I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. And run. Too cold to start a fire. I'm burning diesel burning dinosaur bones. I'll take the river down to still water. And ride a pack of dogs. But I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. Yeah, I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. And run. Hits like a phillips head into my brain. It's gonna be too dark to sleep again. Cutting my teeth on bars and rusty chains. I'm gonna break my rusty cage and run. When the forest burns along the road. Like god's eyes in my headlights. When the dogs are looking for their bones. And it's raining ice picks on your steel shore. But I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. Yeah, I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. And run"
burden in my hand,"Follow me into the desert. As thirsty as you are. Crack a smile and cut your mouth. And drown in alcohol. Cause down below the truth is lying. Beneath the riverbed. So quench yourself and drink the water. That flows below her head. Oh, no there she goes. Out in the sunshine the sun is mine. I shot my love today, would you cry for me. I lost my head again, would you lie for me. Close your eyes and bow your head. I need a little sympathy. Cause fear is strong and love's for everyone. Who isn't me. Kill your health and kill yourself. And kill everything you love. And if you live you can fall to pieces. And suffer with my ghost. I shot my love today, would you cry for me. I lost my head again, would you lie for me. I left her in the sand just a burden in my hand. I lost my head again, would you cry for me. Just a burden in my hand. Just an anchor on my heart. Just a tumor in my head. And I'm in the dark. So follow me into the desert. As desperate as you are. Where the moon is glued to a picture of heaven. And all the little pigs have God. Oh, no there she goes. Out in the sunshine the sun is mine, sun is mine. I shot my love today, would you cry for me. I lost my head again, would you lie for me. I left her in the sand just a burden in my hand. I lost my head again, would you cry for me. Yeah, would you cry for mel"
jesus christ pose,And you stare at me. In the Jesus Christ pose. Arms held out. Like you've been carrying a load. And you swear to me. You don't want to be my slave. But you're staring at me. Like I need to be saved. In your Jesus Christ pose. Arms held out. In the Jesus Christ pose. Thorns and shroud. Like it's the coming of the Lord. And I swear to you. That I would never feed you pain. But your staring at me. Like I'm driving the nails. In your Jesus Christ pose. And you stare at me. In the Jesus Christ pose. Thorns and shrouds. Like it's the coming of the Lord. would it pay you more to walk on water. Then to wear a crown of thorns. It wouldn't pain me more to bury you rich. Then to bury you poor. In your Jesus Christ pose
blow up the outside world,Nothing seems to kill me. No matter how hard I try. Nothing is closing my eyes. Nothing can beat me down for your pain or delight. And nothing seems to break me. No matter how hard I fall nothing can break me at all. Not one for giving up though not invincible I know. I''ve given' everything I need. I''d give you everything I own. I''d give in if it could at least be ours alone. I''ve given everything I could. To blow it to hell and gone. Burrow down in and. Blow up the outside world. Someone tried to tell me something. Don''t let the world get you down. Nothing will do me in before I do myself. So save it for your own and the ones you can help. Want to make it understood. Wanting though I never would. Trying though I know it''s wrong. Blowing it to hell and gone. Wishing though I never could. Blow up the outside world
spoonman,"Feel the rhythm with your hands. Steal the rhythm while you can. Spoonman. Speak the rhythm on you own. Speak the rhythm all alone. Spoonman. Spoonman. Come together with your hands. Save me, I'm together with your plan. Save me. All my friends are Indians. All my friends are brown and red. Spoonman. All my friends are skeletons. They beat the rhythm with their bones. Spoonman. Spoonman. Come together with your hands. Save me, I'm together with your plan. Save me. Feel the rhythm with your hands. Steal the rhythm while you can. Spoonman. Thank you, good night people"
the day i tried to live,"I woke the same. As any other day except. A voice was in my head. It said ""seize the day,. Pull the trigger. Drop the blade. And watch the rolling heads"". The day I tried to live. I stole a thousand beggar's change. And gave it to the rich. The day I tried to win. I dangled from the power lines. And let the martyrs stretch. Singing, one more time around. (Might do it). One more time around. (Might make it). One more time around. (Might do it). One more time around. (Might make it). I tried to live, yeah. Words you say. Never seem to live up to. The ones inside your head. The lives we make. Never seem to ever get us. Anywhere, but dead. The day I tried to live. I wallowed in the blood and mud with. All the other pigs, yeah. Singing, one more time around. (Might do it). One more time around. (Might make it). One more time around. (Might do it). One more time around. (Might make it). I tried to live, yeah. I tried. I woke the same. As any other day, you know, I. Should have stayed in bed, yeah. The day I tried to win. I wallowed in the blood and mud with. All the other pigs. And I learned that I was a liar. (One more time around). And I learned that I was a liar. (One more time around). And I learned that I was a liar. (One more time around). And I learned that I was a liar. (One more time around). Singing, one more time around. (Might do it). One more time around. (Might make it). One more time around. (Might do it). One more time around. (Might make it). I tried to live, yeah. Just like you. Just like you. One more time around. One more time around. (One more time around)"
let me drown,"Stretch the bones over my skin. Stretch the skin over my head. I'm going to the holy land. Stretch the marks over my eyes. Burn the candles deep inside. Yeah you know where I'm coming from. Give up to greed, you don't have to feed me. Give up to fate, you don't have to need me. So let it go, let it go, let it go, won't you let it. Drown me in you, drown me in you, drown me in you. Slip down the darkness to the mouth. Damn the water burn the wine. I'm going home for the very last time. So throw it away, you don't have to take me. Make no mistakes I'm what you make me. So let it go, let it go, let it go, won't you let it. Drown me in you, drown me in you, drown me in you. I see you turn around and burning down. The feeling starts to sink. I feel the hurt surround me. Please dissolve me. She's resolved to be. Heal my wounds without a trace. Seal my tomb without my face. I'm going to the lonely place. Give up to greed, you don't have to feed me. Give up to fate, you don't have to need me. So let it go, let it go, let it go, won't you let it. Drown me in you, drown me in you, drown me in you. Music: Cornell; Lyrics: Cornell."
switch opens,"lyrics by Chris Cornell. music by Ben Shepherd. Hey you slave, go hang your owners. Draw your names among their ashes. Put your children on their thrones. Gather â€˜round and fall right down. Here at sundown nothing is when. Everything is all right. Switch opens. Opening around and letâ€™s the garden rise. Switch is on. Hey, you patients. Whereâ€™s your surgeon. Left with your. Insides open. Hung your hearts out. On the table. Gather â€˜round and fall right down. Feel the air now. Stumbling and wander in the moonshine. Switch opens. Nothing is when everything is all right. Switch is on."
somewhere,"Written by Ben Shepherd. I wish a wish I dream to dream. I try to try and I live to live. And die to die and I cry to cry. But I know why. . Somewhere in my dreams. Things that should. Still the willow weeps. On roses for the dead. In laughs of love. . From the likes of her. To time of me. Like to moon to earth. Or the sky to sea. Only were no longer. Allowed to be, to be. . Somewhere in the dreams. Of those who should. Live in all the keeps. Echo all the worlds. In laughs of love. . For times that pass my life. I'll search for the sky. That she wonders by. . Somewhere in the dreams. That the skies hold. Still the willow weeps. On roses for her bed. In laughs of love"
pretty noose,I caught the moon today. Pick it up. And throw it away all right. I got the perfect steal. A cleaner love. With a dirty feel all right. Fall out and take the bait. Eat the fruit. And kiss the snake goodnight. Common ruse dirty face. Pretty noose is pretty hate. And I don't like what you got me hanging from. Let your motor race. Pick it up. And get this mother gone. Out from and far away. The wooden stake. This thing has got me on. Diamond rope silver chain. Pretty noose is pretty pain. And I don't like what you got me hanging from. Common ruse dirty face. Pretty noose is pretty hate. And I don't care what you got. I don't care what you need. I don't want anything. And I don't like what you got me hanging from.
live to rise,"What if all you understand. Could fit into the center of our hand. Then you found it wasn't you. Who held the sum of everything you knew. We're insane but not alone,. You hold on and let go. Like the sun we will live to rise. Like the sun we will live and die. And then ignite again. Like the sun we will live to rise again. What if the one thing that I missed. Was everything I need to pass the test. And if I fail what happens then. Can I still count on you as a friend?. We're insane but not alone,. You hold on and let go. Like the sun we will live to rise. Like the sun we will live and die. And then ignite again. Like the sun we will live to rise again,. Again. Again. Again. Warm my face. Warm your face. Warm my face. Warm your face. Warm my face. Warm your face. Warm my face. Warm your face. Warm my face. Warm your face. Like the sun we will live to rise. Like the sun we will live and die. And then ignite again. Like the sun we will live to rise. Like the sun we will live and die. And then ignite again. Like the sun we will live to rise. Again. Again"
superunknown,"If this isn't what you see. It doesn't make you blind. If this doesn't make you feel. It doesn't mean you've died. Where the river's high. Where the river's high. If you don't want to be seen. You don't have to hide. If you don't want to believe. You don't have to try. To feel alive. Alive in the superunknown. First it steals your mind. And then it steals your soul. If this doesn't make you free. It doesn't mean you're tied. If this doesn't take you down. It doesn't mean you're high. If this doesn't make you smile. You don't have to cry. If this isn't making sense. It doesn't make it lies. Alive in the superunknown. First it steals your mind. And then it steals your soul. Get yourself afraid. Get yourself alone. Get yourself contained. Get yourself control. Alive in the superunknown. First it steals your mind. And then it steals your... soul. Music: Thayil, Cornell; Lyrics: Cornell."
bones of birds,"Time is my friend,. Till it ain't, and runs out. And, that is all, that I have,. Till it's gone. Tried to build on bones of birds,. Singing in the cold and fall to earth. Hey! Sometimes she won't cry!. When the smallest one is trapped!. Too weak to survive, probably.... Maybe.. Tried to look out,. Through a hole in the vague. Circle above, looking down,. Bird of prey. Tried to build on bones of birds,. Singing in the cold and fall to earth. Hey! Sometimes she won't cry!. When the smallest one is trapped!. Too weak to survive! Too weak to survive!. Too weak to survive!. Probably... maybe.. Tried to build on bones of birds,. Singing in the cold and fall to earth. Hey! Sometimes she won't cry!. When the smallest one is trapped!. Too weak to survive! Probably.... Hey! Sometimes she won't cry!. When the smallest one is trapped!. Too weak to survive! Too weak to survive!. Too weak to survive!. Maybe."
been away too long,"You can't go home, no I swear you never can. You can walk a million miles and get nowhere. I got nowhere to go ever since I came back. Just filling in the lines from the holes to the cracks. Hey. And no one knows me. No one saves me. No one loves or hates me. I've been away for too long. This place has a special kind of falling apart. Like they put the whole thing together in the dark. And no one knows where the edge of the knife is. And no one knows what intelligent life is. Hey. And no one knows me. No one saves me. No one loves or hates me. But it's fate. I only ever really wanted a break. I've been away for too long. Though I never really wanted to stay. I've been away for too long. I've been away for too long. Kilos through key-holes. Widows through windows. Pilots through eyelets. Everyone is silent. Tankards and flagons and snifters and flutes. On my way home. But it's fate. I only ever really wanted a break. I've been away for too long. Though I never really wanted to stay. I've been away. But it's fate. I only ever really wanted a break. I've been away for too long. Though I never really wanted to stay. I've been away for too long"
dusty,I think it’s turning back around. And I think I like it. I think it’s turning back around. Though I don’t know why it is. I think it’s turning back on me. I’m down on the upside. I think it’s turning back on me. Now I’m the good ride. . And nothing’s gonna put me out. It’s backing down and under. I’m down on the upside now. It’s turning back around. Turning back around. . I think it’s coming on the wind. Just like you said it. I think it’s coming on the wind. And I’m gonna let it. . I think it’s turning back on me. Everything’s easy. I think it’s turning back on me. Everything’s real to me.
nothing to say,"You say ""Nothing but one thing"". Someone says. My words are out of balance. Nothing to say. You've got nothing to say. Dying words I bury everyday. Nothing to say. I've got nothing to say. Nothing but one thing. You've got nothing, nothing to say. (Nothing but one thing). Big bad words spell it with four letters. Nothing to say. You've got nothing to say. Oh my God, your words are out of balance. Nothing to say. You've got nothing to say. Nothing but one thing. Nothing.... Nothing.... You've got nothing, nothing to say. (Nothing but one...). Nothing(6x)"
my wave,"Take, if you want a slice. If you want a piece. If it feels alright. Break, if you like the sound. If it gets you up. If it brings you down. Share, if it makes you sleep. If it sets you free. If it helps you breathe. Don't come over here. And piss on my gate. Save it just keep it. Off my wave. Cry, if you want to cry. If it helps you see. If it clears your eyes. Hate, if you want to hate. If it keeps you safe. If it makes you brave. Pray, if you want to pray. If you like to kneel. If you like to lay. Don't come over here. And piss on my gate. Save it just keep it. Off my wave. Keep it off my wave. Keep it off my wave. Keep it off my wave. My wave. Cry, if you want to cry. If it helps you see. If it clears your eyes. Hate, if you want to hate. If it keeps you safe. If it makes you brave. Take, if you want a slice. If you want a piece. If it feels alright. Don't come over here. And piss on my gate. Save it just keep it. Off my wave. Keep it off my wave. Keep it off my wave. My wave"
boot camp,I must obey the rules. I must be tame and cook. No staring at the clouds. I must stay on the ground. In clusters of the mice. The smoke is in our eyes. Like babies on display. Like angels in a cage. I must be pure and true. I must contain my views. There must be something else. There must be something good. Far away.
swallow my pride,"She looked at me with dignity. She said ""there's something you gotta see. Even though this country's headed for war. This nation is prouder than ever before. Yeah that was spirit in the air. ""We're more American than anywhere"". And I just smile cause I could tell. This little girl was going to. Hell. Now I wouldn't mind. If you swallowed my pride. Make me feel alright. Yeah now deep inside. Feel alright. Hey, all the warmth in her heart. Couldn't keep my blood from running cold. Cause I fell for her looks. Now I wanna go for her throne. I tried to tell her a thousand times. But little girl didn't understand at all. Now I wouldn't mind. If you swallow my pride. Make me feel alright. Yeah now deep inside. Feel alright. Alright. You can swallow my pride. Now I wouldn't mind. If you swallowed my pride. Make me feel alright, deep inside. Feel alright. Pride... pride... pride. You can swallow my pride"
everybody's got something to hide except me and my monkey,"Come on, come on. Come on, come on. Come on, it's such a joy. Come on, it's such a joy. Come on, let's take it easy. Come on, let's take it easy. Take it easy. Take it easy. Everybody's got something to hide. except for me and my monkey. The deeper you go. the higher you fly. The higher you fly. the deeper you go. So, come on. Come on. Come on, it's such a joy. Come on, it's such a joy. Come on, let's make it easy. Come on, let's make it easy. Take it easy. Take it easy. Everybody's got something to hide. except for me and my monkey. Your inside is out. when your outside is in. Your outside it in. when your inside it out. So, come on. Come on. Come on, it's such a joy. Come on, it's such a joy. Come on, let's make it easy. Come on, let's make it easy. Make it easy. Make it easy. Everybody's got something to hide. except for me and my monkey. Hey!. Come on"
no attention,"I've got war on my mind. Blood on my hands. And love on my head. So open your hands. Open your mouth. Let it be said. You know I've got it made in my mind. Don't waste my time it's not going to change. So say what you want spit it out loud. And I'll pay no attention. They're gonna tell you where to walk. When to smile and just what to say. They say have your own flu. Make your own mind. And don't make waves. But if you got a handful of change. Don't throw it away it's gonna come. So say what you want, suck all my. Suck on my brain. And I'll pay no attention"
incessant mace,"Heâ€™s afraid heâ€™ll suffer his fathers fate. Two sets of silver records and plates. Two bloody hands and bleeding hearts. Donâ€™t feel itâ€™s not to late to start. . Only the photographs on your wall. Are chained and down your hall. Reminding you of all the days. When you collected hell to pay. Well hell to pay. I said itâ€™s not too late. Not itâ€™s not too late. incessant mace. Oh God I can see it, you know itâ€™s incessant mace. . _________ and broken backs. Are what you _________. Beneath your treasure chest. You wonder why youâ€™re under stress."
4th of july,SHOWER IN THE DARK DAY. CLEAN SPARKS DIVING DOWN. COOL IN THE WATERWAY. WHERE THE BAPTIZED DROWN. NAKED IN THE COLD SUN. BREATHING LIFE LIKE FIRE. THOUGHT I WAS THE ONLY ONE. BUT THAT WAS JUST A LIE. CAUSE I HEARD IT IN THE WIND. AND I SAW IT IN THE SKY. AND I THOUGHT IT WAS THE END. AND I THOUGHT IT WAS THE 4TH OF JULY. PALE IN THE FLARE LIGHT. THE SCARED LIGHT CRACKS & DISAPPEARS. AND LEADS THE SCORCHED ONES HERE. AND EVERY WHERE NO ONE CARES. THE FIRE IS SPREADING. AND NO ONE WANTS TO SPEAK ABOUT IT. DOWN IN THE HOLE. JESUS TRYS TO CRACK A SMILE. BENEATH ANOTHER SHOVEL LOAD. AND I HEARD IT IN THE WIND. AND I SAW IT IN THE SKY. AND I THOUGHT IT WAS THE END. AND I THOUGHT IT WAS THE 4TH OF JULY. NOW I'M IN CONTROL. NOW I'M IN THE FALL OUT. ONCE ASLEEP BUT NOW I STAND. AND I STILL REMEMBER. YOUR SWEET EVERYTHING. LIGHT A ROMAN CANDLE. AND HOLD IT IN YOUR HAND. CAUSE I HEARD IT IN THE WIND. AND I SAW IT IN THE SKY. AND I THOUGHT IT WAS THE END. AND I THOUGHT IT WAS THE 4TH OF JULY.
665,"It's creeping. In so slow. Trapping it, nobody's home. (more mumbling). It's creeping in. So slow. Trapping it, nobody's home. [Played backwards, the Santa/Satan parody:. Santa, I love you baby. My Christmas king. Santa, you're my king. I love you, Santa baby. Got what I need. etc.]. Music: Yamamoto. Lyrics: Cornell."
667,"Kill them all. Steal their gold. Feed my boy's killer. Feed the young, prepare it save you. Feed the boy, hates to kill. Feed the young. Feed the young. Cool. Music: Yamamoto. Lyrics: Cornell."
a thousand days before,"Life, a thousand days ago. Hours sinking in a hole. Try to melt into the walls. Now i am here inside the bowl. Here in the cold. Where no one stands behind me. Now a thousand days have gone again. Like the sun and moon at war. And give or take a thousand more. Here in the cold. Where no one stands behind me. I'll be on my own side. You know where to find me. You know where to find me. Here in the cold. Where no one stands beside me. I'll be on my own side. You know where to find me. You know where to find me. Born with a thousand little holes. And a tear to fill up every one. A thousand days to ignore. I'll be on my own side. I'll be on my own side"
all your lies,"All your fears are lies. All your fears are lies. All your fears are lies. . Clipless, falling, limping, crawling, biting, fighting. Back from dying. Endless ending. And comprehending. Nothing. of the scent she’s sending. . Loosely buying the TV lie. And the maggot man will never cry. Corralled like a cat. With my head hit the sack. And I feel like I’m tied to the railroad track."
an unkind,We see the vipers of distance. Crawl into our lives everyday. Breeding our Eden’s of hatred. Pathetically stupid and unkind. We couldn’t look a saint in the eye. . On the storm. It’s time to go. On the storm. It’s time to go. . Marching in lines of contradiction. Forgetting the history we make. Loving our hangmen as the penultimate joke. We lack the Moses . . to look. A saint in the eye.
apple bite,No one can save. The pure of the brave. No one can save them at all. Grow and decay. Grow and decay. It's only forever. Loosely or tightly. Everything fits. Even the wrist on your arm. Grow and decay. Grow and decay. It's only forever
attrition,"Laid here on the bone nasty gloom. Renegoons marches by. Hit it down in neurons too. Raising flags and burned rights. War supper, I got made fire. And I'll be out spinning knives. Level out on the born blue skies. A victim smile never lies. You have always lived your life like a joke. With no time. Watch you gonna do about it. Take it, punch line right. On the cliff, on much stronger waves. Can't decide to climb or drown. I was falling down disgrace. On your thumbs, all written. The ladder is poisoned, had to find a new way around. What you gonna do about it?. What you gonna do about it?. What you gonna do about it?. What you gonna do about it?. I always loved you like I'm down with no time. I always loved you like I'm down with no time"
been away too long,"You can't go home, no I swear you never can. You can walk a million miles and get nowhere. I got nowhere to go ever since I came back. Just filling in the lines from the holes to the cracks. Hey. And no one knows me. No one saves me. No one loves or hates me. I've been away for too long. This place has a special kind of falling apart. Like they put the whole thing together in the dark. And no one knows where the edge of the knife is. And no one knows what intelligent life is. Hey. And no one knows me. No one saves me. No one loves or hates me. But it's fate. I only ever really wanted a break. I've been away for too long. Though I never really wanted to stay. I've been away for too long. I've been away for too long. Kilos through key-holes. Widows through windows. Pilots through eyelets. Everyone is silent. Tankards and flagons and snifters and flutes. On my way home. But it's fate. I only ever really wanted a break. I've been away for too long. Though I never really wanted to stay. I've been away. But it's fate. I only ever really wanted a break. I've been away for too long. Though I never really wanted to stay. I've been away for too long"
beyond the wheel,"Far beyond the road. Between your house and home. There is a churning storm. Of hailing burning bones. . Tiny baby cries. Little, tiny pawn. In the profit gain. Tiny baby grows. . Mother, who’s your man. Is he doing what he can. To make a proper home, home. By overturning other stones, stones. Father, mighty man. Loves his little boys, boys. Shows them how to kill. To save his precious stones, stones. . Far beyond the wheel. Spin your life around. By driving flesh and blood. Deep into the ground, ground. . Far beyond the wheel. Steers life around. By driving flesh and blood. Deep into the ground, ground."
big bottom,"The bigger the cushion. The sweeter the pushin'. That's what I said. The looser the waistband. The deeper the quicksand. Or so I have read. My baby fits me like a flesh tuxedo. I like to sink her with my pink torpedo. Big bottom. Big bottom. Talk about bum cakes. My girl's got 'em. Big bottom, drive me out of my mind. How can I leave this behind?. I saw her on Monday. 'Twas my lucky bun day. You know what I mean. I love her each weekday. Each velvety cheekday. You know what I mean. My love gun's loaded and she's in my sights. Big game is waiting there inside her tights. Big bottom. Big bottom. Talk about mudflaps. My gal's got 'em. Big bottom, drive me out of my mind. How can I leave this behind?. My baby fits me like a flesh tuxedo. I like to sink her with my pink torpedo. Big bottom. Big bottom. Talk about bum cakes. My girl's got 'em. Big bottom, drive me out of my mind. How can I leave this behind?"
