something to remind you,So this is it I say goodbye. To this chapter of my every changing life. And there's mistakes and the path is long. And I'm sure I'll answer for them when I'm gone. So when the day comes in the sun won't touch my face. Tell the ones who cared enough that I finally left this place. That's been so cold look at my face. All the stories it will tell I can't erase. The road is long. Just one more song. A little something to remind you when I'm gone. When I'm gone. The road to hell along the way. Is paved with good intentions so they say. And some believe that no good deed. Goes unpunished in the end or so it seems. So when the day comes in the sun won't touch my face. Tell the ones who cared enough that I finally left this place. That's been so cold look at my face. All the stories it will tell I can't erase. The road is long. Just one more song. A little something to remind you when I'm gone. When I'm gone. So this is it I say goodbye. To this chapter of my every changing life. And there's mistakes and the path is long. And I'm sure I'll answer for them when I'm gone
so far away,This is my life. It's not what it was before. All these feelings I've shared. These are my dreams. That I'd never lived before. Somebody shake me ‘cause I. I must be sleeping. CHORUS. Now that we're here. It's so far away. All the struggle we thought was in vain. All the mistakes. One life contained. They all finally start to go away. Now That we're here. It's so far away. And I feel like I can face the day. I can forgive. But I'm not ashamed. To be the person that I am today. These are my words. That I've never said before. I think I'm doing okay. And this is my smile. That I've never shown before. Somebody shake me ‘cause I. I must be sleeping. CHORUS. I am so afraid of waking. Please don't shake me. Afraid of waking. Please don't shake me. CHORUS
outside,"And you can bring me to my knees...Again. All the times when I could beg you please....In vain. All the times when I felt insecure....For you. And I leave my burdens at the door. But I'm on the outside. I'm looking in. I can see through you. See your true colors. Inside you're ugly. You're ugly like me. I can see through you. See to the real you. All the times that I felt like this won't end. It`s for you. And I taste what I could never have. It was from you. All the times that I've cried. My intentions, full of pride. But I waste more time than anyone. But I'm on the outside. I'm looking in. I can see through you. See your true colors. Inside you're ugly. You're ugly like me. I can see through you. See to the real you. All the times that I've cried. All this wasted, it's all inside. And I feel, all this pain. Stuffed it down, it's back again. And I lie, here in bed. All alone, I can't mend. But I feel, tomorrow will be okay. But I'm on the outside. And I'm looking in. I can see through you. See your true colors. Inside you're ugly. You're ugly like me. I can see through you. See to the real you"
it's been awhile,"It's been a while. Since I could.... Hold my head up high. It's been a while. Since I first saw you. It's been a while. Since I could stand. on my own two feet again. And it's been a while. Since I could call you. But everything I can't remember. As fucked up as it all may seem. The consequences that I've rendered. Have stretched myself beyond my means. It's been a while. Since I could say. that I wasn't addicted. It's been a while. Since I could say. I loved myself as well and.... It's been a while. Since I've gone and fucked things up. Just like I always do. It's been a while. But all that shit seems to disappear. When I'm with you. And everything I can't remember. As fucked up as it all may seem. Consequences that I've rendered. Gone and fucked things up again... again. Why must I feel this way?. Just make this go away. Just one more peaceful day. It's been a while. Since I could.... Look at myself straight. It's been a while. Since I said I'm sorry. It's been a while. Since I've seen the way. the candles light your face. It's been a while. But I can still. remember just the way you taste. Everything I can't remember. As fucked up as it all may seem to be,. I know it's me. I cannot blame this on my father. He did the best he could for me. It's been a while. Since I could.... Hold my head up high. It's been a while. Since I said I'm sorry"
right here,I know I've been mistaken. But just give me a break and see the changes that I've made. I've got some imperfections. But how can you collect them all and throw them in my face. But you always find a way to keep me right here waiting. You always find the words to say to keep me right here waiting. And if you chose to walk away I'd still be right here waiting. Searching for the things to say to keep you right here waiting. I hope you're not intending. To be so condescending it's as much as I can take. and you're so independent. you just refuse to bend so I keep bending till I break. But you always find a way to keep me right here waiting. You always find the words to say to keep me right here waiting. And if you chose to walk away I'd still be right here waiting. Searching for the things to say to keep you right here waiting. I've made a commitment. I'm willing to bleed for you. I needed fulfillment. I found what I need in you. Why can't you just forgive me. I don't want to relive all the mistakes I've made along the way. But I always find a way to keep you right here waiting. I always find the words to say to keep you right here waiting. But you always find a way to keep me right here waiting. You always find the words to say to keep me right here waiting. And if I chose to walk away woul'd you be right here waiting. Searching for the things to say to keep me right here waiting
everything changes,If you just walked away. What could I really say?. would it matter anyway?. would it change how you feel?. I am the mess you chose. the closet you can not close. The devil in you I suppose. 'cuz the wounds never heal. (Chorus). But everything changes. if I could turn back the years. If you could learn to forgive me. then I could learn to feel. Sometimes the things I say. In moments of disarray. Succumbing to the games we play. To make sure that it's real. (Chorus). When it's just me and you. Who knows what we could do. If we can just make it through. through this part of the day. (Chorus). Then we could. Stay here together. And we could. Conquer the world. If we could. Say that forever. It's more than just a word. If you just walked away. What could I really say?. It wouldn't matter anyway.. Would it changes how you feel?. by troubli
epiphany,"Your words to me just a whisper. Your face is so unclear. I try to pay attention. Your words just disappear.. Oh-ho. 'Cause it's always raining in my head. Forget all the things I should have said.. So I speak to you in riddles. 'Cause my words get in my way.. I smoke the whole thing to my head. And feel it wash away.. 'Cause I can't take anymore of this. I wanna come apart,. Or dig myself a little hole. Inside your precious heart.. Oh-ho. 'Cause it's always raining in my head. Forget all the things I should have said.. I am nothing more than. a little boy inside. That cries out for attention,. Yet I always try to hide.. 'Cause I talk to you like children,. Though I don't know how I feel. But I know I'll do the right thing. If the right thing is revealed.. 'Cause it's always raining in my head. Forget all the things I should have said.."
believe,"I sit alone and watch the clock,. Trying to collect my thoughts,. All I think about is you.. And so I cry myself to sleep,. And hope the devil I don't meet,. In the dreams that I live through.. Believe in me,. I know you've waited for so long.. Believe in me,. Sometimes a weak become the strong. Believe in me,. This life's not always what it seems.. Believe in me,. Cause I was made for chasing dreams. All the smiles you've had to fake,. All the shit you've had to take,. Just to lead us here again.. I never have the things to say,. To make it all just go away,. To make it all just disappear.. Believe in me,. I know you've waited for so long.. Believe in me,. Sometimes the weak become the strong.. Believe in me,. This life's not always what it seems.. Believe in me,. Cause I was made for chasing dreams.. It's my life,. It's my choice,. Feel my words,. Hear my voice,. And just believe.. I sit alone and watch the clock,. Trying to collect my thoughts,. And all I think about is you.. If you believe in me,. This life's not always what it seems.. Believe in me,. Cause I was made for chasing dreams. Believe in me,. I know you've waited for so long.. Believe in me,. Sometimes the weak become the strong. Believe in me,. This life's not always what it seems.. Believe in me,. Cause I was made for chasing dreams."
please,"Can't you see that I'm sick of this?. 'Cause this are your oblivious. To how I feel, sitting on your throne. And I'm sure that I'm not alone. Not alone. Not alone. Tell me, please. Who the fuck did you want me to be?. Was it something that I couldn't see?. Never knew this would be so political. And, please.... I'm still wearing this miserable skin. And it's starting to tamper within. But it's obvious that doesn't bother you. So, please.... I didn't think that you'd sell me out. Now I know what you're all about. You might feel in control of things. But you're not holding all the strings. All the strings. All the strings. Tell me, please. Who the fuck did you want me to be?. Was it something that I couldn't see?. Never knew this would be so political. And, please.... I'm still wearing this miserable skin. And it's starting to tamper within. But it's obvious that doesn't matter to you.. I've swallowed all your answers. I've swallowed all my pride. You've used up all your chances. Can't keep this all inside. Kill me, please!. Who the fuck did you want me to be?. Was it something that I couldn't see?. Never knew this would be so political. And, please.... I'm still wearing this miserable skin. And it's starting to tamper within. But it's obvious that doesn't bother you. So, please.... Don't keep telling me that it's okay. I don't buy all the shit that you say. And quite honestly I'm fucking sick of it. So, please.... If I cut off this nose from my face. Then I wouldn't feel so out of place. But it still wouldn't be quite enough for you. So, please.... . Por: Vitor de Jesus"
fade,I try to breathe. Memories overtaking me. I try to face them but. the thought is too. Much to concieve. I only know that I can change. Everything else just stays the same. So now I step out of the darkness. That my life became 'cause. I just needed someone to talk to. You were just too busy with yourself. You were never there for me to. Express how I felt. I just stuffed it down. Now I'm older and I feel like. I could let some of this anger fade. But it seems the surface. I am scratching. Is the bed that I have made. So where were you. When all this I was going through. You never took the time to ask me. Just what you could do. I only know that I can change. Everything else just stays the same. So now I step out of the darkness. That my life became 'cause. I just needed someone to talk to. You were just too busy with yourself. You were never there for me to. Express how I felt. I just stuffed it down. Now I'm older and I feel like. I could let some of this anger fade. But it seems the surface. I am scratching. Is the bed that I have made. I never meant to fade away (x2). I just needed someone to talk to. You were just too busy with yourself. You were never there for me to. Express how I felt. I just stuffed it down. Now I'm older and I feel like. I could let some of this anger fade. But it seems the surface. I am scratching. Is the bed that I have made
