maybe tomorrow,"I've been down and I'm wondering why. These little black clouds. keep walking around with me, with me. Waste time and I'd rather be high. Think I'll walk me outside and buy a rainbow smile. but be free, be all free. So maybe tomorrow I'll find my way home. So maybe tomorrow I'll find my way home. I look around at a beautiful life. I been the upper side of down;. Been the inside of out but we breathe, we breathe. I wanna breeze and an open mind. I wanna swim in the ocean,. wanna take my time for me, all me. So maybe tomorrow I'll find my way home. So maybe tomorrow I'll find my way home. So maybe tomorrow I'll find my way home. So maybe tomorrow I'll find my way home"
i wanna get lost with you,Do you remember the light of the flame?. It was a birthday party of someone. Then you told me your name. Said you were one in a million. I wanna get lost with you. It's the only thing I wanna do. Get out of my mind with you. So come on over. I walked you home in the rain. Speaking the same language. You were running around in my brain. Then you sent me a message. It said. I wanna get lost with you. It's the only thing I wanna do. Get out of my mind with you. So come on over. I wanna get lost with you. It's the only thing I wanna do. Get out of my mind with you. So come on over. I know we did some wrong. You told me that now. When I came to you. That you were with someone. If god messed up. With so much stuff. Like lifting a loaded gun. But now that I'm out of my mind with you. We got that day in the sun. I wanna get lost with you. It's the only thing I wanna do. Get out of my mind with you. So come on over. I wanna get lost with you. It's the only thing I wanna do. Get out of my mind with you. So come on over. So come on over. So come on over. Come on over. I wanna get lost with you. I wanna get lost with you. I wanna get lost with you. Yeah Yeah. Come on over
dakota,"Thinking back, thinking of you. Summertime, I think it was June. Yeah I think it was June. Laying back, head on the grass. Chewing gum, having some laughs. Yeah, having some laughs. You made me feel like the one. You made me feel like the one. The one. You made me feel like the one. You made me feel like the one. The one. Drinking back, drinking for two. Drinking with you, when drinking was new. Sleeping in the back of my car. We never went far, didn't need to go far. You made me feel like the one. You made me feel like the one. The one. You made me feel like the one. You made me feel like the one. The one. I don't know where we are going now. I don't know where we are going now. Wake up, cold coffee and juice. Remembering you - what happened to you?. I wonder if we'll meet again. Talk about life since then. Talk about why did it end?. You made me feel like the one. You made me feel like the one. The one. You made me feel like the one. You made me feel like the one. The one. I don't know where we are going now. I don't know where we are going now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now. So take a look at me now"
mr. writer,"You line them up. Look at your shoes. You hang names on your wall. Then you shoot them all. You fly around in planes. That bring you down. To meet me who loves you, like. Me crashing to the ground. Are you so lonely?. Don't even know me. But you'd like to stone me. Mr Writer, why don't you tell it like it is?. Why don't you tell it like it really is?. Before you go on home. I used to treat you right. Give you my time. But when I'd turn my back on you. Then you do what you do. You've just enough, in my own view. Education to perform. I'd like to shoot you all. And then you go home. With you on your own. What do you really know?. Mr Writer why don't you tell it like it is?. Why don't you tell it like it really is?. Before you go on home. And then you go home. With you on your own. What do you even know?. Mr. Writer, why don't you tell it like it is?. Why don't you tell it like it always is?. Before you go on home. Mr. Writer, why don't you tell it like it really is?. Why don't you tell it like it always is?. Before you go on home"
ra ra ra ra-ness,ra ra ra ra ra. ra ra ra ra ra-ness. yeh. its just all ra ra ra ra ra. ra ra ra ra ra-ness with you. your always just ra ra ra ra ra-ing. its aaaaaaaaaaaal about the ra ra ra ra ra-ing. seems to me you lived your life like a tart in full-sentance-flow. just ra ra ra ra ra ra-ing. only pausing occasionally for a 'woof!'. ra ra ra ra ra. ra ra ra ra ra-ness. yeh. its just all ra ra ra ra ra. ra ra ra ra ra-ness with you. ra ra ra ra ra ra ra. ra ra ra ra ra ra ra. yeah. ra
have a nice day,"Papaparara. papaparara. Papaparara. papaparara. San Francisco Bay past pier thirtynine. Early PM can't remember what time. Got the waiting cab, stopped at the red light. Address unsure of, but it turned out just right. It started straight off, ""coming here is hell"". Thats his first words we asked what it meant. He said ""Where you from"" we told him our lot. When ya' take a holiday is this what you want?. To have a nice day. Have a nice day. Have a nice day. Have a nice day. Lie around all day have a drink to chase. ""Yourself and tourists, yeah thats what I hate"". He said ""We're going wrong, we've all become the same. We dress the same way only our accents change"". So have a nice day. Have a nice day. Have a nice day. Have a nice day. Papaparara. papaparara. ""Swim in the ocean that be my dish. I drive around all day and kill processed fish. Its all money gum, no artists anymore. Your only in it now to make more. more. more"". So have a nice day. Have a nice day. Have a nice day. Have a nice day. Have a nice day. Have a nice day. Have a nice day. Have a nice day. Have a nice day"
indian summer,"Every time that I see ya. A lightning bolt fills the room. The underbelly of Paris. She sings her favorite tune. She'll drink you under the table. She'll show you a trick or two. But every time that I left her. I missed the things she would do. She was the one, for me. She opened my eyes, to see. She was the one, for me. Well alright. It was a cold September. Before the Indian summer. That's the thing I remember. When she gave me her number. Went from station to station. On a train 'cross the nation. And the rain of November. That's the time that we ended. She was the one, for me. Well alright. Vodka with Coca-Cola. Cocaine tucked in her shoes. Cigarettes over coffee. Her halo slipped to a noose. Take a slow boat to China. You fly a rag 'round the moon. She could take it or leave it. I knew it had to end soon. She was the one, for me. She opened my eyes, to see. She was the one, for me. Well alright. It was a cold September. Before the Indian summer. That's the thing I remember. When she gave me her number. Went from station to station. On a train 'cross the nation. And the rain of November. That's the time that we ended. She was the one, for me. She opened my eyes, to see. She was the one, for me. Well alright, alright, alright, yeah"
we share the same sun,Calling over to seize my hunger. To see you to feel you. To be with need you. We hold out we hold on. I'm older colder. Here it comes light up my sky. [Chorus:]. Yeah we share the same sun. Everyday. Yeah we share the same sun. Everyday. White lights blinding. Headlights driving. To see you to feel you. To be with need you. We hold out we hold on. I'm older colder. Here it comes light up my sky. [Chorus]. When my light is out for you at home. It shines for me in early dawn. We're worlds apart but now I see. I'm in your heart whenever we are apart. And the sky shines bright. Within the morning sun (in the morning sunday morning sun). Our time has just begun (time has just begun has just begun). In the morning sun (in the morning sunday morning sun). Our time to end [?] will come. [Chorus]. When my light is out for you at home. It shines for me in early dawn. We're worlds apart but now I see. I'm in your heart whenever we are apart. And the sky shines bright. Yeah we share the same sun everyday
my friend,"Stop tap drink back eye on you. You're out to find that something new. Am i the fly you want trapped in your web. I've seen that look a thousand times. Your innocence can make you blind. I can show you round a block or two. Let me introduce you to my friends. Let me buy you things, let me in your head. Let us fly away let this never end. My friend. My friend. Kick back think back look at you. You got the look you got the shoes. I'd like to fill your world and be with you. Your lust for life just turns me on. A star above that's shining on. Think i'd like to see the world like you. Let me introduce you to my friends. Let me buy you things, let me in your head. Let us fly away let this never end. My friend. My friend. Let me introduce you to my friends. Let me buy you things, let me in your head. Let us fly away let this never end. My friend. My friend"
handbags and gladrags,Handbags And Gladrags. Por Stereophonics. Album : Just Enough Education To Perform. Ever seen a blind man cross the road. trying to make the other side. Ever seen a young girl growing old. trying to make herself a bride. So what becomes of you my love. When they have finally stripped you of. The handbags and the gladrags. That your poor old Grandad had to sweat to buy you. Once I was a young man. and all I thought I had to do was smile. Well you are still a young girl. and you bought everything in style. So once you think you're in you're out. 'cause you don't mean a single thing without. the handbags and the gladrags. that your poor old Grandad had to sweat to buy you. Sing a song of six-pence for your sake. And drink a bottle full of rye. Put twenty blackbirds in a cake. And bake them all in a pie. They told me you missed school today. So what I suggest you just throw them all away. the handbags and the gladrags. that your poor old Grandad had to sweat to buy you. They told me you missed school today. So what I suggest you just throw them all away. the handbags and the gladrags. that your poor old Grandad had to sweat to buy you
