edge of seventeen,"Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Whoo... whoo... whoo.... Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo baby... ooo... said ooo. And the days go by.... Like a strand in the wind.... In the web that is my own.... I begin again. Said to my friend, baby.... Nothin' else mattered. He was no more... than a baby then. Well he... seemed broken hearted.... Something within him. But the moment... that I first laid.... Eyes... on... him... all alone.... On the edge of... seventeen. Just like the white winged dove.... Sings a song.... Sounds like she's singing.... ooo baby... ooo... said ooo.... Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo baby... ooo... said ooo. I went today... maybe I will go again.... Tomorrow. And the music there it was hauntingly.... Familiar. And I see you doing.... What I try to do for me. With the words from a poet.... And the voice from a choir. And a melody... nothing else mattered. Just like the white winged dove.... Sings a song.... Sounds like she's singing.... ooo baby... ooo... said ooo. Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo baby... ooo... said ooo. The clouds... never expect it.... When it rains. But the sea changes colours.... But the sea.... Does not change. And so... with the slow... graceful flow.... Of age. I went forth... with an age old.... Desire... to please. On the edge of... seventeen. Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo baby... ooo... said ooo. Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo baby... ooo... said ooo. Well then suddenly.... There was no one... left standing. In the hall... yeah yeah.... In a flood of tears. That no one really ever heard fall at all. Oh I went searchin' for an answer.... Up the stairs... and down the hall. Not to find an answer.... Just to hear the call. Of a nightbird... singing.... Come away... come away.... Just like the white winged dove.... Sings a song. Sounds like she's singing.... Ooo... baby ooo... said ooo. Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo... baby ooo... said ooo. Well I hear you in the morning.... And I hear you.... At nightfall.... Sometime to be near you.... Is to be unable... to hear you.... My love.... I'm a few years older than you.... Just like the white winged dove.... Sings a song.... Sounds like she's singing.... Ooo baby... ooo... said ooo"
the dealer,"It was my fault, my move and my game. If I'd of looked a little ahead I'd of run away. It was dark out and I held the cards. Well I was a dealer... ooh, and it wasn't hard. I was a mistress of my fate. I was the card shark. If I'd of looked just a little ahead I'd of run away. I was the mistress of my fate... oh, I gave it all out. But if you'd really known me then. You'd of had to watch out. You'd of had to watch out. It was my fault, my moves, and my wine. I see the sun now... and it's just fine. But it was dark out... ooh, I held the cards. I guess I am the dealer!. OOh, and it isn't hard. Well I was the mistress of my fate. I was the card shark. Jesse showed me at an early age. I could get away. I was a mistress of my fate. I tried to give it all out. If you'd really known me then. You'd of had to watch out. You'd of had to watch out. OOh, I was a mistress of my fate. I was the card shark. Jesse showed me as a little girl. Oh, I could get away. I was the mistress of my fate. Ooh, I had to find out. If you'd really known me then. You'd have had to watch out. Tried to tell you then... watch out!. Baby, you believe it, now watch out!. I'll be the dancer. And you be the player. And I'll dance around you. If you stay here. Whoa, I'll be the passion. Could you be the play?. Oh, I'll just almost hold you. And you'll just almost stay. You just... almost... stay. Baby, just... almost... stay. I'm still the dealer. I try hard to be the dealer. Don't want to be the dancer. Tell her that I am the dealer"
dreams,"Now here you go again. You say you want your freedom. Well who am I to keep you down. It's only right that you should. Play the way you feel it. But listen carefully to the sound. Of your loneliness. Like a heartbeat...drives you mad. In the stillness of remembering what you had. And what you lost.... And what you had.... And what you lost. Thunder only happens when it's raining. Players only love you when they're playing. Say...Women...they will come and they will go. When the rain washes you clean...you'll know. Now here I go again, I see the crystal visions. I keep my visions to myself. It's only me. Who wants to wrap around your dreams and.... Have you any dreams you'd like to sell?. Dreams of loneliness.... Like a heartbeat...drives you mad.... In the stillness of remembering what you had.... And what you lost. What you had.... And what you lost. Thunder only happens when it's raining. Players only love you when they're playing. Say...Women...they will come and they will go. When the rain washes you clean...you'll know"
blue water,"Blue water. Sit and I wait. For the morning to come. Blue water. And I wait for the sound of my gypsy. Blue water. I sit not in flight. Hidden, not in sight. Blue water. Blue water. And I stare at the sea. And the sea smiles for me. And the sea. Is as moving. As a lover. I can? t give up the night. I? m in high tide. I? d like to sail the sea. I? d like to take you on a? slow ride. I won? t give up the night. High tides?. I? d like to sail the sea. I? d like to take you on a. Slow ride?. Slow ride?. Slow ride. Blue water. I sit and I wait for the morning to come. Blue water. And I wait for the sound. Blue water. I sit not in flight. Hidden, not in sight. Blue water?. And I wait for the sound. Wait for the sound. And I smile at the sea. And the sea smiles for me. And the sea is as moving?. As a lover. I can? t give up the night. I? m in hide tide. I? d like to sail the sea. I? d like to take you on a. slow ride?. a slow ride?. I won? t give up the night. I? m in high tides. I? d like to be your friend. I? d love to love you till the end. Till the end?. Blue water. I sit and I pray. For the morning to come. Blue water. And I wait. For the sound of my gypsy. Blue water?. I sit not in flight. Hidden, not in sight. Blue water?. Blue water?. And I smile at the sea. And then the sea smiles for me. And the sea. Is as moving. As a lover?. A love. I can? t give up the night. I? m in high tide?. I? d love to sail the sea. I? d love to take you on a slow ride. I can? t give up the night. I? m in high tide. I? d like to be your friend. I? d like to love you till the end. Blue water?. I sit and I wait. For the morning? to? come?"
stand back,No one looked...as I walked by. Just an invitation would have been just fine. Said no to him...again and again. First he took my heart...then he ran. . No one knows how I feel. What I say unless you read between my lines. One man walked away from me. First he took my hand...take me home. . Stand back...stand back. In the middle of my room. I did not hear from you. It's alright...it's alright. To be standing in a line. (Standing in a line). I would cry.... . Do not turn away my friend. Like a willow I can bend. No man calls my name. No man came. . So I walked on down away from you. Maybe your attention was more. Than you could do. One man did not call. He asked me for my love. And that was all. . Stand back...stand back. In the middle of my room. I did not hear from you. It's alright...it's alright. To be standing in a line. (Standing in a line). (Standing in a line). . So I walked on down the line. Away from you. Maybe your attention was more. Than I could do. One man...did not call. Well he asked me for my love. That was all
wild heart,"Something in My Heart Died Last Night. Just One More Chip Off An Already Broken Heart. I Think the Heart Broke Long Ago. That's When I Needed You. When I Needed You Most. That's When I Needed You. When I Needed You Most. I Run Around Like a Spirit in Flight. Fearlessness Is Fearlessness. I Will Not Forget This Night. Dare My Wild Heart. Dare My Wild Heart. Where Is the Reason. Don't Blame It On Me. Blame It On My Wild Heart. As to the Seasons. You Fought From the Beginning. Long Before I Knew It. There Was a Danger. and the Danger Was. to Fall in Love. in Dark Sorrow. They Gaze Down Into the Darkest Heart. If I Leave You. You Say Not Even You Can Tear Us Apart. Say You're Leaving. You Say You Don't Even Know. How to Start How to Start How to Start. Well Believe It Then. and Don't Blame It On My Soul. Blame It On My Wild Heart. Ooo On My Wild Heart Ooo. Fire On Fire Rain On My Face. Fever Goes Higher What Can You Do. Wild in the Darkest Places of Your Mind. That's Where I Needed You. Where I Needed You Most. That's Where I Needed You. Where I Needed You Most. Where Is the Reason. Well Don't Blame It On Me. Blame It On My Wild Heart. There Is a Reason. Why Even the Angels. Don't Give Up At All. Where Are the Children. Well Are They Hopelessly Enchanted. Blame It On the Angels. Where Are the Reasons. Don't Blame It On Our Wild Hearts. Wild Heart Wild Heart Wild Heart. On My Wild Heart. On My Wild Heart. Even in the Darkest Places of Your Mind. Wo Are the Children Are They Hopelessly Enchanted. Wild in the Darkest Places of Your Mind. no Don't Blame It On Me, Baby. Blame It On My Wild Heart. Blame It On My Blame It On My Blame It On My. Blame It On My Wild Heart. Even in the Back of Your Even in the Back of Your Mind"
leather and lace (feat. don henley),Is love so fragile and the heart so hollow. Shatter with words impossible to follow. You're saying I'm fragile I try not to be. I search only for something I can't see. I have my own life. And I am stronger than you know. But I carry this feeling. When you walked into my house. That you won't be walking out the door (2x). Lovers forever -- face to face. My city or mountains. Stay with me stay. I need you to love me. I need you today. Give to me your leather. Take from me my lace. You in the moonlight. With your sleepy eyes. Could you ever love a man like me. And you were right. When I walked into your house. I knew I'd never want to leave. Sometimes I'm a strong man. Sometimes cold and scared. And sometimes I cry. But that time I saw you. I knew with you to light my nights. Somehow I'd get by (2x). (Chorus) 2x
sara,"You could be my silver spring..... Blue-green..colors flashin'. I would be your only dream...... Your shinin' autumn....ocean crashin'..... Don't say that she's pretty..... and did you say that she loves you...?. Baby I don't wanna know.. So I'll begin not to love you.... Turn around, you'll see me runnin'. I'll say I loved you years ago.... And tell myself you never loved me....No....... Don't say that she's pretty..... And did you say that she loves you...?. Baby, I don't wanna know....Oh no...... And can you tell me...was it worth it....?. Baby, I don't wanna know... Time cast a spell on you...you won't forget me.... I know I could've loved you but you would not let me..... Time cast a spell on you...but you won't forget me.... (I was such a fool). I know I could've loved you, but you would not let me... (Give me one more chance). I'll follow you down 'til the sound of my voice will haunt you... (Haunt you). You'll never get away from the sound of the woman that loves you... Repeat....ad lib...."
rhiannon,"Rhiannon rings like a bell thru the night. And wouldn't you love to love her. Takes to the sky like a bird in flight. And who will be her lover.... All your life you've never seen. A woman - taken by the wind. Would you stay if she promised you heaven. Will you ever win.... She is like a cat in the dark. And then she is the darkness. She rules her life like a fine skylark. And when the sky is starless. All your life you've never seen. A woman - taken by the wind. Would you stay if she promised you heaven. Will you ever win.... Will you ever win.... Rhiannon. Rhiannon. Rhiannon. Rhiannon. Rings like a bell thru the night. And wouldn't you love to love her. She rules her life like a bird in flight. And who will be her lover.... All your life you've never seen. A woman - taken by the wind. Would you stay if she promised you heaven. Will you ever win.... Will you ever win.... Rhiannon. Rhiannon. Rhiannon. Rhiannon. Taken by, taken by the sky.... Taken by, taken by the sky.... Taken by, taken by the sky.... Dreams unwind.. Love's a state of mind.. Dreams unwind.. Love's a state of mind."
stop draggin' my heart around (feat. tom petty),"Baby you come knocking on my front door. Same old line you used to use before. I said yeah, well, what am I supposed to do. I didn't know what I was getting into. So you've had a little trouble in town. Now you're keeping some demons down. Stop draggin' my.... Stop draggin' my.... Stop draggin' my heart around. It's hard to think about what you've wanted. It's hard to think about what you've lost. This doesn't have to be the big get even. This doesn't have to be anything at all. I know you really want to tell me good-bye. I know you really want to be your own girl. Baby you could never look me in the eye. Yeah you buckle with the weight of the words. Stop draggin' my.... Stop draggin' my.... Stop draggin' my heart around. There's people running 'round loose in the world. Ain't got nothing better to do. Than make a meal of some bright eyed kid. You need someone looking after you. I know you really want to tell me good-bye. I know you really want to be your own girl. Baby you could never look me in the eye. Yeah you buckle with the weight of the words. Stop draggin' my.... Stop draggin' my.... Stop draggin' my heart around. Stop draggin' my heart around"
