stray cat strut,"Oooh, oooh, oooh, oooh. Black and orange stray cat sittin' on a fence. Ain't got enough dough to pay the rent. I'm flat broke but I don't care. I strut right by with my tail in the air. Stray cat strut, I'm a ladies' cat. I'm a feline casanova, hey man, that's sad. Get a shoe thrown at me from a mean old man. Get my dinner from a garbage can. Yeah don't cross my path. I don't bother chasing mice around. I slink down the alley looking for a fight. Howling to the moonlight on a hot summer night. Singin' the blues while the lady cats cry. ""I'm a stray cat, you're a real gone guy"". I wish I could be as carefree and wild. But I got cat class and I got cat style. I don't bother chasing mice around. I slink down the alley looking for a fight. Howling to the moonlight on a hot summer night. Singin' the blues while the lady cats cry. ""I'm a stray cat, you're a real gone guy"". I wish I could be as carefree and wild. But I got cat class and I got cat style"
(she's) sexy and seventeen,"Hey , man , I don't feel like goin' to school no more. Me neither . They can't make you go . No you daddyo yeah !. I ain't goin' to school it starts too early for me. Well listen man I ain't goin' to school no more it starts much, much too. early for me. I don't care about readin' , writin', 'rithmetic or history. I'm gonna walk to the corner and meet my little Marie. I'm gonna walk to the corner and meet my little Marie. Well she's the only girl in this whole world who understands me. Well she's sexy and seventeen. My little rock-roll queen. Acts a little bit obscene. Gotta let off a little steam. Dig that sound shake it around you're mine , mine , mine. Johnny and Eddie and me and Jimmy and Jack. Are gonna do a little number on the teacher when she turns her back. We're gonna cut out of class , meet the girls by the railroad track. Well ev'ry Friday night there's a band that you gotta hear. Just a dollar ticket in and twenty-five cents a beer. They play rock and roll music like it hasn't been rocked for years. Well she's sexy and seventeen. My little rock-roll queen. Acts a little bit obscene. Gotta let off a little steam. Dig that sound shake it around you're mine , mine , mine. Well when I hear that rockin' beat. I can't sit still up , out of my seat. come on Babe lets jump 'round your feet. Can't learn nothin' in school they don't teach you on the street !. Wo-oh , wo-oh , baby I like your style. Wo-oh oh oh oh baby I like your style. You don't care what the other kids say , You go real wild. Well you're sexy and seventeen. My little rock-roll queen. Acts a little bit obscene. Gotta let off a little steam. Dig that sound and shake it around you're mine , mine , mine. Dig that sound and shake it around you're mine , mine , mine. Dig that sound and shake it around you're mine , mine , mine"
rock this town,"Well my baby and me went out late Saturday night. I had my hair piled high and my baby just looks so right. Well, pick you up at ten got to have you home by two,. Mama don't know what I've got in store for you. Well that's alright 'cause we're looking as cool as can be. Well we found a little place that really didn't look half bad. I'll have a whiskey on the rocks and change of a dollar for the jukebox. Well, I put a quarter right into that can, but all it played was disco man. C'mon pretty baby, let's get outta here right away.. We're gonna rock this town, rock it inside out. We're gonna rock this town, make 'm scream and shout. Let's rock, rock, rock man rock, rock. We're gonna rock till we pop, We're gonna roll till we drop. We're gonna rock this town, rock it inside out. Well we're having a ball just bopping on the big dance floor. Well there's a real square cat he looks nineteen seventy four. Well, you look at me once, you look at me twice,. You look at me again there's gonna be a fight. We're gonna rock this town, we're gonna rip this place apart. We're gonna rock this town, rock it inside out. We're gonna rock this town, make 'm scream and shout. Let's rock, rock, rock man rock, rock. We're gonna rock till we pop, We're gonna roll till we drop. We're gonna rock this town, rock this place apart. We're gonna rock this town, rock it inside out. We're gonna rock this town, make 'm scream and shout. Let's rock, rock, rock man rock, rock. We're gonna rock till we pop, We're gonna roll till we drop. We're gonna rock this town, rock it inside out. We're gonna rock this town, rock it inside out. We're gonna rock this town, rock it inside out"
please don't touch,Don't you touch me baby 'cause I'm shakin' so much. Don't you touch me baby 'cause I'm shakin' so much. Well there ain't no other woman that makes me feel this way. When she comes up close I just ain't got a word to say. Please don't touch I shake so much. Please don't touch I shake so much. Don't you touch me baby 'cause I'm shakin' so much. You know I get so nervous when I see her eyes that shine. She looks right through me and a shiver runs down my spine. Please don't touch I shake so much. Please don't touch I shake so much. I don't know why she's got her claws in me. I wanna be a bachelor fancy free. Runnin' from the preacher oh what a relief. Spending my life just shakin' like a leaf. I remember the first time her ruby lips brushed my cheek. Well I opened up my mouth but the rest of me just couldn't speak. Please don't touch I shake so much. Please don't touch I shake so much. Don't you touch me baby 'cause I'm shakin' so much. I don't know why she's got her claws in me. I wanna be a bachelor fancy free. Runnin' from the preacher oh what a relief. Spending my life just shakin' like a leaf. I remember the first time her ruby lips brushed my cheek. I opened up my mouth but the rest of me just couldn't speak. Please don't touch I shake so much. Please don't touch I shake so much. Don't you touch me baby 'cause I'm shakin' so much. Don't you touch me baby 'cause I'm shakin' so much. Don't you touch me baby 'cause I'm shakin' so much. Don't you touch me baby 'cause I'm shakin' so much
rebels rule,Teenage rebels rule okay. I'll be damned if I work all day. I think that you look okay. I won't even look your way. . Teenage rebels out all night. Teenage rebels drink and fight. Rockabilly rebel don't go to school. Teenage rebel rule rule rule. Hey hey hey hey. . Teenage rebels rule okay. I'll be damned if I work all day. I think that you look okay. I won't even look your way. . Teenage rebels out all night. Teenage rebels drink and fight. Rockabilly rebel don't go to school. Teenage rebel rule rule rule. Hey hey hey hey. . You look like something that the cat dragged in. Yeah well you look something of an assembly line. I think it's high time you pay some rent. I'd rather leave home and live in a tent. The principal say you've been cuttin' class. Well you can take that school and shove it up your ass. That music you're playing is way too loud. Ooh Rock and Roll is never too loud. . Teenage rebels rule okay. I'll be damned if I work all day. I think that you look okay. I won't even look your way. . Teenage rebels out all night. Teenage rebels drink and fight. Rockabilly rebel don't go to school. Ooh teenage rebel rule rule rule. Hey hey hey hey
bring it back again,"Bring it back. Bring it back. Bring it back again. I cruise around with the radio on. Make me feel alright. Make me feel alright. Wide open highway and the sun going down. Make me feel alright. Make me feel alright. I grab my guitar and pick out a song. You wear that pretty dress we never could go wrong. We had no money but never seem to care. Our love took us everywhere. . Bring it back again. Bring it back. Bring it back. Bring it back again. Bring it back again. I cruise around in a rag top ride. Make me feel alright. Make me feel alright. But now I got no one by my side. Make me feel alright. Make me feel alright. Though I never share my memories. No one by my side to comfort me. I need your little hand to hold in mine. Got to hold you all the time. Bring it back again. Bring it back. Bring it back. Bring it back again. Bring it back again. Is it any wonder, why I love you so. Oh you were my first love. When your arms met mine. You just stole my heart for all time. . Bring it back again. Bring it back. Bring it back. Bring it back again. Bring it back again. I cruise around with the radio on. Make me feel alright. Make me feel alright. Wide open highway with the sun going down. Make me feel alright. Make me feel alright. Though I know I'm the only one to blame. I've had enough of this sorrow and pain. I know that deep down you still feel the same. Bring me your love back again. Bring it back again. Bring it back. Bring it back. Bring it back again. Bring it back again. Come on bring it back again. Bring it back. Bring it back. Bring it back again. Bring it back again. Come on bring it back again. Bring it back again. . by danilo_acrata"
rev it up and go,"Well, I got a big old bomb and it won't be around for long,. Well, I got a big old bomb and it won't be around for long,. Well, it's a big old bomb but it gets me where I'm goin'. I got a thirty nine Ford, this only just won't die,. But I got a thirty nine Ford, this only just won't die,. Well, this thirty nine Ford might outlive you and I. Having a beer and listening to the radio. Having a beer and listening to the radio. It's got a worn back seat and a steamed up rear window. I got a big old bomb and it won't be around for long. Well, I got a big old bomb and it won't be around for long,. Well, it's a big old bomb but it gets me where I'm goin'. Well, Rev it up and go. Rev it up and go. Rev it up and go go go. Rev it up and go. Rev it up and go. Rev it up and go. Rev it up and go go go. Rev it up and go. I got a big old bomb and it gets me where I want to go"
i won't stand in your way,"I... I've got a low down dirty felling. That i've been cheated on and lied to. If it's wrong then it's wrong. We broke up for so long. Why don't we have that magic anymore?. I've got a strange, sneaking suspicion. That it's been goin' on for some time now. Something shines in your eyes. Something stirs deep inside. I won't stand in your way anymore. You say that i'm just a little boy. Who's easily lead astray. Where are you, that same little girl. Who always gets her way. I've got a strange, sneaking suspicion. That it's been goin' on for some time now. Something shines in your eyes. Something stirs deep inside. I won't stand in your way anymore. You say that i'm just a little girl. Who's easily lead astray. Where are you, that same little girl. Who always gets her way. I... I've got a low down dirty felling. That i've been cheated on and lied to. If it's wrong then it's wrong. We broke up for so long. I won't stand in your way!. I won't stand in your way!. I won't stand in your way anymore."
summertime blues,"Well I'm a gonna raise a fuss. I'm a gonna raise a holler. About working all summer just to try to earn a dollar every. Time I call my baby trying to get a date. Boss says no dice son you gotta work late. Sometimes I wonder what I'm a gonna do. But there ain't no cure for the summertime blues. Well my mom and popa told me. Son you gotta make some money. If you want to use the car to go a-riding next sunday. Well I didn't go to work told the boss I was sick. Now you can't use the car cause you didn't work a lick. Sometimes I wonder what I'm a gonna do. But there ain't no cure for the summertime blues. Gonna take two weeks gonna have a fine vacation. Gonna take my problem to the united nations. Well I called my congress man and he said quote. ""I would like to help you son but your to young to vote"". Sometimes I wonder what I'm a gonna do. But there ain't no cure for the summertime blues"
rockabilly world,Some times I just gotta get away. To the place that rocks all night and all day. So hop right into my pink cadillac. Hey pretty baby you are never never never gonna come back. Come on little baby won't you be my girl. Won't you come and live in my rockabilly world. Jump into my arms and I'll give you a twirl. You're just gonna love it in my rockabilly world. My misery train is pullin' out. Well I lose control and I start to shout. There's a dance tonight in the killer's barn. Don't you be afraid I'm gonna do you no harm. Well come on little baby won't you be my girl. Won't you come and live in my rockabilly world. Jump into my arms and I'll give you a twirl. You're just gonna love it in my rockabilly world. We're gonna take the old route 66. Well cruisin' to Vegas gonna get my kicks. I'm wearing pink black pants and I greased my hair. I'm the rockingest cat found anywhere. Well come on little baby won't you be my girl. Won't you come and live in my rockabilly world. Jump into my arms and I'll give you a twirl. You're just gonna love it in my rockabilly world
