can you feel it,"[Chorus]. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. Got my head in the clouds and I won't come down. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. No I won't come down. [Verse 1]. I hope my brain hurts. Because I love the taste. I stay happier. With the best of words thats placed to waste. And because nobody or nothing can help me for my troubles. And say for my only one I'd escape. Traveling around the world. Finding my place. [Chorus]. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. Got my head in the clouds and I won't come down. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. No I won't come down. [Verse 2: Wiz Khalifa]. Get high flying straight. And I won't come down. Get high flying straight. Oh oh oh. I'm rolling up a G6. Hit it once you wont believe this. You say your mind is racing. Well I'm just trying to help you pace it. See i be floating around space ships. All up in there where them planes is. Mixing my green with my breakfast. Waking, bakin. I'ma roll my weed up everyday. Smoke everyday. Party everyday. Try'na reach the clouds. Are you on your way?. I'm rollin up good you rollin up trash. I'm burnin them slow you burnin them fast. You smokin on this I'm smokin on that. Ain't countin them grams just go in the bag. You rollin a blunt I'm rollin a zag. We grindin it up and mixin with hash and thats. [Chorus]. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. Got my head in the clouds and I won't come down. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. No and I won't come down. [Verse 3]. And I push up weight. Because I don't like the way. Cut out a puncher. And shoved it in my face. Nobody or nothin can tell bus up in construction. Because we're comin out too late anyways. Traveling around the world. Serving the taste. [Chorus]. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. Got my head in the clouds and I won't come down. Can you feel it. Got my head in the clouds and I can't come down. Can you feel it. No I won't come down"
gasoline,"If you want it. All you gotta do is ask me. And if I don't got it. I'll go and steal it from your family. MM. Cuz girl you flaunt it. Like you were born inside of Tiffany's. But you like them losers baby. So I know you're always staying with me. Chorus. Monday, Tuesday, all throughout the weekdays. Doing what I can to keep you holdin' on to some faith. I'm doing all that I can ohh. At the drop of a hat. Ohh I'd go shooting for yahh. No turning back. I know everyone has warned yahh. When you mess around fire. You'll get burned no there are no liars. Lord only knows. I'm better with gasoline. You got me thinkin. I need to cool it on the whiskey. And if I don't do it. I'm just expecting you to ditch me. Ohh and talking crazy. I really wanna make a difference. Tell me if you leave me baby. Are you really gonna miss me. Chorus. Monday, Tuesday, all throughout the weekdays. Doing what I can to keep you holdin' on to some faith. I'm doing all that I can ohh. At the drop of a hat. Ohh I'd go shooting for yahh. No turning back. I know everyone has warned yahh. When you mess around fire. You'll get burned no there are no liars. Lord only knows. I'm better with gasoline"
lovers rock,"The only thing she told me bout this sick sad world,. Is once she caught me cheating she said she would never be my girl. So I said to myself be as strong as a lion. You'd have to shoot me down before I ever stop trying. She said I need a little of that something. I said, hey, that's better than nothing. I know I know. We got miscommunication. But we ain't stopping til we hear it on the station. Like yeeeeah, yeeeeah. Oooooh yeaaaaah yeaaaah. I've been waiting for this loving girl!. I miss the love the love the love the love the love. That we used to know used to know. I miss the love the love the love the love the love. That's we used to show used to show. I miss the love the love the love the love the love. That we used to know used to know. I miss the love the love the love the love the love. That we used to have used to have but not no more. There was summer loving in the air. Some of the best times that I ever had and ever shared. It was just you and me sitting on the sand. Baby sipping Hennessey. Dancing hand n hand. Listening to what the DJ's playing for you and me. And we ain't stopping til we hear it on the station. Like yeeeah, yeaah. Oh yeaah yeaaah. Yeah yeaaaah. Oh I've bee waiting for your loving girl!. I miss the love the love the love the love the love. That we used to know used to know. I miss the love the love the love the love the love. That's we used to show used to show. I miss the love the love the love the love the love. That we used to know used to know. I miss the love the love the love the love the love. That we used to have used to have but not no more. Step aside, you're only using me. And I believed your lies. Step aside, you're only using me. And I believed your lies. How it used to be. Between you and me. How it used to be. I'm Just missing as I bust!. I miss the love the love the love the love the love. That we used to know used to know. I miss the love the love the love the love the love. That's we used to show used to show. I miss the love the love the love the love the love. That we used to know used to know. I miss the love the love the love the love the love. That we used to have used to have but not no more"
murdera,"She's a murdera. Oh yes I said, oh. She's a murdera. Oh yes, and oh yes, and I said now.. Nananana. She's a murdera. Oh yes I said, oh. She's a murdera. But she won't play me for no clown. Nananana. She's mine. She wanna ride me all around. Like a bicycle, eat up my fun and make me frown. But I'm gonna take her down. Got me on the ground. She said she hates my actions. But she loves the way I sound. I wanna rub up on her friend. But got too drunk to start [?]. And fell down to the end. Now she won't let me in. Fussin and fightin'. Darlin', darlin'. I'm doing you right. She's a murdera. Oh yes I said, oh. She's a murdera. Oh yes, and oh yes, and I said now.. Nananana. She's a murdera. Oh yes I said, oh. She's a murdera. But she won't play me for no clown. Nananana. She's mine. I was born to strike a nerve. With melodies and lyrics. It's the only thing I serve,. And it's all I need. Smokin' on the best - purp. As [?] moves in from my head into my chest. Hey, and if I get kicked out this time. Will you rock the boat to spin that. You'da make it sound so fine. Ladies always say, my my my my my. She's a murdera. Oh yes I said, oh. She's a murdera. Oh yes, and oh yes, and I said now.. Nananana. She's a murdera. Oh yes I said, oh. She's a murdera. But she won't play me for no clown. Nananana. She's mine.... I won't be jeopardized no more. I won't even try no more. I just won't sympathize no more. Yeah. You just wanna use me. Steal lovin' and abuse me, oh. How quickly I was to forget that. Forever, you said, don't mean a thing. No.... She's a murdera. Oh yes I said, oh. She's a murdera. Oh yes, and oh yes, and I said now.. Nananana. She's a murdera. Oh yes I said, oh. She's a murdera. But she won't play me for no clown. Nananana. She's mine, she's mine. And she won't hurt me again. She's a murdera, she's a murdera. And she won't hurt me no more. She's mine, she's mine. But she won't hurt me again. She's a murdera, she's a murdera. But she won't hurt me again. She's a murdera, a filthy murdera. But she won't hurt me again."
my world,"Can you save me from myself. I don't think so. I'm my own worst enemy. And that's, and that's. Perfectly fine with me. Because I live my whole life. Living this exactly. I don't need the things. That you shove up in my face. I live by my own standards. And I'm happy living, living life. My world. Is a little bit safer. And I drink. Malt liquor in paper. I get high. Get high of the vapor. It's my world, I'm a little bit safer. Stack up my arms. Cuz I'm coming in swingin'. Might kill my hand. With the fury of a demon. Gotta catch up and my head's up in the clouds. And I like it that way and there's no coming down. Cause I seek and destroy. And your world is my new toy. I guess I'll look [?]. And I swear to God,. It's weighin' down on your mind. My world. Is a little bit safer. And I drink. Malt liquor in paper. I get high. Get high of the vapor. It's my world, I'm a little bit safer. A little bit safer now. What are you waiting for?. A grand finale?. Where's my throne and crown. In my head, I'm the king of the whole damn nation. And tonight's the night that it burns all down. Eyes sit like voodoo. Heads are messed like hoodoo. But I'm perfectly happy inside my head. Watch as you crazy, makes people think me insane. In my world I know I can make it. In my world, nobody can come and take me down. There's no more controlling you. What are you waiting for?. In my world. In my world. I'm a little bit safer. In my world. In my world"
only,"I stand my ground in stormy weather. We're pickin' up the pieces that we dropped along the way. We rise and fight and fall together. Anything to forget the problems of yesterday. Whatever they say is not only. Not the only way I know. Whatever they say is not always. Not the only way for me. Whatever they say is not for me. The sun will rise and fade your bruises. But it can never cleanse your body of the wounds and battle scars. We all just fight for some reaction. But you get yours, and I'll get mine, and they'll get theirs. Whatever they say is not only. Not the only way I know. Whatever they say is not always. Not the only way for me. Whatever they say is not only. Not the only way I know. Whatever they say is not for me. They tell us to keep pushing on, on, on. I said we can't, we can't, we can't move much more forward. With our feet pushed hard to the ground-ound-ound. Don't you know how hard it is to heal?. Don't you have any idea what is means?. Whatever they say is not only. Not the only way I know. Whatever they say is not always. Not the only way for me. Whatever they say is not only. Not the only way I know. Whatever they say is not always. Not the only way for me. Ooh not the only way for me, ooh oh"
panic,"So many people runnin'. Don't know where they're goin'. Panic and panic and panic. Showing no satisfaction. I need a reason that I gotta know. Dont you wish your worth was money?. My only motive for destruction. Is to breathe for what we were. I need a reason that I gotta know. Dont you wish your worth was money?. Don't you wish your. You open doors and close them. Quicker than the hands of most. Can't you see there is hope here. It's time for reaction. Shake me up. Somebody wake me up. I need a break from my. Own mental pollution. There ain't no solution. For all of the damage that you've done. Dont you wish your worth was money?. Don't you wish your. You open doors and close them. Quicker than the hands of most. Can't you see there is hope here. It's time for reaction. Realize what's wrong, wrong with your life. Quicker than the eyes of most. Can't you see there is hope here. It's time for reaction. How can you say. You don't wanna know, don't wanna know the truth. How can you say. You don't wanna know, don't wanna know the truth. How can you say. You don't wanna know, don't wanna know the truth. How can you say. You don't wanna know, don't wanna know the truth. And that's alright. That's okay. And that's alright. Stop right there"
paper cuts,"I shake it up, I wake it down my lover's ex. And that's the only opinion of me. You loose me up, then shake me, go and waste away. What other options you give me, oh. But I'm just wasting away. And that's the only option for me. Well I'm just wasting away. Well that's the only option for me. You said destroy. I said let's not make things worser. That's the only thing I see. You build me up to knock me down. You stay above the rest. But I can only escape from you. Well I'm just wasting away. Well that's the only option for me. Well I'm just wasting away. Well that's my only remedy. Shoot it up. The battle's on. Let it take. Let it now. I will be. The only thing. That set [?] beside. I want you to try to be. Big city, suicide, living clear. That's only way for me. I can't break the mold here. And if you judge me, the better see. Well I'm just wasting away. And that's the only remedy. Well I'm just wasting away. And that's the only remedy"
pch,"We opened up our eyes girl. To see that everything's alright. My vocal chords are healing. From arguing with you all night. Wait a minute cause girl. I mean it when I say. I got to have you. Oh yes indeed. Cause it's my way. Or Pacific Coast highway. Either way you won't find me. And you don't care. Because it's my way. Or Pacific Coast highway. I hit the road you won't find me. And that's all you know. The shell remains been broken. Every word has been said. I'm ready to give you the reigns and control. But not my head. Wait a minute, wait a minute cause girl. I mean it when I say. I got to have you. And oh, you're gonna have to change. If you're gonna stay. Oh yes indeed. Cause it's my way. Or Pacific Coast highway. Either way you won't find me. And you don't care. Because it's my way. Or Pacific Coast highway. I hit the road you won't find me. And that's all you know. I thought you might like to know. I've been doin' just fine. Walkin' on my own lately, yeah. The sun has been shining down on me. Telling me to walk away,. Walk away, walk away. If it were that easy. Then I would be. Far away.... Cause it's my way. Or Pacific Coast highway. Either way you won't find me. And you don't care. I tried to show you. But you never gave reasons. Your attitude's like the seasons. That's all you know. Cause it's my way. Or Pacific Coast highway. Either way you won't find me. And you don't care. I tried to show you. But you never gave reasons. Your attitude's like the seasons. And that's all you know"
same old situation,"If I could just only ask of one more thing I want from you. Well it would go like this. Would you open up and accept me for the way I am to you,. Get a clue. And if you tell me why I love you but you gotta change your ways,. Well I would say any day. 'nd my loves afraid that we have crashed and burned there ain't no sign of repair,. Tell me this isn't fair. Oh and still I wonder why. We're always buzzing by. And each and every night. You know I come home to you. We're at the same old situation. We're at the same old loss of words. We're at the same old situation, here it goes. Once again. We're at the same old situation. We're at the same old loss of words. We're at the same old situation, here it goes. And there could be, girl I just want to walk with you hand in hand,. Back when I was your man. And you hold me, hold me like the world was promising the men,. Tell me this I can tend. And left me up and you shot me down you took me up the sky,. And now I'm wondering why. Yeah I'm struggling now, how you got me singing like a sing a long. Tell me I'm not assigned, I'm out of mine. And still I wonder why. We're always buzzing by. And each and every night. You know I come home to you.. We're at the same old situation. We're at the same old loss of words. We're at the same old situation, here it goes. Once again. We're at the same old situation. We're at the same old loss of words. We're at the same old situation, here it goes. Once again. And I know, and you know. We would be broken but this is not the end. And we both know that I'm not sure. Nowhere left to go.. We're at the same old situation. We're at the same old loss of words. We're at the same old situation, here it goes. Once again. We're at the same old situation. We're at the same old loss of words. We're at the same old situation, here it goes. Once again. I don't want anymore,. It's the same old situation now,. I don't want anymore. No more."
