with me,"I don't want this moment, to ever end,. Where everything's nothing, without you.. I'd wait here forever just to, to see you smile,. Cause it's true, I am nothing without you.. Through it all, I made my mistakes.. I stumble and fall,. But I mean these words.. I want you to know, with everything I won't let this go.. These words are my heart and soul,. I hold on to this moment you know.. Cause I'd bleed my heart out to show, that I won't let go.. Thoughts read unspoken, forever in doubt.. And pieces of memories fall to the ground.. I know what i didn't have so, I won't let this go.. Cause it's true, I am nothing without you.. All the streets, where I walked alone,. With nowhere to go.. Have come to an end.. I want you to know, with everything I won't let this go.. These words are my heart and soul,. I hold on to this moment you know.. Cause I'd bleed my heart out to show, that I won't let go.. In front of your eyes, it falls from the skies,. When you don't know what you're looking to find.. In front of your eyes, it falls from the skies,. When you just never know what you will find.. I don't want this moment to ever end.. Where everything's nothing without you.. I want you to know, with everything I won't let this go.. These words are my heart and soul,. I hold on to this moment you know.. Cause I'd bleed my heart out to show, that I won't let go."
fat lip,"Storming through the party like my name was El Niño. When I'm hangin' out drinking in the back of an El Camino. As a kid, I was a skid and no one knew me by. name.. I trashed my own house party cause nobody came.. I know I'm not the one you thought you knew back in high school. Never going, ever showing up when we had to.. Is it attention that we crave don't tell us to behave,. I'm sick of always hearing act your age.. I don't wanna waste my time. Become another casualty of society.. I'll never fall in line. Become another victim of your conformity. And back down.. Because you don't. Know us at all we laugh when old people fall.. But what would you expect with a conscience so small.. Heavy metal and mullets it's how we were raised.. Maiden and Priest were the gods that we praised. Cause we like having fun at other peoples expense and,. Cutting people down is just a minor offence then,. It's none of your concern, I guess I'll never learn.. I'm sick of being told to wait my turn.. I don't wanna waste my time. And become another casualty of society.. I'll never fall in line. Become another victim of your conformity. And back down.. Don't count on me, to let you know when.. Don't count on me, I'll do it again.. Don't count on me, it's the point you're missing.. Don't count on me, cause I'm not listening.. Well I'm a no-goodnick lower middle class brat,. Back packed and I don't give a shit about nothing.. You be standing on the corner talking all that kufuffin.. But you don't make sense from all the gas you be huffing.. Then if the egg don't stain you'll be ringing off the hook,. You're on the hit list wanted in the telephone book.. I like songs with distortion, to drink in proportion.. The doctor said my mom should have had an abortion.. I don't wanna waste my time. Become another casualty of society.. I'll never fall in line. Become another victim of your conformity. And back down.. Waste my time with them. Casualty of society.. Waste my time again,. Victim of your conformity. And back down."
pieces,I tried to be perfect. But nothing was worth it. I don't believe it makes me real. I thought it'd be easy. But no one believes me. I meant all the things I said. If you believe it's in my soul. I'd say all the words that I know. Just to see if it would show. That I'm trying to let you know. That I'm better off on my own. This place is so empty. My thoughts are so tempting. I don't know how it got so bad. Sometimes it's so crazy. That nothing can save me. But it's the only thing that I have. If you believe it's in my soul. I'd say all the words that I know. Just to see if it would show. That I'm trying to let you know. That I'm better off on my own. On my own. I tried to be perfect. It just wasn't worth it. Nothing could ever be so wrong. It's hard to believe me. It never gets easy. I guess I knew that all along. If you believe it's in my soul. I'd say all the words that I know. Just to see if it would show. That I'm trying to let you know. That I'm better off on my own
walking disaster,"I haven't been home for a while. I'm sure everything's the same. Mom and Dad both in denial. An only child to take the blame. Sorry, Mom, but I don't miss you. Father's no name you deserve. I'm just a kid with no ambitions. Wouldn't come home for the world. Never know what I've become. The king of all that's said and done. The forgotten son. This city's buried in defeat. I walk along these no-name streets. Wave goodbye to home. As I fall.... At the dead-end I begin. To burn a bridge of innocence. Satisfaction guaranteed. A pillow-weight catastrophe. Our own mission nowhere bound. Inhibitions underground. A shallow grave I. Have dug all by myself. And now I've been gone for so long. I can't remember who was wrong. All innocence is long gone. I pledge allegiance to a world of disbelief. Where I belong. A walking disaster. The son of all bastards. You regret you made me. It's too late to save me. (You regret you made me. It's too late to save me). As far as I can tell. It's just voices in my head. Am I talking to myself?. 'Cause I don't know what I just said. (And she said). As far as where I fell. Maybe I'm better off dead. Am I at the end of nowhere. Is this as good as it gets?. And now I've been gone for so long. I can't remember who was wrong. All innocence is long gone. I pledge allegiance to a world of disbelief. Where I belong. A walking disaster. The son of all bastards. You regret you made me. It's too late to save me. (To save me, to save me, to save me, [etc.]). [""It's too late"" x2 & other vocalizing]. To save me, to save me, to save me, to save me. And now I've been gone for so long. I can't remember who was wrong. All innocence is long gone. I pledge allegiance to a world of disbelief. Where I belong. A walking disaster. The son of all bastards. You regret you made me. It's too late to save me. I will be home in a while. You don't have to say a word. I can't wait to see you smile. Wouldn't miss it for the world [2x]"
in too deep,"Faster we're falling. We're stopping and stalling. We're running in circles again. Just as things were looking up. You said it wasn't good enough. But still we're trying one more time. Maybe we're just trying too hard. When really it's closer then it is too far. Cause I'm in too deep, and I'm trying to keep. Up above in my head, instead of going under. Cause I'm in too deep, and I'm trying to keep. Up above in my head, instead of going under. Instead of going under. Seems like each time. I'm with you I lose my mind. Because I'm bending over backwards to relate. It's one thing to complain. But when you're driving me insane. Well then I think it's time that we took a break. Maybe we're just trying to hard. When really it's closer than it is too far. Cause I'm in too deep, and I'm trying to keep. Up above in my head, instead of going under. Cause I'm in too deep, and I'm trying to keep. Up above in my head, instead of going under. Instead of going under. Instead of going under. I can't sit back and wonder why. It took so long for this to die. And I hate it when you fake it. You can't hide it you might as well embrace it. So believe me it's not easy. It seems that something's telling me. Cause I'm in too deep, and I'm trying to keep. Up above in my head, instead of going under. Cause I'm in too deep, and I'm trying to keep. Up above in my head, instead of going under. Instead of going under. instead of going under. Instead of going under again. Instead of going under. Instead of going under again. Instead of going under again"
still waiting,"[Chorus:]. So am I still waiting. For this world to stop hating. Can't find a good reason. Can't find hope to believe in. Drop dead. A bullet to my head. Your words are like a gun in hand. You can't change the state of the nation. We just need some motivation. These eyes. Have seen no conviction. Just lies and more contradiction. So tell me what would you say. I'd say it's up to me.... [Chorus:]. So am I still waiting. For this world to stop hating. Can't find a good reason. Can't find hope to believe in. Ignorance. And understanding. We're the first ones to jump in line. Out of step for what we believe in. But who's left to stop the bleeding. How far. Will we take this. It's not hard to see through the fakeness. So tell me what would you say. I'd say it's up. To me.... [Chorus:]. So am I still waiting. For this world to stop hating. Can't find a good reason. Can't find hope to believe. This can't last forever. Time won't make things better. I feel so alone. Can't help myself. And no one knows. If this is worthless, tell me. So. What have we done. this is a war that can't be won. This can't be real. Cause I don't know what to feel now. [Chorus:]. So am I still waiting. For this world to stop hating. Can't find a good reason. Can't find hope to believe. So am I still waiting. For this world to stop hating. Can't find a good reason. For this world to BELIEVE"
the hell song,"Everybody's got their problems. Everybody says the same thing to you. It's just a matter how you solve them. And knowing how to change the things you've been through. I fear I've come to realize. How fast life can be compromised. Stand back to see what's going on. I can't believe this happened to you, this happened. to you. It's just a problem that we're faced with. Am I not the only one that hates to standby. Complication's headed first in this line. With all these pictures running through my mind. Knowing endless consequences. I feel so useless in this. Can't patch that back and as for me, I can't believe. Part of me, won't agree. Cause I don't know if it's for sure. Suddenly, suddenly. I don't feel so insecure. Part of me, won't agree. Cause I don't know if it's for sure. Suddenly, suddenly. I don't feel so insecure. Anymore. Everybody's got their problems. Everybody says the same things to you. It's just a matter how you solve them. What else are we supposed to do. Part of me, won't agree. Cause I don't know if it's for sure. Suddenly, suddenly. I don't feel so insecure. Part of me, won't agree. Cause I don't know if it's for sure. Suddenly, suddenly. I don't feel so insecure. Anymore. Why do things that matter the most. Never end up been what we choose. Now that I find out, it ain't so bad. I don't think I knew what I had. Why do things that matter the most. Never end up been what we choose. Now that I find out, it ain't so bad. I don't think I knew what I had"
war,"So what am I fighting for. Everything back and more. And I'm not gonna let this go. I'm ready to settle the score. Get ready cause this is war. There are days that I think I'm crazy. Other days nothing seems to faze me. There's nothing more and nothing less just. All the fears that I must confess well. I'm afraid I believe in nothing. No hopes or dreams you could've left me dead. Naive and not to mention. I'm losing count of all my blessings. With all that I've done, it's too late. I can't take back all that I have become. So all that I'm trying to say. I'm looking for a better way. Some days it just gets so hard. And I don't wanna slip away. So what am I fighting for?. Everything back and more. And I'm not gonna let this go. I'm ready to settle the score. Get ready cause this is war. Another day in the right direction. I'm ok but I'm left to question. How did I get so far behind the rest?. Why am I so inclined to forget?. All the days that you made me crazy. Nowadays you don't even faze me. It's all the same and I don't stress none. Sick and tired of all this tension. With all that I've done, it's too late I can't take. Back all that I have become. So all that I'm trying to say. I'm looking for a better way. Some days it just gets so hard. And I don't wanna slip away. So what am I fighting for?. Everything back and more. And I'm not gonna let this go. I'm ready to settle the score. Get ready cause this is war. I'm looking for a better way. Somedays it just gets so hard. And I don't wanna slip away. Get ready cause this is war. So all that I'm trying to say. I'm looking for a better way. Some days it just gets so hard. And I don't wanna slip away. So what am I fighting for?. Everything back and more. And I'm not gonna let this go. I'm ready to settle the score. Everything back and more. And I'm not gonna let this go. I'm ready to settle the score. Get ready cause this is war"
best of me,"It's so hard to say that I'm sorry. I'll make everything alright. All these things that I've done. Now what have I become and where'd I go wrong?. I don't mean to hurt, just to put you first. I won't tell you lies. (I'm sorry). I will stand accused with my hand on my heart. I'm just trying to say. I'm sorry, it's all that I can say. You mean so much. And I'd fix all that I've done if I could start again. I'd throw it all away to the shadows of regrets. And you would have the best of me. I know that I can't take. Back all of the mistakes but I will try. Although its not easy. I know you believe me 'cause I would not lie. Don't believe their lies told from jealous eyes. They don't understand. (I'm sorry). I won't break your heart, I won't bring you down. But I will have to say. I'm sorry, it's all that I can say. You mean so much. And I'd fix all that I've done if I could start again. I'd throw it all away to the shadows of regrets. And you would have the best of me. I'm sorry, it's all that I can say. You mean so much. And I'd fix all that I've done if I could start again. I'd throw it all away to the shadows of regrets. And you would have the best of me"
baby you don't wanna know,"I don't know what you want and I don't wanna know. I got you where I want and I won't let go. So get your kicks out quick while you still got time. That's fine, I know just what you've done, I need no alibies. I hope you've had your fun, you sure know how to lie. 'Cause you're just a drag and you just ran out of time. Well that's quite alright. Well, well do what you want, but don't be proud. 'Cause baby, you don't wanna know. What I'm gonna do when your not around. No, baby, you don't wanna know. I got you right where I want. And I bet you gonna set you off. And I tell you anything you want. But baby, you don't wanna know. Baby, you don't wanna know. Hey. It beats me black and blue, but I can't resist. I'm dragging myself through this kind of masochist. But I'll be fine like this 'till the end of time. That's quite alright. Well do what you want, but don't be proud. 'Cause baby, you don't wanna know. What I'm gonna do when your not around. No, baby, you don't wanna know. I got you right where I want. And I bet you gonna set you off. And I tell you anything you want. But baby, you don't wanna know. Baby, you don't wanna know. Baby, you don't wanna know. Baby, you don't wanna know. It's alright, I don't mind. 'Cause you just might be outta time. Well do what you want, but don't be proud. 'Cause baby, you don't wanna know. What I'm gonna do when your not around. No, baby, you don't wanna know. I got you right where I want. And I bet you gonna set you off. And I tell you anything you want to hear. But baby, you don't wanna know. Baby, you don't wanna know. Baby, you don't wanna know. Baby, you don't wanna know. No, no, baby, you don't wanna know"
