eye of the tiger,"Risin' up, back on the street. Did my time, took my chances. Went the distance now I'm back on my feet. Just a man and his will to survive. So many times it happens too fast. You trade your passion for glory. Don't lose your grip on the dreams of the past. You must fight just to keep them alive. It's the eye of the tiger. It's the thrill of the fight. Rising up to the challenge of our rival. And the last known survivor. Stalks his prey in the night. And he's watching us all. With the eye of the tiger. Face to face, out in the heat. Hangin' tough, stayin' hungry. They stack the odds still we take to the street. For the kill, with the skill to survive. It's the eye of the tiger. It's the thrill of the fight. Rising up to the challenge of our rival. And the last known survivor. Stalks his prey in the night. And he's watching us all. With the eye of the tiger. Risin' up, straight to the top. Had the guts, got the glory. Went the distance, now I'm not gonna stop. Just a man and his will to survive. It's the eye of the tiger. It's the thrill of the fight. Rising up to the challenge of our rival. And the last known survivor. Stalks his prey in the night. And he's watching us all. With the eye of the tiger. The eye of the tiger. The eye of the tiger. The eye of the tiger. The eye of the tiger"
burning heart,"Two worlds collide - rival nations,. It's a primitive clash - venting years of frustrations,. Bravely we hope against all hope -. there is so much at stake.. Seems our freedom's up against the ropes.. Does the crowd understand?. Is a East versus West, or man against man,. Can any nation stand - alone.. *In the burning heart - just about to burst,. There's a quest for answers, an unquenchable thirst,. In the darkest night - rising like a spire,. In the burning heart. the unmistakable fire.*. In the warriors code - there's no surrender,. Though his body says stop - his spirit cries - never!. Deep in our soul a quiet ember,. Knows it's you against you, it's the. Paradox that drives us on -. It's a battle of wills, in the heat of attack,. It's the passion that kills -. The victory is yours alone.. (* Repeat)"
high on you,"There you stood, that'll teach ya. To look so good and feel so right. Let me tell you about the girl I met last night. It's understood. I had to reach her. I let the wheel of fortune spin. I touched your hand before the crowd. Started rushin' in. Now I'm higher than a kite. I know I'm gettin' hooked on your love. Talkin' to myself, runnin' in the heart. Beggin' for your touch in the middle. Of the street and I. I can't stop thinking' bout you, girl. I must be living in a fantasy world. I'm so high on you. Smart and coy, a little crazy. The kinda face that starts a fight. Let me tell you 'bout the girl I had last night. Piercing eyes, like a raven. You seemed to share my secret sin. We were high before the night. Started kickin' in. Now I'm screamin' in the night. I know I'm gettin' hooked on your love. Talkin' to myself, runnin' in the heat. Beggin' for your touch in the middle. Of the street and I. I can't stop thinking' bout you, girl. I must be living in a fantasy world. I've searched the whole world over. To find a heart so true. Such complete intoxication. I'm high on you. There you stood, that'll teach ya. To look so good and feel so right. Let me tell you about the girl I met last night. Now I'm higher than a kite. I know I'm gettin' hooked on your love. Talkin' to myself, runnin' in the heat. Beggin' for your touch in the middle. Of the street and I. Chorus - I can't stop thinking 'bout you, girl. I must be living in a fantasy world. I've searched the whole world over. To find a heart so true. Such complete intoxication. I'm high on you. I'm high on you. I'm high on you"
no easy way out,"We're not indestructible,. Baby better get that straight.. I think it's unbelieveable,. How you give into the hands of fate.. Some things are worth fighting for,. some feelings never die.. I'm not asking for another chance,. I just wanna know why.. (chorus). There's no easy way out,. There's no shortcut home.. There's no easy way out,. Giving in can't be wrong.. I don't wanna pasify you,. I don't wanna drag you down.. But I'm Feeling like a prisoner,. Like A Strange in a no-name town.. I See all the angry faces,. Afraid that could be you and me.. Talking about what might have been,. Thinking about what it used to be.. (chorus). There's no easy way out,. There's no shortcut home.. There's no easy way out,. Giving in can't be wrong.. Baby Baby we can shed this skin,. We can know how we feel inside.. Instead of going down an endless road,. Not knowing if we're dead or alive.. Some things are worth fighting for,. some feelings never die.. I'm not asking for another chance,. I just wanna know why.. (chorus). There's no easy way out,. There's no shortcut home.. There's no easy way out,. givin in, givin in, can't be wrong.. (repeat and fade)"
is this love,I've heard talk of blind devotion. Lovers through thick and thin. Lives touched with real emotion. Faithful till the bitter end. Now I must admit that the story's attractive. I've lost in far too many affairs. I've seen all the pain that the morning can bring. I need to prove to myself. This is more than a crush. Can you convince me it's not just a physical rush. (Chorus:). Is this love that I'm feelin'. Is this love that's been keepin' me up all night. Is this love that I'm feelin'. Is this love. So many nights in blind confusion. I've walked the line of love. We reach out in disillusion. When one night isn't nearly enough. Now I'd like to know that for once in my life. I'm sure of what tomorrow may bring. I've heard all your talk. Can I take it to heart. Now look me straight in the eye. 'Cause tonight is the night. We've got to ask each other if the moment is right. (Chorus). I've tread those mean streets. Blind alleys where the currency of love changes hands. All touch. No feeling just another one night stand. I need to know that there's someone who cares. Could you be the angel to answer my prayers. (Chorus)
fire makes steel,"Under the gum, the game can get rough,. I'm feeling no pain,calling it's bluff, it's bluff,. Just crossing the finish line, been breaking all the rules,. Out of the ice, the pressure can get to you.. Whatever it takes to stop the fire inside,. I'm ready to feel that breath tonight.. Cause fire makes steel, you're as hot as you feel,. When you're running on faith, it's the power that takes you over,. When they're hard on your heels, yet fire makes steel,. The hunger inside keeps driving me on.. Fire makes steel.. There's no way to take the easy way out, no,. It doesn't exist in a world full of doubt, of doubt,. A fumble I'm searching for, I say:""No pain, no gain"",. You do it your way, I do it mine.. Whatever it takes to stop the fire inside,. I'm ready to feel that breath tonight.. Cause fire makes steel, you're as hot as you feel,. When you're running on faith, it's the power that takes you over,. When they're hard on your heels, yet fire makes steel,. The hunger inside keeps driving me on.. Don't you know!. Cause fire makes steel, you're as hot as you feel,. When you're running on faith, it's the power that takes you over,. When they're hard on your heels, yet fire makes steel,. The hunger inside keeps driving me on.. Cause fire makes steel, you're as hot as you feel,. When you're running on faith, it's the power that takes you over,. When they're hard on your heels, yet fire makes steel,. When you're running on faith, it's the power that takes you over,. It's the power that takes you over, yeah!"
i can't hold back,"There's a story in my eyes. Turn the pages of desire. Now it's time to trade those dreams. For the rush of passion's fire. I can feel you tremble when we touch. And I feel the hand of fate. Reaching out to both of us. I've been holding back the night. I've been searching for a clue from you. I'm gonna try with all my might. To make this story line come true. Can ya feel me tremble when we touch?. Can ya feel the hands of fate?. Reaching out to both of us. This love affair can't wait. I can't hold back, I'm on the edge. I can't hold back. You voice explodes inside my head. I can't hold back, I won't back down. Girl, it's too late to turn back now. Another shooting star goes by. And in the night the silence speaks to you and I. And now the time has come at last. Don't let the moment run too fast. I can feel you tremble when we touch. And I feel the hand of fate. Reaching out to both of us. And there's a story in my eyes. Turn the pages of desire. Now it's time to trade those dreams. For the rush of passion's fire. I can't hold back, I'm on the edge. I can't hold back. You voice explodes inside my head. I can't hold back, I won't back down. Girl, it's too late to turn back now. I can feel you tremble when we touch. And I feel the hand of fate. Reaching out to both of us. This love affair can't wait. I can't hold back, I can't hold back. I can't hold back, I can't hold back. I can't hold back"
didn't know it was love,"It felt so easy in the morning sun. When love was in season I was on the run. I was lookin' for trouble and the thrill of the chase. Love was lookin' at me eye to eye, face to face. One touch should've told me, try and understand. Love was always a long shot to a gambling man. With a roll of the dice, girl I threw it away. Now I'm thinkin' 'bout you day and night, night and day. *Didn't know it was love. Didn't know it was fate. Didn't know it was destiny callin'. Tell me it's never too late. Was I too blind to see. When push came to shove. You were all that I needed. Didn't know it was love*. Wasn't blind to the magic, you think I'm so tough. Turning back on the thunder just ain't good enough. I keep trying to shake you, there just ain't no way. Now I'm thinkin' 'bout you day and night, night and day. (* Repeat). Those crazy nights on the borderline. Did my best to cut myself free. Stood alone, just a prisoner. Never knew you were holdin' the key. (* Repeat)."
reach,"Beyond the new horizon,. Destiny lost and found,. You're gonna have it all somehow,. Waiting for your arrival,. Only a moment now,. In the blink of an eye it all comes down,. And nothing is easy,. And nothing is free,. You got to take one step at a time.. Reach... Out to reach your dream,. Never stop believing,. Nothing can hold you down,. Yeah, reach... Out with all your heart,. Shout out through the dark,. And soon it will come around,. Out of the ashes falling,. Into the open sky,. Like the tide it's rising you and I,. And like an eagle soaring,. Flying so wild and free,. There are no chains around you and me,. Nothing is easy,. And nothing is free,. Follow the vision only you can see.. . Reach... Out to reach your dream,. Never stop believing,. Nothing can hold you down,. Yeah, reach... Out with all your heart,. Shout out through the dark,. And soon it will come around.. There is no limit to the sky,. Don't let one minute pass you by,. With all that you've been giving,. Give it up while you're still living,. Yeah, yeah.. Reach... Out to reach your dream,. Never stop believing. Nothing can hold you down,. Reach...out with all your heart,. Shout out through the dark,. And soon it will come around,. Oh, reach... Out to reach your dream,. Never stop believing,. Nothing can hold you down,. Reach... Out with all your heart,. Shout out through the dark,. And soon it will come around."
don't give up,"It’s hard to see, and harder to do,. It’s easy to walk away and say the game is through,. It’s up to me, and it comes down to you,. It’s easy to throw it all away for something new.. Don’t give up, don’t let go,. Till we give it all we’ve got we’ll never know,. Don’t give up.. Don’t you know, it’s taking its toll. Sometimes the road will lead us where we’d never go. Look in my eyes and into my heart. With all of the time that’s come and gone, we’ve come so far. Don’t give up, don’t let go. Till we give it all we’ve got we’ll never know. Don't Give Up. Don’t give up, hold on tight,. Nothing is easy when it’s real, it feels so right. Yeah!. Don’t give up.. Sometimes it takes so long,. To know what’s right or wrong but if you,. Believe enough, it’s all you’ll ever need.. Don’t give up. Don’t give up, hold on tight. Nothing is easy when it’s real, it feels so right. Yeah!. Don’t give up. Don’t give up. Don’t give up,. Nothing is easy when it’s real, it feels so right. Don’t give up. Don’t give up. Don’t give up. Don’t give up"
