dare you to move,Welcome to the planet. Welcome to existence. Everyone's here. Everyone's here. Everybody's watching you now. Everybody waits for you now. What happens next. What happens next. I dare you to move. I dare you to move. I dare you to lift yourself up off the floor. I dare you to move. I dare you to move. Like today never happened. Today never happened before. Welcome to the fallout. Welcome to resistance. The tension is here. The tension is here. Between who you are and who you could be. Between how it is and how it should be. I dare you to move. I dare you to move. I dare you to lift yourself up off the floor. I dare you to move. I dare you to move. Like today never happened. Today never happened. Maybe redemption has stories to tell. Maybe forgiveness is right where you fell. Where can you run to escape from yourself?. Where you gonna go?. Where you gonna go?. Salvation is here. I dare you to move. I dare you to move. I dare you to lift yourself up off the floor. I dare you to move. I dare you to move. Like today never happened. Today never happened. Today never happened. Today never happened before
only hope,There's a song that's inside my soul. It's the one that I've tried to write over and over again. I'm awake in the infinite cold. But you sing to me over and over again. So I lay my head back down. And I lift my hands and pray to be only yours. I pray to be only yours. I know now you're my only hope. Sing to me the songs of the stars. Of your galaxy dancing and laughing and laughing again. When I feel like my dreams are so far. Sing to me of the plans that you have for me over again. So I lay my head back down. And I lift my hands and pray to be only yours. I pray to be only yours. I know now you're my only hope. I give you my destiny. I'm giving you all of me. I want your symphony. Singing in all that I am. At the top of my lungs I'm giving it back. So I lay my head back down. And I lift my hands and pray to be only yours. I pray to be only yours. I pray to be only yours. I know now you're my only hope
prodigal soul,"The sun comes up alone. Like a funeral for my home. Like a mirror for my soul. But I should've known better. I was feeling like skin and bones. I kept chasing after these ghost. I kept giving up these hopes. When I found your letter. I am Yours and Yours alone. Forgive me for my wandering on my own. I'm a prodigal soul. And I want to come home. I can't make it alone. Won't You bring me home?. Tried to start on something new. Tried to blame myself on You. But my nightmares all came true. I felt so unsteady. I still see Your face when I close my eyes and. I think about You wide awake at night and. How far do I have to go to realize. What I know already. I am Yours and Yours alone. Forgive me for my wandering on my own. I'm a prodigal soul. I was running on empty. I was feeling so low. When You made me a promise. To never let me go. I was falling to pieces. When You carried me home. When You told me you loved me. And my prodigal soul. In my dreams, all is forgiven. In my dreams, I'm by Your side. But when I wake up somethings missing. Can You free me from my prodigal soul?. Won't You bring me home?"
let it happen,"This life is hollow and mostly borrowed. The voices are screaming but where is the meaning?. Noisy crescendos behind closed windows. The floor is a ceiling, I can't find the feeling. Oh, tell me, love, tell me. Am I dreaming, and where is the meaning?. Oh, tell me, love. Let it happen, let it happen. Tomorrow knows what tomorrow knows. You can't make it get here sooner. Let it happen, let it happen. I don't hold what the future holds. But I know you're my future. The fever is breaking, my body is aching. What's with defending if everything's ending?. The current is endless, the river relentless. Love, tell me, love. Oh, am I dreaming, and what is the meaning?. Love, tell me, love, tell me. Let it happen, let it happen. Tomorrow knows what tomorrow knows. You can't make it get here sooner. Let it happen, let it happen. I don't hold what the future holds. But I know you're my future. Let it happen, let it happen. Tomorrow knows what tomorrow knows. You can't make it get here sooner. Let it happen, let it happen. I don't hold what the future holds. But I know you're my future"
oxygen,"You were there at the door. You said ""I don't know how to say this. But I want more. I don't know how you're gonna take this. ”. And my mind went sore. And my body went weightless. I couldn't find the floor. I couldn't find the floor. And you walked away. And I saw fireworks imploding. Frame by frame. Like watching a movie in slow motion. From miles away. Up like a rocket ship ascends. Drifting up into space. And I'm running out of oxygen. Can't go back to the first. Losing stories like leap year. Fake smiles and worse. Just a ghost left to be near. I'm not sure how this works. What do you want me to say, dear?. All I know is it hurts. All I know is it hurts. I'm drifting out of the hemisphere. So far away. All of the memories disappear. And start to fade away"
learning to breathe,"Hello, good morning, how you doin'?. What makes your risin' sun so new?. I could use a fresh beginning too. All of my regrets are nothing new. So this is a way, that I say I need you. This is a way. This is a way that I'm learning to breathe. I'm learning to crawl. I'm finding that you and you alone. Can break my fall. I'm living again, awake and alive. I'm dying to breathe in these abundant skies. Hello, good moring, how you been?. Yesterday left my head kicked in. I never, never thought that. I would fall like that. Never knew that I could hurt this bad. I'm learning to breathe. I'm learning to crawl. I'm finding that you and you alone. Can break my fall. I'm living again, awake and alive. I'm dying to breathe in these abundant skies. These abundant skies. Yeah, abundant skies, yeah. This is a way that I say I need you. This is a way that I say I love you. This is a way that I say I'm yours. This is a way. This a the way that I'm learning to breathe. I'm learning to crawl. I'm finding that you and you alone. Can break my fall. I'm living again, awake and alive. I'm dying to breathe in these abundant skies. These abundant skies, yeah, yeah, yeah, yeah. I'm learning to breathe. I'm dying to breathe in thes abundant skies. Hello, good morning, how you doin'?"
all i need,"Sometimes I feel so small. Like a picture on your wall. Like Im hanging on just to fall. No matter how I try. So love sing to me gentle. That Im more than accidental. More than just inconsequential. Burning out tonight. All I need is the air I breathe. The time we share. And the ground beneath my feet. All I need is the love that I believe in. Tell me love, do you believe in me. Theres a place down by the ocean. Where I take my mixed emotions. When my souls rocked by explosions. Of these tired times. Where love sings to me slowly. Even when I feel low and lonely. Even when the road feels like. The only friend of mine. One light. One goal. One feeling in my soul. One fight. One hope. One twisting rope. Im ready to run where the ocean meets the sky"
your love is a song,"I hear you breathing in. Another day begins. The stars are falling out. My dreams are fading now, fading out. I've been keeping my eyes wide open. I've been keeping my eyes wide open. Your love is a symphony. All around me. Running through me. Your love is a melody. Underneath me. Running to me. Your love is a song. The dawn is fire bright. Against the city lights. The clouds are clowing now. The moon is blacking now,is blacking out. I've been keeping my mind wide open. I've been keeping my mind wide open. Your love is a song. With my eyes wide open. I've got my eyes wide open. I've been keeping my hopes unbroken"
you,"There's always something in the way. There's always something getting through,. but it's not me. It's You. It's You. Sometimes ignorance rings true,. but hope is not in what I know,. not in me. It's in You. It's in You. It's all I know. It's all I know. It's all I know. I find peace when I'm confused. I find hope when I'm let down,. not in me. It's in You. It's in You. I hope to lose myself for good. I hope to find it in the end. not in me. In You. In You. It's all I know. It's all I know. It's all I know. In You. In You. It's in You. In You. There's always something in the way. There's always something getting thorugh,. but it's not me. it's You. it's You. it's You..... (It's all I know)"
this is your life,Yesterday is a wrinkle on your forehead. Yesterday is a promise that you've broken. Don't close your eyes. Don't close your eyes. This is your life and today is all you've got now. And today is all you'll ever have. Don't close your eyes. Don't close your eyes. This is your life. Are you who you want to be. This is your life. Are you who you want to be. This is your life. Is it everything you've dreamed it would be. When the world was younger. And you had everything to lose. Yesterday is a kid in the corner. Yesterday is dead and over. This is your life. Are you who you want to be. This is your life. Are you who you want to be. This is your life. Is it everything you've dreamed it would be. When the world was younger. And you had everything to lose. Don't close your eyes. Don't close your eyes. Don't close your eyes (don't close your eyes). Don't close your eyes. This is your life. Are you who you want to be. This is your life. Are you who you want to be. This is your life. Are you who you want to be (who you want to be). This is your life. Are you who you want to be (who you want to be). This is your life. Is it everything you've dreamed it would be. When the world was younger. And you had everything to lose. And you had everything to lose
