toxicity,"Conversion, software version 7.0. Looking at life through the eyes of a tire hub,. Eating seeds as a past time activity,. The toxicity of our city, of our city,. Now, what do you own the world?. How do you own disorder, disorder,. Now, somewhere between the sacred silence,. Sacred silence and sleep,. Somewhere, between the sacred silence and sleep,. Disorder, disorder, disorder.. More wood for their fires, loud neighbors,. Flashlight reveries. Caught in the headlights of a truck,. Eating seeds as a past time activity,. The toxicity of our city, of our city,. You, what do you own the world?. How do you own disorder, disorder,. Now, somewhere between the sacred silence,. Sacred silence and sleep,. Somewhere, between the sacred silence and sleep,. Disorder, disorder, disorder.. You, what do you own the world?. How do you own disorder, disorder. Now, somewhere between the sacred silence,. Sacred silence and sleep,. Somewhere, between the sacred silence and sleep,. Disorder, disorder, disorder.. When I became the sun,. I shone life into the man's hearts,. When I became the sun,. I shone life into the man's hearts."
chop suey,"Wake up (Wake up). Grab a brush and put a little make up. Hide the scars to fade away the shake up. (Hide the scars to fade away). Why'd you leave the keys up on the table?. Here you go create another fable. You wanted to. Grab a brush and put on a little makeup. You wanted to. Hide the scars to fade away the shake up. You wanted to. Why'd you leave the keys up on the table?. You wanted to. I don't think you trust. In my self-righteous suicide. I cry when angels deserve to die!. (Ahh). Wake up, (wake up). Grab a brush and put a little makeup. Hide the scars to fade away the shake up. (Hide the scars to fade away). Why'd you leave the keys up on the table?. Here you go create another fable. You wanted to. Grab a brush and put on a little makeup. You wanted to. Hide the scars to fade away the shake up. You wanted to. Why'd you leave the keys up on the table?. You wanted to. I don't think you trust in my. Self-righteous suicide. I cry when angels deserve to die. In my self-righteous suicide. I cry when angels deserve to die. Father! (Father!). Father! (Mother!). Father! (Brother!). Father! (Fuck You!). Father, into your hands. I commend my spirit. Father, into your hands. Why have you forsaken me?. In your eyes, forsaken me. In your thoughts, forsaken me. In your heart, forsaken me. Trust in my self righteous suicide. I cry when angels deserve to die. In my self righteous suicide. I cry when angels deserve to die."
aerials,"Life is a waterfall. We're one in the river,. and one again after the fall. Swimming through the void. we hear the word. We lose ourselves but we find it all. Cause we are the ones that want to play. Always want to go but you never want to stay. And we are the ones that want to choose. Always want to play but you never want to lose. Aerials In the sky. When you lose small mind you free your life. Life is a waterfall. We drink from the river. then we turn around and put up our walls. Swimming through the void we hear the word. We lose ourselves but we find it all. Cause we are the ones that want to play. Always want to go but you never want to stay. And we are the ones that want to choose. Always want to play but you never want to lose. Oh!. Aerials. In the sky. When you lose small mind you free your life. Aerials. So up high. When you free your eyes eternal prize. Aerials. In the sky. When you lose small mind you free your life. Aerials. So up high. When you free your eyes eternal prize. (whispers)"
b.y.o.b.,Why do they always send the poor. Barbarisms by Barbaras. With pointed heels. Victorious victories kneel. For brand new spankin' deals. Marching forward hypocritic and. Hypnotic computers. You depend on our protection. Yet you feed us lies from the tablecloth. Everybody's going to the party have a real good time. Dancing in the desert blowing up the sunshine. Kneeling roses disappearing into. Moses' dry mouth. Breaking into Fort Knox stealing. Our intentions. Hangers sitting dripped in oil. Crying freedom. Handed to obsoletion. Still you feed us lies from the tablecloth. Everybody's going to the party have a real good time. Dancing in the desert blowing up the sunshine. Everybody's going to the party have a real good time. Dancing in the desert blowing up the sunshine. Blast off. It's party time. And we don't live in a fascist nation. Blast off. It's party time. And where the fuck are you?. Where the fuck are you?. Where the fuck are you?. Why don't presidents fight the war?. Why do they always send the poor?. Why don't presidents fight the war?. Why do they always send the poor?. Why do they always send the poor?. Why do they always send the poor?. Why do they always send the poor?. Kneeling roses disappearing into. Moses' dry mouth. Breaking into Fort Knox stealing. Our intentions. Hangers sitting dripped in oil. Crying freedom. Handed to obsoletion. Still you feed us lies from the tablecloth. Everybody's going to the party have a real good time. Dancing in the desert blowing up the sunshine. Everybody's going to the party have a real good time. Dancing in the desert blowing up the sun. Where the fuck are you?. Where the fuck are you?. Why don't presidents fight the war?. Why do they always send the poor?. Why don't presidents fight the war?. Why do they always send the poor?. Why do they always send the poor?. Why do they always send the poor?. Why do they always send the poor?. They always send the poor. They always send the poor
lonely day,Such a lonely day. And it's mine. The most loneliest day of my life. Such a lonely day. Should be banned. It's a day that I can't stand. The most loneliest day of my life. The most loneliest day of my life. Such a lonely day. Shouldn't exist. It's a day that I'll never miss. Such a lonely day. And it's mine. The most loneliest day of my life. And if you go. I wanna go with you. And if you die. I wanna die with you. Take your hand. And walk away. The most loneliest day of my life. The most loneliest day of my life. The most loneliest day of my life. Such a lonely day. And it's mine. It's a day that I'm glad I survived
hypnotize,Why don't you ask the kids at Tiananmen Square?. Was fashion the reason why they were there?. They disguise it hypnotize it. Television made you buy it. I'm just sitting in my car. And waiting for my. She's scared that I will take her away from there. Her dreams and her country left with no one there. Mesmerize the simple minded. Propaganda leaves us blinded. I'm just sitting in my car. And waiting for my girl. I'm just sitting in my car. And waiting for my girl. I'm just sitting in my car. And waiting for my girl. I'm just sitting in my car. And waiting for my girl. . (fonte: site oficial)
soldier side,"Dead men lying on the bottom of the grave. Wondering when Savior comes. Is he gonna be saved. Maybe you're a sinner into your alternate life. Maybe you're a joker, maybe you deserve to die. They were crying when their sons left. God is wearing black. He's gone so far to find no hope. He's never coming back. They were crying when their sons left. All young men must go. He's come so far to find the truth. He's never going home. Young men standing on the top of their own graves. Wondering when Jesus comes. Are they gonna be saved. Cruelty to the winner, Bishop tells the King his lies. Maybe you're a mourner, maybe you deserve to die. They were crying when their sons left. God is wearing black. He's gone so far to find no hope. He's never coming back. They were crying when their sons left. All young men must go. He's come so far to find no truth. He's never going home. Welcome to the Soldier Side. Where there's no one here but me. People all grow up to die. There is no one here but me. Welcome to the Soldier Side. Where there's no one here but me. People on the soldier's side. There is no one here but me"
roulette,"I have a problem but I cannot explain. I have no reasons why it should have been so plain,. Have no questions but I sure have excuse. I lack the reason why I should be so confused,. I, I know, how I feel when I'm around you,. I don't know, how I feel when I'm around you,. Around you,. Left a message but it ain't a bit of use,. I have some pictures, the wild might be the deuce,. Today you saw me, you saw me, you explained,. Playing the show and running down the plane,. I know, how I feel when I'm around you,. I don't know, how I feel when I'm around you,. I know, how I feel when I'm around you,. I don't know, how I feel when I'm around you,. Around you,. I know, how I feel when I'm around you,. I don't know, how I feel when I'm around you,. I know, how I feel when I'm around you,. I don't know, how I feel when I'm around you,. Around you, Around you, Around you..."
spiders,"The piercing radiant moon,. The storming of poor June,. All the life running through her hair,. Approaching guiding light,. Our shallow years in fright,. Dreams are made winding through my head,. Through my head,. Before you know, Awake,. Your lives are open wide,. The V-chip gives them sight,. All the life running through her hair,. The spiders all in tune,. The evening of the moon,. Dreams are made winding through my head,. Through my head,. Before you know, Awake. (SOLO). Through my head,. Before you know,. Before you know I will be waiting all awake,. Dreams are made winding through her hair,. Dreams are made winding through her hair"
sugar,"The kombucha mushroom people,. Sitting around all day,. Who can believe you,. Who can believe you,. Let your mother pray, (sugar). Well I'm not there all the time you know. Some people, some people, some people,. Call it insane, yeah they call it insane, (sugar). I play Russian roulette everyday, a man's sport,. With a bullet called life, yeah mama called life,. (sugar). You know that every time I try to go. Where I really want to be,. It's already where I am,. Cause I'm already there?.(sugar). The kombucha mushroom people,. Sitting around all day,. Who can believe you,. Who can believe you,. Let your mother pray, (sugar). I got a gun the other day from Sako,. It's cute, small, fits right in my pocket,. Yeah, right in my pocket, (sugar). My girl, you know, she lashes out at me sometimes,. And I just kick her, and then she's O.K., she's O.K.(sugar). People are always chasing me down,. Trying to push my face to the ground,. Where all they really want to do,. Is suck out my mother fucking brains, my brains (sugar).. The kombucha mushroom people,. Sitting around all day,. Who can believe you,. Who can believe you,. Let your mother pray~,. I sit, in my desolate room,. no lights, no music,. Just anger, I've killed everyone,. I'm away forever, but I'm feeling better,. How do I feel, What do I say,. Fuck you, it all goes away,. How do I feel, What do I say,. Fuck you, it all goes away,. How do I feel, What do I say,. In the end it all goes away,. How do I feel, What do I say,. In the end it all goes away,. How do I feel, What do I say,. In the end it all goes away,. How do I feel, What do I say,. In the end it all goes away,. How do I feel, What do I say,. In the end it all goes away,. How do I feel, What do I say,. In the end it all goes away,. In the end it all goes away,. In the end it all goes away,. In the end it all goes away,. In the end it all goes away."
question!,"Sweet berries ready for two. Ghosts are no different than you. Ghosts are now waiting for you. Are you. Sweet berries ready for two. Ghosts are no different than you. Ghosts are now waiting for you. Are you dreaming. Dreaming the night. Dreaming all right. Do we, do we know. When we fly. When we, when we go. Do we die. Sweet berries ready for two. Ghosts are no different than you. Ghosts are now waiting for you. Are you. Sweet berries ready for two. Ghosts are no different than you. Ghosts are now waiting for you. Are you dreaming. Dreaming the night. Dreaming all right. Do we, do we know. When we fly. When we, when we go. Do we die. Do we, do we know. When we fly. When we, when we go. Do we die"
atwa,"nenanenaneee. nenanananaaa. Hey you. See me?. Pictures crazy. All the world I've seen before me passing by. I've got nothing to gain, to lose. All the world I've seen before me passing by. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. Anymore. Nananana nananana nanana. Hey you, are me. Not so pretty. All the world I've seen before me passing by. Silent my voice. I've got no choice. All the world I've seen before me passing by. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. I don't see. Anymore. I don't hear. Anymore. I don't speak. Anymore. I don't feel. Nananana nananana nanana. Nananana nananana nanana. Hey you. See me?. Pictures crazy. All the world I've seen before me passing by. I've got nothing to gain to lose. All the world I've seen before me passing by. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. You don't care about how I feel. I don't feel it anymore. I don't sleep. Anymore. I don't eat. Anymore. I don't live. Anymore. I don't feel"
radio/video,Hey man look at me rockin' out. I'm on the radio. Hey man look at me rockin' out. I'm on the video. Hey man look at me rockin' out. I'm on the radio. Hey man look at me rockin' out. I'm on the video with Danny and Lisa. They take me away from. The strangest places. Sweet Danny and Lisa. They take me away from. They take me away from. The strangest places. Sweet Danny and Lisa. They take me away from. Hey man look at me rockin' out. I'm on the radio. Hey man look at me rockin' out. I'm on the video with Danny and Lisa. They take me away from. The strangest places. Sweet Danny and Lisa. They take me away from. They take me away from. The strangest places. Sweet Danny and Lisa. They take me away from. Hey man look at me rockin' out. I'm on the radio. Hey man look at me rockin' out. I'm on the video with Danny and Lisa. They take me away from. The strangest places. Sweet Danny and Lisa. Hey man look at me rockin' out. I'm on the radio. Hey man look at me rockin' out. I'm on the video. Hey man look at me rockin' out. I'm on the radio. Hey man look at me rockin' out. I'm on the video with Danny and Lisa
lost in hollywood,"I'll wait here. You're crazy. Those vicious streets are filled with strays. You should've never gone to Hollywood. They find you. Two-time you. Say you're the best they've ever seen. You should've never trusted Hollywood. I wrote you. And told you. You were the biggest fish out here. You should've never gone to Hollywood. They take you. And make you. They look at you in disgusting ways. You should've never trusted Hollywood. I was standing on the wall. Feeling ten feet tall. All you maggots. Smoking fags on Santa Monica Blvd.. This is my front page. This is my new age. All you bitches put your hands in the air. And wave them like you just don't care. All you maggots. Smoking fags out there on Sunset Blvd.. All you bitches put your hands in the air. And wave them like you just don't care. Phony people come to pray. Look at all of them beg to stay. Phony people come to pray. (The lines in the letter said. ""We have gone to Hackensack""). Look at all of them beg to stay. Phony people come to pray. All you maggots. Smoking fags on Santa Monica Blvd.. All you maggots. Smoking fags out there on Sunset Blvd.. All you maggots. Smoking fags out there on Hollywood Blvd.. You should've never trusted Hollywood. You should've never gone to Hollywood. All you bitches put your hands in the air. And wave them like you just don't care. You should've never trusted Hollywood"
attack,"Breathing each other's lives. Holding this in mind. That if we fall, we all fall. And we fall alone. The cold insincerity of steel machines. Have consumed our euphoria. Transforming us into muted dreams. Dreaming of the day that. We attack. Attack, attack your fetal servitude. We attack. Attack, attack, attack with pesticide. We attack. All the years of propaganda. We shall attack. Books illustrate what we already know. Candles cry towards the sky. Racing your flags along polluted coasts. Dreaming of the day that. We attack. Attack, attack your fetal servitude. We attack. Attack, attack, attack with pesticide. We attack. All the years of propaganda. We shall attack. Attack. Attack. Breathing each other's lives. Holding this in mind. That if we fall, we all fall. And we fall alone. Breathing each other's lives. Holding this in mind. That if we fall, we all fall. And we fall alone. What's the philosophy of displaced mines. The bombing of all homes and villages. Truth is the only sword bleeding minds. Bleeding till the day that. We attack. Attack, attack your fetal servitude. We attack. Attack, attack, attack with pesticide. We attack. All the years of propaganda. We shall attack. Attack all the homes and villages. Attack all the schools and hospitals. You attack all the rapes and pillages. We shall attack. We shall attack. . (fonte: site oficial)"
dreaming,"For today we will take the body parts. and put them on the wall. For treated indigenously, digenously. Human right is private blue chip, pry. We're the prophetic generation. of bottled water, bottled water. Causing poor populations to die, to die, to die. (For treated indigenously, digenously). (Human right is private blue chip, pry). You, you went beyond and you lost it all. Why did you go there From. beyond you saw it all. why did you. We lost consumer confidence in casual karma. casual karma. Confetti, camouflage, camouflage, the flage, the flage. (For treated indigenously, digenously). (Human right is private blue chip, pry). We're the prophetic generation. of bottled water, bottled water. Causing poor populations to die, to die, to die. (For treated indigenously, digenously). (Human right is private blue chip, pry). You, you went beyond and you lost it all. Why did you go there. From beyond you saw it all why did you go there. She lost her mind. Someone kicked her into the back of the line. She lost her head. When they called and they said. that they thought he was dead. Dreaming of screaming. Someone kick me out of my mind. I hate these thoughts I can't deny. Dreaming of screaming. Someone kick me out of my mind. I hate these thoughts I can't de. We lost consumer confidence in casual karma, casual karma. Confetti, camouflage, camouflage, the flage, the flage. (For treated indigenously, digenously). (Human right is private blue chip, pry). We're the prophetic generation. of bottled water, bottled water. Causing poor populations to die, to die, to die. (For treated indigenously, digenously). (Human right is private blue chip, pry). You, you went beyond and you lost it all. Why did you go there. From beyond you saw it all. why did you. Dreaming of screaming. Someone kick me out of my mind. I hate these thoughts I can't deny. Dreaming of screaming. Someone kick me out of my mind. I hate these thoughts I can't deny. You will take the body parts and put them up on the wall. And bring the dark disaster"
violent pornography,"Everybody, everybody, everybody livin' now. Everybody, everybody, everybody fucks. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody sucks. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody cries. Everybody, everybody, everybody livin' now. Everybody, everybody dies. It's a non-stop disco. Bet you it's Nabisco. Betcha didn't know. It's a non-stop disco. Bet you it's Nabisco. Betcha didn't know. It's a non-stop disco. Betcha didn't know. Betcha didn't know. It's a non-stop disco. Betcha didn't know. Betcha didn't know. Betcha didn't know. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody fucks. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody sucks. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody dies. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody cries. It's a non-stop disco. Bet you it's Nabisco. Betcha didn't know. It's a non-stop disco. Bet you it's Nabisco. Betcha didn't know. It's a non-stop disco. Betcha didn't know. Betcha didn't know. It's a non-stop disco. Betcha didn't know. Betcha didn't know. Betcha didn't know. It's a violent pornography. Choking chicks and sodomy. The kinda shit you get on your TV. It's a violent pornography. Choking chicks and sodomy. The kinda shit you get on your TV. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody sucks. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody fucks. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody dies. Everybody, everybody, everybody livin' now. Everybody, everybody, everybody dies. It's a non-stop disco. Bet you it's Nabisco. Betcha didn't know. It's a non-stop disco. Bet you it's Nabisco. Betcha didn't know. It's a non-stop disco. Betcha didn't know. Betcha didn't know. It's a non-stop disco. Betcha didn't know. Betcha didn't know. Betcha didn't know. It's a violent pornography. Choking chicks and sodomy. The kinda shit you get on your TV. It's a violent pornography. Choking chicks and sodomy. The kinda shit that's on your TV. It's a violent pornography. Choking chicks and sodomy. The kinda shit thatÕs on you TV. It's on the TV. Fuck. Turn off you TV. Can you say ""brainwashing?"". It's a non-stop disco"
holy mountains,"Can you feel their haunting presence?. Can you feel their haunting presence?. Liar, Killer, Demon. Back to the river Aras. Someone's blank stare deemed it warfare. Liar, Killer, Demon. Back to the river Aras. Freedom, Freedom, Free, Free. Can you hear the holy mountains?. Liar, Killer, Demon. Back to the river Aras. Someone's mouth said paint them all red. Liar, Killer, Demon. Back to the river Aras. Freedom, Freedom, Free, Free. They have all returned. Resting on the mountainside. We have learned that you have no. They have returned. Resting on the mountainside. We have learned that you have no. Honor, Murderer, Sodomizer. Back to the river Aras. They have returned. Resting on the mountainside. We have learned that you have no. Honor, Murderer, Sodomizer. Back to the river Aras. Freedom, Freedom, Free, Free"
revenga,"Poisoning a drink. Bleeding in a sink. Choking with a link. Killing with a stink. Just your mother's. HO. Bleeding in a sink. Poisoning a drink. Burning up. My sweet Clementine. Trampling a shrink. Bleeding in a sink. Halleluiah wink. Getting on the brink. Just your mother's. HO. Halleluiah wink. Murdering a shrink. Burning up. On my sweet revenge. Will be yours for the taking. It's in the making baby. My sweet revenge. Will be yours for the taking. It's in the making baby. Killing with a stink. Bleeding in a sink. Poisoning a drink. Getting on the brink. Just your mother's. HO. Bleeding in a sink. Trampling a shrink. Burning up. My sweet Clementine. Poisoning a drink. Bleeding in a sink. Choking with a link. Killing with a stink. Just your mother's. HO. Poisoning a drink. Bleeding in a sink. Burning up. My sweet revenge. Will be yours for the taking. It's in the making baby. My sweet revenge. Will be yours for the taking. It's in the making baby. I saw her laugh. Then she said, ""Go away"". I saw her laugh. Then she said, then she said,. ""Go away, away"". My sweet revenge. Will be yours for the taking. It's in the making baby. My sweet revenge. Will be yours it's in the making. It's in the taking, making, baking, taking, faking. HO, My sweet Clementine. HO. Shoulda been coulda been. Woulda been woulda been you"
i-e-a-i-a-i-o,"Peter's pecker picked another. Pickle bearing pussy pepper,. Peter's pecker picked another. Pickle bearing pussy pepper, Why.. Meeting John at Dale's Jr.. Winked an eye and point a finger,. Meeting John at Dale's Jr.. Winked an eye and point a finger, Why.. A former cop, undercover,. Just got shot, now recovered,. A former cop, undercover,. Just got shot, now recovered, Why.. Fighting crime, with a partner,. Lois Lane, Jimmy Carter,. Fighting crime, with a partner,. Lois Lane, Jimmy Carter, (siren).. I - E - A - I - A - I - O. I - E - A - I - A - I - O, Why. And we light up the sky.. Peter's pecker picked another. Pickle bearing pussy pepper,. Peter's pecker picked another. Pickle bearing pussy pepper, Why.. Meeting John at Dale's Jr.. Winked an eye and point a finger,. Meeting John at Dale's Jr.. Winked an eye and point a finger, Why.. A former cop, undercover,. Just got shot, now recovered,. A former cop, undercover,. Just got shot, now recovered, Why.. Fighting crime, with a partner,. Lois Lane, Jimmy Carter,. Fighting crime, with a partner,. Lois Lane, Jimmy Carter, (siren).. I - E - A - I - A - I - O. I - E - A - I - A - I - O, Why. And we light up the sky.. I - E - A - I - A - I - O. I - E - A - I - A - I - O, Why. And we light up the sky.. Mine delusions acquainted,. Bubbles erotica,. Plutonium wedding rings,. Icicles stretching,. Bicycles, shoestrings,. One flag, flaggy but one,. Painting the paintings of the alive.. I - E - A - I - A - I - O. I - E - A - I - A - I - O, Why. And we light up the sky.. I - E - A - I - A - I - O. I - E - A - I - A - I - O, Why. And we light up the sky."
forest,"Walk with me my little child. Through the forest of denial. Speak with me my only mind. Walk with me until the time. And make the forest turn to wine. You take the legend for a fall. You saw the product. Why can't you see that you are, my, child. Why don't you know that you are, my, mind. Tell everyone in the world, that I'm, you. Take this promise to the end, of, you. Walk with me my little friend. Take this promise to the end. Speak with me my only mind. Walk with me until the end. And make the forest turn to sand. You take the legend for a fall. You saw the product. Why can't you see that you are, my, child. Why don't you know that you are, my, mind. Tell everyone in the world, that I'm, you. Take this promise to the end, of, you. Take this promise for a ride. You saw the forest now come inside. You took the legend for its fall. You saw the product of it all. No televisions in the air. No circumcisions on the chair. You made the weapons for us all. Just look at us now. Why can't you see that you are, my, child. Why don't you know that you are, my, mind. Tell everyone in the world, that I'm, you. Take this promise to the end, of, you"
cigaro,"My cock is much bigger than yours. My cock can walk right through the door. With a feeling so pure. It's got you screaming back for. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. My shit stinks much better than yours. My shit stinks right down to the floor. With a feeling a feeling so pure. It's got you coming back for. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Can't you see that I love my cock. Cant you see that you love my cock. Cant you see that we love my cock. We're the regulators that deregulate. We're the animators that de-animate. We're the propagators of all genocide. Burning through the world's resources. Then we turn and hide. We're Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. We're the regulators that deregulate. We're the animators that de-animate. We're Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cool, in denial. We're the cruel regulators smoking cigaro, cigaro, cigar. Cigaro, cigaro, cigaro. My cock is much bigger than yours. My cock can walk right through the door. With a feeling so pure. It's got you screaming back for more"
sad statue,"Conquest to the lover. And your love to the fire. Permanence unfolding in the absolute. Forgiveness is the ultimate sacrifice. Eloquence belongs to the conqueror. The pictures of time and space are rearranged. In this little piece of typical tragedy. Justified candy. Brandy for the nerves. Eloquence belongs to the conqueror. You and me. We'll all go down in history. With a sad Statue of Liberty. And a generation that didn't agree. You and me. We'll all go down in history. With a sad Statue of Liberty. And a generation that didn't agree. I forgot to. I forgot to let you know that. Justified candy. Brandy for the nerves. Eloquence belongs to the conqueror. Conquest to the lover. And your love to the fire. Permanence unfolding in the absolute. Forgiveness is the ultimate sacrifice. Eloquence belongs to the conqueror. You and me. We'll all go down in history. With a sad Statue of Liberty. And a generation that didn't agree. You and me. We'll all go down in history. With a sad Statue of Liberty. And a generation that didn't agree. Generation. What is in us that turns a deaf ear. to the cries of human suffering. Suffering, suffering now. You and me. We'll all go down in history. With a sad Statue of Liberty. And a generation that didn't agree. You and me. We'll all go down in history. With a sad Statue of Liberty. And a generation that didn't agree. Generation. Belonging. Belonging to"
psycho,"Psycho, groupie, cocaine, crazy. Psycho, groupie, cocaine, crazy. Psycho groupie, cocaine, crazy. Psycho groupie coke,. Makes you high, makes you hide,. Makes you really wanna go - stop.. Psycho groupie, cocaine, crazy. Psycho groupie coke,. Makes you high, makes you hide,. Do you really want to think and stop,. Stop your eyes from flowing,. Psycho, groupie, cocaine, crazy. Psycho groupie, cocaine, crazy. Psycho groupie coke,. Makes you high, makes you hide,. Makes you really want to go - stop.. Psycho groupie, cocaine, crazy. Psycho groupie, coke,. Makes you high, makes you hide,. Do you really want to think and stop,. Stop your eyes from flowing out. So you want the world to stop,. Stop in and watch your body fully drop,. From the time you were a. Psycho, groupie, cocaine, crazy. So you want to see the show,. You really don't have to be a ho. From the time you were a. Psycho, groupie, cocaine, crazy.. Psycho groupie, cocaine, crazy. Psycho groupie coke,. Makes you high, makes you hide,. Makes you really want to go - stop.. Psycho groupie, cocaine, crazy. Psycho groupie, coke,. Makes you high, makes you hide,. Do you really want to think and stop,. Stop your eyes from flowing out. So you want the world to stop,. Rushing to watch your spirit fully drop,. From the time you were a. Psycho, groupie, cocaine, crazy. So you want to see the show,. You really don't have to be a hoe. From the time you were a. Psycho, groupie, cocaine, crazy."
