you're my angel,Looking into your eyes. I see all I want to be. And I don`t want it to end. If I could only put two words the way. I see you. I only know I have an angel with me now. And when I fall asleep. You`re all that I see. You`re in my thoughts. And all of my prayers. I wish I could be. All that you mean to me. My angel without wings. My angel. I wish you could see. All that you mean to me. But I can never find the words. to tell you. And when I fall asleep. You`re all that I see. You`re in my thoughts. And all of my prayers. I wish I could be. All that you mean to me. And when I fall asleep. You`re all that I see. You`re in my thoughts. And all of my prayers. I wish I could be. All that you mean to me. My angel without wings
ghost man on third,"Jinx me something crazy. Thinking if it's three. Then I'm as smooth as the skin. that rolls across the small of your back. Its too bad its not my style if you need me. i'm out and on the parkway. Patient and waiting for headlights dressed. in a fashion that's fitting. to the inconsistency of my moods. It's times like these when silence means everything. and, no one is to know about this. (it's times like these when silence means everything). It's a campaign of distraction and revistionist history. -It's a shame I doubt they'd even notice. 2x>. -It's a shame I doubt they'd even care. ( no one has to know about this). Don't let me down....... but whatever I had gotten myself into. lately has been slicing inches from my waste. it's my fist vs. the bottle. and thats how bad. could this hurt, oh. against I won't feel a thing. I tell you all about. it's just not working out, not working out. It's a campaign of distraction and revisionist history. It's a shame I doubt they'd even notice-. >2x. It's a shame I doubt they'd even care-. (no one has to know about this). Don't let me down........ We were taught so much better than this. Thank God you weren't there to watch me hit bottom.."
your own disaster,"just think of this and me. as just a few of the many things. to lie around,. to clutter up your shelves. and I wish you weren't worth the wait. cause there are some things. that I'd like to say to you. And I don't think that you know. what you've been missing. cause I don't think that you know. what you've been missing. and I dare you to forget. the marks you left across my neck. from those nights when we were both found at our best. now I could make this obvious and you,. you could deny me. all in one breath. you could shrug me off your shoulders. And I don't think that you know. what you've been missing. cause I don't think that you know. what you've been missing. And I don't think that you know. said I don't think that you know. said I don't think that you know. what you've been missing. hey lush, have fun. it's the weekend. hey lush, have fun. hey lush, have fun. it's the weekend. hey lush, have fun. (no I don't think that you know. what you've been missing). hey lush, have fun. it's the weekend. (no I don't think that you know. what you've been missing). hey lush, have fun. (no I don't think that you know. what you've been missing). hey lush, have fun. it's the weekend. (no I don't think that you know. what you've been missing). hey lush, have fun. [forget me, it's that simple]. (no I don't think that you know. what you've been missing). hey lush, have fun. [forget me, it's that simple]. it's the weekend. (no I don't think that you know. what you've been missing). [forget me it's that simple]. (no I don't think that you know. what you've been missing). hey lush, have fun. [forget me it's that simple]. it's the weekend. [forget me it's that simple]. (no I don't think that you know. what you've been missing). hey lush, have fun. [forget me it's that simple]. hey lush, have fun. [forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]. [just forget me it's that simple]."
cute without the 'e',"Your lipstick, his collar.. don't bother Angel. I know exactly what goes on. When everything you'll get is. everything that you've wanted, princess. (well which would you prefer). My finger on the trigger, or. (me face down, down across your floor). Me face down, down across your floor. (me face down, down across your floor). Well just so long as this thing's loaded. And will you tell all your friends. you've got your gun to my head. This all was only wishful thinkin,. this all was only wishful thinkin. And will you tell all your friends. you've got your gun to my head. This all was only wishful thinkin,. this all was only wishful thinkin. let's go.... Don't bother trying to explain Angel. I know exactly (what goes on) when you're rolling.. How about I'm outside of your window. (how about I'm outside of your window). Watchin him keep the details covered. You're such a sucker (you're such a sucker). for a sweet talker, yeah. And will you tell all your friends. you've got your gun to my head,. this all was only wishful thinkin,. this all was only wishful thinkin. (the only thing I regret is that I, I never let you hold me back). And will you tell all your friends. you've got your gun to my head. This all was only wishful thinkin,. this all was only wishful thinkin. Hoping for the best just hoping nothing happens. A thousand clever lines unread on clever napkins. I will never ask if you don't ever tell me. I know you well enough to know you never loved me. Hoping for the best just hoping nothing happens. A thousand clever lines unread on clever napkins. I will never ask if you don't ever tell me. I know you well enough to know you never loved me. Hoping for the best just hoping nothing happens. A thousand clever lines unread on clever napkins. I will never ask if you don't ever tell me. I know you well enough to know.... (Why can't I feel anything. from anyone other than you?. Why can't I feel anything. from anyone other than you?). And all of this was all your fault. And all of this. (I stay jealous). I stay wrecked and jealous for this,. for this simple reason. I just need to keep you in mind. as something larger than life. (she'll destroy us all before she's through. and find a way to blame somebody else). I stay wrecked and jealous for this,. for this simple reason. I just need to keep you in mind. as something larger than life. (she'll destroy us all before she's through. and find a way to blame somebody else). I stay wrecked and jealous for this,. for this simple reason. I just need to keep you in mind."
it doesn't feel a thing like falling,"You can't, you can't forgive yourself. I don't blame you. There's times I can't tell who you are anymore. Or if I ever even knew you. What exactly do you want to hear?. What exactly are we doing here?. Your indecision makes a slow incision. Cuts what little we have left. Though it doesn't feel a thing like falling. It doesn't feel a thing like falling. I can feel a thing as I watch you. Move in and out the door. You can't, you can't forgive yourself. I don't blame you. It's times when I can't see a way out or over this hole you dug us into.. What exactly do you want from me?. Who exactly did you want me to be?. Your indecision, all this endless friction. Burns what little we have left. Though it doesn't feel a thing like falling. It doesn't feel a thing like falling. I can feel a thing as I watch you. Move in and out the door. Now it doesn't feel a thing like falling. It doesn't feel a thing like falling. I can feel a thing as I watch you. Move in and out the door. Oh there is a part of me out there. Over the television hum. I appreciate the details. That's where God goes to get loved. I want to fight back in. To how we used to represent. Wash my filthy hands. Wash my filthy hands. Like fall. Like fall. Like fall. Like fall. Like fall. It doesn't feel a thing like falling. It doesn't feel a thing like falling. I can feel a thing as I watch you. Move in and out the door. It doesn't feel a thing like falling (falling, falling). It doesn't feel a thing like falling. I can feel a thing as I watch you. Move in and out the door. Like fall. Like fall"
sad savior,"Skin against skin covering bone,. the body you're in is aggressively slim.. Yeah, you earned the clothes you put on it. to cover up where you've been.. No leave those scars at home,. let them slide down the length. of your spine, cross your feet. then down past your feet.. They slow our momentum each time. you're reminded that they're there.... You don't have to pretend to be an orphan anymore.. You don't have to pretend to be important anymore.. That brooding week, exhumed and removed. entombed in a box that's cached across your room.. It slows our momentum each time. I'm reminded that it's there.. Your anxious tongue spills cautious words. its gotten so used to being misunderstood.. You do your best to control it. just remind yourself that you care.... Hey sad savior,. You don't have to pretend to be an orphan anymore.. ""Never, not ever again!"". Is what you swore the last time this happened.. ""Never, not ever again"". Are you gonna settle for those bastards?. Never not ever again is what you swore..."
my blue heaven,"Two sides twist and then collide;. You're calling off the guards (Am I coming?). I'm coming through. (Am I coming?). Adulterous conditioned to a spin cycled submission,. You know, sometimes it just feels better to give in.. (Sometimes, it just feels better to give in.). And it's all too familiar. And it happens all the time.. All the cards begin to stack up,. Twisting heartache into fine. Little pieces that avoid an awful crime,. But it's you I can't deny.. (You I can't deny.). Dull heat rises from the sheets.. I'm both a patient boy,. Well, and a jealous man. (Am I coming?). My double standardized suspicion. Is remedied, oh, my blue heaven,. Sometimes, it just feels better to give in.. (Sometimes, it just feels better to give in.). And it's all too familiar. And it happens all the time.. All the cards begin to stack up,. Twisting heartache into fine. Little pieces that avoid an awful crime,. But it's you I can't deny.. (You I can't deny.). We swing and we sway. As this tiny voice in. My head starts to sing. You're safe, child, you are safe.. (You're safe, child, you are safe.). You're safe, child, you are safe.. We swing and we sway. As this tiny voice in. My head starts to sing. You're safe, child, you are safe.. You're safe, child, you are ... safe (safe), safe (safe),. You are safe.. We swing and we sway. As this tiny voice in. My head starts to sing. You're safe, child, you are safe. (Am I coming?). You're safe, child, you are safe. (Am I --). Coming through?. Is this all too familiar?. Does it happen all the time?. I'm just asking you to hear me.. Could you please, just once, just hear me?. More then anything you wanted to be right.. Still it's you, you, it's you I can't deny.. (You I can't deny.). It's you I can't deny."
beautiful girl,"A beautiful girl can make you dizzy,. Like you've been drinking jack and coke all morning.. She can make you feel high,. Full of the single greatest commodity known to man:. Promise. promise of a better day,. Promise of a greater hope,. Promise of a new tommorow.. This particular aura,. Can be found in the gait of a beautiful girl.. In her smile, and in her soul.. In the way she makes every rotten little thing about life. Seem like it's gonna be ok.. . September never stays this cold,. Where i come from and you know,. I'm not one, for complaining.. But i love the way you roll. Excuses off the tip of your tounge,. As i (slowly) slowly, quietly, slowly, fall apart.. This won't mean a thing come tomorrow,. And that's exactly how i'll make it seem.. 'cause i'm still not sleeping,. Thinking i've crawled home from worse than this.. So please, please, (please). I'm running out of sympathy,(i'm running out of sympathy). I never said i'd take this,. I never said i'd take this lying down.. She says, ""c'mon c'mon,. Lets just get this over with.""(3x). I never said i'd take this lying down.. Well i've crawled home from worse than this,. From worse than this!. You always come close. But this never comes easy.. I still know everything.(3x). You always come close. But this never comes easy.(2x). I never said i'd take this lying down.(2x). You always come!. You're coming close.. I never said i'd take this lying down.. But i've crawled home from worse than this.. If it's not keeping you up at night,. Then what's the point?(4x). I'm in your room,. Well is this turning you on?. Am i turning you on?. I'm in your room,. Are you turned on?. I'm on the corner of your bed. Are you turned on?(2x)"
...slowdance on the inside,"Passed out in our school clothes so we'd wake up in our Sunday's best. I never asked for your opinion, I just got it and I get it. You move slow like daytime drama. And I'm boring like his songs. So while I'm taking you for granted. We'll be humming along. Well cross my heart and hope to.... I'm lying just to keep you here. So reckless (so reckless), so,. So thoughtless (so thoughtless). So careless, I could care less. Well cross my heart and hope to.... I'm lying just to keep you here. (So reckless). Well she's so heartless,. And I could care less. So paint your face up something elegant. And this time maybe a darker shade of red. Cause a long night means a fist fight. Against your pillow and my pearly whites. I want to hear you scream you like me better on my knees. So let us pray. (we don't believe in second chances). So let us pray. Don't you ask me. Don't you move (anywhere). Cross my heart and hope to. I'm lying just to keep you here. So reckless (so reckless), so,. So thoughtless (so thoughtless). So careless, I could care less. Well Cross my heart and hope to. I'm lying just to keep you here. (So reckless). Well she's so heartless. And I could care less. Well cross my heart and hope to. I'm lying just to keep you here. I'll keep you here, I'll keep you here. One of us never did it but we're taking it all. (Well cross my heart and hope to). And tell me why you never promised that you wanted it all. (I'm lying just to keep you here). And her eyes never batted when she said it. It's a long night, open, know it.... This glass house is burning down (open all night, know it...). You light the match, I'll stick around (open all night, know it...). I'll give you everything you want (open all night, know it...). And wish the worst of what I was (open all night, know it...). This glass house is burning down (open all night, know it...). You light the match, I'll stick around (open all night, know it...). I'll give you everything you want (open all night, know it...). And wish the worst of what I was (open all night, know it...). Tonight won't make a difference. Tonight won't make a difference. Tonight won't make a difference. Well tonight won't make a difference. Well tonight won't make a difference. Tonight won't make a difference. Tonight won't make a difference. Well tonight won't make a difference"
everything must go on,"We found a house with a big yard. And moved all of my things. And most of your things, in. And honey I was proud of it. Honey I was proud of, you. You quote the Good Book,. When it's convenient. But you don't have the sense. No you don't have the sense. To talk this through to dawn. Instead you're slashing through the mud. Some boxes, that. Hand-me-down couch, and chair. That used to be at your church. We borrowed them from there. A cabinet record player with nothing but James Taylor. Two carpets from the corner store. Cover the hardwood floor. I'd be a fool to ask for more.... You quote the Good Book,. When it's convenient. But you don't have the sense. No you don't have the sense. To talk this through to dawn. Instead you're slashing through the mud. You quote the Good Book,. When it's convenient. But you don't have the sense. No you don't have the sense. To talk this through to dawn. Instead you're slashing through the mud. The love you had was good enough. The path that we were stuck between. But so much stuff must go tonight,. Oh Lord, what have I done?. You quote the Good Book,. When it's convenient. But you don't have the sense. No you don't have the sense. To talk this through to dawn. Instead you're slashing through the mud. . ~* Srta Aninha *~"
