i walk alone,"Put all your angels on the edge. Keep all the roses, I'm not dead. I left a thorn under your bed. I'm never gone. Go tell the world I'm still around. I didn't fly, I'm coming down. you are the wind, the only sound. Whisper to my heart. when hope is torn apart. and no one can save you. I walk alone. Every step I take. I walk alone. My winter storm. Holding me awake. It's never gone. When I walk alone. Go back to sleep forever more. Far from your fools and lock the door. They're all around and they'll make sure. You don't have to see. What I turned out to be. no one can help you. I walk alone. Every step I take. I walk alone. My winter storm. Holding me awake. It's never gone. When I walk alone. waiting up in heaven. I was never far from you. Spinning down I felt your every move. I walk alone. I walk alone. Every step I take. I walk alone. My winter storm. Holding me awake. It's never gone. When I walk alone"
until my last breath,"Can't cry it loud enough. I'm giving out this ghost. How can i still justify. When you deny my voice. In this nothing I'm not aloud. I just full all alone. Words as weapons without a sound. Echoes tide on war. Until my last breath. You'll never know. Until you feel the silence. When I am gone. Now is vanishing, everything. One remind have been. All we know your grace, call my name. Until one see again. You can't change this memory. Inside it needs to burn. Worth she mind the enemy. The guilty take they their turns. Watching as its disappearing. Shadows all that remain. Wishes lonely cross it over. In this parade of pain. Until my last breath. You'll never know. Until you feel the silence. When I am gone. Now is vanishing, everything. One remind have been. All we know your grace, call my name. Until one see again. Until my last breath. You'll never know. Until you feel the silence. When I am gone. Now is vanishing, everything. One remind have been. All we know your grace, call my name. Until one see again"
victim of ritual,"Black eyes and hardly breathing. When there's no light, you sacrifice. Alone, a monster living. You lost the fight before the fall. How did you end up in hell?. Hysterical, tragical. Victim of ritual. Cynical, critical. Victim of ritual. She's a killer, killer. She's a killer, killer. . Cold eyes for every seeing. They try to hide, in thin disguise. Denied your soul from singing. The darkest line, the night you died. How did you end up in hell?. Hysterical, tragical. Victim of ritual. Cynical, critical. Victim of ritual. She's a killer, killer. She's a killer, killer. . Pandemonium, where's your heart from?. Pandemonium, where's your heart from?. Hysterical, tragical. Victim of ritual. Cynical, critical. Victim of ritual. She's a killer, killer. She's a killer, killer"
undertaker,"Bring out your dead. I'll bury them all. Leave them with me. Dress them in silk. Black as the night. Where no one can see. Paint them with dirt. Shallow their graves. Silent their names. Swallowed by Earth. Written in dust. Killing the fame. How did they die?. Oh, the despair. So many lost. Original sin. Gone in thin air. That is the cost. No one recalls. All that is left. Nameless farewell. Minding the fall. Cover the theft. Welcome to Hell. Meet your maker. Ring your bells in vain. Undertaker, I am why you came. Feed your life with every need you have. And down below, forever. Oh, how sad. Covered in thorns. Knocking the wood. Scratching the lid. Legends are born. Without fine jewels. Here I forbid. Walk amongst you. Sing to you sweet dark lullabies. Giving you rest. Tainting your dreams. Cover your eyes. Meet your maker. Ring your bells in vain. Undertaker, I am why you came. Feed your life with every need you have. And down below, forever. Meet your maker. Ring your bells in vain. Undertaker, I am why you came. Feed your life I care for every need you have. And down below, forever. Oh, so sad. See the world as one. Find what grows from stone. Roam our circles. Come home"
innocence,"You're not alone below the moon. All of us wait, for moment's gone too soon. You and me, breathe, to ignore the reason. Freedom. Scream again. Inside of me, doors will stay open. A thousand lives to live. Waiting like universes, still without an end. Love break into my innocence. Innocence, innocence, innocence. Innocence, innocence. Stay close to me. Everything you knew. Left with the wind. In times like this we do. You and me, breathe, to ignite the feeling. Freedom. Scream again. Inside of me, doors will stay open. A thousand lives to live. Waiting like universes, still without an end. Love break into my innocence. Innocence, innocence, innocence. Innocence, innocence. [Piano solo]. Inside of me, doors will stay open. A thousand lives to live. Waiting like universes, still without an end. Love break into my innocence. Innocence, innocence, innocence. Innocence, innocence"
diva,"We can laugh at it now. I dont mind all the burning daggers. Piercing me, shaping me. Turning the blade on you. I revealed my escape. Sweetest mutiny, ship was sinking. Deeper and deeper and deeper. On top of you. Oh, how does it feel?. Now when there's no way out. You married your own Hell. Couldn't get out of your own mind. Now I have the key. Out of the downwards spiralling conspiracy. Just look at me. Just look at. Diva, Diva, Diva, Diva. When you chiselled your scene. So delusional, almost got me. Started to question my sanity 'cos of you. I've been tasting the salt. Couldn't stand all the rats on board. I walked down the plank as the curtains fell down. On you. Oh, how does it feel?. Now when there's no way out. You married your own Hell. Couldn't get out of your own mind. Now I have the key. Out of the downwards spiralling conspiracy. Just look at me. Just look at. Diva, Diva. Diva, Diva"
no bitter end,"Desire is a flame alive. When dreams are far away. Open up your inner eye. Let hope save the day. She will fall all over you. Like a rain, shine the new. And will make the path for you to take. Till to the end, walk you through. Time won't wait. Lead your fate. Never let go. Blackout the sun. Light nowhere. Tell me you don't need it anymore. No bitter end. Hold on, don't run. Forever, still yourself. The one that you defend. No bitter end. Silently, misteriously. How brave worlds are born. They cut away the misery. For hearts to find home. To be there with all you need. And nothing left to prove. Take a chance, oh, but never leave. Know it all starts with you. Time won't wait. Lead your fate. Never let go. Blackout the sun. Light nowhere. Tell me you don't need it anymore. No bitter end. Hold on, don't run. Forever, still yourself. The one that you defend. No bitter end. There's a road for everyone. Cause every heart's the same. To forgive what you have done. A silent wish for change. Blackout the sun. Light nowhere. Tell me you don't need it anymore. No bitter end. Hold on, don't run. Forever still yourself. The one that you defend. No bitter end"
love to hate,"Made of stone. Behind the walls. A heart afraid of breaking. Shades of fear. Stained your life. A child afraid of waking. Numb within. The sadness won't find you. No return. No way home. You're burning all the bridges. Stories told. I've read your book. Where anger writes the pages. Search within the empty words. The answers you'll find at the end. Who do you think you are?. I gave you the stars. You made them fall from the sky. So this is my goodbye. Swimming in the scarlet rain. Far away, far away. Embracing a thousand blades. Flies away, far away. Break the cage. Run against the flames. Distrust and bitterness. It dies today. Lose your rage, save what still remains. Despair and loneliness. Why you love to hate?. Washed the pain. Time in vain. Thinking of tomorrow. Dust of shame. No more rain. Brush away my sorrow"
"o come, o come emmanuel","O come, O come, Emmanuel. To free your captive Israel. That mourns in lonely exile here. Until the Son of God appear. Rejoice! Rejoice! O Israel. To you shall come Emmanuel. Veni veni, Emmanuel. Captivum solve Israel. Qui gemit in exsilio. Privatus Dei Filio. Gaude! Gaude! Emmanuel. Nascetur pro te, Israel. O come, O come, great Lord of might. Who to Thy tribes, on Sinai's height. In ancient times once gave the law. In majesty and cloud and awe. Rejoice! Rejoice! O Israel. To you shall come Emmanuel. Rejoice! Rejoice! O Israel. To you shall come Emmanuel"
eagle eye,"I've been to the end of earth. And waters, end of sky. I've circled the mountains. the forests, across the nights. Over the land that I have seen. where the wind swept my heart clean. I've find the way to feel alive. Leaving behind your eagle eye. Love like a dance in fire. untainted, raising high. The power to dwell as one. unchained, will not die. When you have burned, so deep within. Rest the ashes, then begin. I've find the way to feel alive. Leaving behind your eagle eye. Over the land that we have seen. where the winds went our hearts clean. When we have burned, so deep within. rest the ashes, then begin. Eagle eye. Over the land that we have seen. where the winds went our hearts clean (eagle eye...). When we have burned, so deep within. rest the ashes, then begin (eagle eye...). . I've find the way to feel alive (to feel alive...). leaving behind your eagle eye (your eagle eye...)"
demons in you (feat. alissa white-gluz),Endless. My war to reason. Falling to pieces. When I could see. Now I don't understand. Empty. My fears of treason. Trying to blind me. The brightest void is sucking me in. Like a million geysers still asleep. Demons in you. Lost in the light. Eternal seek for paradise. Scared to lose the fight with what's in me. Found another side. The darkest thoughts. The deepest sea. Where sun and moon arise. It's me. Chaos and isolation. Your only truth. What we can hear no one can understand. Madness. In desperation. A burst of anger. The shadow self is taking over. Like a million geysers still asleep. Demons in you. Lost in the light. Eternal seek for paradise. Scared to lose the fight with what's in me. Found another side. The darkest thoughts. The deepest sea. Where sun and moon arise. It's me. . Lost in the light. Eternal seek for paradise. Scared to lose the fight with what's in me. Found another side. The darkest thoughts. The deepest sea. Where sun and moon arise. It's me
500 letters,"500 letters from a stranger on my door. 500 letters, words like stars now I can see. It felt so innocent, a childish game. Lines of poetry, without a name. Whizz of paranoia, wasted upon a page. And seems obsession turns to rage. Why do you love me?. Why do you want to hurt me?. 500 letters from a stranger on my door. 500 revels inside, can't take it anymore. 500 letters, words like stars now I can see. 500 secrets, slowly killing me. At the mercy of a violent hand. Trowing inches in my head. I can't escape the way I feel inside. In every shadow, just a breath behind. Why do you love me?. Why do you want to hurt me?. 500 letters from a stranger on my door. 500 revels inside, can't take it anymore. 500 letters, words like stars now I can see. 500 secrets, slowly killing me. They found the final letter lying by his side. a smile was on his face, cold as ice. One less message written only for me. now you won't forget: ""I'll see you in your dreams"". 500 letters from the stranger on my door. 500 revels inside, can't take it anymore. 500 letters, words like stars now I can see. 500 secrets, slowly killing me"
boy and the ghost,"The streets are empty.. Inside it's warm.. His hands are shaking.. They locked the door.. A voice is calling.. Asking to get in.. All he wanted was a toy.. All he needed was a gentle heart. To lead him through the dark. When his dreams are running wild. Boy and the ghost. Fire's not burning. The lights went out. The lights went out. Big family dinner. The untold pain. Their eyes are sparkling on his frozen face.. Angel's calling. Asking to get in. All he wanted was a toy.. All he needed was a gentles heart. To lead him through the dark. When there's nowhere left to fall.. Boy and the ghost. His eyes are burning. The lights went out. The dream is on.. Wake up, whake up:. There's an Angel in the snow.. Look up, look up:. It's a frightened dead boy. With so much hate, such bad dreams.. He could have seen. The toy's the key, but no one saw, no one saw. All he wanted was a toy.. All he needed was a beating heart. to lead him through the dark. Boy and the ghost. Despero, solitas, debilis, desolo.. Despero, solitas, debilis, desolo.. When there's nowhere left to fall.. Nowhere to hide. The silence is hurting. Inside it's cold. Sleep or die.. Nowhere to go, Nowhere to hide.. His light went out.. . By Hugin.."
the living end,"It's the song that's forever. There's no need to surrender. Here with you now. Light's in the air devoted. Now is the day. Dying to live this moment. Growing stronger. Taking over. Truth in your eyes. See through my heart, it's open. Make me believe. Gives life to the path of chosen. Blind desire. Reaching higher. It's the song that's forever in the flame within. The living end. There's no need to surrender. I will sing with it. The living end. Sun is like colors. Raining down. Burning up the night. It's the song that's forever in the flame within. The living end. There's no need to surrender. I will sing with it. The living end. The living end"
together,"Spirits, taking me with you this night. Shadows, revealing what I left behind. There is no one else living in this loneliness (no one else). How to share the pain when joy got lost in time?. Ghosts, wearing the face of a child. Memories finding me. Reminding what once was mine. When all hope is gone. They reach into your soul (when hope is gone). How to share the pain, feel alive?. Take me. Let me break free. I'm the soldier who lost the fight. Together we'll embrace the morning light. Find us in a garden. With our ashes covered white. Together we will fly into the night"
an empty dream,"Your scent became again. Vanishing memory. Repeating lace of pain. Why this endless misery?. As our oblivion. This void will hunt you. Can't be forgiven. Our love, the tears for two. Oh I wish to reach your heart. Life is just an empty dream. We will never be apart. Take me home forever. Trough time I'm in control. Whispering cruelty. Today you have my soul. Who is who in this puppetry?. Lost our connection. Feelings I once knew. Crying for meaning. All alone, the death for two. Oh I wish to reach your heart. Life is just an empty dream. We will never be apart. Take me home forever. ""I'm another mess. When I alive. How long will I turns? "". Your scent became again. Vanishing memory. Repeating lace of pain. Why this endless misery?. As our oblivion. This void will hunt you. Can't be forgiven. Our love, the tears for two. Oh I wish to reach your heart. Life is just an empty dream. We will never be apart. Take me home forever, ever. Oh I wish to reach your heart. Life is just an empty dream. We will never be apart. Take me home forever"
calling from the wild,"See the world as one. Find what grows from stone. Roam our circle, come home. On my ocean, are you shadowing me?. Breaking surface to connect again. For a moment, I can feel what you feel. So clear, and I'm with you again. In my air, I feel you covering me. Out of trust, you gave me the power to them. And if only they could see what you see. Wind and love never hide. Into the sky. One more. Stand for. Freedom. Calling from the wild side. For life. Reason. There's no life, without a dream. No power strong enough to hold it back. In a never ending stream. See the world as one. Listen to the call and stand for. One more. One more. One more. From my trees I know you're following me. Through the wind I hear you speaking of love. And a message that I want to believe. That we forgot and now I'm with you again. Wind and love never hide. Into the sky. One more. One more. There's no life, without a dream. No power strong enough to hold it back. In a never ending stream. See the world as one. Listen to the call and stand for. One more. One more. One more"
die alive,"Open up the night. Led by just a feeling. All around is light. Everything is healing. No more fate and no more mystery. Even as time falls away. I live my days. Every moment and its memory. Not only to survive, to die alive.. Overwhelming love. Heaven's just a feeling. Singing in my blood. Keeping me from kneeling. No more fate and no more mystery. Even as time falls away. I live my days. Every moment and its memory. Not only to survive to die alive. (Coral e Instrumental). Die Alive. No more fate and no more mystery. Even as time falls away. I live my days. Every moment and its memory. Not only to survive to die alive. Die Alive. Die Alive"
naiad,She hears the distant soft caress. There in the gloom. Colours surround with tenderness. Guiding her through. In the forgotten sweet abyss. Another sound. Twilight floating memories always without. Gloaming there above the surface. An illusion reaching down for me. What lies beneath. Beyond the ocean's door. Tranquil is the kiss of the azure rising deep. Sleeping ever more. Naiad's mystery. What lies beneath. Guarding their immortality. Saints in the sand. Stranger than beautiful eerie. An ancient land. Circle of 16 turned to stone and still they keep shimmering crystal promises. One space between. Gloaming there above the surface. An illusion reaching down for me. What lies beneath. Beyond the ocean's door. Tranquil is the kiss of the azure rising deep. Sleeping ever more. Naiad's mystery. What lies beneath. Beyond the ocean's door. Tranquil is the kiss of the azure rising deep. Sleeping ever more. Naiad's mystery. What lies beneath. Aah.... Breathing the newborn waves. Kneeling for the sea she became
