kiss my ass,"C'mon baby,. Yeah, big ol' wet one...hey!. Kiss my ass,. Kiss my ass, (c'mon, everybody ought'a). Kiss my ass, (tastes real good). Kiss my ass. (oh...). Don't waste your time on me. I got my own direction. Watch me close, wait and see. I'm lookin' for perfection. I make up my own mind. And I'll leave you far behind. When the goin' gets tough. You can kiss my ass. I believe in animal rights. I let my dog hump on my shin. I can tolerate sexual choice. But not with the next of kin (uh-uh, boy). I've heard it all before. I ain't gonna take any more. When the goin' gets tough. You can kiss my ass. Everybody!. Kiss my ass, (pucker up). Kiss my ass. Kiss my ass. Kiss my ass, (c'mon babe). I've heard it all before. And I ain't gonna take no more, no no. When the goin' gets tough. Kiss my ass!. I see the weenies with the dirty hair. Protestin' on the street. They condemn the clothes we wear. And the morality of what we eat, yeah. It's gotta be a fluke. They make me wanna puke. When the goin' gets tough. They can kiss my ass. Everybody gotta. Kiss my ass - C'mon gang bangers. Kiss my ass - Janet Reno. Kiss my ass - C'mon Billary. Kiss my ass - Callin' on Jesse Jackson. Kiss my ass - How about the IRS. Kiss my ass - Hey, Howard Stern. Kiss my ass - United Nations. Kiss my ass - All those Liberals. Kiss my ass - C'mon Sarah Brady. Kiss my ass - Oh, Courtney Love I've got your hole. Kiss my ass - Beavis, Butthead. Kiss my ass - How about Crips and Bloods. I've heard it all before. And we ain't gonna take it no more. When the goin' gets rough. When the goin's to tough. When the goin' gets rough. They oughta' kiss my ass"
just what the doctor ordered,"I got my guitar when I was 10 years old. Found a love in rock an' roll. Now I'm on the verge of a. nervous breakdown. I'm goin' give my body and soul. It's so crazy. But you know that I like it. I've found a cure for my body and soul. I've got me an overdose of rock and roll. I jammed everyday. I jammed everynight. I practiced till I knew all the licks. Now I'm on the verge of a. nervous breakdown. I don't know the meaning of quit. It's so crazy. Yes you know, but I like it. It crushes my head, my. brain is on the border. But this is what the doctor ordered. Yes, it is. I jammed everyday. I jammed everynight. I practiced till I knew all the licks. Now I'm on the verge of a. nervous breakdown. I don't know the meaning of quit. It's so crazy. But I like it. It crushes my head, my brain is on the border. But this is what the doctor ordered. Just what the doctor ordered. Just what the doctor ordered"
cat scratch fever,"High!. Well I don't know where they come from. But they sure do come. I hope they're comin' for me. And I don't know how they do it. But they sure do it good. I hope they're doin' it for free. They give me cat scratch fever. Cat scratch fever. Well the first time that I got it. I was just 10 years old. I got it from some kitty next door. Well I went and seen the doctor. And he gave me the cure. I think I got it some more. They give me cat scratch fever. Cat scratch fever. I got it bad scratch fever. Cat scratch fever. It's nothin' dangerous, I feel no pain. I got to cha-cha change. You know you got it. When your'e goin' insane. It makes a grown man cry,cry. Oh won't you make my bed. Well I make a pussy purr. With the stroke of my hand. They know they're gettin' it from me. And they know just where to go. When they need their lovin' man. They know I'm doin' it for free. I give 'em cat scratch fever. Cat scratch fever. They got it bad scratch fever. Cat scratch fever. Cat scratch fever. Cat scratch fever. Cat scratch fever. Cat scratch fever"
snakeskin cowboys,"Ooh, snakeskin cowboys. Who the hell you think you are. You’re dancin’ around with your high-heeled boots. Don’t think that should get you far. Just hangin’ around with your fancy pants on. Aint got nothin’ on me. Thinking you got it right here on the stage. Stick around boys, maybe I can set you free. Snakeskin cowboys. Who the hell you think you are. You’re dancing around with your best pants on. Don’t think that should get too far. Just hangin’ ‘round with your high-heeled sneakers and. Dancin’ all ‘round the stage. Well, stick around boys I got some news. I’m gonna set you, I’m gonna set you free. Snakeskin cowboys. Who the hell you think you are. You’re prancin’ around with your high-heeled boots. Don’t think that should get too far, no-o. Snakeskin fly-byes. Who the hell you think you are. Just hangin’ ‘round with your fancy pants on. Aint got-a nothin’ on me. Thinkin’ you have a right, here on my stage. Stick around boys, maybe I can set you free. Snakeskin cowboys. Who the hell you think you are. Just strutting around with your fancy hairdos. I know you’d like to be a star no-no. Snakeskin cowboys. Who the hell you think you are. Dancing around with your high-heeled boots. Don’t think that should get too far. Oh, snakeskin fly-byes. Who the hell you think you are. Just dancin’ around with your best pants on. Aint gonna get too far. Oh, snakeskin cowboys…"
writing on the wall,"Racin down the highway. I'd rather have it my way. Gotta have more..... Rules on the roadside. Floor it like a landmine. Keep you on your toes. You head out for the take. Whatá½ the fuss your makin. Caná½t you see the light?. You gotta get down when you roll upon the town. It'll makes you feel alright. My life is a good life to lead. Writing on the wall is a good story to read. You think me a trusting tiger. I know that youá½re a liar. Eatin from your hand. Batten down the hotel. Runnin round hell now. Rock and roll ban. Runnin helter skelter. Kockem down and belt you. Show me who is the boss. you better treat her sweet. Or you be out in the street. And that would be a loss. My life is a good life to lead. Writing on the wall is a good story to read. Lining up the tour bus. Iá½m sure they woná½t thank us. Needle in your mouth. But now that we know where to shoot the goods again. Flyin down south. Writin, writing on the wall. Writin, writing on the wall. Racin down the highway. I'd rather have it my way. Gotta have moreá½. Rules on the roadside. Floor it like a landmine. Keep you on your toes. Writin, writing on the wall. Writin, writing on the wall. Writin, writing on the wall. Writin, writing on the wall"
can't live with 'em,"It was hit and run when ya took my heart away. Nothin' you could do to change my mind. Nothin' you could say to make me stay. Here I go alone,into the night. (chorus). I can't live with ya. I can't live without your love. I can't live with ya. I can't live without your love. You terrorize my dreams at night. I crave your touch to chase my blues away. And nothin I could say to make ya stay. Here I go again,into the night. (chorus). I can't live with ya. I can't live without your love. I can't live with ya. I can't live without your love. I try and try to change my mind. There ain't much hope. Now ain't no time. The situations got the best of me. Awwww yup..... (Guitar Solo). Nothin' I could say. To make me stay. Here I go again. Into the night. Here we go baby...... (chorus). I can't live with ya,can't live without you. I can't live with ya,can't live without you. No. Can't live with ya,can't live without you. Can't live with ya,can't live without you. No,no"
come and get it,I don't wanna hand nothin' to ya. I just wanna sit back and do ya. Dontcha make me stand up and chase it. I just wanna lay back and taste it. Come and get it right here for you. I would never want to bore you. No. Come and get it. Come and get it. Come on girl and sit down beside me. Let me tell ya whats burnin' inside me. I want you to take it. I know that you'll like it. Sit right down and grab it and bite it. Come on girl its right here for you. I would never want to bore you. No. Come and get it. Come and get it. I don't wanna hand nothin' to ya. I just wanna sit back and do ya. Know you know you make me make me. Know you know you make me crazy. I just wanna lay back and taste it. Come and get it right here for you. I would never want to bore you. No. Come and get it. Come and get it. Come and get it. Come and get it. Come and get it. Come and get it. Come and get it. Come and get it. Come and get it
fred bear,"There I was, back in the wild again. And I felt right at home where I belong. I had that feelin' comin' over me again. Just like it happened so many times before. The spirit of the woods is like an old good friend. It makes me feel warm and good inside. I knew his name and it was good to see him again. 'Cuz in the wind he's still alive. Oh, Fred Bear, walk with me down the trails again. Take me back, back where I belong. Oh, Fred Bear, I'm glad to have you at my side, my friend. And I'll join you in the big hunt before too long. Before too long. It was kinda dark, another misty dusk. And it came from a tangle down below. I tried to remember everything he taught me so well. I had to decide which way to go. Was I alone or in a hunter's dream?. 'Cuz the moment of truth was here and now. I felt his touch, I felt his guiding hand. The buck was mine, forevermore. Because of Fred Bear. I'll walk down these trails again. Take me back where I belong. Oh, Fred Bear, I'm glad to have you at my side my friend. And I'll join you in the big hunt before too long. We're not alone when we're in the great outdoors. We got his spirit, we've got his soul. He will guide our steps, he'll guide our arrows home. The restless spirit forever roams. Fred Bear, walk with me down the trails again. Take me back, back where I belong. Oh, Fred Bear, I'm glad to have you at my side, my friend. And I'll join you on the big hunt before too long. Oh, Fred Bear, walk with me down the trails again. Take me back, back where I belong. Oh, Fred Bear, I'm glad to have you at my side, my friend. And I'll join you in the big hunt before too long. In the wind he's still alive. In the wind he's still alive. In the wind he's still alive. In the wind he's still alive. In the wind, I hear, I hear Fred Bear. (I hear ya Fred,. Talk to me,. yea ,. its all right. lets go hunting baby. Say Fred, you go up on that ridge. And I'll go down in the swamp. We'll get that buck). (Fred). (If some of our teenage thrill seeker really want to go out and get a thrill.. Let them go up into the north west and let them tangle with a Grizzly bear. or Polar bear or brown bear and get that effect that will cleanse the soul.)"
paralyzed,"I'm on a mission of mercy. I gotta testify.. You lost your emotions. You're paralyzed.. Amputate your logic, you're hypnotized.. You show no emotion. You're paralyzed.. Don't you know you crucify yourself, oh, no.. You're killin' you and nobody else,. And know you been spending your nights alone.. The lights are on but there's nobody home.. You don't know where you come from. You're not too wise.. You got nowhere to run to. You paralyzed.. Can you feel your body? Can you move your eyes?. Can you feel your heartbeat? Well, are you paralyzed?. Paralyzed"
stranglehold,Here i come again now baby. like a dog in heat. tell it's me by the clamor now baby. i like to tear up the street. and i been smokin for so long. ya know im here to stay. got you in a stranglehold baby. you best get outta the way. road i cruise is a bitch now baby. but no you cant turn me round. and if a house gets in my way baby. ya know im tearing it down. you ran the night that you left me. you put me in my place. i got you in a stranglehold baby. you gonna cross your face. yeah. sometimes you wanna start higher. and sometimes you gotta start low. some people think they gonna die someday. i got news ya never got to go. c'mon c'mon up (4 times). c'mon c'mon c'mon c'mon baby. c'mon c'mon c'mon c'mon up. c'mon c'mon c'mon c'mon baby. c'mon c'mon c'mon. road i cruise is a bitch now. ya know ya cant turn me round. and if a house gets in my way. ya know im burnin it down. ya ran the night that you left me. you put me in my place. i got you in a stranglehold baby. you gonna cross your face
