the concept,She wears denim wherever she goes. Says she's gonna get some records by the Status Quo. Oh yeah...Oh yeah.... Still she won't be forced against her will. Says she don't do drugs but she does the pill. Oh yeah...Oh yeah.... I didn't want to hurt you oh yeah.... I didn't want to hurt you oh yeah.... Says she likes my hair 'cause it's down my back. Says she likes the group 'cause we pull in the slack. Oh yeah...Oh yeah.... When she's at the gig she takes her car. And she drive us home if it is in a bar. Oh yeah...Oh yeah.... I didn't want to hurt you oh yeah.... I didn't want to hurt you oh yeah.... [Solo]. I didn't want to hurt you oh yeah.... I didn't want to hurt you oh yeah.... [Pause]. Aaaah... Aaaah... Aaaah...
have you ever seen the rain?,"Someone told me long ago. There's a calm before the storm. I know. It's been coming for some time. When it's over, so they say. It'll rain a sunny day. I know. Shinin' down like water. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?. Yesterday and days before. Sun is cold and rain is hot. I know. Been that way for all my time. 'Til forever, on it goes. Through the circle, fast and slow. I know. It can't stop, I wonder. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?. Yeah!. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?"
sparky's dream,"If she lived in space, man. I'd build a plane. Out of luck so beam me up. To hear her talking again. She painted pictures. That never dried. Always tried to keep the feeling alive. Need a crystal ball to see her in the morning. And magic eyes to read between the lines.. I took a wrong direction. From a shooting star. In the love dimension. Fading fast from taking this too far. That summer feeling is gonna fly. Always try and keep the feeling inside. Need a crystal ball to see her in the morning. And magic eyes to read between the lines. I took a wrong direction. From a shooting star. In the love dimension. Fading fast from taking this too far. Need a magic ball to see her in the morning. And crystal eyes to read between the lines. Need a magic ball to see her in the morning. And crystal eyes to read between the lines"
if i never see you again,If I never see you again. you will stay in my mind [x2]. We've only got a lifetime [x2]
happiness,Don't know what I want to do. My laziness'll see me through. Happiness is all I need. The truth is never guaranteed. I'll let my state of mind content me. 'til I know where my life has sent me to. All day long is long enough. To fill my head with useless stuff. Wisdom sometimes comes my way. Stolen from the words you say. I'll let my state of mind content me. 'til I know where my life has sent me to. My life feels so worthwhile. When I go where you send me. When I can't find a smile. You've got one to lend me [x2]. What I don't see will sometimes find me. The truth is not what love will blind me to. My life feels so worthwhile. When I go where you send me. When I can't find a smile. You've got one to lend me. My life feels so worthwhile. When I go where you send me. When I can't find a smile. You've got one to lend me [x2]
my uptight life,The morning sun opens up my eyes. What I see is the same world I know you're seeing. My dreams are real until I realise. Realising's a slow fade from thought to being. The waking world is full of cynics' sighs. Cynicism's a box I don't want to be in. I'll stay in bed until I stabilize. I try to write this song. To move my life along. I know what I dream of. I'll save my life for love. Hidden meanings don't need to hide. When I hide from the world you're the one who'll find me. They don't need screening from the world outside. If the truth's overdue I know you'll remind me. If the truth police are sniffing out a lie. I've done nothing in life I can't put behind me. I'll use my life as an alibi. Meaning is something I got from you. Whenever I lost the plot you knew. What is it I haven't got. When I've got you. Meaning is something I got from you. Whenever I lost the plot you knew. What is it I haven't got. When I've got you. All my life I felt so uptight. Now it's all right.. [repeat to fade]
don't look back,"(Gerard Love). If I could find the words to say. The sun shines in your eyes. So brighten up my city sky. Break out the news, it's back again. The voice that tried to sing. She don't hang on. And hope's never going to teach me. Wake up the story's over. Climb aboard I'm going nowhere. And understand if I must say. I'd give both these wings away. I'd steal a car to drive you home. I don't look back on an empty feeling. Repaint the Blues, my saving grace. Is lost without a trace. The morning sun's a fire in space. She lives in your life everyday. Stretching time to stay. Got my mind set something else so it's hard to see. I don't need a guiding light to lead me in the dark. And understand if I must say. I'd give both these wings away. I'd steal a car to drive you home. I don't look back on an empty feeling. (Don't look back) on an empty feeling. (Don't look back) on an empty feeling. (Don't look back) on an empty feeling. (Don't look back) on an empty feeling. {SOLO}."
what you do to me,"What you do to me.... I know, I can't believe. There's something about you. Got me down on my knees.. What you do to me.... I know, I can't believe. There's something about you. Got me down on my knees.. What you do to me.... What you do to me.... What you do to me.... What you do to me.... What you do to me.... I know, I can't believe. There's something about you. Got me down on my knees.. What you do to me.... I know, I can't believe. There's something about you. Got me down on my knees.. What you do to me.... What you do to me.... What you do to me.... What you do to me.... What you do to me.... What you do to me.... What you do to me.... What you do to me..."
i don't care,I can't find what's on my mind. Feeling low my thoughts are slow. Monochrome til you get home. When I'm sad. When I'm sad. When I'm sad. Now I've taught my soul to grow. And over rocked this over. So I know what I need to know. Now I feel better I won't let her go. I don't care about where I'm going. Because I'll be there and so will you. I don't care about foolish knowing. Now I'm aware of what is true. I don't care about where I'm going. Because I'll be there and so will you. I don't care about foolish knowing. Now I'm aware of what is true. I don't care about where I'm going. Because I'll be there and so will you. I don't care about foolish knowing. Now I'm aware of what is true
120 mins.,I don't wanna be alone. I don't wanna be well known. I don't wanna be unsane. I don't wanna love in vain. I don't wanna need a change. I don't wanna be arranged. I don't wanna be amazed. I just wanna see your. face again. Be my friend. I don't wanna another drink. I don't wanna have to think. I don't wanna stay the same. I don't wanna another name. I don't wanna be defamed. I don't wanna be acclaimed. I don't wanna be amazed. I just wanna see your. face again. Be my friend
about you,I always knew the way about you. I always knew the way about you. Always on my mind. Always take my time. Take my time and I can find my way. I never took the time to see through. I always knew the way about you. Always on my mind. Always take my time. Take my time and I can find my way. Always on my mind. Always take my time. Take my time and I can find my way. [Break/Solo]. Always on my mind. Always take my time. Take my time and I can find my way. Always on my mind. Always take my time. Take my time and I can find my way. Take my time and I can find my way. Take my time and I can find my way
accidental life,Give in to me now I want you. I know the past comes back to haunt you. there are satellites in heaven. watching everything you do. This is a battle that you're losing. and life was never more confusing. now you're looking for a way out. of your accidental life. [Chorus]. But now your life is on the line. you can stay inside but you're out of time. You can't reason in your condition. and now you see life as a mission. maybe I know what your missing. tell me what you're going through. All your problems are distractions. still waiting for the main attraction. and you're looking for a way out. of your accidental life.
ain't that enough,"If you can I wish you would. Only if you feel you should. Bring your loving over. All adds up with circumstance. All stood up with taking stands. Bring your loving over. Highlights glisten. Silence listens. Days that found you. Embrace that found you. Here is a sunrise Aint that enough. True as a clear sky, ain't that enough. Toy town feelings here to remind you. Summers in the city do what you gotta do. Time can only make demands. Fill it up with grains of sand. Bring your loving over. Highlights glisten. Silence listens. Days that found you. Embrace that found you. Here is a sunrise Aint that enough. True as a clear sky, ain't that enough. Toy town feelings here to remind you. Summers in the city do what you gotta do. Toy town feelings whose gonna argue. Summers in the city Summers in the city"
alcoholiday,"There are things I want to do but I don't know. If they will be with you, if they will be with you. There are things I want to say but I don't know. If they will be to you, if they will be to you. Listen ever get a feeling when you're taken by the hand. And led a course you can't command. Went to bed but I'm not ready. Baby I've been fucked already. Falling into line but I'm doing nothing. We've got nothing worth discussing.. Went to go but it's all hazy. People say I'm going crazy.. [Repeat all above]. [Bridge]. All I know is all I know. What I've done I leave behind and. I don't know what sort to find me.. All I know is all I know. What I've done I leave behind and. I don't know what sort to find me.. All I know is all I know. What I've done I leave behind and. I don't know what sort to find me."
baby lee,"Love me, leave me. Take my possessions and go. Wine me, dine me. Wreck all the things that I know. I'm enchanted I've fallen under your spell. How can I resist when you cast them so well. Baby Lee I'm only trying to remind you. They had me in mind oh yeah when they designed you. And Baby Lee I'm always watching from a distance. Oh marry marry me oh baby now I am insisting. Wake me, shake me. Put my emotions on show. Make me suffer. Tell everyone that you know. I'm enchanted I've fallen under your spell. How can I resist when you cast them so well. Baby Lee I'm only trying to remind you. They had me in mind oh yeah when they designed you. And Baby Lee I'm always watching from a distance. Oh marry marry me oh baby now I am insisting"
bad seeds,"(Beat Happening). They keep us apart from the other kids. They try to keep us from each other. ""We're no good"" is what they say. But we just see this world in a different way. 'Cause we're bad, bad seeds. Bad, bad, bad bad seeds. We're bad, bad seeds. Bad, bad. They make alot of rules. They tell alot of lies. If we don't wanna, we won't behave. And they can't make us, cause we can't be made. 'Cause we're bad, bad seeds. Bad, bad, bad bad seeds. We're bad, bad seeds. Bad, bad. A new generation from the teenage nation. This time, let's do it right. We're bad, bad seeds. Bad, bad, bad bad seeds. We're bad, bad seeds. Bad, bad. We're bad, bad seeds. Bad, bad, bad bad seeds."
between us,"(Neil Innes). I'm looking at you. You're looking at me.. Between us, it's all so easy to see.. We were made for each other, girl.. We were made for each other.. Between us - love that we've got.. Between us - two hearts are one.. Between us - nothing can come between us.. Whatever we do, whenever we kiss.. Between you and me, it's not near a miss.. We were made for each other, girl.. We were made for each other.. Between us - love that we've got.. Between us - two hearts are one.. Between us - nothing can come between us.. Between us - nothing can come between us.. Between us - nothing can come, nothing can come between us.. Between us - love that we've got.. Between us - two hearts are one.. Between us - nothing can come between us.. Between us - nothing can come between us.."
