beelzeboss (the final showdown),"Beelzeboss. I am complete!. Tenacious d. (both) fuuck. Beelzeboss. Yes you are fucked. Shit out of luck!. Now I'm complete and my cock you will suck!. This world will be mine. And you're first in line!. You brought me the pick and now you shall both die!. Tenacious d. (j. b.) waait waait waait your mother-fucker. We challenge you to a rock off. (both) give us one chance to rock your socks off. Beelzeboss. Fuck! fuck!. Fuuck, the demon code prevents me. From declining a rock off challenge!. What are your terms?. What's the caatch?. Tenacious d. (j. b.) if we win. You must take your sorry ass back to hell. And also you will have to pay our rent. Beelzeboss. And what if I win?. Tenacious d. (j. b.) then you can take k. g. back to hell. (k. g.) what!. (j. b.) trust me kage it's the only way. (k. g.) what are you talking about?. (j. b.) to be your little bitch. Beelzeboss. Fine!. Let the rock off begin hahaha!. I'm the devil. I love metal!. Check this riff. It's fuckin' tasty!. I'm the devil I can do what I want. Whatever I've got I'm gonna flaunt!. There's never been a rock off that I've ever lost!. I can't wait to take k. g. back to hell. I'm gonna fill him with my hot demon gel!. I'll make him squeal like the scarlet pimpernel!. Tenacious d. (j. b.) noo!. C'mon k. g. ,let's fight his music with Our music. there's just no way that we can win that was a masterpeice. (j. b.) listen to me. (k. g.) he rocks too hard because he's not a mortal man. (j. b.) god dammit k. g. He gonna make you his sex slave. Your gonna gargle mayonnaise. (k. g.) noo. (j. b.) unless we bust a massive monster mamajam. (k. g.) dude. We've been through so much shit. (j. b.) de-activated lasers with my dick. (both) now it's time to blow this fucker down. (j. b.) c'mon k. g. now it's time to blow doors down. (k. g.) I hear you jables now it's time to blow doors down. (j. b.) light up the stage cuz its time for a showdown. (k. g.) we'll bend you over then we'll take ya to brown town. (both) now we've got to blow this fucker down. (k. g.) he's gonna rape me if we do not blow doors down. (j. b.) c'mon kage cuz it's time to blow doors down. (k. g.) ooh (beelzeboss) it's time for the black out. (j. b.) hey antichrist, beelzeboss. We know your weakness our rocket-sauce. We rock the casbah, and blow your mind. We will defeat you, for all mankind. You hold the sceptor, We hold the key. You are the devil. We are the d. (both) we are the d (x17). Beelzeboss. You guys are fuckin lame. come on kage your comin' with me. Taste my lightning suckers!. Tenacious d. (j. b.) noo!. Beelzeboss. Ow, fuck!. My fuckin horn!. Ohh no. Tenacious d. (j. b.) from where you came you shall remain until you are complete again. Beelzeboss. Noo!. Fuck you kage. and fuck you jables. I'll get you tenacious d!"
the metal,"You can't kill the metal. The metal will live on. Punk-Rock tried to kill the metal. But they failed, as they were smite to the ground. New-wave tried to kill the metal. But they failed, as they were stricken down to the ground. Grunge tried to kill the metal Ha,ha,ha,ha,ha,ha. They failed, as they were thrown to the ground. No-one can destroy the metal. The metal will strike you down with a vicious blow. We are the vanquished foes of the metal. We tried to win for why we do not know. New-wave tried to destroy the metal, but the metal had its way. Grunge then tried to dethrone the metal, but metal was in the way. Punk-rock tried to destroy the metal, but metal was much too strong. Techno tryed to defile the metal, but techno was proven wrong. Yeah!. Metal!. It comes from hell!"
tribute,"This is the greatest and best song in the world's. Tribute. Long time ago me and my brother Kyle here. we was hitchhikin' down a long and lonesome road. All of a sudden, there shined a shiny demon. In the middle of the road. And he said. ""Play the best song in the world. or I'll eat your soul. "" (soul). Well me and Kyle, we looked at each other. and we each said... ""Okay. "". And we played the first thing. that came to our heads. Just so happened to be. The Best Song in the World. it was The Best Song in the World. Look into my eyes and it's easy to see. One and one make two, two and one make three. It was destiny. Once every hundred-thousand years or so. When the sun doth shine and the moon doth glow. And the grass doth grow. Needless to say, the beast was stunned. Whip-crack went his Whoopy tail. And the beast was done. He asked us: "" (snort) Be you angels? "". And we said, ""Nay. We are but men. "". Rock!. Ahh, ahh, ahh-ah-ah. Ohh, whoah, ah-whoah-oh!. This is not The Greatest Song in the World, no. This is just a tribute. Couldn't remember The Greatest Song in the World, no, no. This is a tribute, oh. to The Greatest Song in the World, All right!. It was The Greatest Song in the World, All right!. It was the best muthafuckin' song. the greatest song in the world. [Free Style - ending with ""Ooh Mama, Lucifer! ""]. And the peculiar thing is this my friends. the song we sang on that fateful night. it didn't actually sound. anything like this song. This is just a tribute! You gotta believe me!. And I wish you were there!. Just a matter of opinion. Ah, fuck! Good God, gotta help me now. I'm so surprised to find. you can't stop me now. I'm on fire oh hallelujah I'm found!. Rich motherfucker could fuck a duck!. Ooh! Ooh!. All right!"
fuck her gently,"This is a song for the ladies. But fellas listen close.. You don’t always have to fuck her hard. In fact sometimes that’s not right to do. Sometimes you gotta make some love. And fuckin give her some smooches too.. Sometimes you got to squeeze,. Sometime you got to say please. Sometimes you got to say hey,. I’m gonna fuck you softly,. I’m gonna screw you gently,. I’m gonna hump you sweetly,. I’m gonna ball you discreetly.. Then you say hey I bought you flowers. Then you say wait a minute Sally. I think I got something in my teeth. Could you get it out for me?. That’s fucking TEAMWORK.. What’s your favorite position?. That’s cool with me. It’s not my favorite but I’ll do it for you.. What your favorite dish?. I’m not gonna cook it but. I’ll order it from Zanzibar.. Then I’m gonna love you completely,. Then I fuckin fuck you discreetly.. Then I fuckin bone you completely. But then I’m gonna fuck you hard.. Hard."
master exploder,"AUGH! AHGH! YEAH!!. I do not need, (he does not need). a microphone (a microphone). My voice is fuckin', (fuckin'). POWERFUL!. AUGH!! YEAH!!. Sorry. I did not mean, (he did not mean). To blow your mind (to blow your mind). But that shit happens to me,. All the time. Now take a look (take a look). Tell me what do you see (what do you see?). We've got the Pick of Destiny!. AAAH! AUGH!"
dude (i totally miss you),"Dude, I totally miss you. I really fucking miss you. I'm all alone,. All the time, all the time. Dude, I totally miss you. The things we did together. Where have you gone?. Totally miss the honesty. And special times, and honestly. I totally miss the fucked up thing ya do. Dude, I totally miss you. I totally miss you. Dude, I totally miss you. All the time. Aaaahhhhhhhh, aahhhhhh. Aaaaahhhhhh, aahhh (jb skit). Totally miss the honesty. And special times, and honestly. I totally miss the fucked up thing ya do. Dude, I totally miss you. I totally miss you. Dude, I totally miss you. All the time. (guitar solo). Totally miss the honesty. And special times, and honestly. I totally miss the fucked up thing ya do. Dude, I totally miss you. I totally miss you. Dude, I totally miss you. All the time. All the tiiiieeiiiimmmmee!"
classico,"Can't you see he's the man,. Let me hear you applaud,. He is more than a man. He's a shiny golden god.. If you think its time to fucking rock,. And fucking roll, out of control. Well then you know you've got to rock the block,. You fucking suck, my fucking cock. Cause when you rule, you fucking school,. All of the fools, out of there jewels. Cause if you think it's time to,. If you think it's time to,. If you think it's time to fucking rooooock.. He is going to kick your fucking ass,. And you know his name is Kyle Gass. Rocking and fucking rolling,. And fucking rocking, and fucking rolling. And fucking.....(JB SKIT)"
kickapoo,"..::Jack Black (Narrator)::... A long ass fuckin' time ago,. In a town called Kickapoo,. There lived a humble family. Religious through and through.. But, yeah, there was a black sheep. And he knew just what to do.. His name was young J.B. and he refused to step in-line.. A vision, he did see it. Fuckin' rockin' all the time.. He wrote a tasty jam and all the planets did align.. ..::Jack Black (Son)::... Oh, the dragon's balls were blazin' as I stepped into his cave,. Then I sliced his fuckin' cockles,. With a long and shiny blade!. 'Twas I who fucked the dragon,. Fuckalize sing-fuckaloo!. And if you try to fuck with me,. Then I shall fuck you too!. Gotta get it on in the party zone!. I got to shoot a load in the party zone!. Gotta lick a toad in the party zone!. Gotta suck a chode in the party zone!. [Crying]. ..::Meat Loaf (Father)::... You disobeyed my orders, son,. Why were you ever born?. Your brother's ten times better than you,. Jesus loves him more.. This music that you've played for us comes from the depths of hell.. Rock and roll's The Devil's work, he wants you to rebel.. You'll become a mindless puppet;. Beelzebub will pull the strings!. Your heart will lose direction,. And chaos it will bring.. You better shut your mouth,. you better watch your tone!. You're grounded for a week with no telephone!. Don't let me hear you cry,. Don't let me hear you moan!. You gotta praise The Lord when you're in my home!. ..::Jack Black (Son)::... Dio, can you hear me?. I am lost and so alone.. I'm asking for your guidance.. Would you come down from your throne?. I need a tight compadre who will teach me how to rock.. My father thinks you're evil,. But, man, he can suck a cock.. Rock is not The Devil's work,. It's magical and rad. I'll never rock as long as I am stuck here with my dad.. ..::Ronnie James Dio (Dio poster)::... I hear you, brave young Jables,. You are hungry for the rock.. But to learn the ancient method,. Sacred doors you must unlock.. Escape your father's clutches,. And this oppressive neighborhood.. On a journey you must go,. To find the land of Hollywoooooooood!. In The City of Fallen Angels,. Where the ocean meets the sand,. You will form a strong alliance,. And the world's most awesome band.. To find your fame and fortune,. Through the valley you must walk.. You will face your inner demons.. Now go my son and rooooooooock!. ..::Jack Black (Narrator)::... So he bailed from fucking Kickapoo With hunger in his heart;. And he journeyed far and wide to find the secrets of his art;. But in the end he knew that he would find his counterpart.. Rooooock. Rah-ha-ha-ha-hock. Ro-hoh-hoh-hey-yeah-hey-yeah-hey-fuck-yeah-hey-fuck-yeah-hey-fuck-yeah-hoh-roooock."
rock is dead,"Go. Rock is dead, rock is dead. Rock is dead, rock is dead. Talk to my friend, that's what he said. Is rock still around? No, rock is dead. It's all over, rock and roll is dead. Bottle of Jack, Mercury Fred. Muscle Car, Grateful Dead. Lord of the Rings, Zepplin of Led. Devil tattoo, Right said Fred. It's all over, rock and roll is dead. Take it, Kones!. Started with blues, Belly of lead. Then there was Elvis, Nicky some red. Beatles arrive, starded a trend. Axel Rose, give me some head. It's all over, rock and roll is dead. Rock is dead, rock is dead. Rock is dead, rock is dead. Get that freight train out of my head. Because a rock and a roll is a fuckin' dead. It's all over, rock and roll is dead. It's all over, rock and roll is dead. It's all over, rock and roll. Oh so baby now, rock and roll. R-r-r-r-r-rock and roll. Is dead. Woo"
rize of the fenix,"When The Pick of Destiny was released, it was a bomb. And all the critics said that the D was done. The sun had set and the chapter had closed. But one thing no one thought about was. The D would rise again. Just like the phoenix. We'll rise again. Cause the fiery heart of a champion cannot be quelched. By a failure or an embarassment. No way, no. And the critics all agreed. It was a stinky pile of cheese. But that does not mean that our hearts are not strong. Just like the phoenix. We'll rise again. Just like the phoenix. We'll rise again. Sunshine. It's a hell of a day. Riding back and it's heading your way. The D is here now we're putting on our show. We stick it up, now we nearly a weirdo. It's the rise of the phoenix. It's the power of the D. And you know you've seen us. Tenacious D is back. Let's make it all the way to the top. Full smoking, but I'm not gonna stop. Bossa nova it's a beatiful dance. Hot ... that's a lot of romance. It's the rise of the phoenix. And a rise to the power. It's the magical cleaner. Tenacious D is back. But what if it's true?. If Tenacious D has died what we will do?. And what will we do. About all the fans that have the D tattoo?. They'll have them removed. They'll have to laser off the D tattoos. Tattoos. They'll have to laser off the D tattoo. Wait a minute, Kage. What's that you say?. You know it's not too late. Yes, it is too late. We only need one hit. Just imagine it. We can be legit. Too legit to quit. One hit. One hit. One hit. Yeah, I'm hoping this is it. One hit. Fucking hit. Top 40 hit. Top 1000 hit. I don't care. As long as we get there. We start anew. And you can get a new Tenacious D tattoo. You can get a new Tenacious D tattoo"
