the weight,"I pulled in to Nazareth, was feeling 'bout half past dead. I just need some place where I can lay my head. ""Hey mister, can you tell me. where a man might find a bed? ''. He just grinned and shook my hand. ""No'' was all he said. Take a load off, Fanny. Take a load for free. Take a load off, Fanny. And you put the load right on me. I picked up my bag, I went looking for a place to hide. When I saw Carmen and the Devil walking side by side. I said ''Hey Carmen, come on, let's go downtown''. She said ''I gotta go but my friend can stick around''. Take a load off, Fanny. Take a load for free. Take a load off, Fanny. And you put the load right on me. Go down Miss Moses, there's nothing you can say. It's just old Luke. and Luke's waiting on the judgement day. ''Well, Luke my friend, what about young Anna-Lee? ''. He said ''Do me a favour son. won't you stay and keep Anna-Lee company? ''. Take a load off, Fanny. Take a load for free. Take a load off, Fanny. And you put the load right on me. Crazy Chester followed me and he caught me in the fog. He said ''I will fix your rat. if you'll take Jack my dog''. I said ''Wait a minute Chester. you know I'm a peaceful man''. He said ''That's okay boy. won't you feed him when you can? ''. Take a load off, Fanny. Take a load for free. Take a load off, Fanny. And you put the load right on me. Catch a cannonball now to take me down the line. My bag is sinking low and I do believe it's time. To get back to Miss Fanny, you know she's the only one. Who sent me here with her regards for everyone"
bessie smith,"(intro) C F F#dim C Am D7 F C F. [C]Bessie was [C/G#)more than [Am]just a [D7]friend of mine [F] [G]. [C]We shared the [E]good times with the [Am]bad [D7] [F]. [C]Now [C/G#]many a [Am]year has [D7]passed me by [F] [G]. [C]I still re[E]call the best [Am]thing I ever had [F] [G]. [C]I'm just goin' down the road t' see [F]Bessie. [C]Oh, See her soon [G] (riff). [C]Goin' down the road t' see [F]Bessie [F#dim]Smith. When I [C]get [Am]there I [D7]wonder [F]what she'll do [C] [F]. Now all the crazy things I had to try. Well I tried them all and then some. But if you're lucky one day you find out. Where it is you're really comin' from. I'm just goin' down the road t' see Bessie. Oh, See her soon. Goin' down the road t' see Bessie Smith. When I get there I wonder what she'll do. Now in my day I've made some foolish moves. But back then, I didn't worry 'bout a thing. And now again I still wonder to myself. Was it her sweet love or the way that she could sing. I'm just goin' down the road t' see Bessie. Oh, See her soon. Goin' down the road t' see Bessie Smith. When I get there I wonder what she'll do. There's so much time has gone right on by. I didn't think one could be so wrong. And then one night I was drinkin' and a-thinkin'. In the bottom of the glass I could see Bessie's face so strong. I'm just goin' down the road t' see Bessie. Oh, See her soon. Goin' down the road t' see Bessie Smith. When I get there I wonder what she'll do. When she sees me will she know what I've been through?. Will old times start to feelin' like new?. When I get there will our love still feel so true?. Yet all I have, I'll be a-bringin' it to you. Oh Bessie, sing them old-time blues."
up on cripple creek,"A D. When I get off of this mountain, you know where I want to go?. A D E. Straight down the Mississippi river, to the Gulf of Mexico. A D. To Lake Charles, Louisiana, little Bessie, girl that I once knew. A D E. She told me just to come on by, if there's anything she could do. Refrain:. A. Up on Cripple Creek she sends me. D. If I spring a leak she mends me. E. I don't have to speak, she defends me. F#m G. A drunkard's dream if I ever did see one. Good luck had just stung me, to the race track I did go. She bet on one horse to win and I bet on another to show. The odds were in my favor, I had 'em five to one. When that nag to win came around the track, sure enough she had won. (refrain). I took up all of my winnings, and I gave my little Bessie half. And she tore it up and threw it in my face, just for a laugh. Now there's one thing in the whole wide world, I sure would like to see. That's when that little love of mine, dips her doughnut in my tea. (refrain). Now me and my mate were back at the shack, we had Spike Jones on the box. She said, ""I can't take the way he sings, but I love to hear him talk"". Now that just gave my heart a throb, to the bottom of my feet. And I swore and I took another pull, my Bessie can't be beat. (refrain). Now there's a flood out in California and up north it's freezing cold. And this living on the road is getting pretty old. So I guess I'll call up my big mama, tell her I'll be rolling in. But you know, deep down, I'm kind of tempted. To go and see my Bessie again.. (refrain)."
tombstone,"ItæŠ¯ impatience thatæŠ¯ holding back the clocks. ItæŠ¯ a life of dates and documents. The soul searchers wheel and deal. If youæŠ®e looking for repentance. TheyæŠ£l hand you down a sentence. Far away in Pittsburg or Paris. LoveæŠ¯ for sale and so reasonably priced. The answers are few and far between. It just bed sheets, my friend. TheyæŠ®e blowin?in the wind. Chorus. Tombstone, Tombstone I know your face. One day IæŠ£l meet you down at that special place. The hard-earned wisdom of the night is all for hire. And I canæŠ° tell a shooting star from a bird on fire. Tombstone, Tombstone. Tombstone, Tombstone. ThereæŠ¯ a pump organ that lives on air. I can hear it from the market place. Pallid mourners in the crowd. Some are withered but alive. Where a burnin?past can find. The parishioners pour into the square. Thinking there before his grace go I. By they are mum with deafened ears. The neediest of sinners. Will forget it before dinner. Chorus. Tombstone, Tombstone. I know your face. One day IæŠ£l meet you down at that special place. The hard-earned wisdom of the night is all for hire. And I canæŠ° tell a shooting star from a bird on fire. Tombstone, Tombstone. Tombstone, Tombstone. Are you the jailer or will you set me free. How many misdemeanors can one felony. Tombstone. Chorus. Tombstone, Tombstone. I know your face. One day IæŠ£l meet you down at that special place. The hard-earned wisdom of the night is all for hire. And I canæŠ° tell a shooting star from a bird on fire. Tombstone, Tombstone. Tombstone, Tombstone. Tombstone, Tombstone."
the night they drove old dixie down,"Virgil Caine is the name, and I served on the Danville train,. 'Til Stoneman's cavalry came and tore up the tracks again.. In the winter of '65, We were hungry, just barely alive.. By May the tenth, Richmond had fell,. it's a time I remember, oh so well,. . (Chorus). The Night They Drove Old Dixie Down,. and the bells were ringing,. The Night They Drove Old Dixie Down,. and the people were singin'. They went. La, La, La, La, La, La, La, La, La, La, La, La, La, La,La. . Back with my wife in Tennessee, When one day she called to me,. ""Virgil, quick, come see, there goes Robert E. Lee!"". Now I don't mind choppin' wood, and. I don't care if the money's no good.. Ya take what ya need and ya leave the rest,. But they should never have taken the very best.. (Chorus). Like my father before me, I will work the land,. Like my brother above me, who took a rebel stand.. He was just eighteen, proud and brave,. But a Yankee laid him in his grave,. I swear by the mud below my feet,. You can't raise a Caine back up when he's in defeat."
ferdinand the imposter,"A A/D A A/D A. (Intro). A Bm E D. Ferdinand standing in the tower thinkin how to get the power. Empress knows that it would cost her. For Ferdinand The Imposter. Came to me to make a deal,. Dressed like General Butterfield.. A Bm D E. Couldnt wait to thank him for the stuffed birds and rubber door. A G D. Donated to him from the poor. D A. But its just his game. D A. And he carries no shame. A G D. Still, he done nobody wrong. D A. He knew he didn't belong. D A. But he went along. C#m. D E E7. Looking to see if there's somebody else he'd like to be. Benny the Barber, Luke and me,. Passed out tickets cautiously,. To see the burning of the soup,. Down at Lucy's chicken coop.. Then of course Ferdinand,. Started out doing Charlie Chan.. That last atlas honkey's fall,. He says he's gonna do them all.. A voice just said he's not for real,. But its just his game,. And he carries no shame.. Still he done nobody wrong,. He knew he didn't belong,. But he went along.. Lookin' to see if there's somebody,. Else he'd like to be.. C#m Bm. Oh its hard, oh, don't you know. C#m Bm. To be somebody that you dont even know. A D. But he's friendly, yes he's kind. B E E7. I can't help wonderin why they'd want to change his mind. Got a message in the mail,. Ferdinand was thrown in jail.. I left the snow with Abigail,. Went on down to fix his bail.. They had him locked in a gunny sack,. His hands were tied behind his back.. He claimed he was a Doukhobor (*). But they never heard of that in Baltimore.. The police said he'd better go home,. And he went back alone,. Back to the snow.. Still he done nobody wrong,. He knew he didn't belong,. But he went along.. Lookin' to see if there's somebody,. Else he'd like to be,."
forever young,"May God bless and keep you always,. May your wishes all come true,. May you always do for others. And let others do for you.. May you build a ladder to the stars. And climb on every rung,. May you stay forever young,. Forever young, forever young,. May you stay forever young.. May you grow up to be righteous,. May you grow up to be true,. May you always know the truth. And see the lights surrounding you.. May you always be courageous,. Stand upright and be strong,. May you stay forever young,. Forever young, forever young,. May you stay forever young.. May your hands always be busy,. May your feet always be swift,. May you have a strong foundation. When the winds of changes shift.. May your heart always be joyful,. May your song always be sung,. May you stay forever young,. Forever young, forever young,. May you stay forever young.."
it makes no difference,"Guitar (capo 3rd fret). C G/B. It makes no diff'rence where I turn. Em G/D Am7. I can't get over you and the flame still burns. C G/B. It makes no diff'rence, night or day. Em G/D Am7. The shadow never seems to fade away. Am7/D G Em7 C D G C. And the sun don't shine anymore. G Em7 C D G C G. And the rains fall down on my door. . G. Now there's no love. Dm. As true as the love. C A7. That dies untold. G Em7 C D G C G. But the clouds never hung so low before. . It makes no diff'rence how far I go. Like a scar the hurt will always show. It makes no diff'rence who I meet. They're just a face in the crowd. On a dead-end street. And the sun don't shine anymore. And the rains fall down on my door. These old love letters. Well, I just can't keep. 'Cause like the gambler says. Read 'em and weep. And the dawn don't rescue me no more. D Bm. Without your love I'm nothing at all. C Cm. Like an empty hall it's a lonely fall. D Bm. Since you've gone it's a losing battle. C. Stampeding cattle. Am D. They rattle the walls. And the sun don't shine anymore. And the rains fall down on my door. Well, I love you so much. It's all I can do. Just to keep myself from telling you. That I never felt so alone before."
where do we go from here?,"Did you hear about the eagle of distinction. The one that came on every Friday afternoon. Well, it seems that eagle has near flown into extinction. Descending to the sand. His biggest enemy being man. Have you ever seen the freedom on the wing. Where do we go from here? I asked my woman. Where do we go from here? Oh woman, my woman. La la la la la la la la la, she said, nowhere. Did you hear about the railroad going under. How it seems its days are numbered on the board. Well, I feel sad about the railroad and it's no wonder. It'd run right by my door. I can't hear it anymore. How can you get to sleep when the whistle don't moan. Where do we go from here? Is there no way of knowing. Where do we go from here? Oh, I need to be shown. La la la la la la la la la, they said, somewhere. Have you heard about the buffalo on the plain. And how at one time they'd stampede a thousand strong. Now that buffalo's at the zoo standing in the rain. Just one more victim of fate. Like California state. You sure do miss the silence when it's gone. Where do we go from here? I hear from no one. Where do we go from here? Could you tell me, someone. La la la la la la la la la, I'd go anywhere."
the well,"I took my bucket down to the well. There's a (desert?) woman, sweet mystery. She let the rope fall down in the well. Like it was meant to be. She put the jug upon her head. Walked with her back to the wind. I followed her tracks the moment she said. ""Why don't you come in?"". chorus:. She killed the light, she dropped her glove. She said ""Are you looking for trouble. Or looking for love, love, love?"". I woke in the morning dying of thirst. Headed straight back to the well. There she was with a jug on her head. The rope had just fell. The well in her eyes was deep and black. With no question or answer. She wiped my brow and I followed her back. To the Tropic of Cancer. chorus."
