let it be,"When I find myself in times of trouble. Mother Mary comes to me. Speaking words of wisdom, let it be. And in my hour of darkness. She is standing right in front of me. Speaking words of wisdom, let it be. Let it be, let it be. Let it be, let it be. Whisper words of wisdom, let it be. And when the broken hearted people. Living in the world agree. There will be an answer, let it be. For though they may be parted. There is still a chance that they will see. There will be an answer, let it be. Let it be, let it be. Let it be, let it be. There will be an answer, let it be. Let it be, let it be. Let it be, let it be. Whisper words of wisdom, let it be. Let it be, let it be. Let it be, yeah let it be. There will be an answer, let it be. Let it be, let it be. Let it be, yeah let it be. There will be an answer, let it be. And when the night is cloudy. There is still a light that shines on me. Shine on until tomorrow, let it be. I wake up to the sound of music,. Mother Mary comes to me. Speaking words of wisdom, let it be. Let it be, let it be,. Let it be, let it be,. There will be an answer, let it be. Let it be, let it be. Let it be, yeah let it be. Whisper words of wisdom, let it be"
yesterday,"Yesterday. All my troubles seemed so far away. Now it looks as though they're here to stay. Oh, I believe. In yesterday. Suddenly. I'm not half the man I used to be. There's a shadow hanging over me. Oh, yesterday. Came suddenly. Why she. Had to go I don't know. She wouldn't say. I said. Something wrong now I long. For yesterday. Yesterday. Love was such an easy game to play. Now I need a place to hide away. Oh, I believe. In yesterday. Why she. Had to go I don't know. She wouldn't say. I said. Something wrong now I long. For yesterday. Yesterday. Love was such an easy game to play. Now I need a place to hide away. Oh, I believe. In yesterday"
hey jude,"Hey, Jude, don't make it bad. Take a sad song and make it better. Remember to let her into your heart. Then you can start to make it better. Hey, Jude, don't be afraid. You were made to go out and get her. The minute you let her under your skin. Then you begin to make it better. And anytime you feel the pain. Hey, Jude, refrain. Don't carry the world. Upon your shoulders. Well you know that it's a fool. Who plays it cool. By making his world a little colder. Na na na na na na na na na. Hey, Jude, don't let me down. You have found her now go and get her. Remember to let her into your heart. Then you can start to make it better. So let it out and let it in. Hey, Jude, begin. You're waiting for someone to perform with. And don't you know that is just you?. Hey, Jude, you'll do. The movement you need. Is on your shoulder. Na na na na na na na na na. Hey, Jude, don't make it bad. Take a sad song and make it better. Remember to let her under your skin. Then you begin to make it better. Better, better, better, better, better. Na, na, na, na na na na, na na na na, hey Jude. Na, na, na, na na na na, na na na na, hey Jude. Na, na, na, na na na na, na na na na, hey Jude. Na, na, na, na na na na, na na na na, hey Jude. Na, na, na, na na na na, na na na na, hey Jude"
all my loving,"Close your eyes and I'll kiss you. Tomorrow I'll miss you. Remember I'll always be true.. And then while I'm away. I'll write home every day. And I'll send all my loving to you.. I'll pretend that I'm kissing. The lips I am missing. And hope that my dreams will come true.. And then while I'm away. I'll write home every day. And I'll send all my loving to you.. All my loving I will send to you.. All my loving, darling I'll be true.. Close your eyes and I'll kiss you. Tomorrow I'll miss you. Remember I'll always be true.. And then while I'm away. I'll write home every day. And I'll send all my loving to you.. All my loving I will send to you.. All my loving, darling I'll be true.. All my loving. All my loving (uuh uuh). All my loving I will send to you."
in my life,There are places I remember. All my life though some have changed. Some forever not for better. Some have gone and some remain. All these places had their moments. With lovers and friends I still can recall. Some are dead and some are living. In my life I've loved them all. But of all these friends and lovers. There is no one compares with you. And these memories lose their meaning. When I think of love as something new. Though I know I'll never lose affection. For people and things that went before. I know I'll often stop and think about them. In my life I'll love you more. Though I know I'll never lose affection. For people and things that went before. I know I'll often stop and think about them. In my life I'll love you more. In my life I'll love you more...
blackbird,Blackbird singing in the dead of night. Take these broken wings and learn to fly. All your life. You were only waiting for this moment to arise.. Blackbird singing in the dead of night. Take these sunken eyes and learn to see. All your life. You were only waiting for this moment to be free.. Blackbird fly Blackbird fly. Into the light of the dark black night.. Blackbird fly Blackbird fly. Into the light of the dark black night.. Blackbird singing in the dead of night. Take these broken wings and learn to fly. All your life. You were only waiting for this moment to arise. You were only waiting for this moment to arise. You were only waiting for this moment to arise.
twist and shout,"Well, shake it up baby now. Twist and shout. Come on, come on, come on. come on baby now. Come on and work it on out. Well work it on out, honey. You know you look so good. You know you got me goin' now. Just like I knew you would. Well, shake it up baby now. Twist and shout. Come on, come on, come on. come on baby now. Come on and work it on out. You know you twist, little girl. You know you twist so fine. Come on and twist a little closer now. And let me know that you're mine. woo. Ah, ah, ah, ah. Yeah, shake it up baby now. Twist and shout. Come on, come on, come on. come on baby now. Come on and work it on out. You know you twist, little girl. You know you twist so fine. Come on and twist a little closer now. And let me know that you're mine. Well shake it, shake it, shake it, baby now. Well shake it, shake it, shake it, baby now. Well shake it, shake it, shake it, baby now. Ah, ah, ah, ah"
and i love her,"I give her all my love,. That's all I do;. And if you saw my love. You'd love her too,. I love her.. She gives me everything,. And tenderly;. The kiss my lover brings. She brings to me,. And I love her.. A love like ours. Could never die. As long as. I have you near me.. Bright are the stars that shine,. Dark is the sky;. I know this love of mine. Will never die,. And I love her.. Bright are the stars that shine,. Dark is the sky;. I know this love of mine. Will never die,. And I love her.. Ooooh..."
don't let me down,"Don't let me down, Don't let me down. Don't let me down, Don't let me down.. Nobody ever loved me like she does. Oooo she does... Yes she does.. And if somebody loved me like she do me. Oooo she do me... Yes she does.. Don't let me down, Don't let me down. Don't let me down, Don't let me down.. I'm in love for the first time. Don't you know it's gonna last. It's a love that lasts forever. It's a love that has no past.. Don't let me down, Don't let me down. Don't let me down, Don't let me down.. And from the first time that she really done me. Oooo she done me... She done me good.. I guess nobody ever really done me. Oooo she done me... She done me good.. Don't let me down, Don't let me down. Don't let me down, Don't let me down."
help!,"Help! I need somebody. Help! Not just anybody. Help! You know I need someone. Help!. When I was younger so much younger than today. I never needed anybody's help in any way. But now these days are gone. I'm not so self assured. Now I find I've changed my mind. I've opened up the doors. Help me if you can I'm feeling down. And I do appreciate you being 'round. Help me get my feet back on the ground. Won't you please, please, help me?. And now my life has changed in so many ways. My independence seems to vanish in the haze. But every now and then I feel so insecure. I know that I just need you like. I've never done before. Help me if you can I'm feeling down. And I do appreciate you being 'round. Help me get my feet back on the ground. Won't you please, please, help me?. When I was younger so much younger than today. I never needed anybody's help in any way. But now these days are gone. I'm not so self assured. Now I find I've changed my mind. I've opened up the doors. Help me if you can I'm feeling down. And I do appreciate you being 'round. Help me get my feet back on the ground. Won't you please, please, help me, help me, help me?. Oh"
