time won't let me go,"Whenever I look back. On the best days of my life. I think I saw them on T.V.. I am so homesick now. For someone that I never knew. I am so homesick for. Some place I will never be. Time won't let me go. Time won't let me go. And I could do it all again. I'd go back and change everything. But, Time won't let me go. I never had a summer of 69. Never had a cheery balance of my own. Oh, all these precious moments. You promised me would come in time. So where was I when I missed mine. Time won't let me go. Time won't let me go. If you could give back all those years. I'd do it all better I swear. Time won't let me go. Paaa papapapa papapapa papapa papa. Paaa papapapa papapapa papapa papa. Paaa papapapa papapapa papapa papa. Paaa papapapa papapapa papapa papa. If I could go back once again. I would change everything, yeah. If I could go back once again. I'd do it so much better. Time won't let me go. Time won't let me go. And I could do it all again. I'd go back and change everything. But you won't ever let me go"
ours,"After tonight,. Who knows where we'll be tomorrow. What if we're never here again?. After tonight. This will be a lifetime ago. So let's stay up until the sky bleeds red.. And we'll stop stop stop the world from moving. Stop stop stop the grass from turning. Stop this night from fading away. This time is ours. If I could hold this moment in my hands. I'd stop the world from moving. I'd stop the grass from turning. This time is ours. Inside a frozen memory of us. And we are motionless, motionless. Gone like a dream that I have just awoken from. Fading away, just out of reach. And we are here, but I already miss you. Even as you're lying next to me. And we'll stop stop stop the world from moving. Stop stop stop the grass from turning. Stop this night from fading away. This time is ours. If I could hold this moment in my hands. I'd stop the world from moving. I'd stop the grass from turning. This time is ours. inside a frozen memory of us. And we are motionless, motionless (3x). And we'll stop stop stop the world from moving. Stop stop stop the grass from turning. Stop this night from fading away, fading away. This time is ours. If I could hold this moment in my hands. I'd stop the world from moving. I'd stop the grass from turning. This time is ours. Inside a frozen memory of us. And we are motionless, motionless. This time is ours (5x)"
believe,The faces all around me they don't smile they just crack. Waiting for our ship to come but our ships not coming back. We do have time like pennies in a jar. What are we saving for [x2]. There's a smell of stale feeling that's drinking from my skins. The drinking never stops because the drink off all our. sins. We sit and throw our roots into the floor. What are we waiting for [x2]. [chorus]. So give me something to believe. Cause I am living just to breathe. And I need something more. To keep on breathing for. So give me something to believe. Something's always coming you can hear it in the ground. It swells into the air. With the rising. Rising sound. And never comes but shakes the boards and rattles all the doors. What are we waiting for [x2]. [chorus]. So give me something to believe. Cause I am living just to breath. And I need something more. To keep on breathing for. So give me something to believe. I am hiding from some beast. But the beast was always here. Watching without eyes. Because the beast is just my fear. That I am just nothing. Now its just what I've become. What am I waiting for. Its already done. Ohhhhhhh. [chorus]. So give me something to believe. Cause I am living just to breath. And I need something more. To keep on breathing for. So give me something to believe
unconditional,"I´ve spent my whole life surrounded. And I´ve spent my whole life alone. I wonder why, I never wonder why. The easiest things are so hard. I just want, i just want love. I just want, I just want love. I just want, I just want love. I just want something. Something for nothing (2X). I´m a beggar and a chooser. I´m accused and accuser. But nothing is unconditional. I hold the whole world accused. I´ve only got myself to blame. I wonder why, I never wonder why. The easiest things are so hard. I just want, I just want love (3X). I Just want something. Something for nothing (2X). I´m beggar and a chooser. I´m accused and accuser. But nothing is unconditional"
an honest mistake,People. They don't mean a thing to you. They move right through you. Just like your breath. But sometimes. I still think of you. And I just wanted to. Just wanted you to know. My old friend.... I swear I never meant for this. I never meant.... Don't look at me that way. It was an honest mistake. Don't look at me that way. It was an honest mistake. An honest mistake. Sometimes. I forget I'm still awake. I fuck up and say these things out loud. My old friend.... I swear I never meant for this. I never meant.... Don't look at me that way. It was an honest mistake. Don't look at me that way. It was an honest mistake. An honest mistake. Don't look at me that way. It was an honest mistake. Don't look at me that way. It was an honest mistake. An honest mistake
slow poison,"Burn, burn the house on fire. I'm so sick and tired. I can still remember your sound. It's cut cut cutting me. Down I'm locked and loaded. You're so milk and roses. And I am just a letdown of your hound. It's cut cut cutting me. Like slow poison. Cut down, slow poison. Sing me one more .... I have found my angel. Ah-ah-oh. She walks upon the ground. It's cut cut cutting me. Down on the empty can. I'm a stranger in a strange, strange land. Gone, gone, just gone without a sound. It's cut cut cutting me. Like slow poison. Cut down, like slow poison. And all of my dreams are only dreams. And all of my schemes are only schemes. And if this is my punishment. Then I want my card to fit. break .... Burn burn the house on fire. I'm so sick and tired. I can still remember your sound. It's cut cut cutting me down. Like slow poison. Cut down, like slow poison. It's cutting me. Like slow poison. Mayu (:"
song for jacob,"I saw Jacob, he lay in the street. He said the air out here is like amphetamine. And I never ever wanna sleep again. I wanna live till I die. They took all his money and all that he had. But he smiled with his eyes. and his face was bright red. And spit would run from his mouth when he said. I wanna live till I die. 'Cause I am alive and there's blood in my arms. This is a day that is brighter than bombs. This is a day that is brighter than bombs. I will live till I die. Till I die. There's more inside of me than skin and bones. I am born again today and. all my sins are washed away. There's more inside of me than skin and bones. Jacob sat on the roof and he said. Some day the earth will cast out its dead. If you dwell in the dust then wake up and sing. I will live till I die. Jacob smiled when he said to me. I am not waiting on the Red Sea. To open up and rain pearls on me. I will live till I die. Till I die. There's more inside of me than skin and bones. I am born again today. and all my sins are washed away. There's more inside of me than skin and bones. As long as I live and there's blood in my arms. This is a day that is brighter than bombs. This is a day that is brighter than bombs. This is a day that is brighter than bombs.. by: Mayu (:"
above and below,"Sometimes I feel. Like I wanna leave this place for good.. Under the ground,. I'll live down there without a sound.. And never hear these hissing voices all the same.. I'll disappear cause living makes me feel ashamed.. I must believe. There's more above us and below.. I must believe,. Stranded with this bitch called hope.. It keeps me here. When all I wanna do is go.. It keeps me here. When all I wanna do is disappear.. If this is it,. All we have and ever will.. If this is it,. Time is running out, I'm standing still. I leave today,. Cause there's nothing left to keep me here.. I'll fade away,. I'll turn my back and disappear.. The city moans,. and lunges up right from the ground.. The seething earth,. It opens up and spits us out.. This vicious child,. Nature never wanted us.. This vicious child,. A cancer burning black into its heart.. If this is it,. All we have and ever will.. If this is it,. Time is running out, I'm standing still. I leave today,. Cause there's nothing left to keep me here.. I'll fade away,. I'll turn my back and disappear.. Sometimes I feel. Like I wanna leave this place for good.. Under the ground,. I'll live down there without a sound.. And never hear these hissing voices all the same.. I'll disappear cause living makes me feel ashamed.. If this is it,. All we have and ever will.. If this is it,. Time is running out, I'm standing still. I leave today,. Cause there's nothing left to keep me here.. I'll go away,. I'll turn my back and disappear.. I'll turn my back, I'll disappear."
above and below,"Sometimes I feel. Like I wanna leave this place for good.. Under the ground,. I'll live down there without a sound.. And never hear these hissing voices all the same.. I'll disappear cause living makes me feel ashamed.. I must believe. There's more above us and below.. I must believe,. Stranded with this bitch called hope.. It keeps me here. When all I wanna do is go.. It keeps me here. When all I wanna do is disappear.. If this is it,. All we have and ever will.. If this is it,. Time is running out, I'm standing still. I leave today,. Cause there's nothing left to keep me here.. I'll fade away,. I'll turn my back and disappear.. The city moans,. and lunges up right from the ground.. The seething earth,. It opens up and spits us out.. This vicious child,. Nature never wanted us.. This vicious child,. A cancer burning black into its heart.. If this is it,. All we have and ever will.. If this is it,. Time is running out, I'm standing still. I leave today,. Cause there's nothing left to keep me here.. I'll fade away,. I'll turn my back and disappear.. Sometimes I feel. Like I wanna leave this place for good.. Under the ground,. I'll live down there without a sound.. And never hear these hissing voices all the same.. I'll disappear cause living makes me feel ashamed.. If this is it,. All we have and ever will.. If this is it,. Time is running out, I'm standing still. I leave today,. Cause there's nothing left to keep me here.. I'll go away,. I'll turn my back and disappear.. I'll turn my back, I'll disappear."
adored,"Louisiana, in the Bucket of Blood. That's where they met, his eyes were like mud. Cause his whole life he had nothing to see. But he held on to her and he found peace. He'd take her walking down by North Shore. And he always told her. we're meant for much more. We outta go off somewhere so pretty. And then a storm came and fucked up the. Crescent City. And then they were left with nothing. She said nothing's not so bad. It could be the best time that we ever had. Every single day. I can feel them chip, chip chipping away. If only we could run, run from these swine. Oh baby we are wasted in this time. Someday if we try. I know we could fly, fly, fly, fly, fly. We shine like gold. Oh baby we were born to be adored. And I can feel them staring in my face. Like they're dig, dig, digging me,. digging a grave. It's like these people are dead they're so weak. And someone dug them up and gave them. words for their lips to beat. And then they were left with nothing. She said nothing is not so bad. It could be the best time we ever had.. by: Mayu (:"
