mr. tambourine man,"Written by Bob Dylan. Hey! Mr. Tambourine Man, Play a song for me. I'm not sleepy and there ain't no place I'm going to. Hey! Mr. Tambourine Man, play a song for me. In the jingle jangle morning, I'll come followin' you. Take me for a trip upon your magic swirling ship. All my senses have been stripped. My hands can't feel to grip. My toes too numb to step. Wait only for my bootheels to be wandering. I'm ready to go anywhere, I'm ready for to fade. Into my own parade, cast your dancing spell my way. I promise to go under it. Hey! Mr. Tambourine Man, Play a song for me. I'm not sleepy and there ain't no place I'm going to. Hey! Mr. Tambourine Man, play a song for me. In the jingle jangle morning, I'll come followin' you"
turn! turn! turn!,"Words-adapted from The Bible, book of Ecclesiastes. Music-Pete Seeger. To Everything (Turn, Turn, Turn). There is a season (Turn, Turn, Turn). And a time to every purpose, under Heaven. A time to be born, a time to die. A time to plant, a time to reap. A time to kill, a time to heal. A time to laugh, a time to weep. To Everything (Turn, Turn, Turn). There is a season (Turn, Turn, Turn). And a time to every purpose, under Heaven. A time to build up,a time to break down. A time to dance, a time to mourn. A time to cast away stones, a time to gather stones together. To Everything (Turn, Turn, Turn). There is a season (Turn, Turn, Turn). And a time to every purpose, under Heaven. A time of love, a time of hate. A time of war, a time of peace. A time you may embrace, a time to refrain from embracing. To Everything (Turn, Turn, Turn). There is a season (Turn, Turn, Turn). And a time to every purpose, under Heaven. A time to gain, a time to lose. A time to rend, a time to sew. A time for love, a time for hate. A time for peace, I swear it's not too late"
fifth dimension,"5d (Fifth Dimension). The Byrds. Oh, how is it that I could come out to you,. And be still floatin',. And never hit bottom but keep falling through,. Just relaxed and paying attention?. All my two-dimensional boundaries were gone,. I had lost to them badly,. I saw that world crumble and thought I was dead,. But I found my senses still working.. And as I continued to drop through the hole,. I found all surrounding,. To show me that joy innocently is,. Just be quiet and feel it around you.. (Bridge). And I opened my heart to the whole universe,. And I found it was loving,. And I saw the great blunder my teachers had made,. Scientific delirium madness.. I will keep falling as long as I live,. Ah, without ending,. And I will remember the place that is now,. That has ended before the beginning .... Oh, how is it that I could come out to you,. And be still floatin',. And never hit bottom but keep falling through,. Just relaxed and paying attention?"
wasn't born to follow,"Oh I'd rather go and journey where the diamond crest is flowing and. Run across the valley beneath the sacred mountain and. Wander through the forest. Where the trees have leaves of prisms and break the light in colors. That no one knows the names of. And when it's time I'll go and wait beside a legendary fountain. Till I see your form reflected in it's clear and jewelled waters. And if you think I'm ready. You may lead me to the chasm where the rivers of our vision. Flow into one another. I will want to die beneath the white cascading waters. She may beg, she may plead, she may argue with her logic. And then she'll know the things I learned. That really have no value in the end she will surely know. I wasn't born to follow"
all the things,"All The Tings (McGuinn/Levy). See the sun how bright it is, it never was before. See the sun it shines right through my door but noone's there. I see warm smiles I never gave reflection in the air. All the things I want today, all the things I wasted on the way. See the earth how sweet it smells, I dnot know how it feels. See the earth it sleeps beneath my heels as I pass through. I see tears that I never shed in every drop of dew. All the things I want today, all the things I wasted on the way. Hear the sky singing the songs that I could have played. Too busy talking to prove that I was not afraid. See this dried up broken straw turning into rock. See this dried up broken straw forgotten and left behind. and see deeds that I never done are flowing in the wine. All the things I want today, all the things I wasted. All the things I want today, all the things I wasted. All the things I want today, all the things I wasted on the way. The Byrds ""Untitled"". Columbia Records 1970"
antique sandy,"Antique Sandy (Roger McGuinn). Antique Sandy lived in the woods. And she'd go to the stream when the weather was good. She'd take down the washin for her old man to wear. And she tried not to get eaten by the bear. She'd fly to the market in her worn out old balloon. That she traded with the flyer for an antique silver spoon. And when she got home she'd cook upon the wooden stove. And she'd go to sleep and listen to the whispers of the grove. At night she dreamed of places where she lived when she was young. Where the corn strip stretched for miles like a giant serpent's tongue. Electric lights and phone bells and every light insane (?). Like a hundred thousand hungry miles meeting at her brain. I greet her in the morning when she wakes up in my arms. And I tell her that I love her and I'll keep her free from harm. I hold her close she matters she is all the world to me. Cause she's my Antique Sandy and she's in love with me. Copyright @ 1971 Patian & Jackelop Music/BMI. From the ""Farther Along"" LP Columbia Records 1971"
artificial energy,"Written by McGuinn, Hillman, Clarke. Sitting all alone now. I took my ticket to ride. Just a matter of time now. Til i'll be up in the sky.. Coming up on me now. I'm king for a night. What's it gonna be now?. How willful things are building insight. Do you think it's really the trip that you seek?. I've got my doubts it's happened to me.. Artificial energy. Is racing in my mind. I've got a strange feeling. I'm going to die before my time. Cause i'm coming down off amphetamines. And i'm in jail 'cause i killed the queen.."
all i really want to do,"Written by Bob Dylan. . I ain't lookin' to compete with you. Beat or cheat or mistreat you. Simplify you, classify you. Deny, defy, or crucify you. All I really want to do. Is baby be friends with you. No, I ain't lookin' to fight with you. Frighten you or uptighten you. Drag you down or bring you down. Chain you down or bring you down. All I really want to do. Is baby be friends with you. I don't want to fake you out. Take or shake or forsake you out. I ain't lookin' for you to feel like me. See like me or be like me. I don't want to meet your kin. Make you spin or do you in. Or select you or dissect you. Or inspect you or reject you. All I really want to do. Is baby be friends with you. Is baby be friends with you. Is baby be friends with you."
my back pages,"Written by Bob Dylan. Crimson flames tied through my years. Rollin high and mighty trapped. Countless violent flaming roads. Using ideas as my map. ""We'll meet on edges soon"" said I. Proud 'neath heated brow. Ah but I was so much older then. I'm younger than that now. Half wracked prejudice leaped forth. ""Rip down all hate"" I screamed. Lies that life is black and white. Spoke from my skull. I dreamed. Romantic flanks of musketeers. Foundationed deep, somehow. Ah but I was so much older then. I'm younger than that now. In a soldier's stance, I aimed my hand. At the mongrel dogs who teach. Fearing not I'd become my enemy. In the instant that I preach. Sisters fled by confusion boats. Mutiny from stern to bow. Ah but I was so much older then. I'm younger than that now. My guard stood hard when abstract threats. Too noble to neglect. Deceived me into thinking. I had something to protect. Good and bad I define these terms. Quite clear, no doubt, somehow. Ah but I was so much older then. I'm younger than that now."
you're still on my mind,"The jukebox is playing a honky tonk song. One more I keep saying and then I'll go home. What good would it do me, I know what I'll find. An empty bottle of broken hearts. and you're still on my mind. The people are laughing and having their fun. While I sit here crying over what you have done. My pockets are empty, my last drink of wine,. An empty bottle of broken hearts. and you're still on my mind. Alone and forsaken, so blue I could die. I just sit here drinking. till the bottle runs dry. To try and forget you. I turn to the wine. An empty bottle of broken hearts. and you're still on my mind"
the christian life,Written by Louvin/Louvin. My buddies tell me that I should've waited. They say I'm missing a whole world of fun. But I still love them and I sing with pride. I like the Christian life. I won't lose a friend by heeding God's call. For what is a friend who'd want you to fall. Others find pleasure in things I despise. I like the Christian life. My buddies shun me since I turned to Jesus. They say I'm missing a whole world of fun. I live without them and walk in the light. I like the Christian life. I won't lose a friend by heeding God's call. For what is a friend who'd want you to fall. Others find pleasure in things I despise. I like the Christian life. I like the Christian life.
he was a friend of mine,"Traditional with additional lyrics by Jim McGuinn. He was a friend of mine. He was a friend of mine. His killing had no purpose. No reason, or rhyme. He was a friend of mine. He was in Dallas town. He was in Dallas town. Form a sixth floor window. A gunner shot him down. He died in Dallas town. He never knew my name. He never knew my name. Though I never met him. I knew him just the same. Oh, he was a friend of mine."
chimes of freedom,"Far between sundown's finish and midnight's broken toll. We ducked inside the doorway, thunder crashing. As majestic bells of bolts, struck shadows in the sounds. Seeming to be the chimes of freedom flashing. Flashing for the warriors, whose strength is not to fight. Flashing for the refugees on the unarmed road of flight. And for each and every underdog soldier in the night. We gazed upon the chimes of freedom flashing. Even though a cloud's white curtain in a far off corner flashed. And the hypnotic splattered mist was slowly lifting. Electric light still struck like arrows, fired but for the ones. Condemned to drift or else be kept from drifting. Tolling for the searching ones, on their speechless seeking trail,. For the LONESOME HEARTED lovers, with too personal a tale. And for each unharmful gentle soul misplaced inside a jail. And we gazed upon the chimes of freedom flashing. Starry eyed and laughing, as I recall when we were caught. Trapped by no track of hours for they hanged suspended. And we listened one last time, and we watched with one last look. Spellbound and swallowed till the tolling ended. Tolling for the aching ones whose wounds cannot be nursed. For the countless confused, accused, misused, strung-out ones and worse. And for every hung-up person in the whole wide universe. We gazed upon the chimes of freedom flashing"
