angel with a shotgun,"(I'm an angel with a shotgun, shotgun, shotgun,. An angel with a shotgun, shotgun, shotgun...). Get out your guns, battles begun,. Are you a saint, or a sinner?. If loves a fight, than I shall die,. With my heart on a trigger.. They say before you start a war,. You better know what you're fighting for.. Well baby, you are all that I adore,. If love is what you need, a soldier I will be.. I'm an angel with a shotgun,. Fighting til' the wars won,. I don't care if heaven won't take me back.. I'll throw away my faith, babe, just to keep you safe.. Don't you know you're everything I have?. ... and I, wanna live, not just survive, tonight.. Sometimes to win, you've got to sin,. Don't mean I'm not a believer.. ... and major tom, will sing along.. Yeah, they still say I'm a dreamer.. They say before you start a war,. You better know what you're fighting for.. Well baby, you are all that I adore,. If love is what you need, a soldier I will be.. I'm an angel with a shotgun,. Fighting til' the wars won,. I don't care if heaven won't take me back.. I'll throw away my faith, babe, just to keep you safe.. Don't you know you're everything I have?. ... and I, wanna live, not just survive, tonight.. Ooohhh, ooohhh whoa whoa oooh whoa. I'm an angel with a shotgun.... Fighting til' the wars won.... I don't care if heaven won't take me back.... I'm an angel with a shotgun,. Fighting til' the wars won,. I don't care if heaven won't take me back.. I'll throw away my faith, babe, just to keep you safe.. Don't you know you're everything I have?. (I'm an angel with a shotgun). ... and I, want to live, not just survive, tonight.. (live, not just survive). ... and I'm gonna hide, hide, hide my wings tonight.. They say before you start a war,. You better know what you're fighting for.. Well baby, you are all that I adore,. If love is what you need, a soldier I will be."
intoxicated,"And I think you're from another world. And I, I couldn't love another girl. Cause you, you make me feel like I'm Intoxicated. In a room full of frozen faces. In a moment of fractured time. We eclipse in a conversation. As the words, they pass us by. With you we could be the only ones here. Cause I think you're from another world. And I, I couldn't love another girl. Cause you, you make me feel like I'm Intoxicated, toxicated. To the sky, flying high, take me to the moon. Day or night, we don't have to say a word. Cause you make me feel like I'm Intoxicated, toxicated. Your eyes like a shot of whiskey. Warms me up like a summer night. Can you tell that I need you with me. Let me drink you down tonight. No I don't just want any pretty face. Wanna wake up next to yours each day. Babe, I want you be my saving grace tonight, tonight. With you we could be the only ones here. Cause I think you're from another world. And I, I couldn't love another girl. Cause you, you make me feel like I'm Intoxicated, toxicated. To the sky, flying high, take me to the moon. Day or night we don't have to say a word. Cause you make me feel like I'm Intoxicated, toxicated. Feel like I black out, pass out. Every time that we touch. And if it hurts in the morning. Then it must be love. I Want your heart, Baby straight no chaser. I wanna feel it in my head when I wake up [when I wake up]. And I think you're from another world. And I, I couldn't love another girl. Cause you, you make me feel like I'm Intoxicated, toxicated. To the sky, flying high, take me to the moon. Day or night we don't have to say a word. Cause you make me feel like I'm Intoxicated, toxicated. To the sky, flying high, take me to the moon. Day or night we don't have to say a word. Cause you make me feel like I'm Intoxicated, toxicated. And I think you're from another world. And I, I couldn't love another girl. Cause you, you make me feel like I'm Intoxicated"
endlessly,"There's a shop down the street. Where they sell plastic rings. For a quarter a piece I swear it. Yeah I know that it's cheap. Not like gold in your dreams. But I hope that. You'll still wear it. Yeah, the ink may stain my skin. And my jeans may all be ripped. I'm not perfect but I swear. I'm perfect for you. And there's no guarantee. That this'll be easy. It's not a miracle you need. Believe me. Yeah I'm no angel. I'm just me. But I will love you endlessly. Wings aren't what you need. You need me. There's a house on the hill. With a view of the town. And I know how you adore it. So I'll work everyday. Through the sun and the rain. Until I can afford it. Yeah your friends might think I'm crazy. But they can only see. I'm not perfect, but I swear I'm perfect for you. And there's no guarantee. That this'll be easy. It's not a miracle you need. Believe me. Yeah I'm no angel. I'm just me. But I will love you endlessly. Wings aren't what you need. You need me. (You need me, I know you need me,. You need me, I know you need me). Ink may stain my skin. And my jeans may all be ripped. I'm not perfect but I swear. I'm perfect for you. And there's no guarantee. That this'll be easy (this'll be easy). It's not a miracle you need. Believe me (don't you believe me). Yeah I'm no angel. I'm just me. But I will love you endlessly. Wings aren't what you need. You need me (You know You need me). There's a shop down the street. Where they sell plastic rings. For a quarter a piece I swear it. Yeah I know that it's cheap. Not like gold in your dreams. But I hope that. You'll still wear it"
animal,"Wooo! Yaow!. Baby girl, I'm not quite human, and I'm not quite a machine. So I guess. That leaves you staring at something that's somewhere in between. Yeah, I'm. Another hungry lover, but I was born a different breed. Yeah, I can shake. You, but then I'd break you, and baby sweat is guaranteed.. I wish I could give you my love and my soul, but it's time I trust that. There's nobody home. My heart may be missing, but my hands will recover it.. Don't think this is innocent. I sink my teeth right into it. My eyes and my. Mouth agree- you'll be coming home with me. Cause girl, you know. Girl, you. Know. Cause girl, you know. I'm an animal (animal) animal. I'm just a. Animal, animal.. Girl you locked the door behind you when you walked into my room. And your. Eyes have got me thinking that maybe there's a different side of you. Cause. When I'm attacking, your nails are scratching, so I wonder could it be -. That when your clothes fall to your feet, you could be an animal like me.. I wish I could give you my love and my soul, but it's time I trust that. There's nobody home. My heart may be missing, but my hands will recover it.. Don't think this is innocent. I sink my teeth right into it. My eyes and my. Mouth agree- you'll be coming home with me. Cause girl, you know. Cause. Girl, you know. Cause girl, you know. I'm an animal (animal) animal. I'm. Just a animal, animal.. Crawling on your hands and knees slowly over to me, reach out to touch my. Face. Anticipation. Push me up against the wall. Whispers and mix in all. These tricks you try to pull. Manipulation.. My heart may be missing, but my hands will recover it. Don't think this is. Innocent. I sink my teeth right into it. My eyes and my mouth agree- you'll. Be coming home with me. Cause girl, you know. Cause girl, you know. Cause. Girl, you know. I'm an animal (animal) animal. I'm just a animal, animal."
lock me up,"Time to listen to my confession. I'm much less than I wanted to be. You shine a light on my dark side. But you don't care what you see. Overjoyed. Over you. Overnight. But that's what you do. Why don't you lock me up with joy and kisses?. Lock me up with love. Chain me to your heart's desire. I don't want you to stop. Lock me in, and hold this moment. Never get enough. Ain't no way, I'm never breaking free. Lock me up. OOh. OOh. OOh. Lock me up. Criticize. You don't analise me. 'cause you can see what I'm trying to be. I've been lost. And I've been blinded by all the things that I've seen. Overjoyed. Over you. Overnight. Girl, that's what that you do. Why don't you lock me up with joy and kisses?. Lock me up with love. Chain me to your heart's desire. I don't want you to stop. Lock me in, and hold this moment. Never get enough. Ain't no way, I'm never breaking free. Lock me up. OOh, (Why don't ya). OOh, (Why don't ya). OOh, (Why don't ya). Lock me up. Overjoyed. Over you. Overnight. Girl, that's what that you do. Why don't you lock me up with joy and kisses?. Lock me up with love. Chain me to your heart's desire. I don't want you to stop. Lock me in, and hold this moment. Never get enough. Ain't no way, I'm never breaking free. Lock me up. OOh, (Why don't ya). OOh, (Why don't ya). OOh, (Why don't ya). Lock me up"
zzzzz,"And I?m up down spinning around. I?m high and dry and kicked to the ground. I?m lost and I'll never be found. My lips were much too shy. The lines about you they never rhymed. And you said I?d never get things right. (I never said it was the best thing for you). And baby where?d you go. I need you here tonight. [chorus]. Singing myself to sleep. And you?re still my favorite melody. It?s been three weeks. How long can this go on. Singing myself to sleep. And you?re haunting every memory. Goodbye, get out, of my life. Goodnight. And you?re hot cold. You?re bad around the bones. You run while I lose control. I miss you forever you?ll stay gold. And girl you know I?m not getting by. I?ve lost it you?re in my mind. And everyday?s the darkest day of my life. (I never said it was the best thing for you). And baby where?d you go. I need you here tonight. [chorus]. Singing myself to sleep. And you?re still my favorite melody. It?s been three weeks. How long can this go on. Singing myself to sleep. And you?re haunting every memory. Goodbye, get out, of my life. Goodnight. [bridge]x2. Cause I?m drowning when I close my eyes. And I?m falling can?t breathe tonight. and our story has fade to black inside (inside). [chorus]. Singing myself to sleep. And you?re still my favorite melody. It?s been three weeks. How long can this go on. Singing myself to sleep. And you?re haunting every memory. Goodbye, get out, of my life. Goodnight. [bridge]. Cause I?m drowning when I close my eyes. And I?m falling can?t breathe tonight. and our story has fade to black inside (inside)"
bad,"It feels just like it was yesterday. We were in love. Why's it falling apart. I've never been one to walk away. But I've had enough. And it's breaking my heart. Cause you love me just the way that you should. It's nothing that you do. No it's nothing you say. Yeah baby, I know that you're good. But I don't want a good girl No, not today. Cause I want it bad I want a bad girl, baby, bad. I want a love that's crazy, yeah. I want a bad girl, baby, bad I want it bad. I want a girl who stays out too late. And when I call. She doesn't answer the phone. Oh, I want a girl who likes it her way. And through it all. I know I'll end up alone. Yeah yeah, you love me just the way that you should. It's nothing that you do No no, it's nothing you say. Oh pretty baby, I know that you're good. But I don't want a good girl, No not today Mmm. Cause I want it bad I want a bad girl, baby, bad. I want a love that's crazy, yeah. I wanna fight I wanna rock and roll and party all night. Yeah, I want it bad I want a bad girl, baby, bad I want it bad. I'm getting sick of predictable. Tired of acting logical. Oh yeah, I gotta shake it up tonight. Yeah girl I want something physical. Not something invisible, oh yeah. I'm tired of being good, let's be bad. I want a bad girl baby, bad. And I want a love that's crazy, yeah. I want a bad girl, baby, bad. I want a love that's crazy, yeah I wanna fight. I wanna rock and roll and party all night. Yeah, I want it bad I want a bad girl, baby, bad. I want a love that's crazy, yeah. I wanna fight I wanna rock and roll and party all night. Yeah, I want it bad"
her love is my religion,"I said her love is my religion, is my religion,. is my religion, is my religion. Some have them Bibles, and some go to church. Well I found my heaven, inside of her. We all need something to believe, gotta find our destiny. I've got her and she's got me. I see her when I close my eyes, she's my only G-d in life. Never gonna say goodbye. Cause I see the stars and the freckles on her face. And I'm seeing G-d every time she says my name. So mother Mary pray for me whenever I'm so lost. Her love is my religion. Some have their crosses and their golden gates. Well she is the grace I wear when I lose my faith. We all need something to believe,. the words we say before we sleep. Close my eyes and she's my dream. She's the truth inside my world of lies. Keeping all my hope alive. Never gonna say goodbye. Cause I see the stars and the freckles on her face. And I'm seeing G-d every time she says my name. So mother Mary pray for me whenever I'm so lost. Her love is my religion. Her love is my religion, is my religion, is my religion. I said her love is my religion, is my religion, is my religion (x2). Cause I see the stars and the freckles on her face. And I'm seeing G-d every time she says my name. So mother Mary pray for me whenever I'm so lost. Her love is my religion. I said her love is my religion, is my religion, is my religion (x2)"
take my hand,"Calm your nerves now. And don`t worry. Just breathe. Are you sure now. Don't bother packing. Let's just leave. Said they wanted change. I hope that you remain the same. To show that this is not a game. Let's end this tragedy today. Now take my hand and we will run away. Down to this place that I know. How did this night become the enemy. It's over, it's over, it's over. Lay down with me. And let me hold you, baby just breathe. This is ending. We will get through eventually. Said they wanted change. I hope that you remain the same. To show that this is not a game. Let's end this tragedy today. Take my hand and we will run away. Down to this place that I know. How did this night become the enemy. It's over, it's over, it's over now. we won't be a part of. we won't be a part of this. we won't be a part of. we won't we won't"
vegas skies,"It’s twelve o’ clock and I need your attention. It’s like the alcohol making my head spin. Send me the one the room is a bottle. Keeping me hopeless ‘til I wake tomorrow. And if tonight ever makes a difference. The way that I feel the way that I’ll remember it. I’ll take this down until the glass remains. Swallow the words that I was meant to say. It’s a long drive back to Vegas skies. So I don’t, I make one more wrong turn tonight so. Say goodnight our first goodbye. I’ve only got forever and forever is fine. Just take your time. We’ll stop the clock together. And know that the timing was right. All of these guards they stand tall and defensive. Putting up walls around what was once innocent. It won’t let me in but I’m stronger than that. Cuz you stole my eyes and I’ll never look back. Girl last night I forgot to mention. The way that I feel the way that I’ll remember this. When we’re this young we have nothing to lose. We just the clock to beat and a hand to choose. It’s a long drive back to Vegas skies. So I don’t, I make one more wrong turn tonight so. Say goodnight our first goodbye. I’ve only got forever and forever is fine. Just take your time. We’ll stop the clock together. And know that the timing was right. It’s a long way down. Just fall into place and you’ll fall into me. We’ll make it out you’ll see. So say goodnight our first goodbye. I’ve only got forever and forever is fine. Just take your time. We’ll stop the clock together. And say goodnight our first goodbye. I’ve only got forever and forever is fine. Just take your time. We’ll stop the clock together. And know that the timing was right"
