wherever you will go,"So lately, been wondering. Who will be there to take my place. When I'm gone, you'll need love. To light the shadows on your face. If a great wave shall fall. And fall upon us all. Then between the sand and stone. Could you make it on your own. If I could, then I would. I'll go wherever you will go. Way up high or down low. I'll go wherever you will go. And maybe, I'll find out. A way to make it back someday. To watch you, to guide you. Through the darkest of your days. If a great wave shall fall. And fall upon us all. Then I hope there's someone out there. Who can bring me back to you. If I could, then I would. I'll go wherever you will go. Way up high or down low. I'll go wherever you will go. Run away with my heart. Run away with my hope. Run away with my love. I know now, just quite how. My life and love might still go on. In your heart, in your mind. I'll stay with you for all of time. If I could, then I would. I'll go wherever you will go. Way up high or down low. I'll go wherever you will go. If I could turn back time. I'll go wherever you will go. If I could make you mine. I'll go wherever you will go. I'll go wherever you will go"
anything,"I'll be there. Always waiting. Waiting for you. To let me inside. Where your fire burns. In a city of angels. Just like a river rushing straight into the sea. I'm the one thing meant for you and you for me. [CHORUS:]. Whatever you want. Whatever you need. Whatever it takes, I'll do anything. And as you sleep. Eyes through the window. I'm watching you dream. Well are you dreaming of me?. So why can't you see. You're all that matters. You know if this earth should crack. I'll be your solid ground. I will be there to catch you when you fall down. [CHORUS]. If I have to crawl. Get down on my knees. Whatever it takes, I'll do anything. I'd take the stars right out of the sky for you. I'd end the world give you the sun, the moon. For all of time, forever loving you. Whatever you need. Whatever it takes, I'll do anything. If I have to crawl. Get down on my knees. Whatever it takes, I'll do anything"
stigmatized,"If I give up on you I give up on me. If we fight what's true,. will we ever be. Even if God himself and the faith I knew. Shouldn't hold me back,. shouldn't keep me from you. Tease me, by holding out your hand. Then leave me, or take me as I am. And live our lives, stigmatized. I can feel the blood rushing. through my veins. When I hear your voice, driving me insane. Hour after hour day after day. Every lonely night that I sit and pray. We live our lives on different sides,. But we keep together you and I. Just live our lives, stigmatized. We'll live our lives,. we'll take the punches everyday. We'll live our lives,. I know we're gonna find our way. I believe in you. Even if noone understands. I believe in you, and I don't really give a damn. We're stigmatized. We live our lives on different sides. But we keep together, you and I. We live our lives on different sides. We're gonna live our lives. Gotta live our lives. We're gonna live our lives. We're gonna live our lives,. Gonna live our lives. Stigmatized"
things don't always turn out that way,"Well he can't sleep at night. And he can't do what's right. It was all because she came into his life. It's a deep obsession, taking up his time. Chorus:. She's all that he wants, she's all that he needs. She's everything he just won't believe. Take away his doubt, turn him inside out. Then she can see what he's been dying to say. But things don't always turn out that way. And he must confess. All the impure thoughts of his beautiful temptress. Although he keeps it all bottled up inside. Although he keeps it all safe within his mind, oh yeah. Chorus. So wipe that smile off your face. Before it gets too late. There's only so much time. For you to make up your mind. Chorus."
could it be any harder,"Fade away, fade away.... Fade away, fade away.... You left me with goodbye and open arms. A cut so deep I don't deserve. You were always invincible in my eyes. The only thing against us now is time. Chorus:. Could it be any harder,. to say goodbye and live without you?. Could it be any harder,. to watch you go, to face what's true?. If I only had one more day. I lie down and blind myself with laughter. A quick fix of hope is what I'm needing. And how I wish that I could turn back the hours. But I know I just don't have the power. Chorus. I'd jump at the chance,. We'd drink and we'd dance. And I'd listen close to your every word,. As if it's your last, I know it's your last,. Cause today, oh, you're gone. Could it be any harder? (fade away). Could it be any harder? (fade away). Could it be any harder,. to live my life without you?. Could it be any harder?. I'm all alone, I'm all alone. Like sand on my feet,. The smell of sweet perfume. You stick to me forever baby.. And I wish you didn't go. I wish you didn't go,. I wish you didn't go away. To touch you again,. With life in your hands,. It couldn't be any harder.. harder.. harder. Fade away, fade away, fade away..."
things will go my way,I came to tell you. How it all began. Nothing seems to work out right. I'm broken down again. So hold me now. Say it's not forever. Cause maybe someday. In time. Things will go my way.... Things will go my way.... I've pushed to get through. The crowds of twisted souls. Just to find I'm right back here. Doing what i'm told. So take my hands. Don't let me surrender. Cause maybe someday. In time. Things will go my way.... Things will go my way.... Things will go my way.... For all the lies I've tasted. Just looking for the truth. For all the dreams I'm chasing. Well what am I to do?. When everything's against me. And the answers are all wrong. I'm hoping that I'll find out. It was worth it all along.... So hold me now. Say it's not forever. Cause i know someday. In time. Things will go my way.... Things will go my way.... Things will go my way.... For all the lies I've tasted. Just looking for the truth. For all the dreams I'm chasing. Well what am I to do?. When everything's against me. And the answers are all wrong. I'm hoping that I'll find out. Things will go my way...
just that good,"A little pain, to cover what's deep inside. A little truth you know we all want to hide. We'll I'm trying I'm trying now to get to you. But you're telling me like you always do, you say. Don't hate me, cause I'm just that good. I've got to hand it to you now. You're a hard one to please. When it looks as though you've got all you need. And all the many times I've dreamed. I could walk in your shoes,. What a nightmare it must be. Just being you.. say. Chorus:. Don't hate me, Cause I'm just that good. A little missunderstood. You made me, and I'm just that good. Step outside, walk with me. Everyone I know and see is falling. Is crawling after something maybe,. A bigger house, faster car, never knowing who they are. They're lonely, lonely, lonely. Chorus. All this time will take its toll on you. As the same it will on me. Well good ain't all that good's made out to be. Don't hate me, ´cause I´m just that good a little missunderstood you made me we're all just that good. Just that good just that good yeah just that good"
adrienne,"I've been thinking about you, my love. And all the crazy things that you put me through. Now I'm coming around, throwing it back to you. Were you thinking of me, when you kissed him?. Could you taste me when you licked his skin?. And all that while I showered you with trust and promises. What I'm needing now is a sweet revenge. To get back all that I lost then. I gave you all I had to give, but I could never reach you. Chorus:. Adrienne, I thought I knew you. Once again, you used me, used me. Adrienne, I should have left you. Long before you used me, used me up. Spent my money, drove my car. I treated you like a shining star. But in my sky all burnt out you are. And I'll have the last laugh, when I see you walking with some other guy. 'Cause I know you are gonna end up all alone. So take these words, some good advice. All you've done's gonna come back twice. You never cared how much it hurt, I really need to tell you. Chorus. What I'm needing now is some sweet revenge. To get back all that I lost then. I gave you all that I had to give, but I could never reach you. Chorus"
final answer,"I want love. To carry me through. All the moments, I'd kindly undo. Locked away. So i can feel safe. Now that I'm down on my knees, begging for change. Look down at the water. Before i jump in. To find i was sinking fast,. in all the might have been. Chorus:. What i need now is an honest answer,. to make things better. You can see now my hands are tied,. and i surrender. So I'll wait here for your final answer,. your final answer. Is there love without hate. Is there pleasure without pain?. I have seen all my mistakes. I cast you out, but now, i want you back. So light me again, cause my heart is turning black. Chorus. Remember the night you wore that dress. It flowed through out lips. Drink after drink, and kiss after kiss. I'm still holding on, day after day. Don't run away. I want love to carry me through. Can you tell me what I'm supposed to do. Chorus"
unstoppable,"Come and lay right on my bed, sit and drink some wine. I'll try not to make you cry. And if you get inside my head, then you'd understand. Then you'd understand me. Why I've felt so alone, why I kept myself from love. And you became my favorite drug. So let me take you right now and swallow you down,. I need you inside. Chorus:. If we had this night together. If we had a moment to ourselves. If we had this night together, then we'd be unstoppable. Do you think that this is right, or is it really wrong. I know that this is what we've been wanting. And all this burning in my soul, it fills up to my throat. It fills up 'till my heart is breaking. Chorus. Now, we can both learn. Somehow, you'll see it's all we have. Love, it keeps us together. And I need love. When I wake up without you, knowing you're not there. I'm only feeling half as good. Well I'm gonna find a way. To wrap you in my arms, you make me feel alive. Chorus (x2)."
