linger,"If you, if you could return. Don't let it burn, don't let it fade. I'm sure I'm not being rude. But it's just your attitude. It's tearing me apart. It's ruining everything. And I swore I swore I would be true. And honey so did you. So why were you holding her hand?. Is that the way we stand?. Were you lying all the time?. Was it just a game to you?. But I'm in so deep. You know I'm such a fool for you. You got me wrapped around your finger. Do you have to let it linger?. Do you have to, do you have to. do you have to let it linger?. Oh, I thought the world of you. I thought nothing could go wrong. But I was wrong. I was wrong. If you, if you could get by. Trying not to lie. Things wouldn't be so confused. And I wouldn't feel so used. But you always really knew. I just wanna be with you. And I'm in so deep. You know I'm such a fool for you. You got me wrapped around your finger. Do you have to let it linger?. Do you have to. do you have to. do you have to let it linger?. And I'm in so deep. You know I'm such a fool for you. You got me wrapped around your finger. Do you have to let it linger?. Do you have to, do you have to. do you have to let it linger?. You know I'm such a fool for you. You got me wrapped around your finger. Do you have to let it linger?. Do you have to, do you have to. do you have to let it linger?"
zombie,"Another head hangs lowly. Child is slowly taken. And the violence caused such silence. Who are we mistaking?. But, you see it's not me. It's not my family. In your head, in your head. They are fighting. With their tanks and their bombs. And their bombs and their guns. In your head in your head they are crying. In your head. In your head. Zombie, zombie, zombie. What's in your head? In your head. Zombie, zombie, zombie. Another mother's breaking. Heart is taking over. When the violence causes silence. We must be mistaken. It's the same old thing since 1916. In your head,. In your head. They're still fighting. With their tanks and their bombs. And their bombs and their guns. In your head, in your head they are dying. In your head, in your head. Zombie, zombie, zombie. What's in your head? In your head. Zombie, zombie, zombie"
ode to my family,"Understand the things I say,. Don't turn away from me. 'Cause I spent half my life out there. You wouldn't disagree. D'you see me, d'you see. Do you like me, do you like me standing there. D'you notice, d'you know. Do you see me, do you see me. Does anyone care. Unhappiness, where's when I was young. And we didn't give a damn. 'Cause we were raised. To see life as fun and take it if we can. My mother, my mother she hold me,. Did she hold me when I was out there. My father, my father, he liked me. Oh he liked me, does anyone care. Understand what I've become,. It wasn't my design. And people everywhere think. Something better than I am,. But I miss you. I miss. 'Cause I liked it, cause I liked it. When I was out there. D'you know this, d'you know. You did not find me, you did not find. Does anyone care. Unhappiness, was when I was young. And we didn't give a damn. 'Cause we were raised. To see life as fun and take it if we can. My mother, my mother she hold me,. Did she hold me when I was out there. My father, my father, he liked me. Oh he liked me. Does anyone care, does anyone care?"
when you're gone,"Hold on to Love. That is what I do. Now that I've found you.. And from above everything's stinking,. They're not around you.. And in the night, I could be helpless.. I could be lonely, sleeping without you.. And in the day, everything's complex.. There's nothing simple,. When I'm not around you. But, I miss you when you're gone,. That is what I do, ba-baby.. And its hard to carry on,. That is what I knew, hey baby.. Hold on to my hands. I feel like sinking,. Sinking without you.. And to my mind. everything's stinking,. Stinking without you.. And in the night I could be helpless.. I could be lonely, sleeping without you.. And in the day, everything's complex.. There's nothing simple,. When I'm not around you.. And I miss you when you're gone,. That is what I do, ba-baby.. And its hard to carry on,. That is what I knew, hey baby."
animal instinct,"Suddenly something has happened to me. As I was having my cup of tea. Suddenly I was feeling depressed. I was utterly and totally stressed. Do you know you made me cry. Do you know you made me die. And the thing that gets to me. Is you'll never really see. And the thing that freaks me out. Is I'll always be in doubt. It is a lovely thing that we have. It is a lovely thing that we. It is a lovely thing, the animal The animal instinct. So take my hands and come with me. We will change reality. So take my hands and we will pray. They won't take you away. They will never make me cry, no. They will never make me die. And the thing that gets to me. Is you'll never really see. And the thing that freaks me out. Is I'll always be in doubt. The animal, the animal, the animal instinct in me. It's the animal, the animal, the animal instinct in me. It's the animal, it's the animal,. It's the animal instinct in me (2x)"
you and me,"I'm not going out tonight. 'cos I don't want to go. I am staying at home tonight. 'cos I don't want to know. You revealed a world to me. and I would never be. Dwelling in such happiness. your gift of purity. Eh-ee-oh, eh-ee-oh, eh-ee-oh, eh-ee-oh x2. Aahh, you and me it will always be. You and me forever be. Eternally it will always be you and me. Taylor, Taylor, Taylor, Taylor. I don't pay attention. to the ones who never cared. Find your own direction. 'cos there's sweetness in the air. You will be the world to me. and I will always be. Dwelling in this happiness,. your gift of purity. Eh-ee-oh, eh-ee-oh, eh-ee-oh, eh-ee-oh x2. Aahh, you and me will always be. You and me Forever be. Eternally Will always be. You and me. Always be You and me. Forever be, Eternally. It will always be You and me. Forever be, Eternally. Taylor, Taylor x4."
free to decide,"It's not worth anything more. Than it is at all. I live as I choose. Or I will not live at all. So return to where you came from. Return to where you dwell. Because harassment's not my forte. But you do it bloody well. I'm free to decide. I'm free to decide. And I'm not so suicidial after all. Free to decide,. I'm free to decide. And I'm not so suicidial after all. At all, at all, at all. You must have nothing more. With your time to do. There's a war in Russia and Sarajevo too. So to hell with all your thinking. And to hell with your narrow mind. You're so distracted from the real thing. You should leave your life behind. Cos I'm free to decide. I'm Free to decide. And I'm not so suicidal after all. I'm free to decide. I'm Free to decide. And I'm not so suicidal after all. At all, at all, at all"
promises,"You better believe I'm coming. You better believe what I say. You better hold on to your promises. Because you bet, you'll get what you deserve. She's going to leave him over. She's gonna take her love away. So much for you eternal wows, well. It does not matter anyway. Why can't you stay here awhile. Stay here awhile. Stay with me. Oh, all the promises we made. All the meaningless and empty words. I prayed, prayed, prayed. Oh, all the promises we broke. All the meaningless and empty words. I spoke, spoke, spoke. What of all the things that you taught me. What of all the things that you'd say. What of all your prosphetic preaching. You're just throwing it all away. Maybe we should burn the house down. Have ourselves another fight. Leave the cobwebs in the closet. Cos' tearing them out is just not right. Why can't you stay here awhile. Stay here awhile. Stay with me, oh oh"
just my imagination,"There was a game we used to play. We would hit the town on Friday night. And stay in bed until Sunday. We used to be so free. We were living for the love we had and. Living not for reality. (Refrao). Just my imagination. Just my imagination. Just my imagination. It was. Just my imagination. Just my imagination. Just my imagination. It was. There was a time I used to pray. I have always kept my faith in love. It's the greatest thing from the man above. The game I used to play. I've always put my cards upon the table. Let never be said that I'd be unstable. (Refrao). Just my imagination. Just my imagination. Just my imagination. It was. Just my imagination. Just my imagination. Just my imagination. It was. There is a game I like to play. I like to hit the town on Friday night. And stay in bed until Sunday. We'll always be this free. We will be living for the love we have. Living not for reality. It's not my imagination. It's not my imagination. It's not my imagination. It was. Not my imagination. Not my imagination. Not my imagination. It was. Not mine, not mine, not mine, not mine...."
ridiculous thoughts,"Twister oh,. does anyone see through you?. You're a twister oh, an animal. But you're so happy, how?. I didn't go along with. You're so happy how?. Nananana. But you're gonna have to hold on. You're gonna have to hold on. You're gonna have to hold on. hold on hold on. Or we're gonna have to move on, we're gonna have to move on. Or we're gonna have to move on. move on move on. I feel alright. And I cried so hard the. Ridiculous thoughts (ahah how). I feel alright alright alright alright. Twister, oh, I shouldn't have trusted in you. Twister, oh, Ananana. It's not gonna happen now. You're not gonna make fun of me. Happen now, Ananana. But you're gonna have to hold on. You're gonna have to hold on. You're gonna have to hold on. hold on hold on. Or we're gonna have to move on, we're gonna have to move on. Or we're gonna have to move on. move on move on. I feel alright. And I cried so hard the. Ridiculous thoughts (ahah how). I feel alright alright alright alright. Ahahahahahah. You should have lied. But I cried so hard the. Ridiculous thoughts (ahah how). We should have lied, a lied a lied a lied. But you're gonna have to hold on. You're gonna have to hold on (8x). hold on hold on hold on hold on hold on. Well you're gonna have to hold on. You're gonna have to hold on, to me"
salvation,"To all those people doing lines, don't do it, don't do it. Inject your soul with liberty, it's free, it's free. To all the kids with heroin eyes, don't do it, don't do it.. Because it's not, not what it seems. No, no it's not, not what it seems. Salvation, salvation, salvation is free. Salvation, salvation, salvation is free. To all those parents with sleepless nights (sleepless nights). Tie your kids on to their beds, clean their heads. To all the kids with heroin eyes, don't do it, don't do it. Because it's not, not what it seems. No, no it's not, not what it seems. Salvation, salvation, salvation is free. Salvation, salvation, salvation is free"
i can't be with you,"Lying in my bed again. And I cry cuz you're not here. Crying in my head again. And I know that it's not clear. Put your hands, put your hands. Inside my face and see that it's just you. But it's bad and it's mad. and it's making me sad. Because I can't be with you. Be with you. Be with you. Baby I can't be with you. Thinking back on how things were. And how we loved so well. I wanted to be the mother. of your child. And now it's just farewell. Put your hands in my hand. And come with me. We'll find another end. And my head, and my head. On anyone's shoulder. Cause I can't be with you. Be with you. Be with you. Baby I can't be with you. Cause you're not here, you're not here. Baby I can't be with you. Cause you're not here, you're not here. And baby I'm still in love with you."
dreaming my dreams,All the things you said to me today changed. my perspective in every way. These things count to mean so much to me. Into my faith you and you're baby.. It's out there. (3x). If you want me I'll be here.. It's out there.(3x). If you want me I'll be here.. I'll be dreaming my dreams with you (2x). and there's no other place that I'd lay down my face. I'll be dreaming my dreams with you. It's out there.(3x). If you want me I'll be here.. It's out there.(3x). If you want me I'll be here.. I'll be dreaming my dreams with you (2x). And there's no other place that I'd lay down my face.. I'll be dreaming my dreams with you
always,"Here's a song. Here's a song. That I wrote just for you. Sing along to the song. That I wrote just for you. Always, always, always be the sunlight shining. Always, always, always be the sunlight-shine on me. You're so fine and you're mine. Everything about you. Heaven knows. Heaven knows. Heaven knows what could I do without you. Always, always, always be the sunlight shining. Always, always, always be the sunlight. Always, always, always be the sunlight shining. Always, always, always be the sunlight-shine on me. Here's a song. That I wrote just for you. Hope you like the song. That I wrote just for you"
raining in my heart,Do do do doooo. I seen it all. I seen it all today. I cried a tear. I tried to turn away. But it's raining my heart. Every time we are apart. And the sun won't shine today. So I had to walk away. If I could fly. You know that I tried. If I could fly. Raining in my heart. It is rainig in my heart. So I must leave. To a place where I would go. You cannot come. I guess you'll never know. Still it's raining my heart. Every time we are apart. And the sun won't shine today. So I had to walk away. If I could fly. You know that I tried. If I could fly. Raining in my heart. It is rainig in my heart. Raining in my heart. Raining in my heart
tomorrow,"I think that you're mad,. You spend a lot of time in your head. I know that you're mad,. You spend a lot of time in your head. If you could come away with me,. You should come away with me,. You should have some faith in me. Tomorrow could be too late,. I wish I could change the date. Tomorrow could be too late,. If only you had some faith. Too young, too proud, too foolish,. Too young, too proud, too foolish,. You ask a lot of questions,. You have too much time on your hands. To hell with conclusions,. Why should we make so many plans?. So you should come away with me,. You should come away with me,. You should have some faith in me. Tomorrow could be too late,. I wish I could change the date. Tomorrow could be too late,. If only you had some faith. Too young, too proud, too foolish,. Too young, too proud, too foolish. Tomorrow could be so great,. I wish I could change the date. Tomorrow could be so great,. If only you had some faith"
