she sells sanctuary,Will the Texas Sun. make my back burn. Will the Texas Sun. Make my back ..Make my back burn. The sparkle in your eyes. Keeps me alive. The sparkle in your eyes. Keeps me alive. And the world and the world. The world turns around. And the world and the world. The world drags me down. Oh the heads that turn. Make my back burn. The fire in your eyes keeps me alive. The fire in your eyes keeps me alive. I'm sure in her you'll find. The sanctuary. I'm sure in her you'll find. The sanctuary. And the world and the world. The world turns around. And the world and the world. The world drags me down.
painted on my heart,"I thought/ you'd be out of my mind. And I'd finally found a way to learn to live without you. I thought it was just a matter of time. Till I had a hundred reasons not to think about you. But it's just not so. And after all this time, I still can't let go. I've still got your face. Painted on my heart. Scrawled upon my soul. Etched upon my memory, baby. And I've got your kiss. Still burning on my lips. The touch of my fingertips. This love so deep inside of me, baby. I've tried/ everything that I can. To get my heart to forget you. But it just can't seem to. I guess it's just no use. In every part of me. Is still a part of you. And I've still got your face. Painted on my heart. Scrawled upon my soul. Etched upon my memory, baby. I've got your kiss. Still burning on my lips. The touch of her fingertips. This love so deep inside of me, baby. I've still got your face. Painted on my heart. Painted on my heart. Painted on my heart, oh baby. Something in your eyes keeps haunting me. I'm trying to escape you. And I know there ain't no way to. To chase you from my mind. I've still got your face. Painted on my heart. Scrawled upon my soul. Etched upon my memory baby. I've got your kiss. Still burning on my lips. The touch of my fingertips. This love so deep inside of me, baby. I've still got your face. I've still got your face. Painted on my heart. Painted on my heart"
revolution,"Pictures of never ending dreams. I can't see what these images mean. Locked inside me. Can't set the rainbows free. Like perishing flowers. They sag and twist and die. There's a revolution. There's a revolution, yeah. There's a revolution. There's a revolution. Sorrow. What does revolution mean to you?. To say today's like wishing in the wind. All my beautiful friends have all gone away. Like the waves. They flow and ebb and die. There's a revolution. There's a revolution. There's a, there's a revolution. There's a revolution. There's a revolution. There's a revolution. There's a revolution. There's a revolution, yeah. Joy or sorrow. What does revolution mean to you?. To say today's like wishing in the wind. All my beautiful friends have all gone away. Like the waves. They flow and ebb and die. There's a revolution. There's a revolution. There's a revolution. There's a revolution. Revolution. Revolution. Revolution. Revolution. Revolution. Revolution. Revolution. Revolution, yeah."
rain,"Hot sticky scenes, you know what I mean. Like a desert sun that burns my skin. I've been waiting for her for so long. Open the sky and let her come down. Here comes the rain. Here comes the rain. Here she comes again. Here comes the rain. Hot sticky scenes, you know what I mean. Like a desert sun that burns my skin. I've been waiting for her for so long. Open the sky and let her come down. Here comes the rain. Here comes the rain. Here she comes again. Here comes the rain. I love the rain. I love the rain. Here she comes again. Here comes the rain. Oh, rain. Rain. Rain. Oh, here comes the rain. I love the rain. Well, I love the rain. Here she comes again. I love the rain. Rain. Rain"
edie (ciao baby),"Always said you were a youthquaker, Edie. A stormy little world shaker. Oh, Warhol's darling queen, Edie. An angel with a broken wing. The dogs lay at your feet, Edie. Oh, we caressed your cheek. Ooh, stars wrapped in your hair. Ooh, life without a care. But your not there. Oh, caught up in an endless scene, Edie. Yeah, paradise, a shattered dream. Oh, wired on the pills you took, Edie. Your innocence dripped blood, sweet child. The dogs lay at your feet, Edie. Oh, we caressed your cheek. Ooh, stars wrapped in your hair. Ooh, life without a care. Ciao baby. Shake it, boy. Oh, sweet little sugar talker. Paradise dream stealer. Oh, Warhol's little queen, Edie. An angel with a broken wing, oh. The dogs lay at your feet, Edie. Oh, we caressed your cheek, well. Stars wrapped in your hair. Ooh, life without a care. Yeah, yeah, yeah. Why did you kiss the world goodbye?. Ciao baby. Don't you know paradise takes time?. Ciao, yeah. Why did you kiss the world goodbye?. Ciao baby. Don't you know paradise takes time?. Ooh, ciao, yeah. Ciao baby, yeah. Ciao baby. Ciao baby, yeah. Ciao baby."
wild flower,"Hey you. You're a wild honey child. I'm out of control. Every time you are near me. I'm a wolf child, baby. And I'm howlin' for you. My heart beats faster, hrrrr. Hey hey, and it's overpowered, wow. I'm a wolf child, girl. Howlin' for you. Wild flower. Star of my dreams. The most beautiful thing, yeah. Yeah you. Sweet sensation of a nation. Oh, my soul. You're a perfect creation. You're an angel, baby. And I'm cryin' for you. My heart beats faster, hrrrr. Yea hey, and I'm overpowered. I'm a wolf child, girl. Howlin' for you. Wild flower. Star of my dreams. The most beautiful thing. Wild flower. I love you every hour. Wild flower. Burning down the night. Set the world alight, yeah. Wild flower. I'm a wolf child, girl. Howlin' for you. Wild flower. You're the star of my dreams. Most beautiful thing. Wild flower. I love you every hour. Wild flower. I love you every hour. Crazy 'bout you, yeah. Crazy 'bout you, girl. Crazy 'bout you, yeah. Crazy 'bout. Crazy 'bout you, yeah."
nirvana,"I float through day and night life, well most of the time. Till I hung up my blues on a nail in your wall. It rained flowers when the music began. Love all around when the music is loud. Every day, nirvana. Always this way, yeah, yeah, yeah. I wish that every day, nirvana. Always this way. I'm not looking for girls or cheap thrills and pills. Or happy to sit on your merry-go-round, no, no. I don't think there's an easy way out of here. But when the music is loud, we all get down. Every day, nirvana. Always this way, always this way, yeah. I wish that every day was like nirvana. Always this way. Take it here, now. Run this through your head. Oh, every day, nirvana. Always this way, yeah, yeah, yeah. I wish that every, like the sun, nirvana. Always this way, oh yeah, yeah. Every day, nirvana. Always this way, yeah, yeah, yeah, yeah. Every, like the sun, nirvana. Always this way, oh yeah. Every day, nirvana. Always this way, oh yeah, yeah. I wish that every, like the sun, nirvana. Always this way. Nirvana."
love,"C'mon now. Wanna dig the scene?. Love, obviously, very soon, everybody. Love, obviously, very soon, everybody. Oh, oh won't you love that sweet time?. Oh, oh don't you love that sweet time?. Spent a long time on this road. Spent a long time in this town. Spent a long time in the wrong road. Spent a long time in this town. Gonna drive away in a big fast car. Gonna drive away, won't get too far. Gonna drive away, don't know how far. Gonna drive away in a big fast car. Love, obviously, very soon, everybody. Love, obviously, very soon, everybody. Oh, oh don't you love that sweet time?. Oh, don't you love that sweet time?. C'mon now. Spent a long time in your hole. Spent a long time in the wrong hole. Spent a long time in this town. I spent a long time in my town. Gonna drive away in a big fast car. Gonna drive away, won't get too far. Gonna drive away, won't get too far. Gonna drive away, don't know how far. How far. Oh yeah. In this town. In my town. In my town. That's just my fee. Love. Love. Love. I look for the grand conditions near her heart. Love...."
sweet soul sister,"All the hip young things. Trying to make a scene. Living out forbidden dreams. Star spangled banner. Flutters in the sky. Time hustles those. Who wait to die. Come on little honey. Come on now, please. Come on little honey and dance with me. Sweet soul sister. Keep on pushing till the dawn, well. Sweet soul sister. Forever dancing on and on. Ooh, she's a Dior girl. Twisting round the world. Midnight crush boogie scene. Firm fixed expression. Sensual, tender, smooth. Sexual panther, beautifully cool. Come on little honey. Come on now, please. Come on little honey and dance with me. Sweet soul sister. Keep on pushing till the dawn, well, well, well, well. Sweet soul sister. Forever dancing on and on, yeah. Hustle and strut through Paris at night. Hustle and strut. Hustle and strut through Paris at night. Hustle and strut. Say na na na. Say na na na, yeah. City of sin. Come and let me in. City of sin. Come and let me in, ow. Sweet soul sister. Keep on pushing till the dawn. Sweet soul sister. Forever dancing on and on. Sweet soul sister. Keep on pushing till the dawn. Sweet soul sister. Forever dancing on and on, yeah"
heart of soul,"Down and out in London. Los Angeles and Paris, too, uh-huh. I drank a river in my time. Just to get on through, yeah. Well, the night, it rise above you, rise above me. And the blues, they swirl around me. To the heart of soul. You got to bleed a little while you sing. Lest the words don't mean nothing, no. Get to the heart of soul. Gotta get to the heart of soul, yeah. Get to the hip, now baby. 'Fore the hip get to you, lil' woman. Try to bend me out of shape. Can't tell me, can't tell me what to do, little honey. Well, the night, it rise above me, rise above me, yeah. And those blues, they swirl around me, ooh, ooh. To the heart of soul. You gotta bleed a little while you sing. Lest the words don't mean nothing, no. Ow, get to the heart of soul, yeah. Gotta get to the heart of soul. You gotta bleed a little while your singing, yeah, yeah, yeah. Lest the words don't mean nothing, no. Get to the heart of soul, yeah. Baby, heart of soul, ow. From the delta. Down on the river. We need some heart of soul. In the world today now. A little bit of heart of soul now. In the world today. A little bit of soul now. A little heart of so-so-so-so, soul. You gotta bleed a little while your singing, yeah, yeah, yeah. Lest the words don't mean nothing, no they don't, no. Get to the heart of soul, yeah. Ow, baby, heart of soul. What I want. Is a heart of soul. What I want. What I need. Is a heart of soul now. What I want. Heart of soul yeah. What I want baby is a heart of soul. You got the heart, you got the soul. You got the heart of soul. You got the power, you got the heart. You got the soul"
love removal machine,"Check this one. Fell to the red room because she was there, uh-huh-huh-huh. A scarlet woman, she got me in fear, yeah, yeah, yeah. She said, do all those things that you do to me. You know what I mean, boy. Do all those things that you do to me, yeah. (Talkin' bout love). Love remover. (Talkin' bout love). Love remover machine. (Talkin' bout love). Gimme love, soul shaker. (Talkin' bout love). Love remover machine. Baby, baby, baby, baby, baby, I fell from the sky. Yesterday, you blew my mind, oh yeah. Having trouble with my direction. Upside-down, psychotic reaction, oh. (Talkin' bout love). Love remover. (Talkin' bout love). Love removal machine. (Talkin' bout love). Gimme love, soul stealer. (Talkin' bout love). Love removal machine. (Talkin' bout love). Gimme love. (Talkin' bout love). Love remover machine. (Talkin' bout love). Gimme love, fun remover. (Talkin' bout love). Love removal machine. Yeah. (Talkin' bout love). Love remover. (Talkin' bout love). Love remover machine. (Talkin' bout love). Gimme love, fun remover. (Talkin' bout love). Love remover machine. (Talkin' bout love). Gimme love. (Talkin' bout love). Love remover machine. (Talkin' bout love). Gimme love, soul shaker. (Talkin' bout love). Love removal machine. Ooh yeah. Look out, here she comes. Look out, here she comes. I said, look out, here she comes. Look out, here she comes, yeah. Shake it, don't break it, baby. Shake it, don't break it, baby. Shake it, don't break it, baby. Shake it, don't break it. Baby. Ow, ow, ow. Ow, ow, ow. Ah, yeah."
in blood,"I fell in a bathroom stall. Five a. m. , on the tiled floor. Twisted night, the hooker smiles. When does it end? When will it end?. East coast to the west coast. Dark ally. Said I was a threat. Flash of the truth came flying. You seduced me, I came undone. Cut right through me, I came undone. I never knew that I was done. Bleed out, bleed out, bleed out, bleed out. I awoke wolf on my chest. Breathing in my face. She feed me from her breast. True to my own nature she said. When does it end? When will it end?. East coast to the west coast. Dark ally. Said I was a threat. Daggers in the night came shining. You seduced me, I came undone. Cut right through me, I came undone. I never knew that I was done. Bleed out, bleed out, bleed out, bleed out. Like the devil on the run. The hunter with his gun. Bleed out, bleed out. You seduced me, I came undone. Cut right through me, I came undone. I never knew that I was done. Bleed out, bleed out, bleed out, bleed out"
