riders on the storm,"Riders on the storm,. Riders on the storm,. Into this house we're born,. Into this world we're thrown. Like a dog without a bone,. An actor out on loan,. Riders on the storm. There's a killer on the road. His brain is squirming like a toad. Take a long holiday. Let your children play. If you give this man a ride. Sweet family will die. Killer on the road. Girl you gotta love your man. Girl you gotta love your man. Take him by the hand. Make him understand. The world on you depends. Our life will never end. Gotta love your man.. Riders on the storm. Riders on the storm. Into this house we're born. Into this world we're thrown. Like a dog without a bone. An actor out on loan. Riders on the storm. Riders on the storm. Riders on the storm. Riders on the storm. Riders on the storm"
light my fire,"You know that it would be untrue. You know that I would be a liar. If I was to say to you. Girl, we couldn't get much higher. Come on baby, light my fire. Come on baby, light my fire. Try to set the night on fire. The time to hesitate is through. No time to wallow in the mire. Try now we can only lose. And our love become a funeral pyre. Come on baby, light my fire. Come on baby, light my fire. Try to set the night on fire. Yeah The time to hesitate is through. No time to wallow in the mire. Try now we can only lose. And our love become a funeral pyre. Come on baby, light my fire. Come on baby, light my fire. Try to set the night on fire. Yeah You know that it would be untrue. You know that I would be a liar. If I were to say to you. Girl, we couldn't get much higher. Come on baby, light my fire. Come on baby, light my fire. Try to set the night on fire. Try to set the night on fire. Try to set the night on fire. Try to set the night on fire"
break on through (to the other side),"You know the day destroys the night. Night divides the day. Tried to run. Tried to hide. Break on through to the other side. Break on through to the other side. Break on through to the other side. We chased our pleasures here. Dug our treasures there. But can you still recall. The time we cried. Break on through to the other side. Break on through to the other side. Everybody loves my baby. Everybody loves my baby. She gets, she gets. She gets, she gets. I found an island in your arms. A country in your eyes. Arms that chain us. Eyes that lied. Break on through to the other side. Break on through to the other side. Break on through uhh, ohh yeah. Made the scene from week to week. Day to day, hour to hour. The gate is straight. Deep and wide. Break on through to the other side. Break on through to the other side. Break on through to the other side. Break on through, break on through. Break on through, break on through. Yeah, yeah, yeah,. Yeah, yeah, yeah, ..."
roadhouse blues,"Yeah!. Keep your eyes on the road, your hands upon the wheel. Keep your eyes on the road, your hands upon the wheel. Yeah, come to the roadhouse. We're gonna have a real. Good time. Yeah, back at the roadhouse we've got some bungalows. Yeah, back at the roadhouse we've got some bungalows. And that's for the people. Who like to go down slow. Let it roll, baby, roll. Let it roll, baby, roll. Let it roll, baby, roll. Let it roll, all night long. Do it, honey, do it. You gotta roll, roll, roll. You gotta thrill my soul, all right. Roll, roll, roll, roll. Thrill my soul tonight. Passionate lady, passionate lady. Give up your vows, give up your vows. Save our city, save our city. Right now. Well, I woke up this morning, I got myself a beer. Well, I woke up this morning, and I got myself a beer. The future's uncertain, and the end is always near. Let it roll, baby, roll. Let it roll, baby, roll. Let it roll, baby, roll. Let it roll, all night long"
the end,"This is the end. Beautiful friend. This is the end. My only friend, the end. Of our elaborate plans, the end. Of everything that stands, the end. No safety or surprise, the end. I'll never look into your eyes...again. Can you picture what will be. So limitless and free. Desperately in need...of some...stranger's hand. In a...desperate land ?. Lost in a Roman...wilderness of pain. And all the children are insane. All the children are insane. Waiting for the summer rain, yeah. There's danger on the edge of town. Ride the King's highway, baby. Weird scenes inside the gold mine. Ride the highway west, baby. Ride the snake, ride the snake. To the lake, the ancient lake, baby. The snake is long, seven miles. Ride the snake...he's old, and his skin is cold. The west is the best. The west is not bad. Get here, and we'll do the rest. The blue bus is callin' us. The blue bus is callin' us. Driver, where you taken' us ?. The killer awoke before dawn,. He put his boots on. He took a face from the ancient gallery. And he walked on down the hall. He went into the room where his sister lived,. And...then he. Paid a visit to his brother, and then he. He walked on down the hall, and. And he came to a door...and he looked inside. ""Father ?"", ""yes son"", ""I want to kill you"". ""Mother...I want to...fuck you"". C'mon baby, take a chance with us. C'mon baby, take a chance with us. C'mon baby, take a chance with us. And meet me at the back of the blue bus. Doin' a blue rock, On a blue bus. Doin' a blue rock, C'mon, yeah. Kill, kill, kill, kill, kill, kill. This is the end, Beautiful friend. This is the end, My only friend, the end. It hurts to set you free. But you'll never follow me. The end of laughter and soft lies. The end of nights we tried to die. This is the end"
love me two times,"Love me two times, baby. Love me twice today. Love me two times,baby. I'm goin' away. Love me two times, girl. One for tomorrow. One just for today. Love me two times. I'm goin' away. Love me one time. I could not speak. Love me one time. Yeah, my knees got weak. But love me two times, girl. Last me all through the week. Love me two times. I'm goin' away. Love me two times. I'm goin' away"
people are strange,"People are strange, when you're a stranger. Faces look ugly when you're alone. Women seem wicked,. When you're unwanted. Streets are uneven, when you're down. When you're strange-. Faces come out of the rain (rain, rain). When you're strange-. No one remembers your name. When you're strange,. When you're strange,. When you're str-ange"
the crystal ship,"Before you slip into unconsciousness. I'd like to have another kiss. Another flashing chance at bliss. Another kiss. Another kiss. The days are bright and filled with pain. Enclose me in your gentle rain. The time you ran was too insane. We'll meet again. We'll meet again. Oh tell me where your freedom lies. The streets are fields that never die. Deliver me from reasons why. You'd rather cry. I'd rather fly. The crystal ship is being filled. A thousand girls, a thousand thrills. A million ways to spend your time. When we get back. I'll drop a line"
touch me,"Come on, come on,. Come on, come on. Now, touch me, baby.. Can't you see that I am not afraid?. What was that promise that you made?. Why won't you tell me what she said?. What was that promise that you made?. Now, I'm gonna love you. Till the heaven stops the rain.. I'm gonna love you. Till the stars fall from the sky. For you and I.. Come on, come on,. Come on, come on. Now, touch me, baby.. Can't you see that I am not afraid?. What was that promise that you made?. Why won't you tell me what she said?. What was that promise that you made?. I'm gonna love you. Till the heaven stops the rain.. I'm gonna love you. Till the stars fall from the sky. For you and I.. I'm gonna love you. Till the heaven stops the rain.. I'm gonna love you. Till the stars fall from the sky. For you and I."
alabama song,"Well, show me the way. To the next whiskey bar. Oh, don't ask why. Oh, don't ask why. Show me the way. To the next whiskey bar. Oh, don't ask why. Oh, don't ask why. For if we don't find. The next whiskey bar. I tell you we must die. I tell you we must die. I tell you, I tell you I tell you we must die. Oh, moon of Alabama. We now must say goodbye. We've lost our good old mama. And must have whiskey, oh, you know why. Oh, moon of Alabama. We now must say goodbye. We've lost our good old mama. And must have whiskey, oh, you know why. Well, show me the way. To the next little girl. Oh, don't ask why. Oh, don't ask why. Show me the way. To the next little girl. Oh, don't ask why Oh, don't ask why. For if we don't find. The next little girl. I tell you we must die. I tell you we must die. I tell you, I tell you I tell you we must die. Oh, moon of Alabama. We now must say goodbye. We've lost our good old mama. And must have whiskey, oh, you know why"
