do you realize?,Do You Realize - that you have the most beautiful face. Do You Realize - we're floating in space -. Do You Realize - that happiness makes you cry. Do You Realize - that everyone you know someday will die. And instead of saying all of your goodbyes - let them know. You realize that life goes fast. It's hard to make the good things last. You realize the sun don'-go down. It's just an illusion caused by the world spinning round. Do You Realize - Oh - Oh - Oh. Do You Realize - that everyone you know. Someday will die -. And instead of saying all of your goodbyes - let them know. You realize that life goes fast. It's hard to make the good things last. You realize the sun don'-go down. It's just an illusion caused by the world spinning round. Do You Realize - that you have the most beautiful face.
yoshimi battles the pink robots (part 1),Her name is Yoshimi - she's a black belt in karate. Working for the city - she has to discipline her body. Cause she knows that it's demanding to defeat these. Evil machines - I know she can beat them. Oh Yoshimi. They don't believe me. But you won't let those. Robots eat me. Oh Yoshimi. They don't believe me. But you won't let those. Robots defeat me. Those evil natured robots - they're programmed to. Destroy us - She's gotta be strong to fight them. So she's taking lots of vitamins. cause she knows that It'd be tragic. if those evil robots win - I know. She can beat them
within you whitout you (feat. birdflower & morgan delt),"""we were talking. About the space between us all. And the people. Who hide themselves behind a wall. Of illusion. Never glimpse the truth. Then it's far too late. When they pass away. We were talking. about the love we all could share. When we find it. To try our best to hold it there. (with our love). With our love we could save the world. If they only knew. Try to realise it's all within yourself. No one else can make you change. And to see you're really only very small. And life flows on within you. And without you. We were talking. About the love that's gone so cold. And the people. Who gain the world and lose their soul. They dont know. They can't see. Are you one of them?. When you've seen beyond yourself. Then you may find peace of mind is waiting there. And the time will come when you see. We're all one. and life flows on within you and without you. """
watching the planets,"Oh, oh, oh, watching the planets. Oh, oh, oh, oh, oh. Oh, oh, oh, watching the planets align. Oh, oh, oh, what is the reason. Oh, oh, oh, oh, oh. Oh, oh, oh, I got no reason to lie. Yes, yes, yes, killing the ego. Yes, yes, yes, alright. Yes, yes, yes, killing the ego tonight. No, no, no, I got no secrets. No, no, no, no, no. No, no, no, I got no secrets to hide. Oh, oh, oh, oh, oh. Oh, oh, oh, oh, oh. Oh, oh, oh, oh, oh. See, the sun's gonna rise. See, the sun's gonna rise. And take your fears away. Like the soft tit of the motherbrai. ai, ai, ai, ai, ai, ai, ai, ai, ai, ain. Oh, oh, oh, finding the answer. Oh, oh, oh, oh, oh. Finding that there ain't no answer to find. Oh, oh, oh, watching the planets. Oh, oh, oh, oh, oh. Oh, oh, oh, watching the planets align. Oh, oh, oh, building a fire. Oh, oh, oh, oh, oh. Oh, oh, oh, burning the Bible tonight. Oh, oh, oh, watching the eagle. Oh, oh, oh, oh, oh. Oh, oh, oh, watching the eagle fly. Oh, oh, oh. Oh, oh, oh, oh, oh. Oh, oh, oh, oh, oh, oh, oh, oh. The sun's gonna rise"
one more robot - sympathy 3000-21,Unit three thousand twenty one is warming. Makes a humming sound - when its circuits. Duplicate emotions - and a sense of coldness detaches. As it tries to comfort your sadness -. One more robot learns to be something more than. A machine - when it tries the way it does - make it seem. Like it can love -. Cause it's hard to say what's real - when you know the. Way you feel - is it wrong to think it's love. When it tries the way it does.... Feeling a synthetic kind of love. Dreaming a sympathetic wish -. As the lights blink faster and brighter -. One more robot learns to be something more than. A machine - when it tries the way it does - make it seem. Like it can love -. Cause it's hard to say what's real - when you know the. Way you feel - is it wrong to think it's love.
the ego's last stand,"It's heavier now. Once you see their faces. Oh, they're just like us. It's heavier once. You stand in their places. Oh, the ego is crushed. The only way out. Is destroy all traces. Oh, destroying yourself. There's no way back. It's complete devastation. Oh, there's no way out. No way out. How can you still believe. What you believe. There's no way out. How can you believe. What you still believe. The red worm is calm. The dawn's shadow changes. Oh, the sparrow looks up. Red spots on the sun. Is there evil in nature. Oh, the eagle's spread claw. An invisible cloud. Makes invisible changes. Oh, the ant takes the crumb. A man holds a gun. There's no explanation. Oh, he shoots at the sun"
it's summertime,(throbbing orange pallbearers). It's summertime - and I can understand if you. Still feel - sad -. It's summertime and though it's hard to see its true. possibilities -. When you look inside - all you'll see. When you look inside - all you'll see. Is a self-reflected inner sadness -. Look outside - I know that you'll. Recognize it's summertime
"butterfly, how long does it take to die","If you've ever really seen the sun rise. You will see how many times it tries. If you've ever really seen the sun set. You will see how long it takes to die. ]. You can see the butterfly has landed. Landed on your prison plates, you're out. You can feel it's trouble making a teardrop. You will see how long it takes to fly. You can see the universe beginning. Making all the sun and the sky. You can see the universe is ending. Making love darker than the night"
psychiatric exploration of the fetus with needles...,"Cat killing dogs, pigs eating rats. every mouth will eat you up the king bug laughs. Belly of the heart Belly full of bats. the chromosomes seem not to want the fetus.... they beat you up. they make you leave. sticking needles in your knees. knowing God will be pleased. should make it easy. Snakes eating frogs, toads eating gnats. when the space ship beams you up boy, get drunk fast. Rubber bullet barn, titty suckin calf-. goats and roosters Bees and bugs Amoebas!!. They blow you up, make it breath. make it feel like a disease."
all we have is now,"As logic stands you couldn't meet a man. Who's from the future. But logic broke as he appeared he spoke. About the Future. ""We're not gonna make it"" He explained how. the end will come - you and me were never meant. to be part of the future -. All we have is now -. All we've ever had was now. All we have is now. All we'll ever have is now. I noticed that he had a watch and hat. That looked familiar. He was me - from a dimension torn free. Of the future. ""We're not gonna make it"" He explained how. the end will come - You and me were never meant. to be part of the future -. All we have is now -. All we've ever had was now. All we have is now. All we'll ever have is now -."
