pity poor alfie/fever,"The streets of pleasure took you to top. But every light was red and every sign said stop. I felt so confined, just like glued to this spot, oh. 'Cause we were sleeping in the noon day sun. We escaped the test and the marathon run. And no one heard and these mournful cries of ""Alfie!"". We put a stop to that. Whoa, but Alfie, I wish you'd please come back. So no one's hurt - we might have made it through. But now there's nothing left except the memories of you. With overflowing powerful woes. 'Cause there's real and fright. To the top of the stairs to find poor Alfie. And blood stained letters don't count for change. And don't look for blame. 'Cause it's a fair exchange. For the last adventure I have left. 'Cause we were sleeping in the noon day sun. We escaped the test and the marathon run. And no one heard and these mournful cries of ""Alfie!"". We put a stop to that. Oh, but Alfie, I wish you'd please come back. Now it's gonna be hard for me to make it through. When all that's left is the memories of. Nothing left except the memories of war and pain. Please pity poor Alfie. Poor Alfie put a stop to that. Poor Alfie I wish you'd please come back. Poor Alfie put a stop to that. Oh, but Alfie I wish you'd please come back. Poor Alfie!. You'll never know how much I love you. Never know how much I care. 'Cause when you put your arms around me. I get a fever I can hardly bear. You give me fever. When you kiss me. Fever when you hold me tight. Fever through the daytime. I get a fever all through the night. Sun lights up the daytime. Moon lights up the night. I light up when you kiss me. And I know you're gonna treat me right. You give me fever. When you kiss me. Fever when you hold me tight. Fever through the daytime. I get a fever all through the night. Bless my soul I love you. Take me so far away. Take these arms I'll never use. Just believe what my words have to say. You give me fever. When you kiss me. Fever when you hold me tight. Fever through the daytime. I get a fever all through the night. You give me fever."
going underground,"Some people might say my life is in a rut,. But I'm quite happy with what I got. People might say that I should strive for more,. But I'm so happy I can't see the point.. Somethings happening here today. A show of strength with your boy's brigade and,. I'm so happy and you're so kind. You want more money - of course I don't mind. To buy nuclear textbooks for atomic crimes. And the public gets what the public wants. But I want nothing this society's got -. I'm going underground, (going underground). Well the brass bands play and feet start to pound. Going underground, (going underground). Well let the boys all sing and the boys all shout for. tomorrow. Some people might get some pleasure out of hate. Me, I've enough already on my plate. People might need some tension to relax. [Me?] I'm too busy dodging between the flak. What you see is what you get. You've made your bed, you better lie in it. You choose your leaders and place your trust. As their lies wash you down and their promises rust. You'll see kidney machines replaced by rockets and. guns. And the public wants what the public gets. But I don't get what this society wants. I'm going underground, (going underground). Well the brass bands play and feet start to pound. Going underground, (going underground). [So] let the boys all sing and the boys all shout for. tomorrow. We talk and talk until my head explodes. I turn on the news and my body froze. The braying sheep on my TV screen. Make this boy shout, make this boy scream!"
a town called malice,"A Town Called Malice. Better stop dreaming of the quiet life. 'Cos it's the one we'll never know. And quit running for that runaway bus. 'Cos those rosey days are few. And stop apologising for the things you've never done,. 'Cos time is short and life is cruel. Well it's up to us to change. This town called malice uh uh yeah. Rows and rows of disused milk floats. stand dying in the dairy yard. And a hundred lonely housewives clutch empty milk. bottles to their hearts. Hanging out their old love letters on the line to dry. It's enough to make you stop believing when tears come. fast and furious. In a town called malice uh uh yeah. Struggle after struggle. Year after year. The atmosphere's a fine blend of ice. I'm almost stone cold dead. In a town called malice uh uh yeah. A whole street's belief in Sunday's roast beef. gets dashed against the Co-op. To either cut down on beer or the kids new gear. It's a big decision in a town called malice uh uh yeah. The ghost of a steam train. Echoes down my track. It's at the moment bound for nowhere. Just going round and round. Playground kids and creaking swings. Lost laughter in the breeze. I could go on for hours and I probably will. But I'd sooner put some joy back. In this town called malice yeah yeah"
the modern world,"This is a modern world - This is the modern world. What kind of a fool do you think I am?. You think I know nothing of the modern world. All my life has been the same. I've learned to live by hate and pain. It's my inspiration drive -. I've learned more than you'll ever know. Even at school I felt quite sure. That one day I would be on top. And I'd look down upon the map. The teachers who said I'd be nothing -. This is the modern world that I've learnt about. This is the modern world, we don't need no one. To tell us what's right or wrong -. Say what you like 'cause I don't care. I know where I am and going too. It's somewhere I won't preview. Don't have to explain myself to you."
heatwave,"Whenever I'm with you. Something inside starts burning. Snd my hearts filled with fire. Stop this - it's got a hold on me. I said this ain't the way it's supposed to be. It's like a heatwave burning in my heart. I can't keep from crying. Tearing me apart. Whenever she calls my name. Sounds so soft sweet and plain. Right then, right there. I feel this burning pain. This high blood pressure's got a hold on me. I said this ain't the way love's supposed to be. Whenever I'm with you. Something inside starts burning. And my hearts filled with fire. Something's got me amazed. Don't know what to do."
i got you (i feel good),I feel good. I knew that I would now. So good. So good. I've got you. I feel nice. Like sugar and spice. So nice. So nice. I've got you. When I hold in my arms. I know that you do me no harm.
in the city,"In the city there's a thousand things I want to say to you. But whenever I approach you, you make me look a fool. I wanna say, I wanna tell you. About the young ideas. But you turn them into fears. In the city there's a thousand faces all shining bright. And those golden faces are under 25. They wanna say, they gonna tell ya. About the young idea. You better listen now you've said your bit-a. And I know what you're thinking. You still think I am crap. But you'd better listen man. Because the kids know where it's at. In the city there's a thousand men in uniforms. And I've heard they now have the right to kill a man. We wanna say, we gonna tell ya. About the young idea. And if it don't work, at least we said we've tried. In the city, in the city."
carnaby street,Take a look at the great street. It don't seem the same. Remember how great it should be. Shops are full of fashion. People told what they want. The street that was a part of the. British Monarchy. British Monarchy. Who wants cafgans and all that. We don't need them now. Why should we accept the change. And buy clothes of today. Kids repel the change and. Bring back the street. Shops filled by whole nations. Carnaby Street. Carnaby Street. The street is a mirror. For our country. Reflects the rise and fall. Of our nation. The street that was a legend. Is a mockery. A part of the British tradition. Gone down the drain. You don't need no glass ball. To see it's faults. Take a walk along that street. And you'll see what I mean. Carnaby Street. Carnaby Street. (not what it used to be). Carnaby Street. (not what it used to be).
pop art poem,"Kid walks down the street. Bumps into emptiness. Pow!. Kid looks at the sky. Looks at his watch. Decides to go home. Zap!. Kid spies pretty girl. Walks up to her. Kisses her. On the mouth. Where else?. And all day long I was thinking. I was thinking this, that and the other. And.... When!. So am I. I made this up as I went along. It's good innit?."
shopping,High town - high street connections. With clothes at the top of my list. You could steal things from the jewelry department. But you can't take kind or steal a kiss. As I flit from shop window to window. I'm trying to pick up a friendly bargin. But it's not like the adverts all make out. And there's no one to greet you as a friend. I dress myself for the part. I smile but it just don't work. Something about my face - must just be the wrong shape. I better try another brand pretty quick. I'm haunted by the colours and holding a reminder that I must be inadequate. High town - high street connection. With clothes at the top of my list.
