mr. brightside,"I'm coming out of my cage. And I've been doing just fine. Gotta gotta be down. Because I want it all. It started out with a kiss. How did it end up like this. It was only a kiss, it was only a kiss. Now I'm falling asleep. And she's calling a cab. While he's having a smoke. And she's taking a drag. Now they're going to bed. And my stomach is sick. And it's all in my head. But she's touching his chest. Now, he takes off her dress. Now, let me go. I just can't look its killing me. And taking control. Jealousy, turning saints into the sea. Swimming through sick lullabies. Choking on your alibis. But it's just the price I pay. Destiny is calling me. Open up my eager eyes. 'Cause I'm Mr Brightside. I'm coming out of my cage. And I've been doing just fine. Gotta gotta be down. Because I want it all. It started out with a kiss. How did it end up like this. It was only a kiss, it was only a kiss. Now I'm falling asleep. And she's calling a cab. While he's having a smoke. And she's taking a drag. Now they're going to bed. And my stomach is sick. And it's all in my head. But she's touching his chest. Now, he takes off her dress. Now, let me go. 'Cause I just can't look its killing me. And taking control. Jealousy, turning saints into the sea. Swimming through sick lullabies. Choking on your alibis. But it's just the price I pay. Destiny is calling me. Open up my eager eyes. 'Cause I'm Mr Brightside. I never.... I never.... I never.... I never..."
somebody told me,"Breaking my back just to know your name. Seventeen tracks and I've had it with this game. I'm breaking my back just to know your name. But heaven ain't close in a place like this. Anything goes but don't blink you might miss. Cause heaven ain't close in a place like this. I said heaven ain't close in a place like this. Bring it back down, bring it back down tonight. Never thought I'd let a rumor ruin my moonlight. Well somebody told me. You had a boyfriend. Who looked like a girlfriend. That I had in February of last year. It's not confidential. I've got potential. Ready? Let's roll onto something new. Taking its toll and I'm leaving without you. I'm ready, let's roll onto something new. 'Cause heaven ain't close in a place like this. I said heaven ain't close in a place like this. Bring it back down, bring it back down tonight. Never thought I'd let a rumor ruin my moonlight. Well somebody told me. You had a boyfriend. Who looked like a girlfriend. That I had in February of last year. It's not confidential. I've got potential. A rushin', a rushin' around. Pace yourself for me. I said maybe baby please. But I just don't know now. When all I wanna do is try. Somebody told me. You had a boyfriend. Who looked like a girlfriend. That I had in February of last year. It's not confidential. I've got potential. A rushin', a rushin' around"
here with me,"Wheels are turning. I remember when you were mine. Just to reach you. Baby, I'd stand in line. There's another world. We're living in. Tonight. There's another heart. That's fading in. The light. Don't want your picture. On my cell phone. I want you here with me. I don't want your memory. In my head, no. I want you here with me. Spent the summer. Just layin' out in the sun. Time seems to move so slowly. When you're taking it as it comes. (Taking it as it comes). Maybe we were just too young. (Maybe we were just too young). Your body was tan and your hair was long. You showed me your smile and my cares were gone. Falling in love filled my soul with fright. You said ""Come on babe, it'll be alright"". Must have been a fool till the bitter end. Now I hold on to hope. That I'll have you back again. I'd bargain and. I'd fight. But there's another world. You're living in. Tonight. Don't want your picture. On my cell phone. I want you here with me. I don't want your memory. In my head, no. I want you here with me. Well, I saw you in a restaurant. The other day. And instead of walking towards you. I ran away. (Ran away). And I'll keep on waiting for you. For you to come around. Come around and say. I don't want your picture. On my cell phone. I want you here with me. Don't need those memories. In my head, no. I want you here with me. (Here with me)"
human,"I did my best to notice. When the call came down the line. Up to the platform of surrender. I was brought but I was kind. And sometimes I get nervous. When I see an open door. Close your eyes. Clear your heart.... Cut the cord. Are we human?. Or are we dancer?. My sign is vital. My hands are cold. And I'm on my knees. Looking for the answer. Are we human?. Or are we dancer?. Pay my respects to grace and virtue. Send my condolences to good. Give my regards to soul and romance,. They always did the best they could. And so long to devotion. You taught me everything I know. Wave goodbye. Wish me well... You've gotta let me go. Are we human?. Or are we dancer?. My sign is vital. My hands are cold. And I'm on my knees. Looking for the answer. Are we human?. Or are we dancer?. Will your system be alright. When you dream of home tonight?. There is no message we're receiving. Let me know is your heart still beating. Are we human?. Or are we dancer?. My sign is vital. My hands are cold. And I'm on my knees. Looking for the answer. You've gotta let me know. Are we human?. Or are we dancer?. My sign is vital. My hands are cold. And I'm on my knees. Looking for the answer. Are we human. Or are we dancer?. Are we human?. Or are we dancer?. Are we human. Or are we dancer?"
when you were young,"You sit there in your heartache. Waiting on some beautiful boy. To save you from your old ways. You play forgiveness. Watch it now- here he comes. He doesn't look a thing like Jesus. But he talks like a gentlemen. Like you imagined when you were young. Can we climb this mountain. I don't know. Higher now than ever before. I know we can make it if we take it slow. Let's take it easy. Easy now, watch it go. We're burning down the highway skyline. On the back of a hurricane that started turning. When you were young. When you were young. And sometimes you close your eyes and see the place where you. Used to live. When you were young. They say the devil's water, it ain't so sweet. You don't have to drink right now. But you can dip your feet. Every once in a little while. You sit there in your heartache. Waiting on some beautiful boy. To save you from your old ways. You play forgiveness. Watch it now- here he comes. He doesn't look a thing like Jesus. But he talks like a gentlemen. Like you imagined when you were young. When you were young. I said he doesn't look a thing like Jesus. He doesn't look a thing like Jesus. But more than you'll ever know"
read my mind,"On the corner of main street. Just tryin' to keep it in line. You say you want to move on and. You say I'm falling behind. Can you read my mind?. Can you read my mind?. I never really gave up on. Breakin' out of this two-star town. I got the green light. I got a little fight. I'm going to turn this thing around. Can you read my mind?. Can you read my mind?. The good old days. The honest man. The restless heart. A promised land. A subtle kiss. That no one sees. A broken wrist. The big trapeize. Oh well I don't mind. If you don't mind. 'cause I don't shine. If you don't shine. Before you go. Can you read my mind?. It's funy how you just break down. Waitin' on some sign. I pull up to the front of your driveway. The magic soakin' my spine. Can you read my mind?. Can you read my mind?. The teenage queen. The loaded gun. The drop dead dream. The chosen one. A southern drawl (?). A world unseen. A city wall. And a trampoline. Well I don't mind. If you don't mind. Coz I don't shine. If you don't shine. Before you jump. Tell me what you find. When you read my mind. Slippin in my faith. Until I fall. You never returned that call. Woman, open the door. Don't let it stay. I want to breathe that fire again. She said. ""I don't mind. If you don't mind. Coz I don't shine. If you don't shine"". Put your back on me. Put your back on me. Put your back on me. The stars are blazing. Like rebel diamonds. Cut out of the sun. Can you read my mind?"
the man,"I know the score like the back of my hand. Them other boys, I don't give a damn. They kiss on the ring, I carry the crown. Nothing can break, nothing can break me down. Don't need no advice, I got a plan. I know the direction, the lay of the land. I know the score like the back of my hand. Them other boys, I don't give a damn. I'm the man, come round. No-no-nothing can break. no-nothing can break me down. I'm the man, come round and. No-no-nothing can break. you can't break me down. I got gas in the tank. I got money in the bank. I got news for you baby. you're looking at the man. I got skin in the game. I got a household name. I got news for you baby. you're looking at the man. When it comes to Friday, I always earn. Don't try to teach me, I got nothing to learn. 'Cause baby I'm gifted. You see what I mean?. Usda certified lean. I'm the man, come round. No-no-nothing can break. you can't break me down. I got gas in the tank. I got money in the bank. I got news for you baby. you're looking at the man. I got skin in the game. I don't feel no pain. I got news for you baby. you're looking at the man. Who's the man? Who's the man?. I'm the man, I'm the man. Who's the man with the plan?. I'm the man. Who's the man? Who's the man?. I'm the man, I'm the man. Who's the man with the plan?. I'm the man. I'm the man. I'm the man. I got gas in the tank. I got money in the bank. I got news for you baby. you're looking at the man. I got skin in the game. Headed to the hall of fame. I got news for you baby. you're looking at the man. Right hand to God. First in command. My testimony, but I take the stand. Who's the man? Who's the man?. I'm the man, I'm the man. Who's the man with the plan?. I'm the man. Who's the man? Who's the man?. I'm the man, I'm the man. Who's the man with the plan?. I'm the man. I don't give a damn. I'm the man"
all these things that i've done,"When there's nowhere else to run. Is there room for one more son?. One more son. If you can hold on. If you can hold on, hold on. I wanna stand up, I wanna let go. You know, you know - no you don't, you don't. I wanna shine on in the hearts of men. I want a meaning from the back of my broken hand. Another head aches, another heart breaks. I am so much older than I can take. And my affection, well it comes and goes. I need direction to perfection, no no no no. Help me out. Yeah, you know you got to help me out. Yeah, oh don't you put me on the back burner. You know you got to help me out. And when there's nowhere else to run. Is there room for one more son?. These changes ain't changing me. The cold-hearted boy I used to be. Yeah, you know you got to help me out. Yeah, oh don't you put me on the back burner. You know you got to help me out. You're gonna bring yourself down. Yeah, you're gonna bring yourself down. Yeah, you're gonna bring yourself down. I've got soul, but I'm not a soldier. I've got soul, but I'm not a soldier. (Time, truth and hearts). Yeah, you know you got to help me out. Yeah, oh don't you put me on the back burner. You know you got to help me out. You're gonna bring yourself down. You're gonna bring yourself down. Yeah, oh don't you put me on the back burner. Yeah, you're gonna bring yourself down. Over and in, last call for sin. While everyone's lost, the battle is won. With all these things that I've done. All these things that I've done. (Time, truth and hearts). If you can hold on. If you can hold on"
runaways,"Blonde hair blowing in the summer wind. A blue-eyed girl playing in the sand. I've been on a trail for a little while. And that was the night that she broke down. And held my hand. The teenage rush, she said:. Ain't we all just runaways?. 'Cuz we got time. But that ain't much. We can't wait 'till tomorrow. You gotta know that this is real, baby. Why you wanna fight it?. It's the one thing you can choose. We got engaged on a Friday night. I swore on the head of our unborn child. That I could take care of the three of us. But I got the tendency to slip. When the nights get wild. It's in my blood. She said she might just run away to somewhere else. Some place good. We can't wait 'till tomorrow. You gotta know that this is real, baby. Why you wanna fight it?. It's the one thing you can choose. Let's take a chance, baby, we can't lose. Ain't we all, just runaways. I knew it when I met you. I'm not gonna let you run away. I knew it when I held you. I wasn't letting go. We used to look at the stars and confess our dreams. Hold each other 'till the morning light. We used to laugh now we only fight. Baby, are you lonesome now?. At night I come home after they go to sleep. Like a stumbling ghost, I haunt this house. There's a picture of us on our wedding day. I recognize the girl but I can't settle in these walls. We can't wait 'till tomorrow. Now we're caught up in the appeal. Baby, why you wanna hide it?. It's the last thing on my mind. I turn the engine over and my body just comes alive. And we're all just runaways. I knew it when I met you. I'm not gonna let you run away. I knew it when I held you. I wasn't letting go. Ain't we all just runaways. Ain't we all just runaways"
shot at the night,"Once in a lifetime. The suffering of fools. To find our way home. To break in these bones. Once in a lifetime. Once in a lifetime. Once in a lifetime. Give me a shot at the night. Give me a moment, some kind of mysterious. Give me a shot at the night. Give me a moment, some kind of mysterious. Once in a lifetime. The breaking of the roof. To find that our home. Has long been a throne. Draw me a life line. Cause honey I got nothing to lose. Once in a lifetime. Once in a lifetime. Once in a lifetime. Give me a shot at the night. Give me a moment, some kind of mysterious. Give me a shot at the night. Give me a moment, some kind of mysterious. Give me a shot at the night. Look at my reflection in the mirror. Underneath the power of the light. Give me a shot at the night. Give me a shot at the night. Give me a shot at the night. I feel like I'm losing the fight. Give me a moment, some kind of mysterious. Give me a shot at the night. Give me a shot at the night. Give me a moment, some kind of mysterious. Give me a shot at the night. Give me a moment, some kind of mysterious. Give me a shot at the night. Give me a moment, some kind of mysterious. Give me a shot at the night"
