the last goodbye,It's the last goodbye I swear. I can't rely on a dime a day love. That don't go anywhere. I learn to cry for someone else. I can't get by on an odds and ends love. That don't ever match up. I heard all you said and I took it to heart. I won't forget I swear. I have no regrets for the past is behind me. Tomorrow reminds me just where. Can't quite see the end. How can I rely on my heart. If I break it with my own two hands?. I heard all you said and I love you to death. I heard all you said don't say anything. It's the last goodbye I swear. I can't survive on a half-hearted love. That will never be whole
doing it to death,"Baby save it, we're wasted. I know we gotta slow it down. But when the waves come, you face them. And you know we can't stop it now. Heads up we're in a dead club. Put your hands up and do your dipsy and dropsy. And line up, we're hanging up. We're double sixing it, night after night. Doing it to death. Baby lately the plans we're making. Are the shape of things that never come. Hold your horses, the lights up. Can't feel it coming back around. Listen up, it's picking up. Put your hands up and do your kicksy and lipsy. Your times up, we're hanging up. We're double sixing it, night cause tonight. We're doing it to death. We're double sixing it night after night after night. We're double sixing it night after night after night. We're double sixing it night after night after night. Doing it to death"
search for cherry red,"In every car that passes me on the street. I search for the particular face. The lipstick trembles under boomlights. The lipstick my own brothers only trace. Was the birthday birthday ashtray. Carried all along this way now. It was a gift from my little sister. On the very same day they took her away. And it's painted cherry red, cherry red now. All your dreams are cherry red inside your head. And it's painted cherry red, cherry red now. All your dreams are cherry red inside. In Hollywood I got the phone call. That made my heart and my limosine stall. Falling down in the hotel hall again. Little drunk from the Warners' Christmas ball. Cut by love and cut by switchblade. He's been gone nearly half a decade. Cut by love and cut by switchblade. He's been gone nearly half a decade. I still remember my brother. I see his face on the billboards. And the polaroids that stayed on my pillow 'til they faded. And it's painted cherry red, cherry red now. All your dreams are cherry red inside your head. And it's painted cherry red, cherry red now. All your dreams are cherry red inside. And it's painted cherry red, cherry red now. All your dreams are cherry red inside your head. And it's painted cherry red, cherry red now. All your dreams are cherry red inside"
let it drop,You give me the shakes. You give me the cold sweats. You're giving me reasons to turn my tear drops. Into death threats. You're going straight to machine. So I kiss my brothers. I never took off my chains. They never took my colors. Take 'em on in the morning luv. I'm digging deep for my midas touch. We could be chasing the waves. I know it isn't much. Let it drop. Let it drop. People don't make it easy. Let it drop. Let it drop. Isn't it strange. The way you move me so. You love me with hot hammers. And then your blood runs cold. For my next trick. Gonna be like: where she go?. Make an exit. like adios amigos. It got too complicated. Cool it down and refridgerate it. We could be lassoing the stars. But people don't make it easy. Let it drop. Let it drop. Let it drop. Let it drop. People don't make it easy. Let it drop. Let it drop. Let it drop
heart of a dog,"From sea to mountain valley. From flesh to palms a' swaying. Dreamers dreaming on. No matter what they're saying. I need you. Don't ask me why it is. I want strings - attached. Unnatural as it feels. I'm loyal, oh oh, I'm loyal. From starry eyes colliding. From mars to someone crying. I'm never far away. No matter what I'm hiding. I get lost. But I always come around. It's a strange fear. Allows me to be found. I'm loyal, oh oh, I'm loyal. I'm loyal, oh oh. I got the heart of a dog. It's life or death why I chew through the chain. It don't matter my love's the same. Go so far but never long. Can't break the spell in my heart. I'm loyal, oh oh, I'm loyal. I'm loyal, oh oh. I got the heart of a dog. From bars to beds of laying. From boots of lead to changing. I'm hooked from deep inside. Call when you're ready cos I'm ready to ride. I'm loyal, oh oh. I'm loyal, oh oh. I got the heart of a dog"
cryin (aerosmith cover),"There was a time. When I was so brokenhearted. Love wasn't much, of a friend of mine. The tables have turned, yeah. 'Cause me and them ways have parted. That kind of love, was the killin' kind. All I want, is someone I can't resist. I know all right I need to know. By the way that I got kissed. I was cryin' when I met you. Now I'm tryin to forget you. your Love is sweet, misery. I was cryin' just to get you. Now I'm dyin' 'cause I let you. Do what you do-down on me. Now there's not even breathin' room. Between pleasure and pain. Yeah you cry when we're makin love. Must be one and the same. It's down on me. Yeah, I got to tell you one thing. It's been on my mind. Girl I gotta say. We're partners in crime. You got that certain something. What you give to me. Takes my breath away. Now the word out on the street. Is the devil's in your kiss. If our love goes up in flames. It's a fire I can't resist. I was cryin' when I met you. Now I'm tryin to forget you. your Love is sweet misery. I was cryin' just to get you. Now I'm dyin' 'cause I let you. Do what you do down on me. 'Cause what you got inside. Ain't where your love should stay. Yeah, our love, sweet love, ain't love. 'Till you give your heart away. I was cryin' when I met you. Now I'm tryin to forget you. Your Love is sweet misery. I was cryin' just to get you. Now I'm dyin' just to let you. Do what you do what you do. Down to me, baby, baby, baby, baby. I was cryin' when I met you. Now I'm tryin to forget you. Your Love is sweet misery. I was cryin' when I met you. Now I'm dyin' 'cause I let you. Do what you do. Down to, down to, down to, down to, down to. I was cryin' when I met you. Now I'm tryin to forget you. Your Love is sweet.... I was cryin' when I met you. Now I'm dyin' 'cause I let you. Do what you do. Down to, down to, down to, down to, down to"
sugar baby,"Got no sugar baby now;. It's all I can do for to see peace with you,. And I can't get along this a-way. oh, i can't get along this a-way.. All I can do, all I can say;. gonna send you to your mama next payday,. Send you to your mama next payday.. Who'll rock the cradle, who'll sing the song. Who'll rock the cradle when I'm gone,. Who'll rock the cradle when I'm gone?. I'll rock the cradle, I'll sing the song,. I'll rock the cradle when you're gone.. I'll rock the cradle when you're gone.. Oh I've got no honey baby now;. Oh I've got no honey baby now;. i got no sugar baby now.. Said all I can say, all I can do,. And I can't make a living with you,. Can't make a living with you."
list of demands (reparations),"I want my money back. I'm down here drowning in your fat. You got me on my knees. Praying for everything you lack. I ain't afraid of you. I'm just a victim of your fears. You cower in your tower. Praying that I'll disappear. I got another plan. One that requires me to stand. On the stage or in the street. Don't need no microphone or beat. And when you hear this song. If you ain't dead sing along. Bang and strum to these here drums. Till you get where you belong. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. You wanna be somebody? See somebody?. Try and free somebody?. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. Hand to mouth. I wrote a song for you today. While I was sitting in my room. I jumped up on my bed today. And I played it on a broom. I didn't think that it would be a song. That you would hear. But when I played it in my head. I made you reappear. I wrote a video for it. And I acted out each part. And then I took your picture out. And taped it to my heart. I've taped you to my heart, dear. I've taped you to my. Heart and if you pull away from me. You'll tear my life apart. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. You wanna be somebody? See somebody?. Try and free somebody?. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. Call the police. I'm strapped to the teeth. And liable to disregard. Your every belief. Call on the law. I'm fixin' to draw. A line between what is and seems. And call up a brawl. Call 'em right now. 'Cause I'm about to go pow. I'm standing on the threshold. Of the ups and the downs. Call up a truce. Cause I'm about to bust loose. Protect ya neck 'cause son. I'm breaking out of my noose. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. You wanna be somebody? See somebody?. Try and free somebody?. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. Hand to mouth. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. I'm living hand to mouth. You wanna be somebody? See somebody?. Try and free somebody?. I got a list of demands. Written on the palm of my hands. I ball my fist, you're gonna. Know where I stand. Hand to mouth. Hand to mouth. Hand to mouth"
getting down,"What's going on 5. I want you to know. My spirit's alive,. I want you to know. I'm getting down with the awkward moments. I'm getting down with the sour kiss. I'm getting down with the rumours in the back of the car. I'm getting down with it. Signal when you get to the top. Signal when you want me,. When you want to stop. We could, we could crash. We could, we could burn burn. We could take it. We could, we could. Take it, take it in turns. Getting down. Getting down with your new vocation. Getting down with your cute cut wrists. I'm getting down with the kisses and cross-stitches on it. I'm getting down with it. Here's a message from my old coat pocket. My spirit's alive, I want you to know. I'm getting down with the young drunk lovers. I'm getting down with the one-way pact. I'm getting down with the city and the pity of it. I'm getting down with it"
black balloon,Elevator straight into my skull. The escalator rises as it falls. I swear our chant is crashin' in my mind. You can hold on but I wouldn't waste your time. Farewell my black balloon. Farewell my black balloon. I've stood in a thousand street scenes. Just around the corner from you. On the edge of a dream that you have. Has anybody ever told you it's not coming true. Farewell my black balloon. Farewell my black balloon. The weather had its way with you. Farewell my black balloon. The weather had its way with you. Farewell my black balloon
fuck emo,"Why cry you EMO fuck. If I see you sook I'll fuck you up. Dance, prance, pull up your pants. Dress like a nerd. To be part of the herd. Stop playing EMO. Start playing grind. Why bitch about tunes. When you can start a fight?. We're not EMO we're grind. Fuck EMO"
