into your arms,There was a new girl in town. She had it all figured out. And I'll state something rash. She had the most amazing smile. I bet you didn't expect that. But she made me change my ways. With eyes like a sunsets baby. And legs that went on for days. (CHORUS). I'm falling in love. But it's falling apart. I need to find my way back to the start. When we were in love. Things were better than they are. Let me back into. Into your arms. She made her way to the bar. I tried to talk to her but she seemed so far. Outta my league. I had to find a way to get her next to me. (CHORUS). Oh she's slipping away. I always freeze when I'm thinking of words to say. All the things she does. Make it seem like love. Just a game. Then I like the way that we play. (CHORUS)
big jet plane,"She said, hello mister. Pleased to meet ya. I want to hold her,. I want to kiss her,. She smell the daisy,. She smell the daisy,. She drive me crazy,. She drive me crazy. Chorus: Gonna take her for a ride on a big jet plane (X3). Yeah, hey. Be my lover,. My lady river. But can i take ya,. Take ya higher. Chorus: Gonna take her for a ride on a big jet plane (X4). Hey hey. Gonna hold you,. Gonna kiss you in my arms. Gonna take you,. Away from home. (X2). Chorus: Gonna take her for a ride on a big jet plane(X4). Hey hey"
some days,"Some days feel alone, on your own like a rolling stone. A perfect waste of a perfect day. Some days feel like chores, you get more than you bargain for. A heavy plate for one to undertake. I hate to say I told you so, but I just thought I’d let you know. Some days, they taste like lemonade. Some days can feel like razorblades. I wish I could float away, some days. (Some days). Some days smell like spring, birds, they sing, jasmine’s blossoming. Everything, oh it’s everything. Some times things can seem evergreen, like the TV screen. Reality, it’s reality. I hate to say I told you so, but I just thought I’d let you know. Some days, they taste like lemonade. Some days can feel like razorblades. I wish I could float away, some days. (I wish that I could float away). Float away, I wish I could float away. I hate to say I told you so. Some days, they taste like lemonade. Some days can feel like razorblades. Oh I wish I could float away"
how do you feel?,"Dearly depressed and broken hearted. I'd like to let you know that boys cry too. Don't let them tell you how you're feeling. I wonder why nobody is asking you. Are you free or are you in sorrow?. Are you free or are you being borrowed?. How do you feel?. What's your condition?. You are alive but are you living?. Give me your voice and I'll give it a listen. Are you complete or is something missing?. So tell me. Do your hands shake?. Does your heart break?. When the earth quakes. Whatever it is. Whatever it isn't. Make sure that it's real. Oh, now, how do you feel?. To all the dearly depressed and broken hearted. The inbetweens and all the torn ones too. You're not alone in how you're feeling. I wonder why nobody is asking you. Are you free or are you in sorrow?. Are you free or are you being borrowed?. Being borrowed. How do you feel?. What's your condition?. You are alive but are you living?. Give me your voice and I'll give it a listen. Are you complete or is something missing?. So tell me. Do your hands shake?. Does your heart break?. When the earth quakes. Whatever it is. Whatever it isn't. Make sure that it's real. Oh, now, how do you feel?. How do you feel?. Do your hands shake?. Does your heart break?. When the earth quakes. Are you free or are you being borrowed?. How do you feel?. What's your condition?. You are alive but are you living?. Give me your voice and I'll give it a listen. Are you complete or is something missing?. So tell me. Do your hands shake?. Does your heart break?. When the earth quakes. Whatever it is. Whatever it isn't. Make sure that it's real. Oh, now, how do you feel?. How do you feel?. Do your hands shake?. Does your heart break?. When the earth quakes. Are you free or are you being borrowed?. How do you feel?. What's your condition?. You are alive but are you living?. Give me your voice and I'll give it a listen. Are you complete or is something missing?. So tell me. Do your hands shake?. Does your heart break?. When the earth quakes. Whatever it is. Whatever it isn't. Make sure that it's real, real, real. Now, how do you feel?. (Feel, feel, feel)"
(un)lost,"I'm not looking for anything in particular. But I'm far more desperate than you think. I wonder what it's like to be the Universe. Experiencing itself ironically. I need some space to run around. I'll always have the underground. I'll build my road despite the cost. I'm not looking to be found. No, no not at all. I'm unaware where I'm going. Or if I'm going anywhere at all. But I know I'll take the leap. If it is worth the fall. So as long as the blood keeps flowing. I'll set a sail and swim across. I'm not looking to be found. Just want to feel unlost. With my eyes closed this feels like home. I drift in my own head and all I really know is. Whatever this is doesn't get easier. So take it slow, just take it slow. Between the silence and the sound. I'll never lose the underground. I'll build my road despite the cost. I'm not looking to be found. No, no not at all. I'm unaware where I'm going. Or if I'm going anywhere at all. But I know I'll take the leap. If it is worth the fall. So as long as the blood keeps flowing. I'll set a sail and swim across. I'm not looking to be found. No, not at all. The World disarms before a flash. And you are not allowed to be anybody else. Control what you can, confront what you can't. And always remember how lucky you are to have yourself. I'm unaware where I'm going. Or if I'm going anywhere at all. But I know I'll take the leap. If it is worth the fall. So as long as the blood keeps flowing. I'll set a sail and swim across. I'm not looking to be found. Just want to feel unlost"
misery,"I'll say this once again. You people, you aren't my friends. The devil, he can't come in. Tonight, that's right. Looking for misery. But she found me, lying naked on the floor. I was headed insane. The devil told me his name. But he's not welcome here, anymore. Tell me, what do you see?. What do you see?. When you're looking at me. When you look at me. The social responsibility. It's killing me, inside. Looking for misery. But she found me, lying naked on the floor. Stay away, sweet misery. I was headed insane. The devil told me his name. But he's not welcome there, anymore. Stay away, sweet misery. Stay away, sweet misery. The pressure is building with time. I've made it up in my mind. I've got excuses for all these things that I've tried. In my life. Looking for misery. But she found me, lying naked on the floor. Stay away, sweet misery. I was headed insane. The devil told me his name. But he's not welcome there, anymore. Stay away, sweet misery. You're not welcome anymore. Stay away, sweet misery"
24 floors,"24 floors. Up in some hotel room. Feeling so low. Thinking of jumping soon. I look up and see the stars. Look down at speeding cars. Think of my family. How they'll remember me. Eyes closed, I see your face. Breathe deep and hesitate. I hear the words you'd say. If you were here with me. You'd say. ""You don't wanna die tonight. Take one more breath to clear your mind. Every moment's relevant. Bittersweet and delicate. Tomorrow may not come again"". 24 floors. Up in some hotel room. Feeling so low. And some kind of muted blue. The Tv talks at me. Apocalyptically. Fosters the fear in me. But somehow I hear your plea. With eyes closed, I see your face. I breathe deep and hesitate. I hear the words you'd say. Feels like you're here with me. And you say. ""You don't wanna die tonight. Take one more breath to clear your mind. Every moment's relevant. Bittersweet and delicate. Tomorrow may not come again. Tonight is all there is"". Oh, if this is all there is. Yeah, if this is all there is. You don't wanna die tonight. Take one more breath to clear your mind. This moment is relevant. Bittersweet and delicate. Tomorrow may not come again. Tonight is all there is. If this is all there is. 24 floors. Up in some hotel room"
don't come down,"Here's to now. And nothing else. In the crowd. All by yourself. To the lows and every high. The hellos and the goodbyes. In this moment, I could die. With you. Never felt like this feel before. Dizzy, drunk, and beautiful. In this moment, I let go. With you. When you are next to me and the music's loud. Singing 'Hey Nineteen' somewhere in the crowd. We are up so high. They can't touch us now. We are thousands of feet from the ground. And won't come down. We won't come down. Yeah, here's to all. To all this culture's rules and your pretty things. How dirty, wild, blurry, juvenile. We ain't got no time for what tomorrow brings. And the choir sings. To all the lows and every high. The hellos and the goodbyes. In this moment, I could die. With you. When you are next to me and the music is loud. Singing 'Hey Nineteen' somewhere in the crowd. We are up so high. They can't touch us now. We are thousands of feet from the ground. And won't come down. We won't come down. Here's to now. And to nothin' else. In the crowd. All by yourself. To the lows and every high. The hellos and the goodbyes. In this moment, I could die. With you. Yeah, right here with you!. And when you are next to me and the music is loud. Singing 'Hey Nineteen' somewhere in the crowd. Yeah, we're up so high. They can't touch us now. We are thousands of feet from the ground. Yeah, we're never going down. To the lows and every high. The hellos and the goodbyes. In this moment, I could die. With you. And we're never going down. Never felt like this feel before. Dizzy, drunk, and beautiful. In this moment, I let go. With you"
taxi,"In the backseat of the taxi. When you told me we were only. Two punch drunk souls all tangled in the wind. And in the backseat. When you asked me: Is the sadness everlasting?. I pulled you closer, looked at you and said: Love, I think it is. And it creeps on in. To the corners of yourself. Yeah, it creeps on in. Until it hurts like hell. And you know I never knew. How much I was getting into. No, I never knew how much I was getting into. In the backseat of the taxi. When you told me we were only. Two punch drunk souls all tangled in the wind. And in the backseat. When you asked me: Is the sadness everlasting?. I pulled you closer, looked at you and said. Love, I think it is. I can't say that I can make you feel. Complete or free from your worry. But believe me when I tell you. ""Babe, you'll never be lonely"". You'll never be lonely. You'll never be lonely. Don't you understand?. You won't be alone again. And it creeps on in. To the corners of yourself. Yeah, it creeps on in. To the flawless parts as well. And you know, I never knew. How much I was getting into. No, I never knew just what I was getting into. In the backseat of the taxi. When you told me we were only. Two punch drunk souls all tangled in the wind. And in the backseat. When you asked me: Is the sadness everlasting?. I pulled you closer, looked at you and said: Love, I think it is. I can't say that I can make you feel complete. Or free from your worry. But believe me when I tell you. Babe, you'll never be lonely. You'll never be lonely. You'll never be lonely. Don't you understand?. You won't be alone again"
the sound of reverie,"Let's take our time. While it's still ours to take. 'Cause some things hardly change. But nothing ever stays the same. Let's fall back in love. With the world and who we are. And do the things we talked about. But never did before. And darling. Don't blink because you will. And when you open up your eyes again. You may not recognise a friend. It may be bittersweet. 'Cause we're no longer. Seventeen, but we're still young. So dance with me in naivety. And follow endlessly. The sound of reverie. Make up our minds. While they're still ours to make. The past is in the rear view. And the future holds no weight. We've got a lot. But what do we got to lose?. 'Cause I'm losing track of time. And I'll be all these shades of blue. So forget the hearts and all the flowers. And we could save these times that I've been working on. Focus on the trip we're on. It may be bittersweet. 'Cause we're no longer. Seventeen, but we're still young. So dance with me in naivety. And follow endlessly. The sound of reverie. Of reverie. I was bittersweet. But, baby, did I. And if you blink. If you move another. It's tough to be anything these days. They tell me how much of right now is ours to take. Some say the passing of time is bittersweet. But I think I love time the most when I'm with you. The truth doesn't mean a thing. Don't blink because you will. And when you open up your eyes again. (Your eyes again). And darling don't blink because you will. And when you open up your eyes again. You may not recognise a friend. It may be bittersweet. 'Cause we're no longer. Seventeen, but we're still young. So dance with me in naivety. And follow endlessly. In reverie. (Don't blink because you will. And when you open up your eyes again). We're still young. So dance with me in naivety. And follow endlessly. The sound of reverie. Of reverie. Of reverie. The sound of"
