the kids aren't alright,"When we were young the future was so bright (oh oh). The old neighborhood was so alive (oh oh). And every kid on the whole damn street (oh oh). Was gonna make it big and not be beat. Now the neighborhood's cracked and torn (oh oh). The kids are grown up but their lives are worn (oh oh). How can one little street. Swallow so many lives. Chances thrown. Nothing's free. Longing for what used to be. Still it's hard. Hard to see. Fragile lives, shattered dreams. Jamie had a chance, well she really did. Instead she dropped out and had a couple of kids. Mark still lives at home cause he's got no job. He just plays guitar and smokes a lot of pot. Jay committed suicide. Brandon OD'd and died. What the hell is going on. The cruelest dream, reality. Chances thrown. Nothing's free. Longing for what used to be. Still it's hard. Hard to see. Fragile lives, shattered dreams. Chances thrown. Nothing's free. Longing for what, used to be?. Still it's hard. Hard to see. Fragile lives, shattered dreams"
why don't you get a job?,"My friend's got a girlfriend. Man he hates that bitch. He tells me every day. He says ""man I really gotta lose my chick. In the worst kind of way"". She sits on her ass. He works his hands to the bone. To give her money every payday. But she wants more dinero just to stay at home. Well my friend. You gotta say. I won't pay, I won't pay ya, no way. nana Why don't you get a job. Say no way, say no way ya, no way. Tell me why don't you get a job?. I guess all his money, well it isn't enough. To keep her bill collectors at bay. I guess all his money, well it isn't enough. Cause that girl's got expensive taste. I won't pay, I won't pay ya, no way. nana Why don't you get a job?. Say no way, say no way ya, no way. Tell me why don't you get a job?. Well I guess it ain't easy doing nothing at all. But hey man free rides just don't come along. every day. Let me tell you about my other friend now. My friend's got a boyfriend, man she hates that dick. She tells me every day. He wants more dinero just to stay at home. Well my friend. You gotta say. I won't pay, I won't pay ya, no way. nana Why don't you get a job?. Say no way, say no way ya, no way. Tell me why don't you get a job?. I won't give, give me your money. I always pay. nana Why don't you get a job?. Say no way, say no way ya, no way. nana Why don't you get a job?"
pretty fly (for a white guy),"Give it to me baby, a-ha, a-ha!. Give it to me baby, a-ha, a-ha!. Give it to me baby, a-ha, a-ha!. And all the girls say I'm pretty fly (for a white guy). Uno, dos, tres, cuatro, cinco, cinco, seis. You know it's kind of hard just to get along today. Our subject isn't cool but he fakes it anyway. He may not have a clue, and he may not have style. But everything he lacks, well, he makes up in denial. So don't debate, play it straight. You know he really doesn't get it anyway. He's gonna play the field, and keep it real. For you no way, for you no way. So if you don't rate, just overcompensate. At least you'll know you can always go on Ricki Lake. The world needs wannabes. So hey, hey do that brand new thing. Give it to me baby, a-ha, a-ha!. Give it to me baby, a-ha, a-ha!. Give it to me baby, a-ha, a-ha!. And all the girls say I'm pretty fly (for a white guy). He needs some cool tunes, not just any will suffice. But they didn't have Ice Cube so he bought Vanilla Ice. Now cruising in his Pinto he sees homies as he pass. But if he looks twice they're gonna kick his lily ass. So don't debate, a player straight. You know he really doesn't get it anyway. He's gonna play the field, and keep it real. For you no way, for you no way. So if you don't rate, just overcompensate. At least you'll know you can always go on Ricki Lake. The world loves wannabes. So hey, hey do that brand new thing. Now he's getting a tattoo, yeah, he's gettin' ink done. He asked for a ""13"" but they drew a ""31"". Friends say he's trying too hard. And he's not quite hip. But in his own mind, he's the, he's the dopest trip. Give it to me baby, a-ha, a-ha!. Give it to me baby, a-ha, a-ha!. Give it to me baby, a-ha, a-ha!. Uno, dos, tres, cuatro, cinco, cinco, seis. So don't debate, a player straight. You know he really doesn't get it anyway. He's gonna play the field, and keep it real. For you no way, for you no way. So if you don't rate, just overcompensate. At least you'll know you can always go on Ricki Lake. The world needs wannabes. The world loves wannabes. So let's get some more wannabes. And hey, hey do that brand new thing!"
"you're gonna go far, kid","Show me how to lie. You're getting better all the time. And turning all against the one. Is an art that's hard to teach. Another clever word. Sets off an unsuspecting herd. And as you step back into line. A mob jumps to their feet. Now dance, fucker, dance. Man, he never had a chance. And no one even knew. It was really only you. And now you steal away. Take him out today. Nice work you did. You're gonna go far, kid. With a thousand lies. And a good disguise. Hit 'em right between the eyes. Hit 'em right between the eyes. When you walk away. Nothing more to say. See the lightning in your eyes. See 'em running for their lives. Slowly out of line. And drifting closer in your sights. So play it out I'm wide awake. It's a scene about me. There's something in your way. And now someone is gonna pay. And if you can't get what you want. Well it's all because of me. Now dance, fucker, dance. Man, I never had a chance. And no one even knew. It was really only you. And now you'll lead the way. Show the light of day. Nice work you did. You're gonna go far, kid. Trust, deceived!. With a thousand lies. And a good disguise. Hit 'em right between the eyes. Hit 'em right between the eyes. When you walk away. Nothing more to say. See the lightning in your eyes. See 'em running for their lives. Now dance, fucker, dance. He never had a chance. And no one even knew. It was really only you. So dance, fucker, dance. I never had a chance. It was really only you. With a thousand lies. And a good disguise. Hit 'em right between the eyes. Hit 'em right between the eyes. When you walk away. Nothing more to say. See the lightning in your eyes. See 'em running for their lives. Clever alibis. Lord of the flies. Hit 'em right between the eyes. Hit 'em right between the eyes. When you walk away. Nothing more to say. See the lightning in your eyes. See 'em running for their lives"
self esteem,"La, la, la, la, la, la, la, la, la, la. I wrote her off for the tenth time today. And practiced all the things I would say. But she came over, I lost my nerve. I took her back and made her dessert. Now I know I'm being used. That's okay, man, cause I like the abuse. I know she's playing with me. But that's ok cause I got no self esteem. We make plans to go out at night. I wait till 2 then I turn out the light. All this rejection's got me so low. If she keeps it up I just might tell her so. When she's saying, oh, that she wants only me. Then I wonder why she sleeps with my friends. When she's saying, oh, that I'm like a disease. Then I wonder how much more I can spend. Well I guess, I should stick up for myself. But I really think it's better this way. The more you suffer, the more it shows you really care. Right? Yeah!. Now I'll relate to this little bit. That happens more than I'd like to admit. Late at night she knocks on my door. She's drunk again and looking to score. Now I know I should say no. But it's kind of hard when she's ready to go. I may be dumb, but I'm not a dweeb. I'm just a sucker with no self esteem. When she's saying, oh, that she wants only me. Then I wonder why she sleeps with my friends. When she's saying, oh, that I'm like a disease. Then I wonder how much more I can spend. Well I guess, I should stick up for myself. But I really think it's better this way. The more you suffer, the more it shows you really care. Right? Yeah!"
come out and play,"You gotta keep 'em separated. Like the latest fashion. Like a spreading disease. The kids are strappin' on the way to the classroom. Getting weapons with the greatest of ease. The gangs stake out their own campus locale. And if they catch ya slippin' then it's all over pal. If one guy's colors and the other's don't mix. They're gonna bash it up, bash it up, bash it up, bash it up. Hey! Man you talking back to me?. Take him out (You gotta keep 'em separated). Hey! Man you disrespecting me?. Take him out (You gotta keep 'em separated). Hey! Don't pay no mind. You're under 18 you won't be doin' any time. Hey! Come out and play!. By the time you hear the siren. It's already too late. One goes to the morgue and the other to jail. One got wasted and the other's a waste. It goes down the same like the thousand before. No one's gettin' smarter no one's learnin' the score. Your never-ending spree of death and violence and hate. Is gonna tie your own rope, tie your own rope, tie your own. Hey! Man you disrespecting me?. Take him out (You gotta keep 'em separated). Hey! Man you talking back to me?. Take him out (You gotta keep 'em separated). Hey! Don't pay no mind. You're under 18 you won't be doin' any time. Hey! Come out and play!. It goes down the same like the thousand before. No one's gettin' smarter no one's learnin' the score. Your never-ending spree of death and violence and hate. Is gonna tie your own rope, tie your own rope, tie your own"
want you bad,"If you could only read my mind. You would know that things between us. Ain't right. I know your arms are open wide. But you're a little on the straight side. I can't lie. Your one vice. Is you're too nice. Come around now. Can't you see?. I want you. All tattooed. I want you bad. Complete me. Mistreat me. I want you to be bad bad bad bad bad. If you could only read my mind. You would know that I've been waiting. So long. For someone almost just like you. But with attitude, I'm waiting So come on. Get out of clothes time. Grow out those highlights. Come around now. Can't you see?. I want you. In a vinyl suit. I want you bad. Complicated. X-rated. I want you bad bad bad bad bad... bad. Don't get me wrong. I know you're only being good. But that's what's wrong. I guess I just misunderstood. I want you. All tattooed. I want you bad. Complicated. X- rated. I want you bad. I mean it. I need it. I want you bad bad bad bad bad...bad. really really bad"
gone away,"Maybe in another life. I could find you there. Pulled away before your time. I can't deal it's so unfair. And it feels. Yeah it feels like. heaven's so far away. And it feels. Yeah it feels like. the world has grown cold. Now that you've gone away. Leaving flowers on your grave. Show that I still care. (But) black roses and hail marys. Can't bring back what's taken from me. I reach to the sky. And call out your name. and if I could trade. I would. And it feels. And it feels like. Heaven's so far away. And it stings. Yeah it stings now. (The) world is so cold. Now that you've gone away. Gone away, gone away, yeah yeah yeah yeah yeah. Ouuhhh, ouhhh, ouhh yeah. I'll save your soul. woah woah. I reach to the sky. And call out your name. oh please let me trade. I would. And it feels. And it feels like. Heaven's so far away. And it feels. Yeah it feels like. (The) world is so cold. Now that you've gone away. Gone away, gone away, yeah yeah yeah yeah yeah. Ouuhhh, ouhhh, ouhh ohh oh yeah"
hit that,"The winds of fortune. Don´t blow the same. She had to get out. And make a change. She had a kid now. But much too young. Their baby daddy's. Out having fun. He's sayin' 'Now I´m on a roll. With all the girls I know'. His baby mama. She aint so slow. He's sayin' 'Now I´m on a roll. With all the girls I know'. I know you wanna Hit That. I know you wanna Hit That, Hit That. All of the world is getting with i say. Consequences are a lot but, hey. That´s the way. That´s the way things go. What was a family. Is now a shell. We´re raising kids now. Who raise themselves. Sex is a weapon. It´s like a drug. It gets around until. That crowd will eat you up. She's sayin' 'Now I´m on a run. I´m chasing guys for fun'. My baby daddy. It aint his only one. She's sayin' 'Now I´m on a run. I´m chasing guys for fun'. I know you wanna Hit That. I know you wanna Hit That, Hit That. Hey everybody´s getting with i say. Consequences are a lot but, hey. That´s the way. That´s the way things go. When the winds up. Broken up, really such a shame. But why not?. Take a chance, everything´s a game. And it don't stop. Hooking up, nothing´s gonna change. Well, the more he´s tryin'. The more he's buyin'. He says 'Now I´m on a roll. With all the girls I know'. His baby mama. Don´t need to know. He's sayin' 'Now I´m on a roll. With all the girls I know'. I know you wanna Hit That. I know you wanna Hit That, Hit That. All of the world is getting with i say. Consequences are allright but, hey. That´s the way. That´s the way things go. . Por Léo"
all i want,"ya, ya, ya, ya, ya. Day after day. Your hole life's a wreck. The powers that be just breathe down your neck. You get no respect. You get no relief. You gotta speak up and yell out your peace. Chorus:. So back off your rules. Back off your jive. Cause I'm sick of not living. To stay alive. Leave me alone. I'm not asking a lot. I just don't want be controlled. It's all I want. It's all I want. It's all I want. It's all I want. ya, ya, ya, ya, ya. How many times is it gonna take. Till someone around you hears what you say. You've tried being cool. You feel like a lie. You've played by their rules. Now it's their turn to try. Chorus. I said it before. I'll say it again. If you could just listen. then it might make sense. Chorus. Ya, Ya, Ya, Ya, Ya"
