in the shadows,"No sleep. No sleep until I'm done with finding the answer. Won't stop. Won't stop before I find the cure for this cancer. And sometimes I feel like going down and so disconnected. But somehow I know that I am haunted to be wanted. I've been watching, I've been waiting. In the shadows for my time. I've been searching, I've been living. For tomorrows all my life. In the shadows.... In the shadows.... They say that I must learn to kill before I can feel. safe. But I, I'd rather kill myself than turn into their slave. And sometimes I feel that I should go and play with the thunder. Cause somehow I just don't wanna stay and wait for a. wonder. I've been watching, I've been waiting. In the shadows for my time. I've been searching, I've been living. For tomorrows all my life. Lately I've been walking, walking in circles. Watching, waiting for something. Feel me, touch me, heal me. Come take me higher. I've been watching, I've been waiting. In the shadows for my time. I've been searching, I've been living. For tomorrows all my life. I've been watching,. I've been waiting,. I've been searching,. I've been living,. for tomorrows..... In the shadows..... In the shadows...... I've been waiting............."
pa-pa,As you can see right now my friend i'm falling. But i'm not falling in love. As you can see right now my friend i'm crawling. 'n i'm not crawling back to you. I'm gonna do things i wanna do. I'm gonna say things i wanna say. I'm gonna do things i wanna say. Aaaaaah. Pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa.... As you can see right now my friend i'm dreaming. But i'm not dreaming of you. If you really try you'll get my meaning. That i'm not coming back to you. I'm gonna do things i wanna do. I'm gonna say things i wanna say. I'm gonna do things i wanna say. Aaaaaah. Pa-pa-pa-pa-pa-pa-pa-pa-pa-pa-pa....
guilty,"I feel guilty. My words are empty. No signs to give you. Don't have the time for you. You say I'm heartless. And you say I don't care. I used to be there for you. You've said I seem so dead, that I have changed. But so have you. Refrão:. Guilty (woah),. Guilty. I feel so. Empty (yeah),. Empty. You know how to make me feel. I put a shield upon you. I didn't mean to hurt you. Would've only poisoned your mind. Never meant to make you cry. You've been so thoughtless. I can see right through you. You used to be there for me. Don't you leave and say goodbye. You have changed, but so have I. Refrão. I never thought that the time and the distance. Between us made you so much colder. I'll carry the world on my shoulders. Guilty,. Woah!. Guilty,. Yeah!. Guilty. Guilty (woah). Empty (yeah). Refrão. Guilty (woah). Empty (yeah). You know how to make me feel. Guilty (Woah), so guilty. Empty (Woah), so empty,. You know how to make me feel"
no fear,"No fear. No fear. Girl,. You lived your life like a sleeping swan. Your time has come. To go deeper. Girl,. Your final journey has just begun. But destiny chosed the reaper. Refrão:. No fear. Destination darkness. No fear. Destination darkness. No fear. Girl,. Rain falls down from the northern skies. Like poisoned knives. With no mercy. Girl,. Close your eyes for the one last time. Sleepless nights. From here to eternity. Refrão. (2x)"
sail away,"Once upon a time. We had a lot to fight for. We had a dream. We had a plan. Sparks in the air. We spread a lot of envy. Didn't have to care. Once upon a time. Remember when I swore. My love was never ending. And you and I will never die. Remember when I swore. We had it all. We had it all. I'll sail away. It's time to leave. Rainy days are yours to keep. Ill fade away. The night is calling my name. You will stay. I'll sail away. Once upon a time. We used to burn candles. We had a place to call a home. The dream that we lived. Was better than divine. Every day was like a gift. Once upon a time. Remember when you swore. Your love is never ending. And you and I will never die. Remember when you swore. We had it all. We'd never fall. I'll sail away. It's time to leave. Rainy days are yours to keep. I'll fade away. The twilight's calling my name. You will stay. I'll sail away. No reason to lie. No need to pretend. I'm grateful to die. To live once again. I'm fearless to fly. And reach for the end. And reach for the end. Sail away. I'll sail away. It's time to leave. Rainy days. Are yours to keep. I'll fade away. The night is calling my name. You will stay. I'll sail away. Sail away. The night is calling my name. Sail away. By Lintu Girl. *Texto retirado do encarte do cd ""Hide From The Sun"""
first day of my life,"Feel like I'm stoned. I wanna be alone. Just for a while unknown. Weeks on the road. A long way from home. Just shut off the phone. And you say, 'I'll heal you'. I'll always be yours. And you say, 'I'll kill you'. If I do something wrong. Yeah! (x3). Still feels like the first time. To stand here by your side. Together regardless we'll walk through the darkness. Still feels like the first day of my life. Remember the times together we swore;. 'Never give up this life'. Still hanging on, still going strong. Here I belong. And maybe I'm crazy. But I just can't slow down. And maybe I'm crazy. But atleast I'm still around. Yeah! (x3). Still feels like the first time. To stand here by your side. Together regardless we'll walk through the darkness. Still feels like the first day of my life. Feels like the first day of my life. Feels like the first time. Still feels like the first day of my life. Still feels like the first time. To stand here by your side. Together regardless we'll walk through the darkness. Still feels like the first day of my... (x2). Still feels like the first day of my life"
living in a world without you,"It's hard to believe it came to this. You paralysed my body with a poison kiss. For forty days and nights I was chained to your bed. You thought that was the end of the story. Something inside me called freedom came alive. Living in a world without you. You told me, My darling. Without me, you're nothing. You taught me to look in your eyes. And fed me your sweet lies. Suddenly someone will stare in the window. Looking outside at the sky that had never been blue. Ah, there's a world without you. I see the light. Living in a world without you. Ah, there is hope to guide me. I will survive. Living in a world without you. It's hard to believe it came to this. You paralysed my body with a poison kiss. For forty days and nights I was chained to your bed. You thought that was the end of the story. Something inside me called freedom came alive. Living in a world without you. You put me together. And trashed me for pleasure. You used me again and again. Abused me, confused me. Suddenly naked I run through your garden. Right through the gates of the past and I'm finally free. Ah, there's a world without you. I see the light. Living in a world without you. Ah, there is hope to guide me. I will survive. Living in a world without you. It's hard to believe it came to this. You paralysed my body with a poison Kiss. For 40 days and nights I was chained to your bed. You thought that was the end of the story. Something inside me called freedom came alive. Living in a world without you. It's hard to believe it came to this. You paralysed my body with a poison Kiss. For 40 days and nights I was chained to your bed. You thought that was the end of the story. Something inside me called freedom came alive. Living in a world without you. Ah, there's a world without you. I see the light. Living in a world without you. Ah, there is hope to guide me. I will survive. Living in a world without you (5x)"
time to burn,"Fear of the dark. Tears me apart. Won't leave me alone. And time keeps running out. Just want my life. I'm so sick and tired. I'm singing the blues. As you turn my life around. Come on!. Refrão:. Tell me why do I feel this way?. All my life I've been standing on the borderline. Too many bridges burned. Too many lies I've heard. Had a life, but I can't go back. I can't do that, it will never be the same again. And I know I don't have any time to burn. They follow me home. Disturbing my sleep. But I'll find a place. A place where they cannot find me. Maybe I'm lost. Maybe I'm scared. But too many times. I've closed the doors behind me. Refrão. Leave it all behind. Cross the borderline. Face the truth,. Don't have any time to.... Have any time to burn. Refrão"
october & april,"She was like april skies, sunrise in her eyes. child of light, shining star, fire in her heart. brightest day, melting snow, breaking through the chill. October and April. He was like frozen sky in october night. darkest cloud, endless storm, raining from his heart. coldest month, deepest cool tearing down the spring. October and April. Like hate and love. world's apart. this fatal love was like poison right from the start. like light and dark. world's apart. this fatal love was like poison right from the start. We were like loaded guns. sacrificed our lives. we were like love undone. craving to entwine. fatal touch. final thrill. love was bound to kill. October and April. Like hate and love. world's apart. this fatal love was like poison right from the start. like light and dark. world's apart. this fatal love was like poison right from the start. Hate and love. world's apart. this fatal love was like poison right from the start. like light and dark. world's apart. this fatal love was like poison right from the start. October & April. October & April. October & April"
paradise,I'm dead but I'm living. I play the part I've been given. Still kicked outta heaven. I'm into nothing new. Every day is a battle. I made a deal with the devil. And now I'm deep into trouble. So tired I was trying to find a better way. but every day's the same. I'm trying to break the numbness. and it's driving me insane. You could be my savior. you could be just what I need. So I lay down and pray for something better. Go ahead and leave me paralyzed. There's nothing left to sacrifice. In hell I'm shooting paradise. I'm ready so I'll close my eyes. This is my paradise. This is my paradise. This is my paradise. It's gonna hurt but I'm ready. It's clear where I'm heading. Don't call paramedics. I'm into nothing new. I'll be gone in a minute. I'm not afraid to admit it. So wrong but I love it. So tired I was trying to find a better way. but every day's the same. I'm trying to break the numbness. and it's driving me insane. You could be my savior. you could be just what I need. So I lay down and pray for something better. Go ahead and leave me paralyzed. There's nothing left to sacrifice. In hell I'm shooting paradise. I'm ready so I'll close my eyes. This is my paradise. This is my paradise. This is my paradise. I made a deal with the devil. Every day is a battle. Every day is a battle. This is my paradise. I made a deal with the devil. Every day is a battle. Every day is a battle. This is my paradise. This is my paradise. This is my paradise. This is my paradise
