your guardian angel,"When I see your smile. Tears run down my face I can't replace. And now that I'm stronger I've figured out. How this world turns cold and breaks through my soul. And I know I'll find deep inside me I can be the one. I will never let you fall. I'll stand up with you forever. I'll be there for you through it all. Even if saving you sends me to heaven. Seasons are changing. And waves are crashing. And stars are falling all for us. Days grow longer and nights grow shorter. I can show you I'll be the one. I will never let you fall. I'll stand up with you forever. I'll be there for you through it all. Even if saving you sends me to heaven. Cause you're my, you're my, my true love, my whole heart. Please don't throw that away. Cause I'm here for you. Please don't walk away and,. Please tell me you'll stay, stay. Use me as you will. Pull my strings just for a thrill. And I know I'll be ok. Though my skies are turning gray. I will never let you fall. I'll stand up with you forever. I'll be there for you through it all. Even if saving you sends me to heaven"
face down,"Hey girl, you know you drive me crazy. one look puts the rhythm in my hand.. Still I'll never understand why you hang around. I see what's going down.. Cover up with make up in the mirror. tell yourself it's never gonna happen again. you cry alone and then he swears he loves you.. Do you feel like a man. when you push her around?. Do you feel better now. as she falls to the ground?. Well I'll tell you my friend,. one day this world's going to end. as your lies crumble down,. a new life she has found.. A pebble in the water makes a ripple effect. Every action in this world will bear a consequence. If you wade around forever, you will surely drown. I see what's going down. I see the way you go. and say your right again,. say your right again. heed my lecture. Do you feel like a man. when you push her around?. Do you feel better now. as she falls to the ground?. Well I'll tell you my friend,. one day this world's going to end. as your lies crumble down. a new life she has... One day she will tell you. that she has had enough. (it's coming round again) [2x]. Do you feel like a man, when you push her around?. Do you feel better now as she falls to the ground?. Well I'll tell you my friend,. one day this world's going to end. as your lies crumble down,. a new life she has.. [x2]. Face down in the dirt. she says, ""this doesn't hurt"". she says, ""I finally had enough"".. [2x]"
false pretense,"It's time to let it go.... The world's got a funny way of turning 'round on you. When a friend tries to stab you right in the face. Losing faith in everything I thought I hoped I knew. Don't sweat it, (it was) set on false pretense. Betrayed but not gonna be willing to change. And it doesn't seem likely to fade. Betrayed but not gonna be willing to change. cu cu cu cuz ya know...... chorus:. It's Sacrifice. False pretense you're alone again. Stop pretending to deny. False pretense you're alone again. All along you know you thought you got the best of me. But you were wrong and I am laughing right in your face. I can not believe you claimed you were my family. Don't sweat it - it's set on false pretense. Betrayed but not gonna be willing to change. And it doesn't seem likely to fade. Betrayed but not gonna be willing to change. cu cu cu cuz ya know...... (chorus). It's time to let it go. I can't seem to understand it how. You turned out to be so cold. You tried but were caught red handed. Are you happy with your role?. It's funny to me how you've turned into such a joke.... (chorus). So play the game until you run out. And play the game into my hand. Lyrics And Melodies By Ronnie!. By Rafa!"
wake me up,"Time is in our heads and it is in our minds. Everything that has a start has a finish line. Do you ever sit and marvel at the stars in the sky?. When you dive into the ocean do you still feel small?. Do you dream that you were running at the pace of a crawl. Are you feeling like you might be getting sick of it all?. Wake me up. I don't wanna live without your love. Lift me up. Take me to a place up far above. Every second, every minute, every hour of life. Should be treated with the wonder in the eyes of a child. Anything can happen when you have to lie to survive. Gravity is bugging. I can't stop. So lift me up. Wake me up. I don't wanna live without your love. Lift me up. Take me to a place up far above. And nothing ever changes. (nothing ever changes). Its shape unless you change it. (its shape unless you change it). And there's no shame in trying. Because we're all already dying. Wake me up. I don't wanna live without your love. Wake me up. I don't wanna live without your love. Lift me up. Take me to a place up far above. Wake me up. (everything that has a start has a finish line). Wake me up. (do you ever sit and marvel at the stars in the sky). Lift me up. (everything that has a start has a finish line). Lift me up"
home improvement,"A silhouette waits outside my window. I jump up and I shout to see if your there. There's nothing but cold sharp air.. I wake up, another day without you. Take a breath from cigarettes. I got time to spare, its better when you're not here. Say you love me, you can lie if it is comforting and I. Won't even mind it so bad, won't even find it so sad. Please see that I've changed I sealed the cracks in my window panes. And I, won't even mind it so bad won't even find it so sad…. I'm not sick I'm not weird I'm simply in love. You must try to understand you were sent from above. You say you hate me well that's just fine I will wait till the end of time. Say you love me, you can lie if it is comforting and I. Won't even mind it so bad, won't even find it so sad.. Please see I've changed I sealed the cracks in my window panes. And I won't even mind it so bad, won't even find it so sad today. Say you love me, you can lie if it is comforting and I. Won't even mind it so bad, won't even find it so sad. Please see that I've changed I sealed the cracks in my window panes. And I, won't even mind it so bad won't even find it so sad…. Loving you is the only thing I ever knew. letting go is the hardest thing ill ever do. I don't even mind it so bad. I don't even find it so sad today."
the grim goodbye,"Don't you try to take me down,. don't you try to take me over,. won't you try to break me?. The complexities moving in,. and I feel that I do not have the strength,. tragedies plaguing me solemnly. Its affecting my will. Wait now that I've found you,. situations from dark now change to gray. Disregarding my absence of memories,. its perpetually blinding me of sanity,. and just when I'm giving in,. as I try to scale these walls. Jericho falls around me. and I feel that I've strayed too long. And darkness is fading in…and darkness is real. Oh my eyes. oh closing slowly. I try. Fate seems to recreate,. I just can not escape,. Something holds me down and makes me act a way I can't explain. Even now I can feel it coming over me choking me,. as I'm falling behind. You can say you know me,. but you have no clue what my dreams could show you. And darkness is fading in, and darkness is real. Oh my eyes. oh closing slowly. I try. I. Can't. Can't win. I feel something deep inside me,. I feel deep inside. I feel something deep inside me and I can't let this go, whoa,. I feel something deep inside me and I can't let this go, whoa,. Lie, as I try to steer clear, and I try to stay sober. This is taking me over,. And my dreams complicate it…. I just can not let this go. I tried so many times to tell you. I just I can not let this go,. I just can not win. See you. I see you falling away. I see you..you. Killing me soflty. I see you….you falling away I see you….you. Don't take what's in front of me, open eyes can see I have everything. Tell you don't take what's in front of me, tell you don't take what's in me. Lie, which one lied?. When I feel it come a way, way that's why I try…lie. (Crowd singing). I see you coming my way. dreams may fall more everyday. I see you looking my way. And I've tried just to separate dreams from reality watch to satisfy this wanting,. Try to stay righteous, try to stay sober, but then, I can't win. And I know you, and I know you, and I know you…. Lie. . Colaboração: jef "" o lasombra """
the acoustic song,"When I see your smile. tears roll down my face. I can't replace.. And now that I'm strong I have figured out. how this world turns cold and it breaks through my soul,. and I know ill find deep inside me, I can be the one.. I will never let you fall. I'll stand up for you forever. ill be there for you through it all,. even if saving you sends me to heaven.. Seasons are changing and waves are crashing. and stars are falling all for us. days grow longer and nights grow shorter. I can show you I'll be the one.. I will never let you fall. I'll stand up for you forever.. I'll be there for you through it all,. even if saving you sends me to heaven.. Cause you're my. you're my. my true love. my whole heart. please don't throw that away.. Cause I'm here, for you. please don't walk away and. please tell me you'll stay, stay.... Use me as you will. pull my strings just for a thrill. and I know ill be okay. though my skies are turning gray.. I will never let you fall. I'll stand up for you forever. I'll be there for you through it all. even if saving you sends me to heaven.. (repeat). . Colaboração: jef "" o lasombra"""
angels cry,"Well its hard to explain. but Il'l try if you let me,. Well its hard to sustain. I'll cry if you let me.. This doesn't change the way I feel about you or your place in my life.. (please don't cry). Can't you see I'm dying here. a shot of broken heart that is chased with fear. Angels cry. when stars collide. I can't eat and I can't breathe. I wouldn't want it any other way.. Intentions that were pure have turned obscure. seconds into hours, minutes into years.. Don't ask me why. (please don't cry). I can't tell you lies... Angels cry. when stars collide. I can't eat and I can't breathe. I wouldn't want it any other way.. (repeat). My heart, burns through. My chest, to the floor.. Tearing me silently although abruptly. words cant hide as I'm taking you home, and I tried to see,. tried to understand your words as I'm taking you home. Angels cry. when stars collide. I can't eat and I can't breathe. I wouldn't want it any other way.. (repeat)"
atrophy,"Don't tell me this is your last chance to change. cause if you do, then you would be telling a lie but. I warned you. what could happen if you should decide. to live your life from 9 to 5. and I mourn you. for the detail that is left unsaid. is a reminder of the time you bled. return to days when you knew you still felt alive. reveal the way you felt when. you could look inside. they sold you. everything you need to fix you up. and you feel good now but you can't wake up. they found a way to reassure you. that everything would be okay (screaming). reach out today now I emplore you to remember who you are. return to days when you knew. you still you felt alive. reveal the way you felt when. you could look inside. so you felt it, but you don't know, why you can't explain at all. why you felt it. cause you don't know, no you don't know. break the walls between building atrophy. causing all your problems to recede. break the walls between. break the walls between. causing all your pain. causing all your pain. you'll never learn. return to days when you knew you still felt alive. reveal the way you felt when you could look inside. Take Back. The beat in your heart. Why Fight. When you can't be bought. [x4]"
pen & paper,"This whole routeen is getting old. So am i. And so are you. My reputation lets me know. I can do whatever i want to. Though it seems that you believe. y. You can do whatever it is you please,. Not before, not before you wind up on your knees. Don't cry to me no more. You like the way the people stare at you. And now you look so fake. Just thought that you should know. Your all the same. And when the curtain drops down. You'll be replaced by something typical. You set yourself up to be sold. And thats ok cuz thats your role. Maybe if you listen take its toll. Will you do, nobody wants you. Though it seems that you believe. You can do whatever it is you please,. Not before, not before you wind up on your knees. Don't cry to me no more. You like the way the people stare at you. And now you look so fake. Just thought that you should know. Your not the same. And when the curtain drops down. You'll be replaced by something typical. I know i stood so long beside you. And i know i should have left you right where i had found you. I know i stood so long beside you. And i know i should have left you right where i had found you. You like the way that people stare at you. Now you look so fake. Just thought that you should know. Your all the same. And when the curtain drops down. You'll be replaced by something typical. You like the way that people stare at you. Now you look so fake. Just thought that you should know. Your all the same. And when the curtain drops down. You'll be replaced by something typical"
