you only live once,"Some people think they're always right. Others are quiet and uptight. Others they seem so very nice nice nice nice (oh-ho). Inside they might feel sad and wrong (oh no). Twenty-nine different attributes. Only seven that you like (oh-oh). Twenty ways to see the world (oh-ho). Twenty ways to start a fight (oh-ho). Oh don't don't don't get up. I can't see the sunshine. I'll be waiting for you, baby. Cause I'm through. Sit me down. Shut me up. I'll calm down. And I'll get along with you. Oh Men don't notice what they got. Women think of that a lot. One thousand ways to please your man (oh-ho). Not even one requires a plan (I know). And countless odd religions, too. It doesn't matter which to choose (oh no). One stubborn way to turn your back (oh-ho). This I've tried, and now refuse (oh-ho). Oh don't don't don't get up. I can't see the sunshine (ohh). I'll be waiting for you, baby. Cause I'm through. Sit me down. Shut me up. I'll calm down. And I'll get along with you. Alright. Shut me up. Shut me up. And I'll get along with you"
last nite,"Last night, she said. ""Oh, Baby, I feel so down. See it turns me off. When I feel left out"". So I, I turned 'round:. Oh, baby, I don't care no more. I know this for sure. I'm walking out that door. Well, I've been in town. For just about fifteen whole minutes now. And Baby, I feel so down. See I don't know why. I keep walking for miles. Yeah, People, they don't understand. No, Girlfriends, they won't understand. Your grandsons, they won't understand. And me, I ain't never gonna understand. Last night she said. Oh, Baby, don't feel so down. Oh it turns me off. When I feel left out. So I, I turned around. Oh, Baby, I'm gonna be just fine. It was a great big lie. Cuz I left, that night,. And, people they don't understand. No, girlfriends, they won't understand. In spaceships, they won't understand. And me, I ain't never gonna understand. Last night she said. Oh, Baby, don't feel so down. See it turns me off. When I feel left out. So I, I turned around. Oh baby I don't care no more. I know this for sure. I'm walking out that door, yeah"
someday,"In many ways. They'll miss the good old days. Someday, someday. Yeah, it hurts to say. But I want you to stay. Sometimes, sometimes. When we was young. Oh, man, did we have fun. Always, always. Promises. They break before they're made. Sometimes, sometimes. Oh, Maya says I'm lacking in depth. I will do my best. Are you say you wanna stay by my side. Darling, your head's not right. See, alone we stand, together we fall apart. Yeah, I think I'll be alright. I'm working so I won't have to try so hard. Tables they turn sometimes. Oh, someday.... No, I ain't wastin' no more time. And now my fears. They come to me in threes. So I sometimes. Say, ""Fate my friend,. You say the strangest things. I find, sometimes"". Oh, My ex's says I'm lacking in depth. Say I will try my best. Are you say you wanna stay by my side. Darling, your head's not right. See, alone we stand, together we fall apart. Yeah, I think I'll be alright. I'm working so I won't have to try so hard. Tables, they turn sometimes. Oh, someday.... I ain't wasting no more time"
under cover of darkness,"Slip back out of whack at your best. It's a nightmare. So I'm joining the army. No house phones but can I still call?. Will you wait for me now?. We've got the right 'cause they'll fight to use it. Got everything but you can just choose it. I won't just be a puppet on a string. Don't go that way. I'll wait for you. And I'm tired of all your friends. Listnening at your door. And I want what's better for you. So long my friend and adversary. But I will wait for you. Get dressed jump out of bed and do it best. Are you ok?. I've been all around this town. Everybody's been singing the same song for ten years. I'll wait for you. Will you wait for me too?. And they sacrifice their lives. In the land are all closed eyes.. I've been saying it a billion times,. And I'll say it again.. So long my adversary and friend. Don't go that way. I'll wait for you. I'm tired of all your friends. Knocking down your door. Get up in the morning yelling no more. So long my friend and adversary. I'll wait for you"
reptilia,"He seemed impressed by the way you came in.. ""Tell us a story,. I know you're not boring!"". I was afraid that you would not insist.. ""You sound so sleepy. just take this, now leave me!"". I said ''Please don't slow me down,. If I am going too fast''. You're in a strange part of our town!. Yeah, the night's not over. You're not trying hard enough,. Our lives are changing lanes. You ran me off the road,. The wait is over,. I'm now taking over,. You're no longer laughing. I'm not drowning fast enough.. Now every time that I look at myself. ""I thought I told you. this world is not for you!"". The room is on fire as she's fixing her hair. ""you sound so angry. just calm down, you found me!"". I said ''Please don't slow me down. If I am going too fast''. You're in a strange part of our town.... Yeah, the night's not over. You're not trying hard enough. Our lives are changing lanes. You ran me off the road,. The wait is over. I'm now taking over,. You're no longer laughing. I'm not drowning fast enough."
heart in a cage,"Well I don't feel better. When I'm fucking around. And I don't write better. When I'm stuck in the ground. So don't teach me a lesson. Cause I've already learned. Yeah the sun will be shining. And my children will burn. oh the heart beats in its cage. I don't want what you want. I don't feel what you feel. See I'm stuck in a city. But I belong in a field. yeah we got left, left,left, left,left, left, left. Now it's three in the morning and you're eating alone. oh the heart beats in its cage. All our friends, they're laughing at us. All of those you loved you mistrust. Help me I'm just not quite myself. Look around there's no one else left. I went to the concert and I fought through the crowd. Guess I got too excited when I thought you were around. oh he gets left, left, left, left, left, left, left. I'm sorry you were thinking I would steal your fire.. oh the heart beats in its cage. yes the heart beats in its cage. alright. oh the heart beats in its cage. . . . www.thestrokes.com.br"
barely legal,"I didn't take no shortcuts. I spent the money that I saved up. Oh, my ol Momma's running out of luck. Like my sister don't give a fuck. I wanna steal your innocence. To me my life it dont make sense. Those strange manners, oh I love 'em so. why wont you wear your new trench coat. I shoulda worked much harder. I shoulda just not bothered. I never show up on weekdays. That's something that I learned yesterday. Drive you to work; you will be on time. These little problems they're not yours and mine,. Come on and listen to what I say. I've got some secrets that'll make you stay. I just want to turn you down. I just want to turn you around. Oh, you ain't never had nothing I want, but.... I want it all. I just can't figure out.... Nothin'. And all together it went well. we made pretend we were best friends. Then she said 'oh you're a freak'. They ordered me to make mistakes. Together again, like the beginning. it all works some how in the end. the things we did, the things you hide. But for the record it's between you and i. I didnt take no short cuts. I spent the money that i saved up. oh,momma running out of luck. like my sister dont give a fuck. I wanna steal your innocence. To me my life, it just don't make any sense. Oh, those strange manners I love 'em so. Why won't you wear your new trenchcoat?. I just want to misbehave. I just want to be your slave. You ain't never had nothing I wanted, but.... I want it all. I just can't figure out.... Nothin'. And all together it went well. we made pretend we were best friends. Then she said 'oh i can wait'. they ordered me to make mistakes. Together again, like the beginning. it all works some how in the end. the things we did, the things you hide. But for the record it's between you and i"
i'll try anything once (you only live once demo),"Ten decisions shape your life,. You'll be aware of 5 above,. 7 Ways to go through school,. Either you're noticed or left out,. 7 Ways to get ahead,. 7 Reasons to drop by,. When I said ' I can see me in your eyes',. You said 'I can see you in my bed',. That's not just friendship that's romance too,. You like music we can dance to,. Sit me down,. Shut me up,. I'll calm down,. And I'll get along with you,. There is a time when we all fail,. Some people take it pretty well,. Some take it all out on themselves,. Some they just take it out on friends,. Oh everybody plays the game,. And if you don't you're called insane,. Don't don't don't don't it's not safe no more,. I've got to see you one more time,. Soon you were born,. In 1984,. Sit me down,. Shut me up,. I'll calm down,. And I'll get along with you,. Everybody was well dressed,. And everybody was a mess,. 6 Things without fail you must do,. So that your woman loves just you,. Oh all the girls played mental games,. And all the guys were dressed the same,. Why not try it all,. If you only remember it once,. Ooooooooooooooooooooooo,. Sit me down,. Shut me up,. I'll calm down,. And I'll get along with you,. (okay one more time)"
threat of joy,"Okay, I see how it is now. You don't have time to play with me anymore. That's how it goes, I guess. Fuck the rest. Be right there, honey!. I'm gonna take my time to say. Take my time today. I'm gonna take what comes my way. Take what they give me. Yeah, I want my money now. But he is not around. You better hold my money safe. What's your emergency?. And for the first time in my life. I'm gonna get myself right. Just get into trouble. Be there on the double. Place your bets this time. Just has to let it ride. I tr- I tried to take a roll. But the dice are on parole. I won't look down your dress. I bet you bend down as a test. I cannot wait to chase it all. Yeah, I saw it in my crystal ball. Friday night is shining like. A secret for a spy. I got a better idea. I'll bet you on the side. When I get up in your face. You know it's no surprise. Ah baby, why's it so hard to read the sentence in my eyes?. And for the first time. Chains on your legs. I spent a while. Then decided on you. My baby doll. You ignored your life. We'll do it together. I'll be there whenever. Oh, you took a minute break. And said, ""thumbs up, they're okay. "". I'm going to watch the tidal wave. It's hard to chase away. (Got to chase away). (Hard to chase away). (It's hard to chase away)"
12:51,"Talk to me now I'm older. You friend told you 'cause I told her. Friday nights have been lonely. Change your plans and then phone me. We could go and get 40's. Fuck goin' to that party. Oh really, your folks are away now?. Alright, let's go, you convinced me. 12:51 is the time my voice. found the words I sought.... Is it this stage I want?. The world is shutting out... for us. We were tense for sure. But we was confident.... Kiss me now that I'm older. I won't try to control you. Friday nights have been lonely. Take it slow but don't warn me. We'd go out and get 40's. Then we'd go to some party. Oh, really your folks are away now?. Alright, I'm coming.... I'll be right there..."
