last friday night,There's a stranger in my bed. There's a pounding in my head. Glitter all over the room. Pink flamingos in the pool. I smell like a minibar. Dj's passed out in the yard. Barbie's on the barbeque. There's a hickie or a bruise. Pictures of last night. Ended up online. I'm screwed. Oh well. It's a black top blur. But I'm pretty sure it ruled. Last Friday night. We danced on tabletops. And we took too many shots. Think we kissed but I forgot. Last Friday night. We maxed our credit cards. And got kicked out of the bar. So we hit the boulevard. Last Friday night. Trying to connect the dots. Don't know what to tell my boss. Think the city towed my car. Chandelier is on the floor. With my favorite party dress. Warrants out for my arrest. Think I need a ginger ale. That was such an epic fail. Pictures of last night. Ended up online. I'm screwed. Oh well. It's a blacked out blur. But I'm pretty sure it ruled. Last Friday night. Yeah we danced on table tops. And we took too many shots. Think we kissed but I forgot. Last Friday night. We maxed our credits card. And got kicked out of the bars. So we hit the boulevards. Last Friday night. This Friday night. This Friday night. T.G.I.F.. T.G.I.F.. T.G.I.F.. T.G.I.F.. T.G.I.F.. T.G.I.F.. Last Friday night. We danced on table tops. And we took too many shots. Think we kissed but I forgot. Last Friday night. We maxed our credit cards. And got kicked out of the bar. So we hit the boulevard. Last Friday night. We went streaking in the park. Skinny dipping in the dark. Then had a menage a trois. Yeah I think we broke the law. Always say we're gonna stop. Oh-whoa-oh. Last Friday night. This Friday night. This Friday night
i can't quit,"Hangin' around, hittin' the ground. Dead in the water. Suckin' it up, fuckin' it up. With a favourite daughter. Take the swing, everything. Around in circles. Takin' a hit, this is it. I'm over it. I can't quit. I'm over it. Shootin' it up, cuttin' up. With broken glasses. Have a beat, been loving in love. I've been in the classes. Get your man. And go to work out with your sister. Talkin' about brother's fame. I'm over it. I can't quit. I'm over it. I can't quit. I'm over it. You can't change me, can you?. You can't offer that much to me. Oh you can't offer change, can you?. And I can't offer that much to you. Havin' it out, livin' in doubt. But no defenses. Tighten the rope, and talkin' to hope. In different tenses. Callin' my friends and tellin'. The only one that answers. It's hard to make brother sick. I'm over it. I can't quit. I'm over it. (I'm so dramatic). I can't quit. (I'm so dramatic). You can't change me, can you?. You can't offer that much to me. Oh you can't offer change, can you?. And I can't offer that much to you. I can't quit. (I'm so dramatic). I'm over it. (Hangin' around, over the ground. Dirt in my bracelet). I can't quit. (Suckin' it up, fuckin' it up. With your replacement). I'm over it. (Time to swing, everything. Around a circle). I can't quit. (Takin' a hit, brother said). I'm over it"
post break-up sex,"I can barely look at you. Don't tell me who you lost it to. Didn't we say we had a deal?. Didn't I say how bad I feel?. Everyone needs a helping hand. Who said I would not understand?. Someone up the social scale. for when you're going off the rails, have. (Chorus:). Post break-up sex. that helps you forget your ex. What did you expect from post break up sex?. Leave it 'til the guilt consumes. I found you in the nearest room. All our friends were unaware. Most had just passed out downstairs. To think I'd hoped you'd be okay. Now I can't think of what to say. Maybe I misunderstood. But I can't believe you're feeling good, from. (Chorus x2:). Post break-up sex. that helps you forget your ex. What did you expect from post break up sex?. Oh when you love somebody but you find someone. Uh uh uh uh. And it all unravels and it comes undone. Uh-huh-huh, uh-huh-huh. Uh-huh-huh. (Chorus x2:). From post break-up sex. That helps you forget your ex. What did you expect from post break up sex?"
do you want a man?,"If I go out on a limb. And if I wait a little longer. If I held you to your word. Then where would I be?. If I looked a little closer. What would I see?. I'm just asking 'cause I wanted to know. Where you're going, going, going, go-oh-oh, go. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your ma-a-a-a-a-a-aa-aan. If you keep me in the dark. Keep me waiting on an exit. And if I look like I am crazy. Then you'll know for who. I'll just go around in circles. And revolve around you. I'm just saying 'cause I wanted to know. Where you're going, going, going, go-oh-oh, go. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your ma-a-a-a-a-a-aa-aan. Well it's time to let me know. 'Cause I asked you a while ago. Do you want a man?. Do you want a man?. How could I keep it on the low?. We're taking it slow. And if you never had a go. Then how did you know?. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your man. Do you want a man?. Do you want a man?. I could be your ma-a-a-a-a-a-aa. a-a-a-a-a-aa-aa. a-a-a-a-a-aa-aa. a-a-a-a-a-aa-aa"
all in vain,"Oh, you can't hold a gun to my head. No, you can't hold a gun to my head. Because baby, I would just refuse. Baby, I would just refuse. All in vain, all in vain. Well you don't know how I feel and I can't explain. Oh, you can't hold a gun to my head. No, you can't hold a gun to my head. Because baby, I would just refuse. Baby, I would just refuse. All in vain, all in vain. When I follow anything that takes my life. All in vain, all in vain. When I self-destruct for fun and I don't know why. You might as well admit it, despite how you might see it. I'm never gonna waste my time with you. I don't know how you're feeling, you know you kinda blew it. I'm never gonna waste my time with you. Oh, you can't hold a gun to my head. No, you can't hold a gun to my head. Because baby, I would just refuse. Baby, I would just refuse. All in vain, all in vain. When I ate an appetite that I can't refuse. All in vain, all in vain. Having been there, I would never go again"
wetsuit,"If at some point we all succumb. For goodness sake let us be young. Because time gets harder to outrun. And I'm nobody, I'm not done. With a cool cool breeze and dirty knees. I rest on childhood memories. We all got old at breakneck speed. Slow it down, go easy on me. Go easy on me. Put a wetsuit on, come on, come on. Grow your hair out long, come on, come. Put a t-shirt on. Do me wrong, do me wrong, do me wrong. If it's up and after you. What do you suppose that you would do?. You're all whacked out from lack of sleep. You blame it on the friends you keep. You want to do things differently. And do them independently. We all got old at breakneck speed. Slow it down, go easy on me. Go easy on me. Put a wetsuit on, come on, come on. Grow your hair out long, come on, come. Put a t-shirt on. Do me wrong, do me wrong, do me wrong. Put a wetsuit on, come on, come on. Grow your hair out long, come on, come on. Put a t-shirt on. Do me wrong, do me wrong, do me wrong. Does holy water make you pure?. Submerged your vision's just obscured. You're a lot like me. In up to our knees. In over your chest is way too deep. So put a wetsuit on, come on, come on. Grow your hair out long, come on, come on. Put a t-shirt on. Do me wrong, do me wrong, do me wrong. Put a wetsuit on, come on, come on. Grow your hair out long, come on, come. Put a t-shirt on. Do me wrong, do me wrong, do me wrong"
no hope,"Oh I could bore you with the truth. About an uneventful youth. Or you could get that rap from someone else. And I could make an observation. If you are the voice of a generation. But I'm too self absorbed to give it clout. And I, I don't really care about. Anybody else when I haven't got my whole life figured out. Cause when you're young and bored and 24. And you don't know who you are. Nobody's. No hope. And it's hard to come of age. I think it's a ṗroblem. And it never goes my way. And no, I am so self-obsessed. I guess, but there's no hope. But I hope it's just a phase. Or I'll grow-oh-oh-oh. Oh I could look for inspiration. Find it in a trouble at English station. but wouldn't that be cheap and ill-informed. And I could bet you don't believe me. If I said a cape from deep within me. But I promise you I'm telling you the truth. And I, I don't really care about. Anybody else when I haven't got my whole life figured out. Cause when you're 24 and young and bored. And you don't know who you are. Nobody's. No hope. And it's hard to come of age. I think it's a problem. And it never goes my way. And no, I am so self-obsessed. I guess, but there's no hope. But I hope it's just a phase. Or I'll grow. Well I wish that I was comfortable in my own skin. But the whole thing feels like an exercise. And drank would be someone I would rather not be. I'd try to second guess if you would be approving. I find my life ever so moving. Keen wide-eyed and unassuming. No hoṗe. There is no hope. But there's desperately. No hope, but there's definitely. No hope if you don't believe me. Oh, oh, oh. And there is no hope. But there's desperately. No hope, but there's definitely. No hope if you don't believe me. Oh, oh, oh. But I, I don't really care about. Anybody else when I haven't got my whole life figured out. Cause when you're 24 and young and bored. And you don't know who you are. Nobody's. No hope. And it's hard to come of age. I think it's a problem. And it never goes my way. And no, I am so self-obsessed. I guess, but there's no hope. But I hope it's just a phase. Or I'll grow-oh-oh-oh. There is no hope. And it never goes my way. And no, I am so self-obsessed. I guess, but there's no hope. But I hope it's just a ṗhase. Or I'll grow-oh-oh-oh. (By Raissa)"
norgaard,"Great Dane's cheekbones. Teenage hormones. Young complexion. Non-physical affection. You're a god send. Do you want a boyfriend?. Crazy crazy, easy tiger. Her mind's made up, she don't want to go steady. She's only seventeen so she's probably not ready. A-m-a-n-d-a norgaard. I saw you on a cover on cross bay boulevard. Smaller tits. And skinny framework. Tall, sharp hips. And you're all in the same work. Giving me the sweet talk. Walking down the catwalk. I want a mannequin. But she won't let me in. Her mind's made up, she don't want to go steady. She's only seventeen so she's probably not ready. A-m-a-n-d-a norgaard. I saw you on a cover on cross bay boulevard. Her mind's made up, she don't want to go steady. She's only seventeen so she's probably not ready. A-m-a-n-d-a norgaard. I saw you on a cover on cross bay boulevard. Her mind's made up, she don't want to go steady. She's only seventeen so she's probably not ready. A-m-a-n-d-a norgaard. I saw you on a cover on cross bay boulevard. . By: Bianca_Killers"
tiger blood,You'd do it different but it's not up to you you have it easy but have nothing to do I am not convinced that I am doing it right just suck it up and say it's all been in spite you're moving in a different class drinking that wine from a brandy glass oh no. That's not to see we're doing it your way tiger blood. You fucked it up and thought I'd understand but I don't like what you are saying off hand. And when I went for you you bit me back good went in the corner like an animal would by playing on my biggest fear I watching you walk out of here it hurts. That's not to see we're doing it your way tiger blood. Who would've thought that you would be in it together one up on me it hurts. That's not to see we're doing it your way tiger blood
if you wanna,"Well, I don't wanna wake up in the mornin',. But I've got to face the day.. That's what all the friends I do not like as much as you say.. I don't wanna do things independently,. But I can't make you stay.. That's what all the friends I do not like as much as you say.. But if you wanna come back it's alright, it's alright. It's alright if you wanna come back. Do you wanna come back ? It's alright, it's alright. It's alright if you wanna come back to me!. Well, I don't wanna see you with another guy,. But the fact is that I may.. That's what all the friends I do not like as much as you say.. We'll give it just another couple of months or so,. And then you'll be okay.. That's what all the friends I do not like as much as you say.. All alone, all alone. I, I am on my own.. Alone, all alone.. I, I am on my own.. But if you wanna come back, it's alright, it's alright. It's alright if you wanna come back. Do you wanna come back? It's alright, it's alright. It's alright if you wanna come back to me. But if you wanna come back it's alright, it's alright. It's alright if you wanna come back. Do you wanna come back? it's alright, it's alright. It's alright if you wanna come back. Do you wanna come back? It's alright, it's alright. It's alright if you wanna come back!. Do you wanna come back? It's alright, it's alright. It's alright if you wanna come back to me"
