behind blue eyes,"No one knows what it's like, to be the bad man. To be the sad man, behind blue eyes. No one knows what it's like, to be hated. To be fated, to telling only lies. But my dreams they aren't as empty. As my conscience seems to be. I have hours, only lonely. My love is vengeance that's never free. No one knows what it's like, to feel these feelings. Like I do, and I blame you. No one bites back as hard on their anger. None of my pain or woe, can show through. But my dreams, they aren't as empty. As my conscience seems to be. I have hours, only lonely. My love is vengeance that's never free. When my fist clenches, crack it open. Before I use it and lose my cool. When I smile, tell me some bad news. Before I laugh and act like a fool. And if I swallow anything evil. Put your finger down my throat. And if I shiver, please give me your blanket. Keep me warm, let me wear your coat. No one knows what it's like, to be the bad man. To be the sad man, behind blue eyes"
baba o'riley,"Out here in the fields. I fight for my meals. I get my back into my living. I don't need to fight. To prove I'm right. I don't need to be forgiven. Don't cry. Don't raise your eye. It's only teenage wasteland. Sally, take my hand. Travel south cross land. Put out the fire. And don't look past my shoulder. The exodus is here. The happy ones are near. Let's get together. Before we get much older. Teenage wasteland. It's only teenage wasteland. Teenage wasteland. Oh, yeah. Teenage wasteland. They're all wasted!"
who are you,"Who are you?. Who, who, who, who?. Who are you?. Who, who, who, who?. Who are you?. Who, who, who, who?. Who are you?. Who, who, who, who?. I woke up in a Soho doorway. A policeman knew my name. He said ""You can go sleep at home tonight. If you can get up and walk away"". I staggered back to the underground. And the breeze blew back my hair. I remember throwin' punches around. And preachin' from my chair. chorus:. Well, who are you? (Who are you? Who, who, who, who?). I really wanna know (Who are you? Who, who, who, who?). Tell me, who are you? (Who are you? Who, who, who, who?). 'Cause I really wanna know (Who are you? Who, who, who?). I took the tube back out of town. Back to the Rollin' Pin. I felt a little like a dying clown. With a streak of Rin Tin Tin. I stretched back and I hiccupped. And looked back on my busy day. Eleven hours in the Tin Pan. God, there's got to be another way. chorus:. Well, who are you? (Who are you? Who, who, who, who?). I really wanna know (Who are you? Who, who, who, who?). Tell me, who are you? (Who are you? Who, who, who, who?). 'Cause I really wanna know (Who are you? Who, who, who?). Who are you?. Ooh wa ooh wa ooh wa ooh wa .... Who are you?. Who, who, who, who?. Who are you?. Who, who, who, who?. Who are you?. Who, who, who, who?. Who are you?. Who, who, who, who?. I know there's a place you walked. Where love falls from the trees. My heart is like a broken cup. I only feel right on my knees. I spit out like a sewer hole. Yet still recieve your kiss. How can I measure up to anyone now. After such a love as this?. chorus:. Well, who are you? (Who are you? Who, who, who, who?). I really wanna know (Who are you? Who, who, who, who?). Tell me, who are you? (Who are you? Who, who, who, who?). 'Cause I really wanna know (Who are you? Who, who, who?)"
my generation,"People try to put us to down. (talkin' bout' my generation). Just because we get around. (talkin' bout' my generation). Things they do look awful cold. (talkin' bout' my generation). I hope I die before I get old. (talkin bout my generation). My generation, it's my generation baby. Why don't you all fade away. (talkin bout my generation). And don't try an' think what we all say. (talkin bout my generation). I'm not trying to cause a big sensation. (talkin bout my generation). Just talkin 'bout my generation. (talkin bout my generation). My generation, it's my generation baby. Why don't you all fade away. (talkin bout my generation). And don't try an' think what we all say. (talkin bout my generation). I'm not trying to cause a big sensation. (talkin bout my generation). Just talkin bout my generation. (talkin bout my generation). My generation, it's my generation baby. My, my, my, my generation. People try to put us down. (talkin' bout' my generation). Just because we get around. (talkin' bout' my generation). Things they do look awful cold. (talkin' bout' my generation). I hope I die before I get old. (talkin bout my generation). My generation, it's my generation baby. Talking 'bout my generation (my generation). Talking 'bout my generation (my generation). Talking 'bout my generation (my generation). Talking 'bout my generation (my generation)"
won't get fooled again,"We'll be fighting in the streets. With our children at our feet. And the morals that they worship will be gone. And the men who spurred us on. Sit in judgment of all wrong. They decide and the shotgun sings the song. I'll tip my hat to the new constitution. Take a bow for the new revolution. Smile and grin to the changes all around. Pick up my guitar and play. Just like yesterday. Then I'll get on my knees and pray. We don't get fooled again. The change, it had to come. We knew it all along. We were liberated from the fold, that's all. And the world looks just the same. And history ain't changed. 'Cause the banners, they all flown in the last war. I'll tip my hat to the new constitution. Take a bow for the new revolution. Smile and grin at the changes all around. Pick up my guitar and play. Just like yesterday. Then I'll get on my knees and pray. We don't get fooled again. No, no. I'll move myself and my family aside. If we happen to be left half alive. I'll get all my papers and smile at the sky. For I know that the hypnotized never lie. Do ya. Yeah. There's nothing in the streets. Looks any different to me. And the slogans are replaced, by-the-bye. And the parting on the left. Is now the parting on the right. And the beards have all grown longer overnight. I'll tip my hat to the new constitution. Take a bow for the new revolution. Smile and grin to the changes all around. Pick up my guitar and play. Just like yesterday. Then I'll get on my knees and pray. We don't get fooled again. Don't get fooled again, no, no. Yeah. Meet the new boss. Same as the old boss"
pinball wizard,"Ever since I was a young boy. I played the silver ball. From Soho down to Brighton. I must have played them all. But I ain't seen nothing like him. In any amusement hall. That deaf, dumb and blind kid. Sure Plays A Mean Pinball!. He stands like a statue. Becomes part of the machine. Feeling all the bumpers. Always playing clean. He plays by intuition. The digit counters fall. That deaf, dumb and blind kid. Sure plays a mean pinball. He's a pinball wizard. There has to be a twist. A pinball wizard. Got such a supple wrist. How do you think he does it. I Don'T Know!. What makes him so good. Ain't got no distractions. Can't hear no buzzers and bells. Don't see no lights a-flashin. He plays by sense of smell. Always gets a replay. Never see him fall. That deaf, dumb, and blind kid. Sure plays a mean pinball. I thought I was. The Bally table king. But I just handed. My pinball crown to him. Even on my favorite table. He can beat my best. His disciples lead him in. And he just does the rest. He's got crazy flipper fingers. I never see them fall. That deaf, dumb and blind kid. Sure plays a mean pinball"
the seeker,"I've looked under chairs. I've looked under tables. I've tried to find the key. To fifty million fables. chorus:. They call me The Seeker. I've been searching low and high. I won't get to get what I'm after. Till the day I die. I asked Bob Dylan. I asked The Beatles. I asked Timothy Leary. But he couldn't help me either. chorus. People tend to hate me. 'Cause I never smile. As I ransack their homes. They want to shake my hand. Focusing on nowhere. Investigating miles. I'm a seeker. I'm a really desperate man. I won't get to get what I'm after. Till the day I die. I learned how to raise my voice in anger. Yeah, but look at my face, ain't this a smile?. I'm happy when life's good. And when it's bad I cry. I've got values but I don't know how or why. I'm looking for me. You're looking for you. We're looking in at other. And we don't know what to do. chorus"
i'm free,"Tommy:. I'M FREE-I'm free,. And freedom tastes of reality,. I'm free-I'm free,. AN' I'm waiting for you to follow me.. If I told you what it takes. to reach the highest high,. You'd laugh and say 'nothing's that simple'. But you've been told many times before. Messiahs pointed to the door. And no one had the guts to leave the temple!. I'm free-I'm free. And freedom tastes of reality. I'm free-I'm free. And I'm waiting for you to follow me.. Chorus:. How can we follow?. How can we follow?."
"see me, feel me/listening to you","See Me. Feel Me. Touch Me. Heal Me. See Me. Feel Me. Touch Me. Heal Me. Listening to you, I get the music. Gazing at you, I get the heat. Following you, I climb the mountains. I get excitement at your feet. Right behing you, I see the millions. On you, I see the glory. From you, I get opinions. From you, I get the story. Listening to you, I get the music. Gazing at you, I get the heat. Following you, I climb the mountain. I get excitement at your feet. Right behind you, I see the millions. On you, I see the glory. From you, I get opinions. From you, I get the story"
you better you bet,"You better, you better you bet. I call you on the telephone. My voice too rough with cigarettes. I sometimes feel I should just go home. But I'm dealing with a memory. That never forgets. I love to hear you say my name. Especially when you say yes. I got your body right now on my mind. But I drunk myself blind to the sound of old T-Rex. To the sound of old T-Rex and Who's Next. Chorus. When I say I love you, you say you better. You better, you better you bet. When I say I need you, you say you better. You better, you better you bet. You better, bet your life. Or love will cut you like a knife. I want those feeble minded axes overthrown. I'm not into your passport picture. I just like your nose. You welcome me with open arms. And open legs. I know only fools have needs. But this one never begs. I don't really mind how much you love me. Ooh, a little is alright. When you say. Come over and spend the night. Tonight. Tonight. Chorus: (as above). I lay on the bed with you. We could make some book of records. Your dog keeps licking my nose. And chewing up all those letters. Saying ""you better"". You better bet your life. You better love me, all the time now. You better shove me back into line now. You better love me, all the time now. You better shove me back into line now. I showed up late one night. With a neon light for a visa. But knowing I'm so eager to fight. Can't make letting me in any easier. I know I been wearing crazy clothes. And I look pretty crappy sometimes. But my body feels so good. And I still sing a razor line every time. And when it comes to all night living. I know what I'm giving. I've got it all down to a tee. And it's free. Chorus: (as above)"
